Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,391.72,548.64,523.26,520.2,563.4,444.46,508.64,573.82,530.87,496.81,556.47,494.29,589.27,596.65,649.14
PixelExperience,509.73,283.82,270.62,451.17,352.81,299.65,226.05,266.81,247.47,215.52,389.3,286.92,359.64,313.88,349.92
apple,659.54,750.11,708.65,772.25,770.58,841.53,655,881.12,819.75,745.78,751.89,699.42,786.65,839.55,909.16
OpenAPITools,593.19,566.36,527.61,520.64,471.01,425.51,527.35,536.25,537.04,526.27,578.38,442.56,526.92,569.12,502.91
nextcloud,432.03,370.53,343.84,291.56,355.83,269.03,343.86,297.8,305.25,290.44,307.94,256.36,303.57,368.06,246.49
firstcontributions,1861.86,1380.53,1439.61,1312.3,1806.75,1677.76,1912.84,2951.44,3651.65,9527.79,2615.64,1945.54,2514.17,2067.7,2643.15
JuliaRegistries,329.88,344.53,341.88,300.41,329.69,289.94,294.83,333.13,320.8,345.98,309.19,284.3,320.19,327.29,306.37
PaddlePaddle,454.62,342.55,467.34,461.76,557.66,505.77,454.25,570.31,557.19,561.62,567.7,438.03,340.48,509.32,600.97
ClickHouse,1057.07,893.87,1048.18,1186.69,1085.26,1052.1,1202.54,1234.49,1227.61,1116.87,1124.97,1024.74,1123.86,1236.47,1220.46
jlord,775.03,936.82,1475.83,556.12,379.38,423.96,335.3,502.72,566.59,471.71,471.73,388.07,641.86,1022.18,1443.56
prusa3d,533.79,375.36,328.8,336.08,268.38,224.58,367.16,441.58,434.38,328.68,305.44,297.05,383.41,902.6,662.29
AdguardTeam,614.84,585.05,539.48,564.24,570.26,491.81,450.52,558.87,512.63,472.54,512.4,526.69,530.51,485.2,544.45
pingcap,946.53,819.15,1009.39,912.55,858.74,906.88,1071.65,943.07,996.21,658.17,890.78,833.43,820.28,968.18,1001.34
nodejs,1027.58,881.57,923.49,930.6,773,864.98,973.38,916.14,905.34,967.3,977.42,869.98,1042.43,1005.03,1075.49
cms-sw,649.03,698.53,748.16,725.35,835.46,739.21,703.74,857.78,621.71,685.32,566.18,444.53,509.58,647.28,732.94
microsoftgraph,788.48,754.55,977.29,790.43,771,908.31,814.5,882.07,765.37,755.78,707.31,649.2,749.64,701.87,910.18
MarlinFirmware,604.5,384.45,427,434.04,353.88,347.45,359.94,336.86,301.86,350.11,293.72,354.67,380.11,379.06,375.96
conan-io,707.36,553.79,675.44,675.04,630.85,578.9,700.53,891.97,725.48,819.7,756.61,730.5,780.7,705.54,766.03
pandas-dev,932.26,719.81,831.32,760.26,610.82,663.48,701.77,749.61,833.05,903.25,950.57,844.31,843.29,818.32,1015.95
woocommerce,496.38,430.17,578.56,563.64,637.43,528.27,580.2,643.01,655.96,667.29,656.75,580.86,704.87,540.67,727.08
logseq,579.28,470.94,546.25,539.54,569.48,619.58,577.78,558.71,507.86,545.7,618.92,589.67,537.8,454.93,488.7
Ultimaker,519.27,386.77,351.15,516.72,728.85,557.26,618.42,544.56,536.15,584.74,555.8,568.25,585.84,572.75,750.62
influxdata,469.4,433.41,406.66,339.85,360.83,325.04,348.01,362.14,359.5,375.68,323.54,282.79,336.37,345.26,310.06
docker,265.72,257.22,286.99,314.46,356.42,286.67,411.71,442.25,410.18,434.93,419.54,293.38,453.53,308.23,408.11
ValveSoftware,546.78,728.57,809.76,627.34,538.14,597.07,628.27,733.4,521.83,607.81,580.35,628.5,584.51,618.64,572.28
magento,581.73,442.93,472.54,564.36,555.91,531.26,526.16,798.28,595.54,590.78,621.38,510.14,529.72,589,715.64
vercel,1387.12,1243.24,1068.16,1160.94,1081.15,1057.36,1154.52,1104.55,1070.7,1335.74,1710.8,1319.37,1485.29,1551.87,1682.91
department-of-veterans-affairs,1119.01,1098.99,1121.85,999.29,1018.94,1075.29,1033.27,1114.01,964.69,841.74,875.21,786.44,955.2,1027.75,1130.7
zephyrproject-rtos,1924.03,1951.41,2191.99,1783.3,1854.62,1998.24,2110.21,2322.35,2057.6,1960.57,2012.68,1652.73,2109.01,1965.68,2317.78
Automattic,1367.35,1265.84,1259.4,1153.82,1250.87,1236.72,1309.57,1557.61,1530.3,1502.55,1395.62,1328.34,1474.81,1449.58,1512.21
qmk,991.23,648.07,726.72,597.62,661.3,650.78,797.31,776.23,658.67,732.45,636.41,639.91,693.71,632.16,804.42
mrdoob,459.29,362.38,371.48,352.81,368.58,308.44,247.09,346.18,332.09,311.87,300.78,300.01,309.76,318.87,352.04
termux,385.11,352.43,379.97,519.09,413.16,300.98,341.65,383.58,394.97,429.41,369.02,364.17,331.4,306.6,313.06
rapid7,298.26,256.56,318.32,309.42,287.35,229.61,277.49,264.8,306.96,337.26,305.79,276.08,322.3,375.2,305.26
Regalis11,224.67,247.61,216.07,323.49,242.19,246.64,198.04,179.74,182.41,284.44,348.86,250.78,263.4,244.88,374.67
Koenkk,1300.43,941.32,847.25,886.16,845.46,783.35,732.64,829.12,962.02,1056.67,1227.11,1239.33,1515.68,1130.1,958.71
ccxt,474.31,399.38,354.46,399,409.95,389.08,366.24,388.5,339.94,368.43,427.55,389.04,446.85,374.62,432.65
JuliaLang,744.83,729.28,736.68,606.02,733.21,599.95,563.15,668.68,655.84,726.15,703.28,627.9,751.12,724.84,632.16
jitsi,418.23,361.11,427.5,398.27,255.22,295.33,271.86,283.46,324.31,278.99,272.35,227.47,207.27,264.31,222.17
WordPress,1328.54,1430.76,1428.65,1298.29,1315.42,1089.84,1188.24,1322.99,1375.55,1251.07,1385.78,1099.58,1259.81,1333.47,1419.53
istio,731.8,759.51,812.87,742.02,785.42,705.8,695.61,799.93,710.01,677.48,745.79,637.47,699.11,829.33,755.86
qbittorrent,1010.79,524.88,547.38,454.53,495.27,401.01,424.14,439.82,338.41,345.88,374.58,480.28,400.9,364.94,355.04
yt-dlp,776.21,694.45,794.02,721.76,760.14,715.23,702.37,729.32,681.88,728.09,677.69,578.32,573.81,822.91,732.87
DefinitelyTyped,1411.95,1129.49,1249.16,1244.28,1160.78,1042.96,1035.53,1177.94,1043.6,1120.88,1009.2,795.04,858.73,1026.85,1021.96
mastodon,200.34,243.49,238.12,365.06,419.69,225.49,173.91,225.92,147.5,387.86,3547.23,1696.71,895.64,760.78,675.96
python,1063.25,949.36,1023.43,1414.7,1762.06,1375.68,1322.26,1445.55,1327.43,1628.22,1612.05,1270.73,1330.74,1376.64,1364.92
grpc,465.73,403.87,444.47,480.89,449.46,467.96,364.02,405.71,469.75,444.74,480.59,417.83,515.61,443.97,483.36
elastic,2239.42,2304.51,2780.39,2232.96,2451.97,2258.71,2412.21,2492.01,2716.67,2323.77,2512,1945.13,2219.74,2383.12,2098.32
sveltejs,792.93,756.61,573.34,545.93,575.43,388.3,700.41,897.11,855.25,563.65,562.51,590.72,746.32,643.46,510.41
idsb3t1,27.44,27.35,27.68,31.93,28.67,26.68,26.68,38.72,31.62,35.21,45.7,16.58,26.08,27.18,27.09
unifyai,11.7,371.15,436.32,237.98,294.57,479.84,882.59,1323.95,996.45,1130.59,1091.3,910.05,880.06,1018.88,1488.18
hashicorp,970.47,1068.99,980.21,894.8,862.87,759.43,744.32,902.76,820.59,908.67,967.46,800.7,1014.65,894.13,1084.85
redis,421.11,389.4,353.93,358.86,357.19,313.78,376.15,398.42,350.84,336.64,345.81,273.62,326.94,348.66,381.56
Azure,665.99,700.53,774.16,713.96,752.63,710.68,654.65,799.99,746.43,772.2,729.13,560.72,660.5,741.38,717.8
golang,1185.44,1025.38,1357.16,1205.32,1182.92,1045.12,1053.87,1210.31,1235.03,1173.08,1055.19,1095.09,1119.03,1260.66,1244.51
ceph,926.24,801.12,912.05,959.99,894.52,858.19,997.99,1002.33,870.38,749.54,726.66,718.37,692.4,778.6,875.6
MicrosoftDocs,3221.61,3302.85,3602.62,3020.43,3139.18,2937.18,2986.11,3164.88,3326.35,3219.28,3142.08,2520.18,3030.22,3140.8,3374.48
ArduPilot,467.06,356.84,308.24,366.59,327.65,306.07,337.1,411.96,398.48,314.6,375.07,350.39,417.89,377.33,400.32
systemd,708.62,571.98,651.23,573.75,602.37,553.78,720.2,756.61,663.7,672.49,795.74,634.81,729.06,594.1,752.02
TeamNewPipe,364.33,601.02,433.33,530.5,414.37,257.18,359.97,506.46,326.49,483.48,519,311.64,303.63,349.39,249.07
ppy,221.37,176.81,351.45,403.18,376.57,334.67,385.12,470.54,388.11,427.98,392.73,406.84,501.67,322.6,318.71
qgis,681.47,668.17,709.74,521.54,544.59,491.71,492.36,626.76,552.15,504.57,550.65,449.61,566.98,547.21,610.96
google,809.49,879.94,2045.71,861.8,802.72,930.45,949.38,1115.89,1073.11,1095.3,772.15,932.65,978.03,1007.08,2634.35
o3de,902.65,864.57,867.78,815.79,823.15,856.03,805.13,980.23,937.23,786.31,841.97,624.57,669.75,695.76,660.36
openjournals,781.4,846.9,827.87,778.81,755.16,779.61,830.98,922.16,801.15,992.59,900.15,719.29,795.12,882.32,955.93
microsoft,671.53,608.02,625.23,667.11,574.19,477.89,485.7,557.14,735.19,769.61,888.81,849.28,952.25,829.36,943.7
helium,142.16,1354.53,1082.67,1052.33,690.06,415.47,531.33,444.12,369.74,458.31,21.4,16.31,23.54,20.38,12.61
odoo,1697.29,1661.19,1865.87,1894.43,1798.26,1689.26,1673.74,2012.62,2146.35,2067.17,1984.64,1762.09,2075.25,1962.19,2259.18
dbeaver,404.39,433.12,461.12,449.26,436.15,402.1,367.56,473.04,417.01,441.24,492.65,389.7,500.45,577.98,535.87
google-test,325.89,324.89,372.25,369.56,372.53,358.67,371.27,381.54,372.47,374.33,369.67,373.4,377.32,360.31,369.62
helix-editor,318.96,252.82,297.71,700.1,489.89,537.47,564.2,586.59,737.02,836.44,677.74,710.67,765.66,765.96,741.15
Lightning-AI,617.23,691.63,642.92,581.05,423.95,398.78,725.85,759.49,667.27,609.39,569.54,439.28,452.52,446.91,498.86
cloudflare,400.94,420.31,437.45,430.34,567,504.43,500.3,535.84,598.1,589.48,565.82,382.92,522.18,502.35,604.32
