Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,796.05,812.64,837.57,847.36,868.17,872.9,898.3,910.56,921.66,935.19,944.54,963.39,981.98,989.35,1009.41
PixelExperience,86.94,101.6,111.79,104.17,116.61,128.59,151.13,179.9,201.71,208.12,199.56,211.59,211.4,223.51,228.46
apple,607.29,635.29,666.29,103.54,61.23,54.06,65.66,73.26,88.4,103.67,117.3,133.33,151.88,159.71,175.39
OpenAPITools,598.04,608.21,621.92,640.12,659.93,670.39,682.23,691.17,702.91,718.58,728.14,746.96,766.03,773.87,791.22
nextcloud,525.81,531.74,552.07,569.11,585.19,609.03,626.41,632.98,642.99,648.93,660.47,681.45,694.45,688.53,695.98
firstcontributions,517.45,485.94,481.88,488.74,592.56,590.2,751.03,748.95,676.13,636.08,665.43,641,591.18,543.97,527.35
JuliaRegistries,530.6,508.91,457,486.08,450.87,476.2,507.2,534.33,529.62,560.62,555.94,554.39,584.06,607.06,638.06
PaddlePaddle,173.06,188.95,200.77,221.6,228.23,241.59,250.58,257.1,259.39,265.35,273.88,289.26,313.56,322.38,325.85
jlord,935.75,963.75,994.75,913.94,896.84,926.84,957.84,988.84,968.9,999.9,981.48,1012.48,1043.48,1022.82,1008.52
prusa3d,585.75,588.23,606.66,618.07,635.25,656.59,663.26,668.55,673.55,686.68,701.99,717.98,732.54,710.92,700.7
AdguardTeam,532.11,597.58,631.01,650.85,631.53,647.54,617.16,661.07,683.43,681.97,706.03,717.39,726.25,732.76,748.65
pingcap,459.71,473.78,486.19,505.77,519.69,531.47,549.85,557.55,576.07,592.38,607.62,624.32,639.49,654.67,663.98
nodejs,706.96,725.04,733.6,742.45,754.14,766.11,781.92,803.28,815.17,832.18,853.88,878.69,890.33,907.68,920.09
cms-sw,832.68,848.53,857.83,879.55,882.44,904.92,912.17,910.57,928.84,939.14,975.95,995.96,1001.76,1016.23,1016.23
microsoftgraph,659.9,659.36,683.26,689.71,692.17,703.49,727.32,722.93,732.03,742.56,765.68,771.66,796.75,818.71,832.08
MarlinFirmware,924.3,930.38,952.39,1016.98,1036.61,1052.73,1090.96,1098.05,1114.07,1139.55,1170.03,1186.91,1194.6,1219.51,1232.6
conan-io,344.35,361.66,361.43,376.72,388.01,393.94,396.51,403.63,437.9,441.7,448.18,461.01,474,491.69,496.95
pandas-dev,1179.74,1193.24,1206.84,1214.55,1235.3,1258.89,1275.89,1303.69,1306.49,1317.59,1331.96,1352.43,1358.95,1370.11,1383.13
logseq,181.14,180,189.41,191.85,205.66,210.88,221.84,235.61,247.23,258.48,273.84,287.77,308.23,326.89,341.24
Kaiserreich,816.89,873.06,888.41,899.06,936.53,875.99,853.4,878.69,864.02,854.87,860.87,861.16,889.76,914.09,943.78
Ultimaker,743.17,757.5,770.81,722.56,690.68,707.66,701.24,696.82,688.03,690.17,700.05,704.86,702.1,697.35,675.08
influxdata,792.81,797.86,802.46,829.01,850.88,852.77,861.16,873.95,871.62,866.59,893.69,904.04,930.55,957.35,933.27
ValveSoftware,864.67,881.24,899.46,919.24,941.87,959.93,975.24,995.06,1013.22,1031.26,1051.8,1072.72,1091.95,1107.32,1125.31
magento,691.57,711.27,730.39,747.84,762.43,779.55,797.58,819.1,839.47,862.38,880.73,906.16,924.52,939.7,922.47
department-of-veterans-affairs,317.75,322.89,331,347.68,359.86,363.67,374.6,389.74,404.84,416.51,429.72,438.02,445.03,449.1,462.07
zephyrproject-rtos,623.09,616.64,625.93,646.02,660.82,671.7,678.55,680.37,698.32,696.16,707.73,719.5,730.59,736.98,749.35
Automattic,556.88,564.51,576.08,590.62,598.73,611.01,612.77,627.3,638.9,649.7,657.93,668.51,679.06,689.58,709.32
qmk,849.88,867.87,876.41,898.31,906.36,900.11,924.71,982.93,972.18,1011.49,1017.24,1051.23,1082.74,1104.25,1104.44
mrdoob,955.16,940.6,951.25,974.54,991.64,1004.81,1010.43,1022.77,1026.7,1034.81,1061.21,1075.35,1061.82,1092.89,1103.35
termux,801.51,792.34,782.34,659.84,666.33,664.4,674.5,663.98,681.92,696.18,720.86,749.95,786.61,781.27,798.3
rapid7,1085.46,1091.87,1098.56,1099.1,1092.7,1119.35,1135.96,1144.1,1175.71,1182.52,1216.57,1240,1268.88,1230.68,1271.12
Regalis11,384.34,399.42,424.34,423.92,452.88,447.55,455.55,483.15,524.54,524.75,474.73,491.4,554.81,542.22,499.28
Koenkk,294.93,289.84,328.83,347.97,365.08,373.11,376.86,379.95,356.27,370.54,362,370.33,354.84,381.42,413.55
ccxt,752.49,754.07,754.92,753.37,763.8,756.7,754.76,778.94,770.73,795.83,775.77,767.01,760.74,755.16,710.04
JuliaLang,1002.03,1017.99,1026.7,1034.81,1037.33,1050.65,1070.96,1083.31,1098.35,1114.2,1122.8,1137.17,1148.35,1159.82,1173.56
jitsi,543.28,544.06,546.67,644.33,658.16,648.38,663.33,681.08,680.26,695.59,702.9,703.9,714.61,728.71,737.68
WordPress,560.27,569.72,573.6,582.51,594.29,609.93,616.75,633.9,651.9,665.67,676.36,696.18,706.45,701.82,716.55
istio,603.56,621.24,641.25,647.17,654.81,669.09,679.18,761.37,768.68,781.54,786.18,789.32,818.03,838.14,859.81
qbittorrent,960.18,963.31,977.6,986.87,1000.19,1012.19,1025.95,1025.37,1035.96,1048.28,1054.35,1056.13,1062.77,1076.96,1083.81
yt-dlp,100.67,108.11,118.69,135.75,149.72,165.55,181.87,199.84,208.44,222.29,240.47,255.61,274.1,286.66,304.66
DefinitelyTyped,1431.77,1447.39,1468.95,1485.85,1503.63,1517.77,1538.19,1554.9,1569.97,1599.24,1618.23,1640.51,1666.57,1684.53,1704.38
mastodon,1081.39,1092.95,1112.6,1117.26,1110.23,1126.62,1143.19,1156.06,1162.9,1165.68,933.6,876.81,876.03,880.28,896.48
python,622.43,650.43,681.43,10.73,24.1,37.58,50.69,64.21,77.68,89.46,104.06,119.77,134.7,145.08,160.24
grpc,1144.94,1167.23,1185.79,1239.59,1280.77,1328.89,1340.87,1354.51,1408.35,1432.03,1459.02,1493.75,1520.44,1527.73,1540.89
elastic,698.51,700.66,712.83,730.43,745.64,755.69,769.72,775.29,780.96,798.82,806.84,826.06,852.74,860.28,867.5
sveltejs,150.47,144.82,156,155.98,172.67,183.47,197.45,195.85,205.88,215.84,237.12,235.65,247.32,259.31,264.5
