Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,172.05,183.31,183.71,189,197.86,184.35,198.85,211.24,201.27,181.19,182.32,184.31,190.39,191.57,193.52
PixelExperience,179.07,167,160.14,185.85,185.22,184.06,155.76,155.71,143.89,130.58,155.1,155.97,167.67,169.14,183.33
apple,210.32,210.88,209.62,226.28,221.71,244.93,218.75,231.79,248.24,241.86,249.29,254.25,246.25,259.06,272.29
OpenAPITools,195.99,194.91,191.59,191.19,181.59,173.71,176.39,187.13,184.77,177.32,196.96,179.94,181.54,184.8,185.39
nextcloud,168.51,170.37,169.96,157.69,156.07,152.03,158.32,150.5,147.39,143.53,148.09,143.25,148.72,154.52,134.03
firstcontributions,563.72,511.94,482.24,448.47,518.55,543.16,590.42,766.71,941.21,1362.16,1109.46,849.43,859.63,721.35,790.77
JuliaRegistries,191.77,199.51,201.46,201.54,204.85,201.81,203.79,206.83,208.54,208.99,208.88,210.02,211.3,213.4,208.2
PaddlePaddle,175.37,150.13,164.35,180.88,206.68,213.45,217.24,228.22,239.8,231.17,220.25,211.19,183.5,180.71,198.58
ClickHouse,527,507.71,516.64,529.51,522.65,518.74,517.4,524.22,542.63,536.66,533.37,528.89,522.73,529.14,532.52
jlord,245.51,294.57,461.88,314.46,227.2,199.88,164.27,182.62,202.36,190,182.04,161.12,195.63,281.15,440.22
prusa3d,216.76,192.1,164.89,162.6,139.49,128.07,144.98,163.67,178.24,155.1,145.06,136.43,147.75,256.38,275.12
AdguardTeam,516.89,509.79,484.81,509.88,513.91,502.52,486.69,493.47,494.93,510.21,508.44,511.86,514.37,499.68,503.27
pingcap,243.54,237.92,238.89,230.4,208.22,204.6,219.44,204.26,198.62,171.5,185.09,196.33,223.63,226.95,227.63
nodejs,408.65,402,401.31,422.81,381.6,415.22,447.51,428.51,418.76,438.45,433.7,449.22,452.81,443.14,429.3
cms-sw,219.97,213.54,213.3,211.21,225.48,228.64,229.07,240.28,224.61,220.53,206.14,201.9,206.71,204.77,206.77
microsoftgraph,375.45,368.65,383.34,362.76,355.67,397.07,395.42,395.83,377.36,365.98,350.43,330.67,309.02,303.11,326.83
MarlinFirmware,252.97,217.29,203.63,211.01,202.39,199.17,192.48,177.65,166.68,166.33,156.21,168.4,171.48,167.96,170.75
conan-io,297.33,275.87,287.86,291.53,291.77,282.97,305.9,350.86,346.9,360.93,354.12,349.42,345.15,334.93,337.11
pandas-dev,408.05,390.41,393.5,390.87,354.44,340.04,316.13,301.19,310.04,332.95,344.71,364.27,359.74,366.26,400.28
woocommerce,202.96,200.21,233.1,277.16,290.35,279.17,289.92,296.34,303.07,292.02,307.34,304.98,313.35,287.69,306.18
logseq,177.94,192.14,205.64,225.11,225.95,253.71,249.98,248.4,239.31,243.05,253.82,257.49,247.93,222.38,228.25
Ultimaker,261.21,229.19,204.45,244.21,297.39,285.76,276.69,285.36,269.42,311.26,295.1,312.62,313.79,306.27,355.43
influxdata,164.61,171.49,169.87,157.76,158.77,147.98,151.15,151.53,148.86,142.47,139.96,128.99,141.23,144.63,135.17
docker,129.74,123.72,129.62,140.21,157.96,147.46,186.79,183.94,187.84,185.41,204.6,165.34,198.04,173.61,207.68
ValveSoftware,203.8,226.54,260.11,244.6,206.79,215.78,213.25,227.76,192.71,200.08,196.62,204.43,193.55,201.57,195.22
magento,367.18,295.54,273.02,270.83,269.2,263.66,262.39,302.52,282.86,279.45,279.79,269.73,266.48,271.02,286.05
vercel,589.31,552.53,514.38,510.91,469.97,468.46,450.51,442.06,442.18,501.2,557.26,537.04,528.48,556.87,621.89
department-of-veterans-affairs,228.15,235.26,243.12,247.93,238.11,246.73,252.51,264.86,260.54,239.77,237.53,230.21,238.71,249.8,260.73
