Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,391.72,548.64,523.26,520.2,563.4,444.46,508.64,573.82,530.87,496.81,556.47,494.29,589.27,596.65,649.14
OpenAPITools,593.19,566.36,527.61,520.64,471.01,425.51,527.35,536.25,537.04,526.27,578.38,442.56,526.92,569.12,502.91
PaddlePaddle,454.62,342.55,467.34,461.76,557.66,505.77,454.25,570.31,557.19,561.62,567.7,438.03,340.48,509.32,600.97
AdguardTeam,614.84,585.05,539.48,564.24,570.26,491.81,450.52,558.87,512.63,472.54,512.4,526.69,530.51,485.2,544.45
pingcap,946.53,819.15,1009.39,912.55,858.74,906.88,1071.65,943.07,996.21,658.17,890.78,833.43,820.28,968.18,1001.34
cms-sw,649.03,698.53,748.16,725.35,835.46,739.21,703.74,857.78,621.71,685.32,566.18,444.53,509.58,647.28,732.94
microsoftgraph,788.48,754.55,977.29,790.43,771.0,908.31,814.5,882.07,765.37,755.78,707.31,649.2,749.64,701.87,910.18
MarlinFirmware,604.5,384.45,427.0,434.04,353.88,347.45,359.94,336.86,301.86,350.11,293.72,354.67,380.11,379.06,375.96
conan-io,707.36,553.79,675.44,675.04,630.85,578.9,700.53,891.97,725.48,819.7,756.61,730.5,780.7,705.54,766.03
pandas-dev,932.26,719.81,831.32,760.26,610.82,663.48,701.77,749.61,833.05,903.25,950.57,844.31,843.29,818.32,1015.95
logseq,579.28,470.94,546.25,539.54,569.48,619.58,577.78,558.71,507.86,545.7,618.92,589.67,537.8,454.93,488.7
Ultimaker,519.27,386.77,351.15,516.72,728.85,557.26,618.42,544.56,536.15,584.74,555.8,568.25,585.84,572.75,750.62
influxdata,469.4,433.41,406.66,339.85,360.83,325.04,348.01,362.14,359.5,375.68,323.54,282.79,336.37,345.26,310.06
zephyrproject-rtos,1924.03,1951.41,2191.99,1783.3,1854.62,1998.24,2110.21,2322.35,2057.6,1960.57,2012.68,1652.73,2109.01,1965.68,2317.78
Automattic,1367.35,1265.84,1259.4,1153.82,1250.87,1236.72,1309.57,1557.61,1530.3,1502.55,1395.62,1328.34,1474.81,1449.58,1512.21
qmk,991.23,648.07,726.72,597.62,661.3,650.78,797.31,776.23,658.67,732.45,636.41,639.91,693.71,632.16,804.42
mrdoob,459.29,362.38,371.48,352.81,368.58,308.44,247.09,346.18,332.09,311.87,300.78,300.01,309.76,318.87,352.04
termux,385.11,352.43,379.97,519.09,413.16,300.98,341.65,383.58,394.97,429.41,369.02,364.17,331.4,306.6,313.06
rapid7,298.26,256.56,318.32,309.42,287.35,229.61,277.49,264.8,306.96,337.26,305.79,276.08,322.3,375.2,305.26
ccxt,474.31,399.38,354.46,399.0,409.95,389.08,366.24,388.5,339.94,368.43,427.55,389.04,446.85,374.62,432.65
JuliaLang,744.83,729.28,736.68,606.02,733.21,599.95,563.15,668.68,655.84,726.15,703.28,627.9,751.12,724.84,632.16
jitsi,418.23,361.11,427.5,398.27,255.22,295.33,271.86,283.46,324.31,278.99,272.35,227.47,207.27,264.31,222.17
