Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,146,151,151,115,114,118,194,144,135,128,115,67,94,137,125
OpenAPITools,657,535,590,568,578,564,511,504,501,855,556,457,500,569,579
PaddlePaddle,830,622,844,1047,2686,1002,1018,974,1164,1620,1037,757,725,963,1118
AdguardTeam,119,102,157,88,102,65,67,78,86,82,75,85,103,74,95
pingcap,461,350,566,484,451,435,405,411,439,393,316,286,289,349,396
cms-sw,31,58,51,58,46,57,38,50,56,61,64,67,51,68,74
microsoftgraph,89,80,79,72,73,114,62,93,61,59,62,80,86,82,82
MarlinFirmware,905,604,613,561,421,691,392,581,446,463,432,566,685,625,611
conan-io,83,115,116,121,101,105,81,97,69,109,92,75,96,98,159
pandas-dev,947,880,969,1055,755,688,784,866,869,960,789,720,768,775,977
logseq,1202,1868,1044,880,1428,811,951,819,835,1158,937,836,872,825,758
Ultimaker,171,133,113,253,181,149,131,126,125,148,118,171,161,190,238
influxdata,326,266,270,260,236,243,191,310,223,247,286,190,248,290,244
zephyrproject-rtos,350,328,396,325,452,314,354,395,341,341,362,325,329,350,393
Automattic,55,55,47,48,56,34,57,52,51,47,39,33,35,29,53
qmk,1862,1319,1460,1401,1502,1269,1393,1482,1210,1380,1389,1359,1453,1236,1370
mrdoob,2481,1984,2271,2057,1878,1718,1717,1766,1785,1492,1599,1403,1450,1705,1765
termux,428,320,464,516,419,310,298,284,361,301,411,311,365,295,320
rapid7,563,522,617,606,550,445,428,451,493,534,478,479,520,484,527
ccxt,737,515,609,606,692,536,538,493,475,622,537,444,574,575,582
JuliaLang,645,526,543,458,613,390,488,417,410,359,439,401,426,385,393
jitsi,389,334,407,320,283,235,232,276,245,279,230,232,241,317,295
WordPress,197,264,241,207,229,313,194,204,194,205,188,189,214,214,209
istio,586,443,535,459,476,521,499,421,529,445,436,333,366,383,349
qbittorrent,631,519,660,539,435,407,595,533,397,514,466,542,530,608,516
yt-dlp,3993,2481,2537,2644,2308,1861,1900,2284,2201,1921,1674,1687,1934,3357,3093
DefinitelyTyped,1208,993,1123,1175,1183,995,998,1103,1054,1037,912,831,1024,996,965
mastodon,371,620,438,1820,950,284,278,329,238,915,7736,2484,1326,1094,729
grpc,529,506,714,628,593,588,500,592,578,601,598,428,518,526,528
elastic,361,238,333,265,300,269,225,223,266,250,220,164,180,276,236
sveltejs,738,619,523,656,544,442,673,894,649,530,555,1094,1092,607,522
Azure,109,153,228,118,101,142,84,85,101,168,85,71,75,66,72
MicrosoftDocs,737,793,965,968,778,750,727,1111,871,768,752,846,793,869,873
ArduPilot,478,455,497,713,466,442,421,517,481,475,467,422,544,526,592
systemd,282,211,273,237,250,201,185,248,266,217,251,189,221,186,246
ppy,369,269,693,481,314,289,355,400,363,365,298,360,300,334,324
o3de,260,207,222,221,321,200,384,258,210,302,202,233,181,164,162
helix-editor,677,231,608,2694,971,992,809,768,2115,2582,1336,1185,1406,1042,1114
cloudflare,240,254,215,266,410,286,293,259,195,220,217,151,187,186,247
bitnami,726,708,836,693,720,687,660,661,613,551,592,600,657,583,596
appsmithorg,1593,803,748,2736,3025,1030,801,1043,840,1284,858,969,975,987,927
go-gitea,787,704,852,724,775,715,743,1075,724,788,678,677,719,737,950
Homebrew,477,529,585,507,480,372,356,398,374,378,422,347,444,496,451
tachiyomiorg,123,123,143,162,119,155,146,158,169,121,96,144,123,137,127
mlflow,354,268,361,367,379,335,346,310,312,351,339,337,360,294,388
zulip,475,311,601,476,239,259,209,335,344,408,447,346,465,499,644
trinodb,329,279,310,342,296,266,299,361,275,312,458,305,301,317,338
ray-project,548,565,597,756,681,601,490,615,551,492,540,573,777,676,724
grafana,365,279,397,607,494,413,337,381,490,472,457,384,427,464,412
open-telemetry,194,140,171,168,170,185,194,192,178,174,197,179,180,207,240
getsentry,362,312,384,409,301,290,363,515,346,417,362,310,305,344,514
CleverRaven,638,250,275,295,279,342,367,287,263,223,232,292,223,223,384
quarkusio,358,232,257,357,326,380,256,285,218,259,267,204,247,239,236
SerenityOS,585,1190,829,890,564,626,486,476,997,1267,588,521,421,475,455
open-mmlab,817,596,1000,1000,802,657,831,797,863,706,727,523,544,675,777
expo,442,430,337,380,393,348,378,534,542,473,547,443,532,616,702
conda-forge,172,164,217,222,189,170,169,213,208,192,191,126,191,183,173
alibaba,907,708,1173,909,890,810,890,972,789,709,818,575,539,702,849
argoproj,493,552,541,533,507,535,596,596,637,660,556,502,536,611,576
azerothcore,125,130,117,186,106,233,159,150,144,132,190,202,247,281,279
mdn,657,611,1148,846,795,714,761,801,701,711,752,585,655,748,830
dotnet,692,661,690,774,805,532,568,655,621,694,631,536,684,577,635
ansible,1371,679,865,723,703,653,718,727,923,956,754,615,641,747,876
bitcoin,2111,1389,1667,1577,1430,1190,953,1078,894,1009,978,958,954,1001,892
openhab,110,123,85,66,52,54,53,71,58,67,48,78,119,82,84
renovatebot,558,351,404,365,360,380,480,395,381,503,420,375,564,469,473
PowerShell,945,534,1104,891,814,533,509,810,500,936,792,554,657,531,677
Skyrat-SS13,76,42,52,62,76,39,51,33,39,47,42,45,58,47,40
vitejs,1898,1825,1910,1758,1653,1429,2335,1992,1548,1475,1371,1417,1454,1733,1607
aws-amplify,57,76,55,41,39,59,51,46,58,42,53,34,39,35,34
element-plus,1221,1405,1471,1329,1601,1281,1408,1545,1405,1160,1330,1054,957,1411,1651
opencv,1863,1685,2051,2047,1798,1558,1531,1539,1470,1404,1614,1701,1619,1885,2276
void-linux,203,144,139,135,122,104,140,134,117,134,177,154,161,129,134
PrestaShop,176,177,223,144,104,113,137,130,305,140,117,158,191,180,166
github,9564,7741,8092,7313,6517,2495,2903,1502,1267,1803,1312,1251,1483,1220,1260
sourcegraph,156,173,154,186,151,266,169,117,123,426,112,79,142,138,220
cypress-io,1230,625,1161,649,643,805,561,748,802,642,649,468,473,436,404
ankidroid,157,146,328,331,225,147,171,178,207,193,180,175,269,247,214
Expensify,63,54,52,94,84,95,100,84,87,209,268,141,148,235,254
gravitational,386,248,302,388,328,255,301,269,357,285,306,272,335,309,297
kubevirt,106,109,141,106,115,94,117,109,102,126,112,71,86,138,133
MetaMask,681,568,512,451,363,346,270,441,311,283,359,326,255,273,295
yuzu-emu,1202,918,559,507,439,383,552,571,444,612,723,528,490,519,618
taosdata,238,320,390,378,316,260,240,566,368,289,721,352,222,474,296
matrix-org,245,225,273,227,231,173,202,196,193,221,184,178,214,187,192
tensorflow,2281,1556,1824,1553,1638,1465,1439,1555,1387,1533,1429,1229,1503,1751,1933
rust-lang,1537,1378,1674,1489,1485,1470,1967,2067,1783,1777,1550,1407,1642,1699,1749
openvinotoolkit,201,122,179,163,124,183,169,184,159,140,165,114,104,164,150
DataDog,104,70,105,93,116,74,85,92,114,92,81,52,78,109,116
home-assistant,2316,2038,2046,2130,1726,1567,1538,1539,1521,1784,2060,1918,2179,2133,1918
matplotlib,324,295,353,284,255,270,255,298,283,344,304,283,324,321,375
envoyproxy,390,337,374,311,393,311,356,310,405,355,379,267,317,350,300
godotengine,1732,1090,1655,1463,1119,1390,1733,1972,1747,1671,1362,1339,1562,1513,2352
aws,346,310,339,328,287,290,295,293,424,319,306,254,288,268,293
NixOS,764,668,634,695,630,702,597,724,666,606,704,735,777,727,823
