Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,39,57,55,53,111,86,46,52,103,107,125,115,59,57,128
OpenAPITools,201,189,77,74,149,156,186,173,180,174,193,150,170,189,169
PaddlePaddle,61,51,174,147,198,184,179,73,84,85,231,184,128,78,239
AdguardTeam,14,15,17,22,16,19,15,21,20,21,28,19,19,15,27
pingcap,41,40,36,33,33,31,38,32,39,41,32,42,32,45,37
cms-sw,23,32,28,27,39,33,26,29,25,25,23,24,20,30,29
microsoftgraph,57,101,81,59,92,67,62,115,52,87,93,73,91,64,66
MarlinFirmware,88,138,54,49,48,123,50,49,50,50,106,133,151,52,135
conan-io,44,30,58,57,40,50,39,42,29,31,36,46,68,33,60
pandas-dev,97,75,101,67,64,49,54,65,108,103,80,59,64,38,58
logseq,212,176,190,198,210,228,202,198,180,197,196,191,174,157,178
Ultimaker,210,155,138,238,338,233,259,227,226,256,224,218,266,257,349
influxdata,50,50,123,47,39,39,42,37,45,44,35,34,43,42,41
zephyrproject-rtos,83,103,93,95,115,105,98,100,102,97,125,100,107,113,114
Automattic,65,64,68,83,81,82,89,68,61,69,80,72,72,75,68
qmk,78,57,67,87,99,102,118,72,60,68,94,91,54,49,77
mrdoob,77,58,56,53,52,49,33,48,43,52,47,41,48,22,24
termux,35,49,48,56,54,42,55,54,32,58,49,52,39,37,37
rapid7,17,13,15,24,20,23,18,12,16,20,18,17,13,20,18
ccxt,30,46,41,51,51,47,45,43,41,38,56,51,59,43,52
JuliaLang,39,43,39,59,63,43,38,53,44,41,51,59,52,52,48
jitsi,52,48,51,25,32,41,31,25,26,46,41,25,25,21,30
WordPress,107,78,61,71,86,62,54,55,67,63,74,59,55,53,68
istio,93,51,58,50,50,44,88,54,54,47,94,45,38,44,41
qbittorrent,401,187,181,155,157,122,131,145,109,112,118,167,151,126,132
yt-dlp,280,266,287,280,105,84,86,261,227,247,235,219,201,290,265
DefinitelyTyped,302,213,240,235,233,192,207,219,206,224,198,145,171,202,195
mastodon,60,69,72,123,136,68,58,67,43,120,1265,585,303,232,198
grpc,32,28,47,30,45,26,24,24,44,43,30,25,23,40,31
elastic,96,90,89,99,96,87,92,101,95,94,88,86,89,85,96
sveltejs,98,97,173,164,178,125,210,119,113,181,65,171,92,79,169
Azure,34,31,26,29,27,27,32,36,32,39,32,32,33,40,46
MicrosoftDocs,1377,1397,1502,1267,1334,1256,1296,1372,1438,1321,1314,1030,1293,1334,1429
ArduPilot,26,15,17,22,31,20,21,18,29,29,27,31,27,28,34
systemd,92,69,49,68,77,65,94,52,41,91,52,81,89,69,82
ppy,7,7,35,47,36,40,31,54,45,49,47,47,37,23,41
o3de,39,41,43,44,33,30,34,40,38,45,34,33,31,30,26
helix-editor,32,15,32,108,75,90,52,53,107,128,102,108,115,105,105
cloudflare,30,38,31,26,41,31,28,28,32,34,34,27,38,43,37
bitnami,109,103,112,98,108,97,88,111,91,76,91,63,100,75,91
appsmithorg,35,36,42,38,41,43,36,45,36,49,46,41,43,46,53
go-gitea,73,42,56,58,57,30,42,81,72,40,69,63,74,34,45
Homebrew,96,96,96,86,89,93,65,70,102,88,89,85,99,88,105
tachiyomiorg,195,192,211,234,198,200,265,289,215,220,230,178,258,213,248
mlflow,23,31,16,27,31,26,21,24,19,18,19,23,24,16,33
zulip,24,23,26,33,18,20,16,17,25,20,33,40,27,30,28
trinodb,29,20,24,25,31,33,27,30,32,30,28,26,28,30,35
ray-project,34,34,35,38,33,37,34,39,35,32,40,36,32,31,33
grafana,40,29,57,69,61,39,32,40,73,71,74,160,49,78,71
open-telemetry,33,33,34,30,26,39,48,43,38,54,52,35,43,56,51
getsentry,23,23,25,28,29,31,34,30,35,32,34,34,36,41,43
CleverRaven,57,60,46,62,57,57,62,73,97,58,56,66,65,66,78
quarkusio,76,71,75,126,78,62,66,78,75,71,79,65,90,82,67
SerenityOS,32,37,44,36,28,22,20,32,24,32,34,38,24,22,24
open-mmlab,54,128,73,78,158,147,130,47,51,46,44,33,40,33,136
expo,283,235,235,71,285,254,204,321,263,262,320,250,266,272,332
conda-forge,79,67,91,101,66,79,84,81,86,98,104,67,69,87,82
alibaba,138,37,138,50,135,126,136,57,58,52,48,112,93,44,166
argoproj,149,165,204,71,164,204,188,235,183,251,241,201,218,261,256
azerothcore,16,19,18,17,17,15,16,16,13,17,15,19,27,18,28
mdn,93,106,149,115,111,120,99,54,52,32,42,48,54,40,37
dotnet,355,115,314,265,105,96,90,119,114,105,362,256,117,318,111
ansible,56,46,57,57,46,43,50,31,58,39,50,27,48,45,49
bitcoin,28,26,26,40,34,25,27,31,25,35,35,33,22,28,29
openhab,44,31,29,20,23,21,24,26,26,29,32,31,47,40,37
