Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,824.22,800.94,793.76,788.5,790.99,780.33,772.96,781.44,783.17,794.17,812.39,808.05,821.61,814.37,825.93
OpenAPITools,599.32,601.16,608.97,622.0,649.51,650.82,660.93,686.09,685.71,626.7,630.74,645.35,659.35,670.71,692.89
PaddlePaddle,180.78,199.09,221.34,242.4,236.65,240.5,251.29,264.54,301.79,300.75,312.56,314.67,359.31,364.09,376.76
AdguardTeam,294.05,260.02,332.01,353.0,318.95,322.05,316.77,345.25,388.74,411.14,424.86,444.27,450.96,474.89,475.8
pingcap,436.6,442.59,406.25,398.4,385.57,406.59,402.59,447.79,526.25,532.31,538.78,537.68,541.48,540.53,532.98
cms-sw,1123.04,1150.05,1128.11,1119.88,1099.37,1090.66,1078.39,1090.86,1104.84,1090.77,1124.5,1147.35,1151.64,1168.16,1145.9
microsoftgraph,552.13,540.81,549.02,534.62,532.05,559.21,564.82,606.68,574.13,608.28,602.43,585.33,626.05,613.5,641.98
MarlinFirmware,1039.85,1072.27,1086.08,1134.17,1129.8,1101.52,1132.64,1138.65,1178.68,1170.32,1168.95,1216.1,1200.68,1184.0,1258.79
conan-io,173.5,193.11,222.63,230.73,246.08,234.79,233.19,217.07,238.22,244.09,256.57,252.54,276.43,255.94,301.01
pandas-dev,967.48,978.35,992.79,992.97,1001.83,1010.33,1010.22,1020.63,1014.79,1000.1,1002.56,979.07,1009.92,1044.61,1032.75
logseq,104.06,110.3,109.11,128.35,132.15,138.46,137.73,166.78,180.93,197.86,200.63,206.9,223.47,249.2,257.48
Ultimaker,660.12,660.5,617.52,613.97,623.06,619.25,638.86,622.14,707.13,701.0,777.1,814.98,836.74,798.35,790.38
influxdata,664.44,671.68,658.58,664.42,645.5,649.6,687.68,695.01,711.21,705.39,722.62,728.74,778.8,783.21,800.47
zephyrproject-rtos,551.02,540.59,551.44,560.98,554.16,551.84,531.77,539.4,549.69,560.59,592.87,604.6,624.53,643.28,634.74
Automattic,813.66,827.8,814.06,811.41,807.6,791.06,784.68,795.8,801.65,802.48,814.22,822.95,822.58,828.33,817.33
qmk,535.28,546.72,553.65,582.94,561.91,577.84,625.38,676.59,703.54,681.92,698.49,735.87,743.04,762.28,753.87
mrdoob,831.91,831.86,838.47,839.17,836.01,849.45,835.47,883.17,892.66,919.01,907.57,928.21,957.85,943.59,972.22
termux,661.0,655.91,570.66,544.88,538.54,518.53,506.61,485.43,479.39,466.25,438.16,454.71,471.46,473.33,476.28
rapid7,961.67,999.27,1031.94,1002.89,1034.52,1031.21,1023.21,1032.11,1048.63,1030.69,1026.68,1015.62,1045.02,1055.83,1059.29
ccxt,731.15,687.74,666.55,631.0,640.4,568.29,505.31,539.82,505.92,510.73,525.2,565.44,571.89,596.28,589.69
JuliaLang,797.27,809.47,805.56,820.04,825.8,833.54,827.53,843.54,841.2,844.6,867.15,878.69,880.67,906.49,913.68
jitsi,677.36,639.11,608.71,639.55,654.71,638.52,631.59,654.49,662.01,639.93,653.75,656.85,670.58,682.93,687.79
WordPress,570.34,573.17,576.69,584.1,586.43,588.07,588.78,606.33,599.65,603.28,602.08,614.48,623.44,628.24,641.85
istio,922.17,906.99,906.58,923.68,929.84,920.18,939.06,942.81,965.36,977.02,987.34,988.26,1018.96,1033.03,1040.3
qbittorrent,810.85,744.15,744.58,743.77,778.85,803.04,860.3,930.61,983.37,1012.13,1001.84,931.78,944.2,1007.38,1025.67
yt-dlp,99.43,99.59,118.61,112.71,136.96,157.36,173.37,186.76,185.88,194.28,204.13,229.09,221.63,245.89,263.84
DefinitelyTyped,1100.52,1095.87,1109.85,1135.63,1143.98,1153.63,1142.71,1175.72,1205.67,1185.29,1211.08,1239.86,1222.25,1277.63,1305.88
mastodon,928.4,923.93,942.79,914.75,881.03,890.62,919.64,971.27,1001.02,987.8,779.23,790.9,813.6,775.95,782.21
grpc,752.78,751.84,742.75,782.15,786.25,782.85,798.06,797.5,819.36,813.66,841.6,830.01,865.47,886.69,900.33
elastic,625.49,619.34,609.73,604.21,614.15,602.91,603.08,617.02,631.84,643.36,648.87,664.94,684.76,692.47,704.7
sveltejs,113.33,95.68,101.18,102.98,123.27,131.99,142.91,159.4,173.84,199.88,209.57,221.97,231.21,259.8,274.62
Azure,620.53,615.79,641.69,633.98,641.4,622.57,617.73,631.21,656.81,651.0,667.27,686.97,703.08,734.95,741.67
