Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,796.05,812.64,837.57,847.36,868.17,872.9,898.3,910.56,921.66,935.19,944.54,963.39,981.98,989.35,1009.41
OpenAPITools,598.04,608.21,621.92,640.12,659.93,670.39,682.23,691.17,702.91,718.58,728.14,746.96,766.03,773.87,791.22
PaddlePaddle,173.06,188.95,200.77,221.6,228.23,241.59,250.58,257.1,259.39,265.35,273.88,289.26,313.56,322.38,325.85
AdguardTeam,532.11,597.58,631.01,650.85,631.53,647.54,617.16,661.07,683.43,681.97,706.03,717.39,726.25,732.76,748.65
pingcap,459.71,473.78,486.19,505.77,519.69,531.47,549.85,557.55,576.07,592.38,607.62,624.32,639.49,654.67,663.98
cms-sw,832.68,848.53,857.83,879.55,882.44,904.92,912.17,910.57,928.84,939.14,975.95,995.96,1001.76,1016.23,1016.23
microsoftgraph,659.9,659.36,683.26,689.71,692.17,703.49,727.32,722.93,732.03,742.56,765.68,771.66,796.75,818.71,832.08
MarlinFirmware,924.3,930.38,952.39,1016.98,1036.61,1052.73,1090.96,1098.05,1114.07,1139.55,1170.03,1186.91,1194.6,1219.51,1232.6
conan-io,344.35,361.66,361.43,376.72,388.01,393.94,396.51,403.63,437.9,441.7,448.18,461.01,474.0,491.69,496.95
pandas-dev,1179.74,1193.24,1206.84,1214.55,1235.3,1258.89,1275.89,1303.69,1306.49,1317.59,1331.96,1352.43,1358.95,1370.11,1383.13
logseq,181.14,180.0,189.41,191.85,205.66,210.88,221.84,235.61,247.23,258.48,273.84,287.77,308.23,326.89,341.24
Ultimaker,743.17,757.5,770.81,722.56,690.68,707.66,701.24,696.82,688.03,690.17,700.05,704.86,702.1,697.35,675.08
influxdata,792.81,797.86,802.46,829.01,850.88,852.77,861.16,873.95,871.62,866.59,893.69,904.04,930.55,957.35,933.27
zephyrproject-rtos,623.09,616.64,625.93,646.02,660.82,671.7,678.55,680.37,698.32,696.16,707.73,719.5,730.59,736.98,749.35
Automattic,556.88,564.51,576.08,590.62,598.73,611.01,612.77,627.3,638.9,649.7,657.93,668.51,679.06,689.58,709.32
qmk,849.88,867.87,876.41,898.31,906.36,900.11,924.71,982.93,972.18,1011.49,1017.24,1051.23,1082.74,1104.25,1104.44
mrdoob,955.16,940.6,951.25,974.54,991.64,1004.81,1010.43,1022.77,1026.7,1034.81,1061.21,1075.35,1061.82,1092.89,1103.35
termux,801.51,792.34,782.34,659.84,666.33,664.4,674.5,663.98,681.92,696.18,720.86,749.95,786.61,781.27,798.3
rapid7,1085.46,1091.87,1098.56,1099.1,1092.7,1119.35,1135.96,1144.1,1175.71,1182.52,1216.57,1240.0,1268.88,1230.68,1271.12
ccxt,752.49,754.07,754.92,753.37,763.8,756.7,754.76,778.94,770.73,795.83,775.77,767.01,760.74,755.16,710.04
JuliaLang,1002.03,1017.99,1026.7,1034.81,1037.33,1050.65,1070.96,1083.31,1098.35,1114.2,1122.8,1137.17,1148.35,1159.82,1173.56
jitsi,543.28,544.06,546.67,644.33,658.16,648.38,663.33,681.08,680.26,695.59,702.9,703.9,714.61,728.71,737.68
WordPress,560.27,569.72,573.6,582.51,594.29,609.93,616.75,633.9,651.9,665.67,676.36,696.18,706.45,701.82,716.55
istio,603.56,621.24,641.25,647.17,654.81,669.09,679.18,761.37,768.68,781.54,786.18,789.32,818.03,838.14,859.81
qbittorrent,960.18,963.31,977.6,986.87,1000.19,1012.19,1025.95,1025.37,1035.96,1048.28,1054.35,1056.13,1062.77,1076.96,1083.81
yt-dlp,100.67,108.11,118.69,135.75,149.72,165.55,181.87,199.84,208.44,222.29,240.47,255.61,274.1,286.66,304.66
DefinitelyTyped,1431.77,1447.39,1468.95,1485.85,1503.63,1517.77,1538.19,1554.9,1569.97,1599.24,1618.23,1640.51,1666.57,1684.53,1704.38
mastodon,1081.39,1092.95,1112.6,1117.26,1110.23,1126.62,1143.19,1156.06,1162.9,1165.68,933.6,876.81,876.03,880.28,896.48
grpc,1144.94,1167.23,1185.79,1239.59,1280.77,1328.89,1340.87,1354.51,1408.35,1432.03,1459.02,1493.75,1520.44,1527.73,1540.89
elastic,698.51,700.66,712.83,730.43,745.64,755.69,769.72,775.29,780.96,798.82,806.84,826.06,852.74,860.28,867.5
sveltejs,150.47,144.82,156.0,155.98,172.67,183.47,197.45,195.85,205.88,215.84,237.12,235.65,247.32,259.31,264.5
Azure,362.53,372.49,387.69,402.15,418.36,439.11,449.01,463.01,477.28,473.24,484.31,515.62,530.01,535.9,553.3
MicrosoftDocs,547.64,548.05,555.49,568.06,584.76,596.97,607.96,613.31,613.86,620.17,635.16,657.76,677.17,684.61,694.87
ArduPilot,1273.44,1280.76,1297.29,1304.39,1321.15,1332.26,1352.74,1361.13,1398.18,1415.99,1429.29,1445.16,1462.27,1471.4,1467.35
systemd,1008.88,1019.7,1039.1,1039.24,1050.02,1047.58,1060.46,1072.84,1092.43,1100.14,1106.23,1119.28,1136.38,1151.26,1147.82
ppy,655.38,678.59,680.33,684.85,688.58,684.62,686.58,679.95,684.03,679.4,683.14,674.04,678.72,692.27,699.45
o3de,112.04,120.6,125.63,135.84,155.54,174.09,189.04,202.68,217.64,233.77,252.22,272.55,291.88,304.54,317.03
helix-editor,103.52,120.31,134.04,116.45,126.04,139.54,149.77,163.24,167.75,178.45,192.4,199.57,209.26,218.87,235.98
cloudflare,150.38,144.67,153.92,173.71,170.21,180.27,182.33,189.24,188.43,201.52,208.7,231.89,242.32,247.33,265.73
bitnami,316.89,328.83,344.11,360.57,374.96,370.45,388.98,401.84,428.12,380.61,386.64,407.13,408.6,417.76,436.19
appsmithorg,174.55,182.22,190.35,188.75,205.32,218.32,235.71,241.62,251.51,266.3,283.09,295.78,299.88,311.42,322.71
go-gitea,721.04,715.18,727.79,747.66,757.65,762.74,776.66,772.37,782.68,799.28,804.23,815.98,818.87,829.49,830.44
Homebrew,902.39,924.8,938.43,969.07,990.08,1006.54,998.29,1015.94,1003.45,1018.16,997.48,1039.81,1056.37,1053.79,1112.08
tachiyomiorg,374.3,385.61,395.57,412.14,423.09,439.96,464.59,467.36,483.09,501.51,507.45,532.46,552.41,549.73,564.06
mlflow,505.02,520.22,543.47,557.43,578.54,568.36,593.63,609.44,624.67,656.19,669.63,684.18,709.66,729.32,738.98
zulip,872.5,889.13,896.9,888.26,903.74,928.05,949.96,977.33,980.82,1002.45,1017.69,1027.93,1034.62,1052.31,1075.44
trinodb,429.53,442.26,449.96,466.87,478.3,492.28,507.69,520.67,528.28,541.36,555.66,577.39,592.83,605.89,614.46
ray-project,381.5,394.91,399.38,415.31,414.92,419.3,429.68,440.86,450.55,463.77,480.52,498.89,512.09,517.64,520.98
grafana,252.64,258.27,266.32,319.24,322.61,318.96,317.7,320.62,311.47,321.72,323.75,329.18,342.99,346.61,352.2
open-telemetry,223.56,235.67,240.17,251.79,242.5,241.05,252.61,264.15,274.77,285.52,292.97,306.48,321.11,323.85,288.21
getsentry,586.59,597.41,578.09,580.76,560.72,568.55,558.22,547.2,550.15,543.57,557.0,547.81,529.02,485.68,471.17
CleverRaven,583.08,587.09,598.78,599.43,608.56,613.68,604.98,610.23,619.69,630.91,648.9,691.58,743.73,785.84,823.21
quarkusio,428.5,433.07,450.92,459.93,474.68,489.23,505.0,518.4,538.21,553.72,569.06,581.71,597.68,610.14,621.79
SerenityOS,377.49,388.89,399.83,402.39,420.2,437.32,463.91,486.42,518.96,532.07,549.9,576.34,595.28,613.58,615.36
open-mmlab,265.32,277.86,271.9,287.6,297.77,294.92,260.25,277.39,290.83,312.82,339.99,359.2,383.39,402.26,407.59
expo,616.5,662.66,654.37,652.53,658.65,716.71,739.4,736.98,745.76,729.01,788.35,776.37,786.16,878.56,861.51
conda-forge,1103.75,1128.22,1145.03,1144.09,1132.27,1138.88,1166.14,1206.94,1217.92,1261.01,1264.02,1286.91,1310.55,1318.66,1316.23
alibaba,391.43,403.93,418.39,465.01,482.98,505.73,519.35,562.38,559.13,610.72,646.15,650.53,688.41,703.34,703.32
argoproj,437.77,446.03,446.3,445.13,454.37,460.76,468.03,472.74,483.2,487.46,491.5,502.41,501.51,502.89,513.22
azerothcore,328.39,335.38,357.36,356.95,363.62,373.04,386.21,404.46,425.5,418.37,441.55,435.81,442.32,448.47,463.74
mdn,113.46,123.01,115.2,130.3,141.74,156.78,153.22,163.08,182.95,209.44,239.25,269.07,283.39,275.11,301.76
dotnet,661.05,677.71,696.63,716.6,737.2,755.73,778.53,800.09,819.95,842.79,856.26,875.29,897.23,909.14,928.51
ansible,1086.0,1103.74,1095.58,1119.38,1137.79,1165.05,1180.22,1208.61,1225.98,1259.61,1281.53,1299.82,1313.63,1339.98,1353.2
bitcoin,802.28,818.96,838.65,850.49,873.17,898.26,891.41,919.17,924.06,931.5,933.88,951.23,964.43,997.17,993.45
openhab,541.5,555.92,566.17,581.84,599.33,616.44,624.28,654.03,661.28,685.31,704.87,707.28,720.41,732.27,748.31
renovatebot,635.32,642.11,652.02,653.81,672.77,675.76,676.49,682.46,686.65,690.83,701.29,722.99,724.8,723.26,745.55
PowerShell,937.2,955.69,973.19,994.65,1014.57,1032.26,1052.69,1074.46,1093.59,1110.9,1121.04,1134.07,1151.6,1167.77,1191.5
Skyrat-SS13,196.2,206.85,170.6,152.44,182.85,191.97,192.05,180.37,202.28,210.0,221.11,224.95,234.29,237.6,261.15
vitejs,184.21,189.22,197.0,217.71,238.54,240.29,245.55,252.29,264.86,271.19,286.04,296.11,309.11,325.03,345.3
aws-amplify,494.04,508.03,504.44,526.16,548.79,560.77,577.28,586.14,596.29,597.21,610.9,622.1,630.54,650.71,671.72
element-plus,96.99,102.39,108.95,110.99,121.21,132.23,145.47,163.54,189.07,214.21,225.75,249.69,266.66,284.0,292.83
opencv,1474.25,1484.82,1495.81,1509.39,1522.66,1531.94,1540.06,1550.63,1561.62,1570.74,1572.62,1594.91,1603.89,1612.68,1625.56
void-linux,522.59,527.71,542.02,532.63,547.23,579.41,599.8,616.94,630.47,642.22,655.54,667.02,671.18,683.65,701.4
PrestaShop,644.02,663.22,679.58,695.54,712.47,720.1,730.97,743.09,762.46,780.49,801.67,826.74,844.33,854.13,874.73
github,182.44,201.03,223.71,249.09,264.47,287.89,309.63,335.58,360.52,383.74,404.17,414.37,440.61,455.77,475.03
sourcegraph,408.38,407.19,420.51,412.37,413.26,421.05,428.64,434.61,444.61,457.23,474.27,496.32,503.09,515.19,541.99
