Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,15,22,9,8,7,3,6,8,7,2,7,6,2,4,11
OpenAPITools,75,35,40,53,55,29,33,49,65,58,45,20,55,52,59
PaddlePaddle,130,118,126,173,103,143,107,504,172,139,180,143,153,226,193
AdguardTeam,2635,2680,2486,2589,2616,2373,2007,2913,2585,2436,2538,2494,2496,2417,2631
pingcap,271,230,290,217,203,185,253,218,231,134,238,219,173,277,234
cms-sw,32,33,34,48,53,30,32,49,19,27,56,20,25,26,31
microsoftgraph,71,71,105,89,100,86,191,71,93,104,112,56,105,99,92
MarlinFirmware,115,73,79,147,73,81,92,59,50,60,42,78,76,59,72
conan-io,53,50,96,98,72,43,41,71,125,71,63,62,79,52,50
pandas-dev,189,138,114,76,80,127,137,147,141,104,129,184,139,179,266
logseq,184,79,130,100,105,124,81,95,82,86,94,343,232,185,156
Ultimaker,152,100,76,71,162,158,137,109,88,146,128,107,110,99,113
influxdata,122,94,130,90,101,81,82,142,84,111,98,60,76,95,74
zephyrproject-rtos,233,191,237,166,226,166,148,249,259,147,241,138,193,265,192
Automattic,282,248,269,231,289,313,328,420,419,334,225,263,376,284,410
qmk,29,19,11,32,23,110,40,182,22,35,19,37,34,24,19
mrdoob,70,55,64,65,62,34,35,48,52,49,60,43,43,45,52
termux,188,131,151,215,175,89,119,120,153,129,138,138,199,98,139
rapid7,50,28,57,41,34,30,33,28,37,37,43,25,40,33,52
ccxt,128,89,101,98,146,121,218,112,79,139,109,111,120,80,135
JuliaLang,130,259,233,91,85,83,95,95,139,149,134,66,127,111,101
jitsi,117,32,47,228,43,25,24,24,27,33,22,12,29,33,11
WordPress,222,219,143,199,246,120,204,375,366,197,224,150,186,269,428
istio,190,173,195,132,172,166,143,350,146,113,160,127,139,216,153
qbittorrent,180,78,131,52,83,49,513,159,39,30,30,43,50,50,34
yt-dlp,212,191,190,202,213,197,182,190,130,178,146,121,111,160,203
DefinitelyTyped,13,13,9,4,9,6,6,8,7,20,3,2,3,4,2
mastodon,25,30,52,58,50,13,22,30,23,42,356,136,107,62,54
grpc,30,45,52,108,114,115,24,18,111,52,48,47,55,33,38
elastic,638,618,829,764,636,656,676,1259,897,533,691,442,790,879,593
sveltejs,166,139,124,212,136,52,162,271,221,117,165,105,181,150,100
Azure,160,121,158,191,100,87,95,151,136,106,140,121,93,139,89
MicrosoftDocs,853,828,1034,829,918,883,762,751,673,863,950,765,735,825,1130
ArduPilot,33,20,21,20,27,22,24,34,54,25,13,18,19,17,17
systemd,109,65,84,67,85,71,88,100,98,66,80,104,106,81,84
ppy,71,36,69,96,87,99,86,96,77,95,92,70,115,46,61
o3de,154,147,179,129,141,123,128,173,202,158,164,78,113,108,192
helix-editor,38,32,48,145,83,86,87,81,106,124,128,115,119,94,121
cloudflare,23,12,49,36,27,22,36,24,23,44,27,13,38,18,27
bitnami,150,157,171,147,171,151,139,163,132,276,120,118,129,132,154
appsmithorg,341,296,397,430,360,274,310,358,386,356,268,428,255,422,426
go-gitea,113,111,106,301,92,110,128,121,110,107,101,81,98,127,153
Homebrew,41,36,31,29,26,28,36,40,32,30,31,44,24,43,44
tachiyomiorg,206,199,153,277,167,215,465,291,218,228,207,215,307,170,275
mlflow,14,21,40,55,53,119,51,77,38,52,36,43,38,31,33
zulip,47,65,71,61,25,39,41,64,45,76,64,35,68,54,66
trinodb,85,84,101,96,87,65,81,99,76,84,78,78,63,71,96
