Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,1.5909996853036819,1.576308611507988,1.607458048477315,1.652227722772277,1.7488422352577957,2.6695834791739586,2.48586387434555,2.7058350100603623,2.557303370786517,3.297331240188383,1.6045212420423542,2.362370581935023,2.336633663366337,2.0207939508506616,1.6565386159817963
PaddlePaddle,1.7543270743732298,1.6780101311858684,1.8916096954630204,2.245049504950495,4.677523927138006,4.049352467623381,4.0785340314136125,4.4080482897384305,4.792134831460674,5.459026687598117,2.166948161621411,3.326312031417351,2.9833918875758547,2.765595463137996,2.305849283897738
AdguardTeam,1.0830798279660128,1.0701389790881932,1.1230577998756992,1.058168316831683,1.0875270145106515,1.0976548827441373,1.0910994764397905,1.1629778672032194,1.158426966292135,1.1130298273155417,1.0420943224632975,1.1670831845769367,1.1954647077610987,1.0850661625708886,1.0734841386695222
pingcap,1.4059582502884715,1.3600467593193921,1.5806090739589806,1.5482673267326732,1.5723988885458475,2.263213160658033,2.1528795811518324,2.369014084507042,2.348314606741573,1.9918367346938777,1.3238924256203717,1.8129239557300965,1.7301181731076332,1.6049149338374291,1.43608619997323
cms-sw,1.0,1.0187037277568516,1.0044748290863892,1.021039603960396,1.009725223834517,1.072453622681134,1.0,1.061569416498994,1.057303370786517,1.0536891679748823,1.0292321683772898,1.109246697607997,1.0459916959437878,1.0737240075614367,1.048186320439031
microsoftgraph,1.0547571593412357,1.0444213534225224,1.0357986326911126,1.0383663366336633,1.0472368014819389,1.2520126006300314,1.075392670157068,1.2173038229376258,1.0741573033707865,1.048037676609105,1.0268935949071067,1.1510174937522313,1.146598530820824,1.1001890359168243,1.0578235845268371
MarlinFirmware,1.8251337459351724,1.6569684374594105,1.6331883157240523,1.6435643564356437,1.5307193578264897,3.0696534826741337,2.112041884816754,2.9847082494969817,2.3719101123595507,2.1896389324960754,1.4595296868909964,2.7126026419136022,2.8684126477163847,2.126654064272212,1.695087672333021
conan-io,1.0490926256162802,1.085335757890635,1.0771908017402114,1.0990099009900989,1.0861376968200063,1.223661183059153,1.1350785340314136,1.2317907444668008,1.101123595505618,1.1893249607535321,1.0619721969598546,1.1349518029275258,1.1753433407856915,1.1304347826086958,1.1505822513719717
pandas-dev,1.8647854820098604,1.9796077412650994,2.0314481044126786,2.254950495049505,1.994751466502007,3.0602030101505076,3.343455497382199,4.016901408450704,3.797752808988764,3.5940345368916797,1.8769650513186957,3.2074259193145305,3.106994570424784,2.4102079395085068,2.135992504350154
logseq,2.105528165320466,3.134562930250682,2.1153511497824735,2.0383663366336635,2.9297622723062675,3.447672383619181,3.8680628272251307,3.8466800804828973,3.68314606741573,4.153532182103611,2.0500194881122518,3.580149946447697,3.4059405940594063,2.504725897920605,1.8721723999464597
Ultimaker,1.132172453582293,1.1063774516170932,1.0738346799254195,1.2623762376237624,1.1972831120716272,1.3622681134056702,1.2921465968586388,1.3368209255533199,1.2898876404494382,1.2995290423861852,1.092373652072236,1.4434130667618708,1.36218460555733,1.3043478260869565,1.2457502342390576
influxdata,1.2785062414769746,1.2618521885959215,1.2494717215661901,1.271039603960396,1.2736955850571166,1.6583829191459571,1.4806282722513089,2.003219315895372,1.6202247191011236,1.5792778649921506,1.2888138235676236,1.5044626918957515,1.6122644522516767,1.4933837429111532,1.2529781823049124
zephyrproject-rtos,1.3011643763767964,1.3343291336537213,1.3904288377874456,1.3514851485148514,1.5737882062364927,1.8820441022051102,1.992670157068063,2.3110663983903423,2.0179775280898875,1.8448979591836734,1.377679615434585,1.938236344162799,1.8450974129671032,1.606805293005671,1.4324722259403027
Automattic,1.0226581348998216,1.0151967788024419,1.0,1.0086633663366336,1.0236184007409694,1.0,1.0596858638743456,1.0688128772635814,1.0404494382022471,1.0141287284144427,1.0,1.0,1.0,1.0,1.0228885022085397
qmk,2.7286268750655616,2.4927912715937133,2.580733374766936,2.6831683168316833,3.032571781414017,4.890444522226112,5.2565445026178015,6.2478873239436625,4.947191011235955,4.780847723704866,2.578537092373652,5.260621206711888,5.076014053018206,3.281663516068053,2.6094231026636328
mrdoob,3.313017937690129,3.2701649564878554,3.488004972032318,3.495049504950495,3.554955233096635,6.304865243262163,6.274345549738221,7.276458752515091,6.885393258426967,5.0973312401883835,2.8240873067428867,5.401999285969296,5.067390610028745,4.168241965973535,3.0852630169990634
termux,1.3748033148012169,1.3249772697752955,1.4665009322560598,1.5878712871287128,1.5279407224451993,1.8694434721736086,1.8167539267015709,1.9090543259557347,2.0853932584269663,1.731868131868132,1.4349746654540732,1.8932524098536239,1.948578728840626,1.5028355387523629,1.344532191139071
rapid7,1.5022553236127139,1.5611118327055462,1.6376631448104413,1.6992574257425743,1.7099413399197285,2.294714735736787,2.225130890052356,2.5138832997987928,2.5303370786516854,2.390266875981162,1.5133168767052099,2.4330596215637272,2.3941232832960715,1.8601134215500945,1.5938963994110562
ccxt,1.666526801636421,1.5529289518119236,1.6287134866376631,1.6992574257425743,1.9072244519913555,2.5813790689534475,2.5706806282722514,2.665995975855131,2.4696629213483146,2.6389324960753533,1.5823047940756139,2.320599785790789,2.5493452571063555,2.0321361058601135,1.6601525900147236
JuliaLang,1.579670617853771,1.565787764644759,1.5548788067122437,1.516089108910891,1.79746835443038,2.1214560728036402,2.4136125654450264,2.390744466800805,2.250561797752809,1.8957613814756673,1.4677146940366377,2.182434844698322,2.1239220696263175,1.67296786389414,1.4324722259403027
jitsi,1.3379838455890065,1.3413430315625405,1.4027346177750155,1.3452970297029703,1.3389935165174438,1.633181659082954,1.6094240837696336,1.8800804828973843,1.6943820224719102,1.669701726844584,1.2233337664024946,1.6394144948232774,1.5921430852762697,1.5444234404536863,1.3144157408646768
WordPress,1.1567187663904333,1.2595142226263152,1.2170292106898695,1.2054455445544554,1.2639703612225996,1.8788939446972348,1.4900523560209424,1.6193158953722335,1.5224719101123596,1.460596546310832,1.1742237235286475,1.5012495537308106,1.5145320983711275,1.3497164461247637,1.2108151519207604
istio,1.523969369558376,1.4687621769060917,1.5459291485394655,1.5173267326732673,1.607131830811979,2.534126706335317,2.4481675392670157,2.40523138832998,2.6516853932584272,2.1387755102040815,1.464206833831363,1.9639414494823275,1.9514532098371127,1.6691871455576561,1.3794672734573685
qbittorrent,1.5664533724955416,1.5576048837511365,1.6857675574891235,1.6163366336633662,1.5501698054955235,2.175008750437522,2.749738219895288,2.810865191146881,2.206741573033708,2.333751962323391,1.4992854358841106,2.6354873259550162,2.4228680932609388,2.0945179584120983,1.5806451612903225
yt-dlp,4.740480436378895,3.8511494999350564,3.785581106277191,4.221534653465347,4.152361840074097,6.755337766888345,6.849214659685864,9.152515090543261,8.287640449438202,6.309576138147566,2.9117838118747565,6.314530524812566,6.45863941232833,7.291115311909263,4.685048855574889
DefinitelyTyped,2.111192699045421,2.1117028185478635,2.2037290242386574,2.4034653465346536,2.5893794380981783,4.027301365068253,4.015706806282723,4.875251509054326,4.421348314606742,3.8116169544740974,2.0207873197349615,3.564084255622992,3.842861705525391,2.827977315689981,2.121536608218445
mastodon,1.3209902444141404,1.6756721652162618,1.4374145431945307,3.201732673267327,2.265668416177833,1.7875393769688483,1.7539267015706805,2.072032193158954,1.6707865168539326,3.4668759811616954,10.0,8.875401642270617,4.710954966464389,3.013232514177694,1.8372373176281622
grpc,1.4701562991712995,1.5424081049486946,1.746177750155376,1.7264851485148514,1.7696820006174745,2.745187259362968,2.45130890052356,3.0245472837022134,2.81685393258427,2.5795918367346937,1.6536312849162011,2.2691895751517315,2.388374321303098,1.9395085066162572,1.595101057422032
elastic,1.311549354872548,1.2291206650214312,1.3199502796768179,1.2772277227722773,1.362611917258413,1.7402870143507174,1.587434554973822,1.688128772635815,1.7651685393258427,1.5877551020408163,1.2116408990515786,1.4209210996072832,1.4167997444905782,1.4669187145557656,1.2433409182171062
sveltejs,1.6674708905905802,1.6745031822314587,1.5325046612802984,1.761138613861386,1.7016054337758568,2.2852642632131603,2.994764397905759,4.118309859154929,3.056179775280899,2.3789638932496073,1.6033519553072626,4.409139593002499,4.03832641328649,2.0926275992438566,1.587873109356177
Azure,1.0736389384244205,1.1297571113131575,1.202486016159105,1.0952970297029703,1.0861376968200063,1.3402170108505425,1.1445026178010471,1.1883299798792757,1.208988764044944,1.3560439560439561,1.0537871898142133,1.1220992502677616,1.1149792398594698,1.0699432892249527,1.0457770044170793
MicrosoftDocs,1.666526801636421,1.877906221587219,2.0269732753262897,2.147277227722772,2.0267057733868477,3.255512775638782,3.1643979057591625,4.904225352112676,3.804494382022472,3.05149136577708,1.8337014421203066,3.6122813280971084,3.1788565953369528,2.5879017013232515,2.010708071208674
ArduPilot,1.4220077625091787,1.4827899727237304,1.5034182722187694,1.8316831683168315,1.5932386539055265,2.2852642632131603,2.2031413612565447,2.7529175050301813,2.4898876404494383,2.223547880690738,1.5004547226192022,2.249910746162085,2.4631108272117537,1.9395085066162572,1.6721991701244814
systemd,1.2369663274939682,1.1975581244317444,1.2528278433809819,1.2425742574257426,1.2931460327261501,1.5260763038151908,1.4617801047120418,1.778672032193159,1.7651685393258427,1.4945054945054945,1.247888787839418,1.5012495537308106,1.5346534653465347,1.2967863894139886,1.255387498326864
ppy,1.3191020665058217,1.2653591375503312,1.7226848974518334,1.5445544554455446,1.3820623649274468,1.8032901645082253,1.9958115183246075,2.329175050301811,2.0921348314606742,1.9127158555729984,1.302845264388723,2.0506961799357373,1.7617374640689876,1.5765595463137996,1.3493508231829743
o3de,1.216196370502465,1.1928821924925315,1.1957737725295214,1.2227722772277227,1.3917875887619635,1.5229261463073154,2.086910994764398,1.8148893360160967,1.5764044943820226,1.7346938775510203,1.1905937378199298,1.6426276329882183,1.4196742254870647,1.2551984877126654,1.154196225404899
helix-editor,1.6098814643868666,1.2209377841278088,1.627594779366066,4.283415841584159,2.2948440876813834,4.017850892544628,3.4219895287958115,3.6619718309859155,7.997752808988764,8.177394034536892,2.5165648954137976,4.701535166012138,4.940913446183329,2.914933837429112,2.301030651853835
cloudflare,1.1973145914192804,1.2478243927782828,1.1879428216283405,1.2784653465346534,1.5154368632293918,1.7938396919845991,1.8010471204188483,1.8185110663983903,1.5258426966292136,1.5029827315541602,1.2081330388463036,1.379150303463049,1.4369211114659852,1.2967863894139886,1.2565921563378397
bitnami,1.6561418231406693,1.7785426678789453,1.8826600372902424,1.8069306930693068,1.9461253473294227,3.057052852642632,2.9539267015706807,3.274446680080483,2.9348314606741575,2.438304552590267,1.6466155645056517,2.8218493395215996,2.787927179814756,2.0472589792060494,1.6770178021683844
appsmithorg,2.4746669463967272,1.8895960514352512,1.784213797389683,4.33539603960396,5.148502624266749,4.137556877843892,3.3968586387434554,4.6579476861167,3.7,4.509576138147567,1.9576458360400157,4.007497322384863,3.702012136697541,2.8109640831758034,2.0757596038013655
go-gitea,1.7137312493443826,1.7738667359397324,1.9005593536357988,1.8452970297029703,2.022537820314912,3.145257262863143,3.2146596858638743,4.773843058350101,3.308988764044944,3.108006279434851,1.7471742237235288,3.0692609782220637,2.966145001596934,2.338374291115312,2.103466738053808
Homebrew,1.4210636735550195,1.5692947135991688,1.6018645121193287,1.5767326732673266,1.6126891015745601,2.064753237661883,1.998952879581152,2.3219315895372232,2.1292134831460676,1.9494505494505494,1.4478368195400806,2.008925383791503,2.175662727563079,1.8827977315689983,1.5023423905768973
tachiyomiorg,1.0868561837826496,1.0946876217690609,1.1073958980733374,1.1497524752475248,1.111145415251621,1.3811690584529226,1.3392670157068063,1.4527162977867203,1.4382022471910112,1.2232339089481947,1.066649343900221,1.3566583363084612,1.2529543276908335,1.2041587901701325,1.112033195020747
mlflow,1.3049407321934332,1.264190154565528,1.3512740832815413,1.4034653465346534,1.4723680148193887,1.9481974098704935,1.9675392670157068,2.003219315895372,1.9202247191011237,1.8731554160125587,1.3507860205274782,1.9767940021420922,1.9342063238581924,1.500945179584121,1.4264489358854235
zulip,1.4191754956467009,1.3144564229120665,1.619763828464885,1.5383663366336633,1.2778635381290522,1.7087854392719635,1.53717277486911,2.0937625754527165,2.0280898876404496,2.0342229199372057,1.4770689879173704,2.005712245626562,2.2360268284893006,1.888468809073724,1.7348413866952215
trinodb,1.2813385083394524,1.2770489673983634,1.2942200124300807,1.3725247524752475,1.3570546464958322,1.7308365418270912,1.8198952879581152,2.187927565392354,1.7955056179775282,1.7629513343799057,1.4899311420033778,1.8739735808639773,1.7646119450654743,1.5444234404536863,1.366216035336635
ray-project,1.488093989300325,1.6113781010520847,1.615288999378496,1.88490099009901,1.8919419573942577,2.786139306965348,2.419895287958115,3.10784708249497,2.7258426966292135,2.271585557299843,1.5858126542808888,2.73509460906819,3.132864899393165,2.223062381852552,1.8312140275732833
grafana,1.315325710689185,1.2770489673983634,1.3915475450590429,1.7004950495049505,1.6321395492435937,2.1939096954847743,1.9392670157068062,2.2603621730382293,2.520224719101124,2.215070643642072,1.4887618552682864,2.1278114958943233,2.126796550622804,1.8223062381852553,1.4553607281488423
open-telemetry,1.1538864995279554,1.1145603325107156,1.138719701678061,1.1571782178217822,1.1820006174745292,1.4756737836891844,1.4900523560209424,1.5758551307847082,1.4685393258426966,1.3729984301412874,1.1847473041444718,1.4691181720813995,1.4167997444905782,1.33648393194707,1.2481595502610092
getsentry,1.3124934438267073,1.3156254058968697,1.3770043505282783,1.4554455445544554,1.3640012349490584,1.8064403220161007,2.0209424083769636,2.7456740442655936,2.0348314606741575,2.0596546310832027,1.377679615434585,1.8900392716886825,1.7761098690514212,1.5954631379962194,1.5782358452683711
CleverRaven,1.5730619951746565,1.24314846083907,1.2550652579241766,1.3143564356435644,1.3334362457548627,1.9702485124256213,2.033507853403141,1.9199195171026155,1.755056179775281,1.5114599686028258,1.2256723398726777,1.832202784719743,1.540402427339508,1.3667296786389413,1.4216303038415206
quarkusio,1.3087170880100703,1.222106767112612,1.2349285270354258,1.391089108910891,1.39873417721519,2.0899544977248863,1.6848167539267016,1.9126760563380283,1.6033707865168538,1.6131868131868132,1.2665973756008835,1.5494466262049267,1.60938997125519,1.3969754253308129,1.2433409182171062
SerenityOS,1.5230252806042168,2.341992466554098,1.8748290863890615,2.0507425742574257,1.7293917875887619,2.864893244662233,2.4073298429319374,2.604426559356137,4.229213483146068,4.461538461538462,1.6419384175652851,2.568011424491253,2.109549664643884,1.8431001890359169,1.5071610226208003
open-mmlab,1.7420539179691596,1.6476165735809847,2.0661280298321936,2.1868811881188117,2.0600493979623344,2.9625481274063703,3.4910994764397905,3.767002012072435,3.7775280898876407,2.8762951334379907,1.8044692737430168,2.5744377008211354,2.4631108272117537,2.22117202268431,1.8950609021549993
expo,1.388020560159446,1.4535653981036498,1.324425108763207,1.4195544554455446,1.4918184624884225,1.9891494574728736,2.068062827225131,2.8144869215291752,2.695505617977528,2.217896389324961,1.5939976614265299,2.317386647625848,2.4286170552539126,2.109640831758034,1.8047115513318164
