Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.0085675119945168,2.5115113547376664,1.6591250268067768,2.9647103586036336,2.2714658223132798,4.596920068442924,2.3314285714285714,2.0349135169762973,8.576659959758551,10.0,4.390121913097843,6.12303050620181,5.181860465116279,4.816304923239809,6.3067729083665345
PaddlePaddle,2.6130911583276215,1.3406421299921691,1.4424726570877118,1.453723960810425,2.5170422797541443,2.26167196284527,3.16,1.1095451633568225,4.712273641851107,2.1350906095551894,8.328852766489529,4.345960442507543,1.5525581395348838,6.093170989941767,5.565737051792829
AdguardTeam,1.6692940370116518,2.124823805794832,1.5409071413253272,1.2388471416341673,1.7484634010057738,1.7424835003666586,1.5577142857142858,1.0749519538757206,1.3006036217303822,1.1482701812191103,1.8440137542982182,1.7120348642306404,1.3976744186046512,1.328745367919534,2.266932270916335
pingcap,1.000514050719671,1.0136256851996868,1.0183358352991636,1.02568248834776,1.08297634568821,1.071498411146419,1.0137142857142858,1.0302690582959642,1.5432595573440644,1.869851729818781,2.994685839324789,3.1481729802212537,3.2688372093023257,3.234515616728428,4.250996015936256
cms-sw,1.0,1.0004698512137824,1.0,1.005136497669552,1.0008381449059416,1.004399902224395,1.0,1.0014413837283793,1.0,1.0049423393739703,1.0,1.0030170968823333,1.004186046511628,1.0,1.0
microsoftgraph,1.0020562028786841,1.2269381362568519,1.006755307741797,1.0102729953391039,1.0117340286831813,1.383891469078465,1.0045714285714287,1.0028827674567584,1.0036217303822939,1.2800658978583197,1.2025633010315724,3.3744552463962454,5.244651162790698,4.397035468501853,5.565737051792829
MarlinFirmware,5.263022618231665,3.4667188723570868,4.2797019086425045,4.704270902691906,3.982957720245856,2.3826692740161333,2.500571428571429,1.8403267136450994,3.314285714285714,4.2042833607907735,2.718974679587371,3.6490110626885683,3.7753488372093025,4.187400741132874,2.637450199203187
conan-io,1.004626456477039,1.0065779169929523,1.0757559511044392,1.0128412441738799,1.0385546656733098,1.2331948178929357,1.1817142857142857,1.0317104420243435,1.061569416498994,1.0823723228995057,1.0562675836198812,1.1146496815286624,1.129767441860465,1.3144520910534674,1.8964143426294822
pandas-dev,1.2446881425633995,1.5168363351605323,1.1577846879691185,1.7550651574241416,1.3092754702924194,1.8832803715472988,1.766857142857143,1.6860986547085202,1.901810865191147,1.3591433278418452,1.6273835573616755,1.736171639289306,1.9083720930232557,2.1244044467972474,2.649402390438247
logseq,1.3212816997943797,1.5657008613938919,1.1013296161269568,1.285075620660135,2.7425032594524117,2.867758494255683,2.3085714285714287,1.7437540038436898,2.959356136820926,1.4695222405271828,2.0747108471397313,2.7619845792826014,1.5776744186046512,2.314981471678136,3.569721115537849
Ultimaker,2.310829335161069,2.5589663273296788,3.3465043963113876,6.165604489679445,4.957720245855839,4.6761183084820335,3.7942857142857145,3.167841127482383,6.121126760563381,3.5238879736408566,5.0118787120975306,3.555481059336239,5.470697674418605,8.017998941238751,10.0
influxdata,1.4420836189170665,2.0909945184025056,1.579508899849882,2.9013602206791593,1.2455764574408643,2.2033732583720362,2.232,2.546604740550929,3.086116700201207,1.3822075782537067,2.40668959049703,3.4740194435132414,2.527906976744186,1.8671254632080465,2.721115537848606
zephyrproject-rtos,1.3850239890335847,1.6657791699295221,1.363339052112374,1.6643203652620566,1.4810951760104303,1.6753849914446346,1.489142857142857,1.5981742472773863,3.1114688128772636,1.71334431630972,2.403876211316036,2.7167281260476033,2.3646511627906976,2.1482265749073584,3.462151394422311
Automattic,1.002570253598355,1.1094753328112765,1.1061548359425262,1.5136497669551985,1.1131495623021046,1.1374969445123442,1.3611428571428572,1.0763933376041,1.1774647887323944,1.0197693574958815,1.1040950296967802,1.2805900100569896,1.1381395348837209,1.2811011116993118,1.358565737051793
qmk,1.4929746401644963,1.7583398590446357,1.8405532918721854,1.5941215637781796,1.9940398584466381,2.119775116108531,1.3417142857142856,1.4396220371556694,3.267203219315895,1.8270181219110377,2.665520475148484,2.523633925578277,2.908837209302326,2.057702488088936,3.665338645418327
