Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.661843699655978,4.454786671124758,1.5570691123898466,2.6948417392165367,2.724086063353652,2.154572300274963,1.6871465667246688,1.4183042517410196,1.838227860311956,2.7690332784305003,3.292829534060693,2.443984419058302,2.9541012908896054,2.2706479653324445,2.7880442604673945
PaddlePaddle,1.2847307015548324,3.0318344534799184,1.2259572516193855,1.3956245136584615,2.7414575652548923,2.4056258239481716,1.0796375317895863,1.1659493552784819,1.0279508883185933,1.2683636263905373,1.0050866294852554,1.0038274386053578,1.02861391609403,1.008458410862263,1.2812711458442978
AdguardTeam,1.0,1.0136472811266293,1.0,1.0226179085618712,1.0263513985633068,1.0035797958491846,1.3991031990362737,1.0,1.014922549693287,1.0,1.0,1.0105393236959128,1.1083034499126674,1.0265190746251018,1.5184719355039666
pingcap,2.175449062875767,3.041303807680392,2.05754406743051,2.298655410270457,2.508027585833822,1.8353602772232476,1.8333197697764692,1.3984000211665655,1.8165797338207503,3.262468555303812,3.7353549197936013,6.894921093747593,5.265731905851465,3.673138776133613,3.1754554613472763
cms-sw,2.015346366873575,2.1677581833073107,1.9930472600894578,3.9270479620204255,3.1129264079737156,2.7927251497231533,3.1562896533261946,1.985467249613687,3.48936542050045,6.895991382134384,4.425065463644445,3.384549721262623,2.22959738039524,2.102162039829338,2.6213521740344605
microsoftgraph,1.9394177155246455,2.304875168328737,1.4946910365280957,1.411103493479391,1.6498253533317355,3.6246344495084557,3.472131709275867,1.2857214804898573,1.5455384251113258,1.7539687739501546,2.4011900411810894,1.7340361603579673,5.101023885722339,4.507170194999426,10.000000000000002
MarlinFirmware,7.645578082853203,5.487424808051559,3.3659066253437175,5.813439654903346,3.4836379100101955,5.672155636747147,2.0507605407575964,1.4264652160451852,1.025453461225988,3.484139379044386,2.8842491500157417,1.4178564494805839,1.4073700488394603,2.9833217574140694,2.7835782581516897
conan-io,1.1832859006560101,1.1669238249197083,1.0666766980795508,1.6603266923609263,1.0788986703712247,1.0669855738445893,1.0512316958907777,1.1838901083904545,1.216486902444998,1.6242848283816667,1.526244251779941,1.5203791074856934,1.7618065779373209,1.5543419730940704,1.3736748604240017
pandas-dev,1.5453450204974164,1.1978625701305832,1.0873965813915674,1.1638853939864238,1.062940420278999,1.2483483370371764,1.0383659483335563,1.0392737268612537,1.0924048024263942,1.5350268394099746,1.503826667695035,1.5761543178869581,1.2776172870180487,2.0143872139419408,1.3791751966093613
logseq,1.0556424767750112,1.0882333994889555,1.3216190700394865,1.3071192329176402,1.0577134171767573,1.0304960638818788,1.3232868424575024,1.0210488961589645,1.0828209964276834,1.0749278924168573,1.1442349635919722,1.164025158783232,1.273701230072054,1.0776006519676646,1.057594029863571
