Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,4.514506917827753,4.50343818580834,4.506600452602464,4.539951844226541,4.5706863759684495,4.5753433282729,4.568748285249985,4.551974265169672,4.536254411023357,4.5704186275920184,4.500147609076242,4.532447224394058,4.573425730641759,4.578544213367201,4.738278924151531
PaddlePaddle,1.8539291453056852,1.8745741456787544,1.8591903444807645,1.9111491084202812,1.8539213492574047,1.8754503669397433,1.8358060907920564,1.8140532357764605,1.7414300117627288,1.7760948642594383,1.6932820706463905,1.73182173573104,1.8468815908406147,1.8906770916018414,2.0567695095170717
AdguardTeam,4.101753629337989,4.436785453025395,4.563741513703796,4.607348989775622,4.391960115235085,4.4314707672503655,4.156765084523985,4.362116815945503,4.413501932448328,4.3447049877720465,4.36353025986063,4.351511031036475,4.333714974389876,4.33380298460073,4.492986241380856
pingcap,3.648495050744649,3.6605287908872404,3.6533819461905956,3.696074257598492,3.688131065924538,3.70064852839323,3.7305995821286118,3.709158571969219,3.736976978659049,3.792350849791405,3.7554563866671247,3.7820239997280494,3.8109068996685753,3.8689077631370057,4.0051090637864695
cms-sw,5.983465383036888,6.010304107012227,5.989564998742771,6.043856649335241,5.970981456101585,6.052036183266988,6.024586877150033,5.93585215087675,5.9599437069400105,5.930249285846401,6.031361779547561,6.056056022028081,5.993913829466707,6.021392284489601,6.034809498505054
microsoftgraph,4.9017800624656545,4.824161354373498,4.892192607493085,4.851435949331751,4.773578440969987,4.783753909010137,4.854230420192897,4.7523022581052095,4.719752982691984,4.718263836083766,4.7321066904672,4.683584321990686,4.758541729436577,4.84549134783299,4.973718412476872
MarlinFirmware,6.55705034119603,6.523523879193228,6.583982901684687,6.907080294517919,6.941200738399573,6.982705909513848,7.156575142983771,7.118392834615869,7.127163501932448,7.165848044554964,7.230579108166558,7.224462045755857,7.1559505875263625,7.231584378472774,7.281555511450576
conan-io,2.926286354245647,2.957508621590553,2.869122454111139,2.885486966535227,2.8594453612284276,2.834705713626092,2.7597450562438004,2.738299482780371,2.8663039825239456,2.8633551860909594,2.7702790841371736,2.7827446714484823,2.813678818921362,2.898634703921257,3.042665164251919
pandas-dev,8.156226740586677,8.17172118298673,8.183492582348503,8.148054576543252,8.191592313931697,8.280770118721971,8.327438110714812,8.415478743534754,8.339690808267518,8.263527816025812,8.231142082317806,8.237264166978278,8.1463091292558,8.128155262740117,8.14892472774068
logseq,1.9045138043531187,1.8184554289894452,1.7877797334674377,1.724283770108525,1.7118843173999383,1.6820881634823244,1.6538420952662347,1.678503847609436,1.664804234582423,1.7337388766723527,1.6930349112629157,1.7227045585885714,1.8147634829768002,1.9175265915224637,2.145448259525075
Ultimaker,5.423090032624044,5.439523461176717,5.442544631631883,5.057772969954985,4.7642016054596805,4.8100098643477285,4.689107907899458,4.587611959127034,4.442488657368509,4.395260897264637,4.326579932031169,4.274841078288066,4.18818921361856,4.122995713605334,4.069068396150916
influxdata,5.733860140930307,5.692590657330965,5.6415011315061605,5.726405415779739,5.772368752272536,5.723679331742911,5.701622944938058,5.704869433581431,5.599374054780709,5.482952793933291,5.523078507431946,5.493605738178605,5.564808677312443,5.670860454040324,5.556785515356002
