Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,8.243953488372092,8.019309186855361,8.213723451656023,7.372529143436392,8.905844651304749,8.211481069693955,7.364070223282768,10.0,9.565870125255397,10.0,10.0,8.840301576422206,8.167735849056603,8.023579545454545,8.306416726748377
PaddlePaddle,2.05,3.681938114655793,2.193672954106639,4.990876837303599,2.5235769876392493,2.459886476680906,2.4455428668825636,2.231201063672625,3.2450031091765124,3.714868630573248,3.6455151346848096,3.266346812885538,2.9307547169811317,2.8792613636363633,4.28983417447729
AdguardTeam,5.376860465116279,4.739026145358599,4.2192187732065936,1.9026862645717182,2.8339691744239284,3.3720521973199142,2.7733083347537075,2.0045058354262073,1.6635871013591546,1.9879578025477707,2.1846709247431266,1.7525702535983552,1.750566037735849,1.9997159090909091,3.069935111751983
pingcap,5.166162790697674,4.890861117774047,4.8550423288281594,5.716168271667511,4.582328704410195,5.955819533032946,3.773478779614795,4.7820209779878855,5.459625122146221,5.447153662420382,5.423771174673702,4.909664153529814,4.931132075471698,5.328693181818181,6.262436914203317
cms-sw,1.0,1.0,1.0,1.0,1.2202044864947352,1.0,1.2878813703766832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoftgraph,7.477906976744186,6.905732789637803,6.553987821179266,7.67410035478966,8.507553792156266,7.842296213938792,6.710073291290268,7.041660511153789,10.0,8.789012738853502,9.991252429880587,8.14324880054832,8.543018867924527,7.834375,8.598413842826245
MarlinFirmware,2.1884883720930235,2.627728472055649,2.590227238972226,1.146477445514445,2.741034640622616,2.7411200187254963,2.8408044997443325,3.4118776776481017,2.8084747268366352,3.4855692675159236,2.7732574284920855,2.983824537354352,3.0750943396226416,3.610511363636364,3.5371304974765687
conan-io,3.243720930232558,4.590069561045814,4.03029852963018,4.536746071971617,5.884785594384252,6.557259055532799,4.561956707005283,4.2043137834244355,5.697077374078352,5.855593152866242,8.039294640377673,5.922549691569568,4.819056603773584,5.264772727272727,6.353280461427542
pandas-dev,2.7738372093023256,3.4358359318781484,3.091489677706817,2.8895083628991385,3.543567831527545,3.220902334835274,2.824953127663201,2.78298123799675,3.4192946610997605,3.845640923566879,3.4943071369064147,2.724742974640164,4.097358490566037,3.8406249999999997,3.3424657534246576
logseq,4.683372093023256,5.00635644039338,5.57106787464726,5.96908261530664,4.612543873035252,4.352156357891041,3.88955173001534,5.513960703205791,5.256551479079684,4.484275477707007,6.4047486809219665,3.836326250856751,4.766415094339623,5.3875,5.821196827685653
Ultimaker,1.2323255813953489,1.3209402734468698,2.6133967028070693,4.264571718195641,2.3679230886616818,1.9290186669787586,2.0543719106868927,2.091594031614714,3.1570578306831307,2.27906050955414,2.0959455706748122,2.492803289924606,2.6624528301886787,3.444318181818182,5.444844989185293
influxdata,3.2084883720930235,2.593907411849364,3.8614287836031482,3.823112012164217,3.4533801312376013,3.460530165603605,1.7046190557354697,3.457083764219235,3.445678244647775,2.1321656050955413,2.655790058317134,3.1145990404386565,2.251509433962264,1.7133522727272728,2.6222062004325886
zephyrproject-rtos,3.6243023255813953,5.000959462700888,4.395217585028962,4.362392295995946,4.059972531664887,3.869740768915677,3.952957218339867,3.65253360910031,3.5176334725059966,5.681827229299363,6.214801444043321,5.072515421521589,4.501509433962264,5.1522727272727264,5.2696467195385726
Automattic,4.910813953488372,4.974334372751259,5.430714391801574,5.083122149011658,4.492141004120251,5.9221136403534445,4.438213737855804,4.190353080218644,4.0341121080216755,4.820163216560509,6.249791724520966,5.6807402330363255,5.987358490566038,5.947443181818182,5.886085075702956
qmk,5.762674418604651,3.0720796354041737,2.4173473934353185,4.574252407501267,2.7488173355714944,2.9128094095617065,2.101926026930288,2.7843108287782536,5.588345029759261,3.7014331210191083,3.4205776173285196,3.80301576422207,3.5471698113207544,3.53125,4.6207642393655375
mrdoob,1.760813953488372,2.079395538498441,2.3870488638051386,2.1910795742524076,1.6844193499160691,3.9408391362865007,2.1351627748423385,1.7990840596838527,1.3397885759971575,2.5585191082802545,1.4973618439322411,2.585332419465387,2.462075471698113,2.534090909090909,1.55155010814708
