Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,1.347155255544841,1.391859914813062,1.3758329631274988,1.302037554934079,1.2190542420027817,1.3845126835781043,1.3695652173913042,1.4441469013006887,1.369140625,1.3422053231939164,1.423659435120753,1.2313985196727697,1.3129537638517386,1.4258449304174952,1.3174846625766872
PaddlePaddle,1.4165863066538091,1.5026029342167533,1.747667703243003,1.5105872952457051,1.610222531293463,1.7289719626168225,1.6956521739130435,1.8607498087222647,1.896484375,1.790494296577947,1.9357347523536634,1.6345929100116867,1.484906381352694,1.9053677932405568,2.0111196319018405
AdguardTeam,10.0,10.0,10.0,10.0,9.999999999999998,10.000000000000002,10.0,9.999999999999998,10.0,10.0,10.0,10.0,10.0,10.0,10.0
pingcap,2.113789778206365,1.954093705631803,2.399378054198134,1.8521773871354374,1.782336578581363,1.957276368491322,2.0072463768115942,2.046671767406274,1.924609375,1.667300380228137,2.0425706099058534,1.9361121932216596,1.8460068781047,2.073558648111332,2.111196319018405
cms-sw,1.1099324975891995,1.1235210601041175,1.1279431363838295,1.1186576108669597,1.1408205841446453,1.0921228304405874,1.1268115942028984,1.2134659525631217,1.066796875,1.1129277566539924,1.121571837904216,1.0666147253603429,1.1031715705005731,1.0858846918489065,1.1311349693251533
microsoftgraph,1.3384763741562198,1.4940842404164694,1.3918258551754776,1.4027167399121054,1.4130737134909597,1.39652870493992,1.3079710144927537,1.413159908186687,1.40078125,1.4038022813688213,1.3978714695047072,1.3015192832099727,1.3542223920519678,1.236182902584493,1.289877300613497
MarlinFirmware,1.4194792671166827,1.3620444865120682,1.2598844957796536,1.3200159808230123,1.2034075104311543,1.3204272363150868,1.2427536231884058,1.2616679418515684,1.186328125,1.2019011406844107,1.1178878428162096,1.280483054148812,1.3026366068016813,1.203976143141153,1.272622699386503
conan-io,1.2719382835101254,1.2470421202082347,1.5037760995113283,1.3991210547343187,1.3098052851182196,1.3444592790387184,1.355072463768116,1.4303749043611322,1.28125,1.3901140684410647,1.3978714695047072,1.354109855862875,1.395491020252197,1.236182902584493,1.3726993865030674
pandas-dev,1.514946962391514,1.6431613819214386,1.5757441137272323,1.5069916100679186,1.2910292072322669,1.3925233644859814,1.4565217391304348,1.468247895944912,1.7171875,1.5167300380228137,1.563651248465002,1.592520451889365,1.6087122659533817,1.6047713717693837,1.669478527607362
logseq,1.781099324975892,1.8731661145291056,1.8636161705908485,1.8449860167798642,1.5977051460361613,1.9292389853137517,1.7644927536231885,1.6748278500382554,1.657421875,1.6844106463878328,1.644699140401146,1.6451110245422673,1.6087122659533817,1.5296222664015904,1.5521472392638036
Ultimaker,1.5004821600771456,1.4813061997160435,1.3798311861394936,1.8198162205353574,1.963838664812239,1.7009345794392523,1.818840579710145,1.7195868400918133,1.657421875,1.7802281368821293,1.6668031109291854,1.6345929100116867,1.7737867787542987,1.7658051689860836,2.0973926380368098
