Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.1283783783783785,3.663265306122449,3.394495412844037,2.7279999999999998,3.2941176470588234,2.71,3.1355932203389836,3.122641509433962,2.1875,1.7058823529411766,2.782178217821782,3.28,1.8297872340425532,2.827067669172932,2.7333333333333334
PaddlePaddle,1.9121621621621623,1.9183673469387756,1.2477064220183487,1.1440000000000001,1.3529411764705883,1.63,1.3813559322033897,1.169811320754717,1.125,1.4411764705882353,1.0891089108910892,1.24,1.2553191489361701,1.0676691729323307,1.0
AdguardTeam,1.0608108108108107,1.183673469387755,1.3302752293577982,1.288,1.7058823529411766,1.27,1.0,1.3396226415094339,1.0,1.3529411764705883,1.0,1.12,1.1914893617021276,1.0676691729323307,1.1333333333333333
pingcap,1.364864864864865,1.3673469387755102,1.743119266055046,1.432,1.3529411764705883,1.3599999999999999,2.0677966101694913,1.5943396226415094,1.3125,1.5294117647058822,1.3564356435643563,1.48,1.1914893617021276,1.4736842105263157,1.2666666666666666
cms-sw,1.304054054054054,1.4591836734693877,1.2477064220183487,1.504,1.5294117647058822,1.1800000000000002,1.457627118644068,1.6792452830188678,1.25,1.4411764705882353,1.2673267326732673,1.48,1.2553191489361701,1.3383458646616542,1.4
microsoftgraph,1.9121621621621623,1.9183673469387756,3.724770642201835,1.936,2.323529411764706,4.51,2.983050847457627,3.2075471698113205,2.0,2.764705882352941,2.693069306930693,2.08,2.340425531914893,1.4736842105263157,2.666666666666667
MarlinFirmware,1.7297297297297298,1.8265306122448979,1.4954128440366974,1.432,1.2647058823529411,1.27,1.457627118644068,1.5943396226415094,1.625,1.5294117647058822,1.1782178217821784,1.3599999999999999,1.5744680851063828,1.3383458646616542,1.9333333333333333
conan-io,2.52027027027027,2.1938775510204085,2.9816513761467895,3.0159999999999996,2.9411764705882355,2.26,2.2203389830508478,2.5283018867924527,1.875,1.4411764705882353,2.514851485148515,1.8399999999999999,1.8297872340425532,1.6090225563909772,2.1333333333333333
pandas-dev,2.581081081081081,2.1938775510204085,2.81651376146789,2.7279999999999998,2.1470588235294117,3.0700000000000003,3.0593220338983054,2.6132075471698113,2.4375,3.558823529411765,3.0495049504950495,4.0,2.7872340425531914,1.8796992481203008,2.9333333333333336
logseq,1.2432432432432432,1.5510204081632653,1.3302752293577982,1.3599999999999999,1.5294117647058822,1.63,1.6864406779661016,1.9339622641509435,1.4375,1.5294117647058822,2.0693069306930694,1.48,1.3191489361702127,1.4060150375939848,1.2
