Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,1.6495086991796628,1.5712272008884711,1.5180452028856986,1.4208071573719723,1.309232594589052,1.3495614186127742,1.4342034736654035,1.4213592233009709,1.4780810358422445,1.2892391575101714,1.2636290709210094,1.258676602827788,1.2735633842186416,1.2881494728082368,1.3388202897917258
PaddlePaddle,1.5565672045434056,1.3799495963435993,1.4005272871078303,1.3776592529214,1.4194876151694034,1.5255154499702366,1.6070639346266329,1.5911175376988225,1.7064560306547332,1.512800642107885,1.3631254420399581,1.3932022117205884,1.281516279992426,1.2718556618890373,1.3907074327425313
AdguardTeam,3.095916343640133,2.9162359574558967,2.783045322723678,2.7545419458640046,2.769573305599906,2.8054105643260905,2.7472659225336886,2.686965502995249,2.7652478247036205,2.671251833605491,2.594291573116376,2.6875322861461344,2.6240543538046763,2.542573722744053,2.5893043687304673
pingcap,1.8638330478680247,1.7549442569732174,1.7221053136159914,1.5849031160050406,1.4262549619886038,1.486330921094707,1.6163734331361725,1.4921297252633752,1.5355586603770977,1.2650770806232874,1.2129196709561354,1.3292325941798842,1.4443477633607746,1.456067353063555,1.5049850296129554
cms-sw,1.7575948796538357,1.6508051770535217,1.611705773793831,1.504591934006352,1.5021019789362668,1.5927711554639419,1.6571236470665678,1.640941954141706,1.6434173940710206,1.468628047936675,1.302846618661325,1.3532104387089368,1.3756931733136164,1.3677062953159167,1.4229254540288918
microsoftgraph,2.4583971874154873,2.3133569689462217,2.345286772283872,2.1388368340533175,2.074206448021796,2.3385169406057984,2.3610486820947316,2.283577773187358,2.27733126755108,2.0724723921286428,1.9192627366842139,1.907542043736966,1.7908262175053875,1.7594748444098196,1.8952204034355398
MarlinFirmware,1.9063373298476516,1.6668232881978557,1.5699877765261367,1.5037549232507637,1.4006357204587734,1.4622888881236196,1.502289760491993,1.3821937616195,1.403007373182642,1.243613517478066,1.0895424619430296,1.2089989859758548,1.2327439293797282,1.2210619970431225,1.2812291015582316
conan-io,2.1062832416839448,1.9170475417538761,1.9333700836469094,1.8407354534505767,1.7934054988354888,1.8333243140862603,1.9822367245610901,2.0977897128692415,2.15092199366432,2.0515070161357283,1.935026652932772,1.9882574090726464,1.9374273013354013,1.8862398965978202,1.9356601175776385
pandas-dev,2.605336698819075,2.40630472854641,2.3891187115020496,2.25647869575124,2.0688013593285386,2.086009179953658,2.025525892630451,1.8925841768229703,1.9979526622307684,1.9353463784561733,1.8948265304669363,2.0521839784185048,1.9966276836514794,2.0110528785289974,2.184159800686234
logseq,1.5681510862706212,1.5593951561231898,1.5786592526903627,1.5627641815197326,1.5041673380304381,1.7037718491260352,1.7456061988095128,1.6744887419954553,1.704422526248807,1.5621211701862667,1.5065386313256215,1.5925153538561618,1.5429474405561618,1.437861310056039,1.5074240006993467
