Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,1.28999319264806,1.251990118034587,1.3086944961446423,1.3042328042328042,1.3515130190007036,1.6861702127659575,1.6487845766974014,2.5048701298701297,2.4665523156089195,2.6913793103448276,2.3189655172413794,2.199059561128527,2.125,2.5115562403697997,2.0869565217391304
PaddlePaddle,1.3451327433628317,1.2791655229206698,1.3685190109013559,1.4047619047619047,1.9753694581280787,2.2367021276595747,2.1617770326906958,3.2207792207792205,3.608919382504288,4.243103448275862,2.6958128078817736,3.031347962382445,2.393465909090909,3.288135593220339,2.9130434782608696
AdguardTeam,1.034717494894486,1.0123524567664013,1.057431534166445,1.029100529100529,1.0696692470091484,1.0877659574468086,1.0,1.073051948051948,1.077186963979417,1.0775862068965516,1.0886699507389164,1.225705329153605,1.1661931818181819,1.1941448382126347,1.065217391304348
pingcap,1.104152484683458,1.074114740598408,1.2129752725339005,1.1507936507936507,1.17100633356791,1.502659574468085,1.347024308466052,1.7305194805194803,1.771869639794168,1.6517241379310343,1.4211822660098523,1.4796238244514108,1.3707386363636365,1.526964560862866,1.5
cms-sw,1.0102110279101428,1.0296458962393633,1.031108747673491,1.037037037037037,1.0475017593244194,1.1436170212765957,1.0452640402347024,1.1168831168831168,1.1852487135506005,1.2948275862068965,1.2327586206896552,1.3526645768025078,1.2301136363636365,1.3189522342064715,1.2934782608695652
microsoftgraph,1.0530973451327432,1.0592917924787264,1.057431534166445,1.0476190476190477,1.0886699507389161,1.3351063829787235,1.0980720871751886,1.3360389610389611,1.216123499142367,1.186206896551724,1.1773399014778325,1.3949843260188088,1.3323863636363638,1.332819722650231,1.2391304347826089
MarlinFirmware,1.647379169503063,1.5163326928355751,1.5384206328104226,1.4682539682539681,1.4275158339197747,2.300531914893617,2.018440905280805,3.454545454545454,3.238421955403088,3.498275862068965,2.5960591133004924,3.510971786833856,4.080965909090909,4.4114021571648685,3.3369565217391304
conan-io,1.0551395507147718,1.0914081800713697,1.0933262430204733,1.1084656084656084,1.1203377902885292,1.3191489361702127,1.1659681475272423,1.3944805194805194,1.2469982847341339,1.6206896551724137,1.3657635467980296,1.3385579937304075,1.4474431818181819,1.485362095531587,1.6195652173913044
pandas-dev,1.4982981620149762,1.5385671150150975,1.689178409997341,1.6031746031746033,1.5636875439831104,2.3643617021276597,2.523889354568315,4.1558441558441555,4.4888507718696395,5.251724137931035,3.227832512315271,3.7648902821316614,3.3650568181818183,3.7457627118644066,3.4347826086956523
logseq,1.149081007488087,1.2099917650288226,1.153150757777187,1.1322751322751323,1.1963406052076002,1.351063829787234,1.4450963956412406,1.6282467532467533,1.9416809605488852,1.8224137931034483,1.6539408866995076,1.6912225705329154,1.6136363636363638,1.6240369799691834,1.5434782608695654
Ultimaker,1.079646017699115,1.0765852319516882,1.0550385535761766,1.1137566137566137,1.0633356790992259,1.2313829787234043,1.1207041072925397,1.2337662337662336,1.2778730703259007,1.3724137931034481,1.188423645320197,1.4373040752351098,1.28125,1.3882896764252695,1.3369565217391304
influxdata,1.1613342409802585,1.1556409552566567,1.1387928742355755,1.164021164021164,1.1773399014778325,1.4627659574468086,1.2263202011735121,1.8912337662337664,1.6946826758147513,1.946551724137931,1.7647783251231526,1.6489028213166144,1.5880681818181819,1.8459167950693374,1.5326086956521738
