Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,507.16,610.7,670.53,632.45,493.93,561.72,540.91,454.23,534.25,509,544.86,418.45,391.72,548.64,523.26,520.2,563.4,444.46,508.64,573.82,530.87,496.81,556.47,494.29,589.27,596.65,649.14
apple,662.91,726.04,702.73,724.28,702.67,711.11,721.35,664.23,660.6,636,589.19,662.76,659.54,750.11,708.65,772.25,770.58,841.53,655,881.12,819.75,745.78,751.89,699.42,786.65,839.55,909.16
OpenAPITools,633.74,577.01,599.93,545.32,562.17,573.34,488.87,519.56,557.65,556,585.52,520.69,593.19,566.36,527.61,520.64,471.01,425.51,527.35,536.25,537.04,526.27,578.38,442.56,526.92,569.12,502.91
nextcloud,387.64,317.77,332.21,453.51,441.66,384.92,347.72,338.16,314.55,321,284.7,401.59,432.03,370.53,343.84,291.56,355.83,269.03,343.86,297.8,305.25,290.44,307.94,256.36,303.57,368.06,246.49
firstcontributions,1768.11,1251.06,1912.55,1305.43,1749.89,1907.13,1920.33,1641.08,1973.67,1736,1593.64,1608.12,1861.86,1380.53,1439.61,1312.3,1806.75,1677.76,1912.84,2951.44,3651.65,9527.79,2615.64,1945.54,2514.17,2067.7,2643.15
JuliaRegistries,356.1,374.24,363.02,378.34,352.37,341.78,339.92,312.04,291.38,298,295.15,304.61,329.88,344.53,341.88,300.41,329.69,289.94,294.83,333.13,320.8,345.98,309.19,284.3,320.19,327.29,306.37
PaddlePaddle,442.09,383.24,407.72,472.6,450.7,419.25,458.32,558.94,566.8,530,457.83,580.52,454.62,342.55,467.34,461.76,557.66,505.77,454.25,570.31,557.19,561.62,567.7,438.03,340.48,509.32,600.97
ClickHouse,945.07,1001.37,1101.25,1059.47,948.97,1022.05,996.8,1044.91,992.71,1071,1121.84,1162.69,1057.07,893.87,1048.18,1186.69,1085.26,1052.1,1202.54,1234.49,1227.61,1116.87,1124.97,1024.74,1123.86,1236.47,1220.46
jlord,1572.36,1223.04,1301.12,965.01,590.05,744.59,381.04,413.85,714.82,632,756.84,366.77,775.03,936.82,1475.83,556.12,379.38,423.96,335.3,502.72,566.59,471.71,471.73,388.07,641.86,1022.18,1443.56
prusa3d,733.25,566.2,381.78,491.64,314.03,264.83,255.22,262.3,398.06,418,411.72,633.43,533.79,375.36,328.8,336.08,268.38,224.58,367.16,441.58,434.38,328.68,305.44,297.05,383.41,902.6,662.29
AdguardTeam,681.19,658.82,697.69,612.89,592.96,555.15,576.31,596.28,568.22,588,590.53,620.04,614.84,585.05,539.48,564.24,570.26,491.81,450.52,558.87,512.63,472.54,512.4,526.69,530.51,485.2,544.45
pingcap,714.96,666.45,1066.6,948.36,929.04,1051.01,1080.73,1105.65,1054.45,1135,1161.3,1288.4,946.53,819.15,1009.39,912.55,858.74,906.88,1071.65,943.07,996.21,658.17,890.78,833.43,820.28,968.18,1001.34
nodejs,966.96,871.96,894.29,915.54,835.8,855.48,882.78,765.85,753.19,797,834.27,840.36,1027.58,881.57,923.49,930.6,773,864.98,973.38,916.14,905.34,967.3,977.42,869.98,1042.43,1005.03,1075.49
cms-sw,585.73,597.3,748.08,766.61,801.15,770.3,797.76,638.33,827,796,878.58,691.68,649.03,698.53,748.16,725.35,835.46,739.21,703.74,857.78,621.71,685.32,566.18,444.53,509.58,647.28,732.94
microsoftgraph,838.02,783.91,902.16,848.99,898.05,1014.15,780.15,824.84,871.48,774,681.45,714.73,788.48,754.55,977.29,790.43,771,908.31,814.5,882.07,765.37,755.78,707.31,649.2,749.64,701.87,910.18
MarlinFirmware,820.61,698.14,655.44,584.1,606.4,580.14,500.78,480.67,433.32,445,436.33,458.28,604.5,384.45,427,434.04,353.88,347.45,359.94,336.86,301.86,350.11,293.72,354.67,380.11,379.06,375.96
