Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,647.94,671.66,672.92,682.03,691.52,723.69,748.42,753.26,759.31,779.55,780.96,806.61,824.22,800.94,793.76,788.5,790.99,780.33,772.96,781.44,783.17,794.17,812.39,808.05,821.61,814.37,825.93
apple,699.41,715.64,737.94,744.76,752.2,766.91,793.02,804.98,803.99,800.21,799.49,822.78,842.19,848.92,851.56,844.23,851.27,853.52,869.09,889.6,906.93,920.21,933.58,932.54,953.94,962.31,968.06
OpenAPITools,459.1,459.35,492.59,517.67,517.87,533.52,543.09,568.46,576.36,596.01,581.07,577.98,599.32,601.16,608.97,622,649.51,650.82,660.93,686.09,685.71,626.7,630.74,645.35,659.35,670.71,692.89
nextcloud,617.49,599.97,571.48,540.37,421.55,431.08,475.07,469.04,491.9,512.47,544.46,495.92,534.96,535.4,552.55,558.74,560.6,539.75,509.71,508.26,527.57,550.29,549.48,557.64,578.11,581.68,609.02
firstcontributions,602.28,608.59,576.52,563.32,543.3,528.64,603.68,660.03,656.09,643.35,624.4,622.36,612.18,607.09,605.82,611.47,680.45,664.6,705.1,727.94,741.08,701.09,667.96,669.32,720.23,720.28,703.59
JuliaRegistries,282.7,301.79,296.08,292.02,276.88,267.84,298.28,291.56,275.52,237.22,252.67,271.92,281.6,273.39,272.57,277.68,283.95,281.64,287.96,312.53,324.35,341.44,351.33,368.94,382.45,399.6,401.2
PaddlePaddle,71.04,84.07,86.28,125.35,126.26,124.08,133.8,131.99,156.73,185.04,195.94,194.43,180.78,199.09,221.34,242.4,236.65,240.5,251.29,264.54,301.79,300.75,312.56,314.67,359.31,364.09,376.76
ClickHouse,375.39,326.34,335.98,365.88,344.07,364.83,382.79,373.88,378.81,391.78,393.57,413.2,418.49,422.19,432.19,433.89,438.7,437.25,436.15,453.25,476.25,487.63,492.09,508.76,527.44,536.23,539.97
jlord,960.01,970.32,975.11,976.46,989.61,1002.85,1028.61,1051.51,1061.48,1078.82,1094.46,1116.73,1132.54,1134.29,1127.43,1144.17,1165.57,1187.27,1210.05,1234.22,1252.3,1273.02,1296.64,1315.87,1329.94,1338.52,1322.03
AdguardTeam,234.88,225.22,339,348.6,357.18,332.33,381.61,411.24,414.46,448.72,444.96,361.42,294.05,260.02,332.01,353,318.95,322.05,316.77,345.25,388.74,411.14,424.86,444.27,450.96,474.89,475.8
pingcap,448.5,457.3,487.12,476.43,498.8,502.11,487.7,467.29,522.94,542.81,470.01,443.15,436.6,442.59,406.25,398.4,385.57,406.59,402.59,447.79,526.25,532.31,538.78,537.68,541.48,540.53,532.98
nodejs,2031.4,2059.4,2090.4,2120.4,2151.4,2181.4,2212.4,2243.4,2273.4,2304.4,2334.4,2365.4,2396.4,2424.4,2455.4,2485.4,2516.4,2546.4,2577.4,2608.4,2638.4,2669.4,2699.4,2730.4,2761.4,2789.4,2820.4
cms-sw,1009.71,1021.19,1036.87,1049.01,1022.74,1087.98,1093.38,1094.03,1091.95,1122.26,1079.33,1095.98,1123.04,1150.05,1128.11,1119.88,1099.37,1090.66,1078.39,1090.86,1104.84,1090.77,1124.5,1147.35,1151.64,1168.16,1145.9
microsoftgraph,486.91,466.76,492.33,486.36,493.73,511.46,507.24,541.26,512.53,546.64,526.13,568.09,552.13,540.81,549.02,534.62,532.05,559.21,564.82,606.68,574.13,608.28,602.43,585.33,626.05,613.5,641.98
MarlinFirmware,842.78,895.99,912.33,902.39,894.36,913.74,972.43,989.37,1010.06,1010.11,970.35,1044.1,1039.85,1072.27,1086.08,1134.17,1129.8,1101.52,1132.64,1138.65,1178.68,1170.32,1168.95,1216.1,1200.68,1184,1258.79
conan-io,134.68,130.61,150.26,155.21,164.59,159.88,168.2,157.4,186.07,204.9,198.18,212.64,173.5,193.11,222.63,230.73,246.08,234.79,233.19,217.07,238.22,244.09,256.57,252.54,276.43,255.94,301.01
pandas-dev,752.04,791.95,793.25,805.36,820.78,805.63,847.73,874.61,909.86,936.89,938.24,949.37,967.48,978.35,992.79,992.97,1001.83,1010.33,1010.22,1020.63,1014.79,1000.1,1002.56,979.07,1009.92,1044.61,1032.75
woocommerce,582.21,578.66,606.46,636.9,654.44,661.64,682.45,716.32,698.04,707.23,672.55,687.52,714.4,704.1,706.75,703.23,704.43,698.21,669.71,669.04,676.12,678.63,707.18,701.33,692.66,702.39,707.91
logseq,34.67,53,38.88,81.17,52.08,51.13,85.08,102.71,90.81,119.86,112.3,112.94,104.06,110.3,109.11,128.35,132.15,138.46,137.73,166.78,180.93,197.86,200.63,206.9,223.47,249.2,257.48
Ultimaker,591.6,589.23,602.01,589.3,635.76,691.18,689.15,664.76,680.43,707.75,672.1,665.31,660.12,660.5,617.52,613.97,623.06,619.25,638.86,622.14,707.13,701,777.1,814.98,836.74,798.35,790.38
influxdata,549.81,537.28,587.42,597.73,614.3,601.17,636.94,609.21,635.54,663.82,644.88,687.45,664.44,671.68,658.58,664.42,645.5,649.6,687.68,695.01,711.21,705.39,722.62,728.74,778.8,783.21,800.47
docker,668.93,660.32,700.54,730.37,749.91,763.41,788.58,786.03,766.44,789.73,806.75,811.23,837.39,868.5,841.03,853.63,834.71,822.17,832.84,819.07,842.72,856.56,858.64,845.62,864.09,904.87,896.25
ValveSoftware,512.38,538.5,507.56,509.32,514,495.91,617.33,584.5,675.89,669.79,744.87,728.62,830.79,823.38,794.5,882.77,913.77,769.75,800.75,702.63,732.63,761.16,791.16,822.16,739,799.52,830.52
magento,688.47,676.45,687.61,707.98,727.47,735.88,753.8,774.13,786.49,813.71,829.63,849.1,866.58,886.46,914.64,939.62,962.98,985.39,1006.91,1030.5,1049.17,1072.23,1089.85,1118.02,1143.64,1174.91,1133.76
vercel,486.75,462.81,443.63,479.47,464.06,455.36,495.62,491.06,497.37,516.75,505.7,497.25,508.59,533.2,517.43,516.16,559.14,535.28,507.35,520.65,545.13,545.25,534.18,538.31,547.57,559.67,558.67
department-of-veterans-affairs,197.48,225.85,231.73,213.76,236.32,244.09,251.03,273.91,294.99,309.43,327.68,349.27,351.28,372.79,377.33,394.63,418.11,442.84,460.32,476.3,502.6,545.34,577.9,588.55,620.21,634.62,651.68
zephyrproject-rtos,506.31,502.57,500.56,544.56,535.58,530.39,574.06,581.04,571.1,586.86,559.33,551.03,551.02,540.59,551.44,560.98,554.16,551.84,531.77,539.4,549.69,560.59,592.87,604.6,624.53,643.28,634.74
Automattic,664.61,691.12,708.26,739,749.53,746.86,770.4,800.65,799.32,829.04,787.55,803.84,813.66,827.8,814.06,811.41,807.6,791.06,784.68,795.8,801.65,802.48,814.22,822.95,822.58,828.33,817.33
qmk,473.18,500.66,470.45,460.11,469.7,474.75,543.3,569.08,572.43,580.11,563.87,540.62,535.28,546.72,553.65,582.94,561.91,577.84,625.38,676.59,703.54,681.92,698.49,735.87,743.04,762.28,753.87
mrdoob,629.46,674.65,692.36,729.33,735.23,753.46,771.27,775.33,791.21,812.36,819.68,811.29,831.91,831.86,838.47,839.17,836.01,849.45,835.47,883.17,892.66,919.01,907.57,928.21,957.85,943.59,972.22
termux,799.13,881.86,831.64,849.08,679.01,688.48,730.23,667.29,730.52,715.84,657.95,686.04,661,655.91,570.66,544.88,538.54,518.53,506.61,485.43,479.39,466.25,438.16,454.71,471.46,473.33,476.28
rapid7,876.35,887.89,907.32,942.53,918.73,934.89,929.59,920.46,982.86,986.2,973.52,1002.31,961.67,999.27,1031.94,1002.89,1034.52,1031.21,1023.21,1032.11,1048.63,1030.69,1026.68,1015.62,1045.02,1055.83,1059.29
Regalis11,193.18,218.91,193.36,181.13,185.29,198.94,280.75,193.7,200.95,221.91,222.48,186.16,273.21,268.11,306.76,336.76,354.36,356.46,391.5,397.62,441.74,364.37,370.27,388.35,406.69,377.35,397.58
Koenkk,669.76,766.63,723.24,753.24,716.09,746.09,808.45,739.16,711.81,592.32,622,585.97,570.37,511.27,519.38,519.6,517.27,511.2,500.97,508.57,508.15,531.71,533.44,536.69,565.89,560.15,541.86
ccxt,623.7,655.36,676.58,681.08,696.06,709.61,728.17,759.98,779.08,783.18,767.18,799.41,731.15,687.74,666.55,631,640.4,568.29,505.31,539.82,505.92,510.73,525.2,565.44,571.89,596.28,589.69
JuliaLang,696.17,694.74,708.4,748.07,752.07,747.4,769.28,774.11,774.03,789.93,801.71,789.9,797.27,809.47,805.56,820.04,825.8,833.54,827.53,843.54,841.2,844.6,867.15,878.69,880.67,906.49,913.68
jitsi,574.03,560.08,602.6,615.66,575.91,608.39,652.54,629.86,629.72,659.44,638.88,646.82,677.36,639.11,608.71,639.55,654.71,638.52,631.59,654.49,662.01,639.93,653.75,656.85,670.58,682.93,687.79
WordPress,469.56,479.88,479.99,497.24,484.59,499.17,519.19,524.38,532.94,560.26,535.77,556.2,570.34,573.17,576.69,584.1,586.43,588.07,588.78,606.33,599.65,603.28,602.08,614.48,623.44,628.24,641.85
