Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,5.47,5.73,9.4,11.12,8.3,4.23,6.09,4.61,6.47,24.69,9.71,2.99,5.36,4.37,5.84,4.06,11.31,5.98,3.62,3.96,4.81,4.29,4.86,5.76,3.68,2.6,1.75
apple,6.58,13.85,11.16,8.61,7.47,10.45,9.72,10.58,16.47,18.44,11.64,11.03,9.71,11.61,8.52,10.08,8.98,6.36,7.87,7.12,5.63,8.4,5.92,7.74,3.7,3.5,1.42
OpenAPITools,41.06,21.26,8.29,14.28,22.64,16.94,25.66,25.8,27.65,47.98,27.04,23.15,20.68,18.66,15.75,9.77,17.34,16.92,5.85,5.08,17.74,20.3,13.72,8.91,6.38,5.46,1.87
nextcloud,3.54,7.48,23.88,15.91,33.02,17.39,17.2,26.54,6.37,24.57,3.79,17.79,8.42,17.26,7.32,22.5,4.64,12.03,11.16,15.17,5.02,5.29,9.12,8.03,4,4.83,1.94
firstcontributions,16.89,29.63,40.01,35.23,18.82,9.14,4.08,5.83,11.86,49.96,18.69,11.26,12.14,12.56,6.31,3.55,1.49,2.9,0.56,1.09,0.3,1.41,0.54,7.06,1.98,0.33,0.19
JuliaRegistries,0.8,0.65,0.62,0.54,0.5,0.67,0.54,0.73,0.89,1.25,0.95,0.83,0.91,0.86,0.71,1.3,0.97,1.2,1.27,1.12,1.63,0.91,1.39,2.04,1.93,1.22,0.33
PaddlePaddle,9.99,1.78,20.82,0.78,1.45,12.43,17.33,13.93,3.25,35,2.47,6.16,9.71,0.68,4.52,7.79,2.46,5.28,6.86,1.46,1.79,2.67,10.38,9.1,2.79,2.48,1.2
ClickHouse,6.66,6.28,9.27,4.63,8.49,6.87,6.57,5.14,4.63,14.91,5.73,3.57,10.3,14.86,7.31,10.67,15.17,13.46,7.72,5.82,6.65,7.1,7.46,4.79,3.98,2.75,1.71
jlord,0.04,1.71,2.42,1.3,2.1,0.08,0.01,2.25,0.04,5.6,4.67,1.35,3.01,0.64,0.82,1.17,2.66,2.62,0.98,0.03,0.12,0.74,0.19,0.36,0.3,0.04,0.03
prusa3d,18,19.78,123.75,18.9,14.1,17.5,63.27,2.71,57,22.8,8.64,28.88,11.86,36.86,15.17,44.67,21,13,64.25,1,18.12,17.25,25.25,33.5,5,16.12,0.5
AdguardTeam,1.93,1.58,1.47,2.34,2.25,2.3,1.02,0.51,1.3,1.81,1.35,2.88,6.45,6.17,3.12,0.65,0.66,1.17,1.86,0.91,1.26,1.14,0.85,1.45,0.51,0.65,0.82
pingcap,37.55,18.6,15.94,21.37,16.96,11.79,18.67,15.11,21.91,61.93,38.38,39.29,33.39,46.49,41.44,50.21,30.94,25.12,11.58,9.25,9.46,10.32,5.98,7.78,6.8,5.09,2.3
cms-sw,7.52,14.1,5.84,7.11,7.32,4.35,5.62,6.22,4.35,23.44,8.23,12.15,6.72,4.46,6.7,6.52,6.49,6.16,8.67,5.74,6.88,6.19,7.21,7.69,4.88,5.14,2.97
microsoftgraph,15.87,21.64,31.68,17.17,19.22,24.49,20.47,16.06,20.79,67.11,21.61,11.92,22.38,33.73,16.1,22.85,13.82,11.89,12.86,18.46,12.39,11.94,14.1,11.92,8.47,6.34,2.14
MarlinFirmware,2.66,9.33,16.95,14.22,13.61,3.06,12.93,5.35,19.17,34,23.82,3.54,7.06,3.02,10,8.39,8.32,15.74,7.09,10.84,7.08,12.43,16.27,5.33,5.84,9.19,1.55
conan-io,7.39,13.04,10.92,11.66,8.89,10.53,8.06,10.15,9.15,22.53,11.4,14.02,11.24,18.09,14.73,9.79,12.93,10.57,11.28,11.75,13.76,10.26,11.27,12.39,7.04,9.95,4.99
pandas-dev,8.16,10.78,13.6,20.22,11.8,14.8,7.9,11.01,11.45,30.72,13.8,15.29,9.23,9.56,15.89,18.28,13.03,10.67,12.53,11.87,9.17,9.15,9.16,9.71,5.7,3.46,1.95
woocommerce,98.21,44.13,23.37,30.33,46.7,27.45,26.06,35.7,45.23,116,27.92,35.39,13.67,33.09,13.18,8.45,4.09,13.38,12.06,12.73,10.94,8.17,5.99,7.02,9.45,7.18,2.85
logseq,6.04,0.62,2.85,1.17,1.88,2.35,2.76,7.12,1.8,6.5,2.7,3.3,6.58,6.17,13.22,7.83,6.18,8.41,5.84,9.8,3.89,5.04,3.25,4.72,4.58,3.17,2.52
Ultimaker,57.31,73.9,18.84,29.89,30.63,21.19,20.59,36.4,48.09,87.53,24.04,43.74,29.27,29.09,41.95,26.76,31.91,23.89,27.93,16.24,22.35,19.69,16.63,8.42,7.84,8.37,3.42
influxdata,77.51,54.51,45.99,36.62,55.16,41.04,39.62,80.95,47.45,65.72,26.9,8.64,24.36,14.68,16.34,11.6,16.39,16.87,9.49,12.21,7.93,6.43,6.9,12.89,6.48,3.37,1.82
docker,40.27,17.35,30.16,9.62,68.51,4.81,52.38,46.78,27.81,48.44,15.96,25.03,4.62,25.66,35.29,42.97,24.75,12.46,10.52,8.25,9.01,7.25,7.12,8.27,2.51,1.99,1.31
magento,373.3,119.18,101.9,78.45,132.22,106.51,51.93,85.23,81.56,162.45,54.46,84.19,170.25,169.8,81.43,77.3,104.92,66.44,59.4,54.67,41.62,49.84,55.42,43.56,37.12,27.25,3.6
vercel,36.46,69.68,35.28,23.52,36.54,34.64,30.94,20.13,24.02,68.14,15.35,20.77,17.01,12.78,21.45,14.81,7.4,11.34,9.48,5.42,2.71,3.69,4.35,4.79,2.3,1.86,1.49
department-of-veterans-affairs,6.59,21.46,20.88,20.34,30.65,28.73,4.72,1.87,2.12,4.58,0.92,15.15,6.79,3.93,7.12,15.71,7.75,19.04,9.1,11.36,4.18,6.85,4.69,8.5,0.88,2,2
zephyrproject-rtos,16.6,17.62,18.19,16.63,18.82,24.08,21,23.72,21.62,42.61,20.22,27.42,26.34,23.66,19.72,22.21,22,21.03,16.09,16.47,18.87,18.63,15.99,17.81,10.77,6.34,3.38
Automattic,10.6,9.3,13.46,7.77,13.28,9.44,9.55,9.8,8.14,20.35,5.64,6.81,4.51,10.06,6.29,10.11,5.09,6.45,6.22,4.85,4.04,4.71,4.77,4.63,3.49,2.77,2.07
qmk,27.93,25.42,33.77,36.82,35.67,31.2,18.92,22.02,39.19,69.11,21.92,28.26,35.47,31.16,28.3,41.17,28.3,23.53,16.39,17.11,17.66,15,11.35,9.29,7.82,4.31,3.15
mrdoob,3.59,9.77,22.93,11.7,8.15,30.6,4.64,11.07,15.27,49,12.17,7.73,5.76,3.5,6.66,14.67,15.9,11.91,5.88,4.25,4.15,2.49,3.55,4.72,2.64,2.38,1.28
termux,4.11,1.68,6.83,5.8,1.79,2.84,0.82,5.08,2.62,20.91,8.97,4.27,1.86,4.71,1.32,3.03,4.32,6.82,8.57,12.75,4.82,1.53,0.89,0.57,0.52,0.48,0.19
rapid7,16.61,18.27,7.1,17.84,14.38,12.8,13.45,16.4,9.09,44.22,8.55,10.03,16.38,10.69,14.04,13.69,14,18.25,10.92,11.65,17.08,9.46,15.66,15.07,5.73,5.19,3.76
Koenkk,1.26,0.31,1.2,0.62,0.91,1.2,0.27,0.48,0.44,1.27,0.13,0.91,2.86,0.75,2.15,0.1,0.88,0.53,1.25,0.5,1.19,2.05,1.86,1.45,0.14,0.53,0.03
ccxt,34.15,4.41,0.69,0.93,1.53,0.43,2.06,2.37,3.77,5.5,5.87,2.81,2.58,5.73,5.34,5.21,5.85,13.14,15.25,9.52,19.19,9.11,7.37,2.09,1.26,1.18,1.22
