Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,16.42,15.38,14.57,17.06,11.26,8.19,9.18,20.9,14.55,31.68,19.13,4.12,15.24,25.86,20.46,11.17,16.96,18.91,18.49,12.29,13.37,10.58,10.8,9.24,6.55,4.66,2.52
apple,4.07,7.56,8.03,10.01,24.01,10.55,8.98,25.41,22.29,100.02,10.19,13.59,9.35,20.51,19.81,13.61,18.82,21.1,19.28,9.2,9.93,10.56,8.83,8.53,5.86,3.82,1.85
OpenAPITools,21.84,12.7,3.89,15.87,12.76,26.06,20.01,35.44,19,66.91,28.07,22.05,19.62,32.17,13.68,22.95,15.17,32.71,11.66,7.18,20.92,54.63,12.05,16.98,9.99,8.01,4.45
nextcloud,0.03,0,0,0.01,13.63,0,0.02,0.16,0.19,0.17,0.06,0,0.1,23.06,0.23,0.06,0.07,0.03,0.46,0,0.08,1,2.2,3.76,3.23,0.05,0.5
firstcontributions,50.68,67.25,86.79,50.43,27.02,9.41,3.1,18.77,15.17,77.06,23.32,5.4,28.81,18.63,18.99,31.03,25.83,33.56,11.58,3.62,1.64,5.21,7.98,15.6,8.89,5.78,2.14
JuliaRegistries,8.88,4.42,13.95,10.53,26.99,16.2,4.11,20.76,24.3,170.81,12.71,10.23,16.79,36.32,30.49,23.29,25.71,35.54,23.24,7.5,11.88,12.75,8.38,9.31,4.16,3.64,1.97
PaddlePaddle,0.68,10.24,18,0.29,11.9,35.06,30.05,34.47,15.09,0,0.53,26.29,31.38,7.25,9.19,5.3,18.1,11.48,18.91,0.76,10.25,6.89,26.05,11.09,1.32,10.69,3.83
ClickHouse,16.33,75.07,32.36,6.48,23.7,9.06,22.1,37.81,19.65,124.9,15.34,11.53,13.11,23.13,14.06,15.94,14.47,20.14,14.96,10.15,8.95,7.91,9.41,7.77,3.46,3.23,2.11
jlord,8.88,5.15,21.65,31.84,55.18,17.63,3.42,16.55,32.33,49.4,16.62,5.15,21.74,33.36,23.75,19.78,10.32,14.34,12.06,4.67,7.36,6.82,5.33,7.41,3.96,1.11,0.92
prusa3d,52.39,44.86,0.5,114.5,103.07,12.23,50.83,2.33,90.85,328.6,64.06,8.12,83.91,12.44,36.29,35.71,29.83,12.67,119.45,119.83,24.9,12.83,5.4,73.12,38.86,17.58,11.27
AdguardTeam,11.8,2.7,4.37,4.16,6.87,6.24,0.41,0.53,9.54,103.19,0.58,2.91,13.02,23.94,11.23,2.79,8.93,6.76,4.89,0.52,0.83,0.9,3,2.36,0.95,0.69,1.07
pingcap,7.62,2.06,0.06,0.01,0.19,0.01,0.82,0.24,1.52,0,0.02,0.28,0.01,0.29,0.4,0.3,0.99,0.66,0.13,0.21,1.5,5.28,7.09,7.12,5.42,4.69,2.73
nodejs,1.61,0.33,0.62,1.74,9.15,0.89,0.45,0.32,0.27,12.85,0.82,0.16,1.62,0.16,0.17,1.07,3.03,2.06,0.56,0.8,0.8,1.73,1.19,2.33,0.6,0.33,0.61
cms-sw,0,0.01,0,0,0.02,10.49,0.01,0,0,0,0,0,0,0.01,0.02,0.06,0.01,0.05,0.01,0.01,0,0.03,0,0.01,0.01,0,0.01
microsoftgraph,0.07,3.34,0.75,0.04,3.56,0,0,0.02,5.32,13.24,0.05,0.01,0.04,4.83,0.16,0.12,0.14,3.5,0.05,0.02,0.01,1.7,0.72,7.87,10.14,7.13,3.83
MarlinFirmware,6.4,20.96,6.7,7.12,8.14,6.24,0.56,23.79,9.15,79.19,64.89,79.29,82.93,52.5,67.99,43.27,35.59,12.58,13.14,5.83,6.39,19.45,6.11,8.78,6.63,6.69,1.38
conan-io,0.01,0.02,0.02,0.04,0.07,0.05,0.06,1.8,0.04,6.47,0.04,0.02,0.09,0.14,1.59,0.15,0.46,2.13,1.6,0.22,0.17,0.5,0.2,0.38,0.31,0.66,0.76
pandas-dev,1.02,4.75,3.45,6.3,10.01,10.33,4.29,14.69,3.65,1.87,2.52,0.91,4.76,11,3.29,8.82,3.69,8.04,6.72,4.76,2.49,2.18,2.23,2.44,2.17,2.36,1.39
woocommerce,57.54,55.78,41.03,28.82,45.39,30.08,23.31,41.55,58.1,114,22.39,42.97,22.07,46.12,25.79,23.44,3.47,3.18,22.8,12.56,13.4,10.02,10.26,6.37,10.89,5.84,3.06
logseq,4,0.44,16.1,0.9,15.4,6.62,1.54,25.02,19.98,111.6,11.07,8.62,6.25,12.04,2.12,3.33,20.79,16.99,11.46,5.16,5.41,2.85,3.82,5.84,1.38,2.76,2.16
Ultimaker,14.62,7,8.44,8.78,6.83,2.94,20.86,27.78,24.04,3,12.25,9.15,25.5,33.18,48.65,60.34,47.22,33.43,24.46,15.04,14.14,15.32,14.26,8.47,10.68,14.73,7.54
influxdata,22.42,16.7,16.15,10.21,26.2,18.44,4.94,58.71,21.16,4.12,7.12,1.7,8.6,23.22,12.03,22.21,2.93,10.95,10.79,10.73,5.76,2.32,5,8.2,3.65,1.82,1.45
docker,20.99,16.43,25.27,9.15,65,9.39,13.25,72.77,19.92,134.06,7.78,11.34,2.02,36.4,24.7,29.88,32.82,17.05,12.88,8.49,5.51,5.83,6.31,7.84,4.58,4.66,1.7
magento,84.13,21.09,41.06,36.76,72.93,70.83,35.01,47.09,32.53,2.88,24.72,113,202.51,166.94,85.38,70.88,54.81,123.03,72.82,49.76,36.39,65.74,67.29,53.09,15.38,18.09,11.1
vercel,7.54,15.79,6.98,15.38,23.22,21.77,9.67,9.62,20.94,20.19,9.8,3.17,7.61,14.03,20.77,7.36,10.47,13.26,20.74,3.1,3.95,4.94,6.64,7.37,2.79,1.44,0.94
department-of-veterans-affairs,22.85,0.74,25.28,132.14,110.83,75.91,163.29,38.25,90.63,269.67,0.46,35.07,62.49,39.45,55.31,33.78,48.86,57.22,6.33,11.17,12.29,7.7,8.73,12.05,6.37,3.25,2.48
zephyrproject-rtos,16.27,9.51,5.99,8.29,6.72,6.61,5.41,16.11,11.02,81.22,8.3,8.93,7.49,14.17,7.55,7.76,5.74,6.15,4.29,4.15,5.83,4.33,4.99,5.69,3.26,2.41,2.07
Automattic,0.09,0.02,0.17,0.14,1.98,0.11,0.31,3.67,1.56,0,1.96,0.27,0.05,2.33,2.22,6,1.35,1.26,3.17,0.53,0.49,0.12,0.37,0.93,0.33,0.59,0.31
qmk,3.42,3.11,5.16,10.41,6.06,5.3,3.44,10.3,13.29,25.07,6.69,9.44,9.59,16.14,17.44,6.94,11.86,10.19,3,3.05,6.26,5.02,5.92,5.05,4.56,2.22,2.24
mrdoob,16.87,1.72,3.83,2.21,7.44,2.36,0.96,22.61,10.97,0.68,2.05,0.59,2.9,11.3,3.18,0.54,4.34,0.6,10.81,0.65,4.95,2.54,6.28,4.74,1.28,1.58,1.32
termux,0.73,1.23,1.2,3.61,193.05,0.84,0.44,13.21,7.26,81.78,1.51,4.66,9.7,23.01,22.32,12.98,24.68,13.42,25.77,11.39,13.13,13.81,8.23,4,3.54,2.28,1.67
rapid7,15.71,3.2,34.4,2.85,1.86,39.13,57.23,33.43,0.73,31.33,11.62,2.95,1.76,2.44,1.38,2.52,19.93,3,7.68,5.35,10.61,13.29,1.83,6.16,2.34,4.68,2.42
Regalis11,137.14,38.25,89.8,152.6,16,11,2.33,103.88,205.38,4,82.86,15.22,3,84.2,0.75,0,21.83,60.67,22.5,7.33,207,121.5,37,73,37,18.1,5.5
Koenkk,54,0.58,0.21,0.27,0.44,3.5,0.25,0.9,1.12,109,0.44,2.64,0.12,2.44,0.33,0.8,1.6,0.56,0.29,7.67,1.33,1.29,0.38,32.75,1,1.29,0.5
ccxt,13.39,4.02,11.47,22.5,0.41,18.15,16.61,8.88,8.35,39.77,9.7,3.23,12.1,20.53,20.03,10.91,26.93,28.42,29.95,19.86,24.85,9.08,10.37,6.36,6.03,1.23,2.96
JuliaLang,3.45,12.48,15.06,4.88,17.24,19.2,1.73,19.36,15.39,25.47,8.79,20.85,13.34,21.76,20.81,9.73,21.54,14.14,12.92,11.22,6.02,6.93,9.35,4.01,4.12,2.5,2.64
jitsi,0.89,0.79,0.66,0.75,1.23,1.45,25.42,11.63,4.39,0.38,2.06,0.55,4.15,6.14,13.48,4.36,9.22,18.36,9.07,0.87,3.1,5.27,4.35,5.21,1.17,0.49,1.2
WordPress,14.02,17.05,18.01,18.99,32.53,17.32,21.99,27.99,25.05,81.12,15.18,18.31,11.92,14.51,17.89,8.96,19.98,22.03,16.96,10.62,10.06,12.48,9.37,4.9,6.17,5.03,2.5
istio,0.21,0.3,4.05,1.9,9.93,2.11,0.29,4.23,0.12,0.18,6.88,5.05,2.04,9.1,5.97,5,6.18,10.65,6.97,0.87,1.53,2.84,3.17,4.8,0.53,0.22,0.53
qbittorrent,0.58,0.44,0.55,2.16,21.61,1,0.56,0.37,0.59,116.64,0.36,0.35,0.34,0.41,3.07,0.4,0.22,0.67,0.36,0.29,0.43,4.43,0.41,0.91,2.65,1.97,1.7
yt-dlp,67.83,53.69,0.45,0.46,0.54,0.73,0.8,29.82,4.65,52.31,16.24,6.69,7.16,41.74,11.08,15.99,9.17,27.7,4.25,7.19,5.76,4.75,6.68,5.48,6.91,6.69,2.88
DefinitelyTyped,3.06,0,0.15,0.03,0.36,3.45,1.22,1.44,0.1,13.04,3.59,0.52,2.29,3.91,2.52,4.2,6.1,1.14,0.68,2.36,0.83,1.3,0.48,0.84,0.51,0.16,0.08
mastodon,21.96,19.5,6.32,11.48,47.35,63.89,58.12,82.6,95.2,16,4.25,4.13,12.84,22.98,9.15,17.18,23.35,26.03,13.1,18.73,9.35,3.18,5.6,13.53,11.65,5.83,3.57
python,24.28,20.69,45.74,12.48,12.9,13.7,4.66,18.15,10.83,65.26,7.15,7.84,7.72,24.22,14.28,11.47,14.64,23.18,13.04,8.09,6.56,5.64,6.06,4.71,4.68,4.9,2.06
grpc,20.22,10.31,41.2,25.84,37.85,12.09,12.63,30.99,26.8,100.8,25.33,16.7,24.52,19.36,23.05,17.72,19.02,15.6,16.34,7.57,7.41,10.03,8.06,12.39,5.1,4.12,3.42
elastic,1.67,1.11,11.85,5.22,16.23,5.15,3.32,10.56,6.81,29.69,4.04,2.24,2.38,4.38,5.53,5.11,3.61,10.09,3.02,0.67,1.8,1.99,1.58,0.96,0.81,0.49,0.37
hashicorp,56.23,44.91,30.87,25.45,56.46,59.44,28.79,35.49,79.78,108,29.52,19.88,27.48,25.65,18,11.59,29.83,31.53,27.95,24.19,19.66,16.21,19.37,25.36,11.73,10.65,4.04
redis,22.67,1.35,4.09,18.33,11.68,27.15,17.5,9.11,16.87,39.12,12,0.48,4.65,6.52,6.1,5.93,10.46,0.47,10.26,6.9,7.79,4.31,9.74,1.4,4.33,2.4,2.24
Azure,4.85,11.72,3.22,4.45,11.48,8.51,5.97,33.84,10.49,36.2,13.33,14.09,12.44,25.65,19.52,23.08,13.19,14.81,13.59,7.39,11.08,6.98,4.7,6.46,2.35,2.37,1.08
golang,3.27,2.28,0.48,1.44,22.32,2.49,0,0,14.46,0.84,6.73,10.63,8.95,0,0.06,0.04,0.02,1.82,6.26,0.09,0.46,0.61,0.11,4.52,1.52,1.3,0
ceph,9.06,7.51,8.01,7.48,17.69,17.52,9.29,19.06,27.48,51.57,16.97,17.69,24.03,23.2,21.43,19.31,16.6,16.04,12.39,14.61,20.15,8.59,10.64,10.51,10.11,5.79,3.43
