Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,34,103,78,150,51,79,38,49,103,68,63,16,32,41,51,51,59,32,46,61,48,24,68,27,57,51,122
apple,660,685,653,668,686,686,645,592,543,528,441,635,507,851,621,621,483,637,382,739,580,538,413,468,462,609,744
OpenAPITools,200,165,207,109,204,154,72,155,169,197,204,290,147,162,92,100,76,50,85,130,113,129,108,133,107,118,96
nextcloud,281,252,366,272,112,151,161,164,222,179,193,61,148,128,130,65,47,85,89,107,57,170,78,42,45,76,70
ClickHouse,518,754,1136,879,774,911,595,1041,996,986,941,1013,591,460,555,772,917,725,1123,829,1128,886,898,770,1173,1055,964
AdguardTeam,206,495,745,489,134,69,98,92,56,132,152,304,313,238,158,191,243,109,131,77,123,62,121,127,113,81,61
pingcap,595,458,1097,836,1022,1079,1199,1076,1112,1229,1157,1822,693,539,1030,876,793,1018,1150,918,1121,474,924,816,763,879,1054
cms-sw,478,308,457,534,661,759,601,336,760,724,937,534,695,612,607,613,555,385,508,852,452,360,282,166,413,523,701
microsoftgraph,1156,629,886,991,1520,1673,777,716,896,729,535,805,801,648,1198,701,559,881,645,671,471,362,450,444,651,492,849
MarlinFirmware,148,120,120,107,51,96,62,88,92,96,111,77,49,20,25,56,29,11,37,34,6,60,20,12,11,73,36
conan-io,1057,993,1081,795,865,757,1284,1494,994,833,544,470,703,545,531,504,409,291,549,1136,1151,1477,824,866,729,600,460
pandas-dev,1346,1123,1360,1415,1146,813,734,767,1193,1058,987,1199,842,582,794,655,516,673,687,711,692,877,1253,1120,1054,1122,1200
woocommerce,127,119,94,98,91,48,77,110,71,86,93,79,100,100,84,204,397,212,312,356,407,479,336,324,435,186,450
Ultimaker,30,19,74,23,42,93,128,158,110,113,103,95,126,44,29,13,23,41,62,59,164,9,241,254,74,127,179
influxdata,310,1086,483,445,213,262,230,159,261,435,677,554,300,288,231,143,276,268,297,262,243,265,172,142,224,286,166
docker,136,130,215,150,57,180,141,122,61,98,122,101,79,185,149,197,303,134,482,340,282,394,221,189,363,164,189
magento,380,490,204,121,80,75,182,153,205,205,216,229,30,1,18,32,33,3,15,21,38,22,12,7,27,37,120
vercel,243,123,156,148,148,225,390,335,377,415,501,381,468,559,287,372,366,547,291,311,441,343,281,243,248,318,417
zephyrproject-rtos,2586,2246,2292,2464,2176,2460,2215,1959,2150,2539,3163,2571,3335,3462,3658,2619,2563,3078,3313,3634,2952,2578,2611,1997,3210,2423,3468
Automattic,878,1123,1248,972,1178,1416,1186,787,1060,1259,1586,1433,1412,1044,1037,803,955,999,1017,1715,1707,1329,1180,983,1170,1306,1452
