Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,134857,20167,46485,159977,67189,127470,181720,26540,40731,7860,120573,12747,193621,27110,69190,12657,34821,15294,18874,22077,18489,16420,106501,8922,155265,13407,17465
apple,141371,156132,236522,214958,211634,103389,181572,145005,114621,113839,183632,226267,262243,210449,165762,218257,127019,285913,85475,157843,137404,103917,131652,72767,170519,225819,328181
OpenAPITools,476601,303831,327757,241548,403898,171902,163422,242119,297320,50220,277691,193437,429550,217163,202538,351625,363767,119813,377331,554423,470540,340756,227093,298876,480195,221115,275361
nextcloud,11181,2876,6067,8367,143849,5270,19887,11667,111355,1770,7063,62323,42186,46266,5420,2000,37753,3723,48938,4211,10986,17359,61360,5345,11429,32534,12291
firstcontributions,40537,40382,78318,25458,31923,163156,472473,208825,122758,10867,42113,42286,38885,65414,125338,77278,242117,74440,59056,53926,59219,187149,38608,17938,39850,19505,60440
JuliaRegistries,30669,28308,33061,39714,41785,30818,28783,27382,28175,12556,27545,27466,30084,29347,29566,22755,27682,27772,27260,65920,29313,36867,27616,22284,25729,29789,28253
PaddlePaddle,101320,27061,70692,82909,71417,43307,110822,126697,138102,447,143510,407362,230153,530903,240851,34532,111226,91877,45827,49022,23140,168739,49782,8213,66062,56067,145336
ClickHouse,159401,181793,363561,379450,234649,194187,199864,225877,206415,76454,214972,230027,128914,126640,126138,560579,343757,361066,299417,185146,237648,406344,127376,282679,171853,423967,267228
jlord,3539,2573,2753,12059,1386,1707,942,975,50531,701,1827,797,1980,1388,3040,1420,1182,1002,873,1394,1057,947,1080,972,1584,4164,2369
prusa3d,122075,32526,8718,13846,2699,5846,30548,612,1236,45893,190284,53484,102862,12637,30033,25315,406,7832,39530,24172,140157,1670,7557,1767,65531,24266,23977
AdguardTeam,2592,3319,3995,8338,790,2429,4272,2431,849,126,2328,2516,3602,3478,1927,2139,2790,956,83419,1308,1800,406,807,780,9157,2048,53735
pingcap,69763,180556,199904,126957,142464,190176,302076,164775,138772,8780,215672,543364,312961,251803,541855,269044,760201,502480,313051,514973,631570,240317,460831,747798,685838,486811,305544
nodejs,400720,608010,560742,433229,328119,558512,641108,840216,502396,183324,477933,399113,714899,430807,263902,451420,505219,835365,416096,397760,397538,643083,1441466,572236,788819,676229,408324
cms-sw,110102,314141,156335,227040,251540,339976,224174,138556,398811,70706,367860,186316,260176,313808,310996,384612,491652,567887,452737,535884,562621,319480,253253,140915,137851,457139,269070
microsoftgraph,277170,142889,801159,507692,342834,525185,237992,328388,268962,52798,250750,696942,453688,246520,308879,146412,230391,552540,668025,585078,209814,174888,324285,161655,354393,672182,1352586
MarlinFirmware,461362,368663,459175,135806,225775,218792,256688,497692,226426,116028,242921,472901,475126,242217,311218,359866,301684,531504,165757,327689,17282,452209,214058,95670,77943,295395,293409
conan-io,59579,94897,86792,41272,55871,116350,106565,82916,157460,31985,66516,39201,71695,77283,78766,215897,56448,42757,41977,291631,94231,103296,88147,103066,159212,131349,82624
pandas-dev,88402,91184,88795,61597,48455,38895,24829,51898,48913,10726,35634,218397,60853,29411,27712,43703,18251,58036,24786,46843,33277,34990,44221,48132,48885,121708,59625
woocommerce,7715,16371,22418,16195,12807,11499,37738,24458,45745,21427,92450,10796,13460,60428,142046,152011,109832,129207,45946,117698,153113,219955,88031,139504,120124,76643,74858
logseq,11658,4526,7217,32629,64520,36250,78917,39820,44519,2008,86203,11554,70209,12795,37046,32853,98443,46499,59566,22681,46180,44966,27619,36553,56388,14611,25978
Ultimaker,90908,87636,84831,35276,61739,78246,17863,151900,31477,12646,79860,123088,101919,89832,171674,247658,125055,8773,70550,32002,70247,144235,363991,123499,339716,61293,25707
influxdata,32262,47295,73575,26695,11288,28998,21763,18561,40164,2724,119889,33007,22769,13184,136410,23784,68118,88930,43844,112788,25624,88604,94873,13476,18172,22194,19823
docker,18982,4945,16377,15707,6087,15298,12602,68189,8653,6001,2287,7311,4112,3867,37322,13437,26581,43166,64903,35203,53732,92339,53718,30905,145884,96153,62677
magento,44727,289455,20614,13109,8923,138610,45975,154120,39334,1012,25360,16957,3928,53220,1121,9225,8083,2389,215486,46425,2244,13420,2225,3786,702,5156,24068
vercel,149119,36423,105879,220336,137168,56513,53684,249675,320753,208915,323239,277247,250322,182691,148824,159562,307298,124058,186326,192815,250018,339096,98716,38753,117769,192736,496248
department-of-veterans-affairs,1912,2712,1969,3654,2069,6651,1321,3393,2837,916,517,1412,4347,3257,3650,3247,3261,2051,9636,6355,1633,259,1140,833,1592,2225,3279
zephyrproject-rtos,195876,199795,288213,302848,300707,225793,292731,231616,410852,183040,508939,266973,300507,209472,423031,208250,221362,200579,310105,249160,222872,319490,298963,240627,251154,246522,307561
Automattic,109240,106405,104505,127745,174310,65335,172185,81462,73012,16539,144378,135846,74860,64484,73495,62352,94980,51763,65031,112139,222841,143963,120424,164651,114719,98925,112901
qmk,349055,519529,257886,240987,272004,220075,401409,519235,303117,77127,549706,244661,337889,300893,115003,350240,366171,259758,198144,645765,166957,239457,552763,275637,144878,384542,457847
mrdoob,29946,28334,137248,456610,172021,118842,16559,177774,62209,2778,76921,33187,107505,35187,23628,84653,20902,8031,11200,67437,63356,70788,101740,20057,66972,219317,92509
termux,2602,1342,1287,4666,7610,2794,3673,7592,11706,1536,6878,17101,194511,20775,24788,183534,16322,11328,6528,25627,21736,104712,34295,25683,40892,42333,23257
rapid7,22311,25195,23629,27906,38978,10600,16050,22566,43636,4860,18766,32633,16271,16637,16269,19526,52936,41913,26095,42459,113679,57569,109992,290049,118105,48756,19219
Regalis11,1038,447,27608,424,1858,210,339,99,359,15,8959,182,246,12219,2672,175,112,170,267,134,29,291,388,1,37,471,170
Koenkk,17994,9559,4396,3314,5563,25676,51768,9847,102745,47844,23814,9457,22840,12754,2126,273487,20605,5707,6301,28763,4872,6227,6454,4030,5759,5133,3451
ccxt,8442,7017,8706,36702,18864,47048,21275,21988,10291,11681,20981,44700,77865,57402,56865,72110,83311,109057,60035,16556,1407976,315804,47444,49315,58896,30934,197486
JuliaLang,46705,26582,22520,25884,18702,84077,19663,22682,39091,8718,45577,60396,35012,58020,74362,19556,23496,26872,70817,19772,45426,64074,23693,43973,36354,47332,52978
jitsi,109717,25210,29676,160564,76195,75327,69172,125805,250538,3801,126366,32361,83407,79327,27756,83090,27560,45199,18039,23287,95029,142835,46374,17131,8261,14800,26966
WordPress,94770,180338,160764,288274,175319,100495,177582,168342,69777,4396,96419,126883,90853,107386,103881,143162,101854,82697,78170,145523,143677,69141,96419,92089,63747,77650,153509
istio,179469,115537,154352,131458,44975,68060,84335,66384,51916,3680,39212,52720,44410,35785,231821,73930,151959,48090,59760,66974,51163,133630,106410,31905,43274,174439,56612
qbittorrent,103460,1445,7721,96325,89139,6878,2019,16816,8854,19895,24260,5289,54085,5157,12146,3199,57144,5226,35408,50276,7661,3146,5567,14274,9596,5917,3963
yt-dlp,2672,7404,5434,10607,4698,3013,8155,9253,14234,3423,20026,11962,11933,12005,8645,8738,12394,10721,7427,16223,13602,13724,12857,7070,6204,7505,10491
