Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,3054,6204,24739,23110,19853,74135,5372,2496,5123,2363,104343,5681,3186,127072,15104,3930,46079,2681,3938,7898,12829,20689,68075,3317,183127,3831,6658
apple,75995,66908,183810,136009,97030,223232,127423,83369,49020,18282,40714,157359,213290,123568,151017,101167,67160,73286,30717,114744,69899,51329,180495,46228,66572,93494,378597
OpenAPITools,226734,105507,250877,116656,78281,41872,76450,41787,127747,35909,103589,109754,240511,375665,128829,175190,255934,170789,143287,201357,149517,129332,202216,104284,176318,127658,185143
nextcloud,3971,1272,1880,40364,88013,2282,57243,4983,58481,626,38252,50845,29431,30485,1641,498,32314,1465,25782,2279,8249,8265,56828,1817,4250,28571,3422
firstcontributions,54437,24728,73258,24495,36528,170334,292215,166306,157539,11763,52211,47323,44520,55240,125683,43265,264902,108572,63773,54599,94901,157534,65107,14463,25006,21170,65024
JuliaRegistries,3789,2262,2876,6816,9777,3063,3001,2864,2620,1289,3169,2830,3048,3015,2892,2178,2407,3194,2558,37267,2466,2795,2742,1997,2379,3648,3803
PaddlePaddle,33003,25440,1612,54016,57965,15175,165532,94214,113264,3,134582,204285,42764,221038,53034,41063,258503,207818,17212,80544,5788,19898,1175,433,3243,1863,29270
ClickHouse,78836,59653,155897,140166,58156,80505,130336,74256,125166,19767,95096,96703,44081,43089,93758,676979,391255,477112,294497,141491,82516,237179,39049,231136,79166,164493,169726
jlord,157106,44742,8368,1194259,66051,19990,21319,39329,84606,45576,21283,125,13375,110672,35394,27355,78748,100583,11,19157,89821,5930,8,7859,114184,190509,123991
prusa3d,83192,1088,3113,327,946,1401,306,210,720,60299,8790,48874,6934,1397,34498,24487,103,22511,57344,44653,92403,94,47,52,28,20546,32964
AdguardTeam,38879,1611,2417,6675,592,3104,5054,2106,632,81,731,1847,1878,1729,1310,2555,4863,1024,83510,1097,3477,328,728,917,10406,3663,53808
pingcap,28529,127721,156710,34955,44948,130728,91634,40392,58898,6424,153317,493833,170667,222067,243393,134289,223982,123707,173622,191828,145677,165315,241104,425245,384102,267436,225220
nodejs,279229,390341,416597,222395,449706,431101,349483,648393,509298,148151,321028,269760,479689,544183,112866,380417,342238,411713,362384,113307,190393,449462,848555,297871,458705,523736,340369
cms-sw,38208,86051,114486,140704,156331,127999,142731,91138,160340,23276,86276,85659,147677,127142,228629,302399,313438,264913,448175,472882,442400,430284,301714,172109,111195,110866,167899
microsoftgraph,160633,57219,289609,396711,97389,94242,86280,193527,312844,24221,129544,161613,136774,142042,114550,42661,97066,387615,513721,137884,97599,55310,123861,53089,369297,350559,931207
MarlinFirmware,268802,460553,619938,239050,132188,121489,175470,185325,112035,61061,409663,760383,956152,487878,542891,497144,368261,689613,218747,205264,5345,181480,166311,30289,37288,198686,184681
conan-io,5015,9289,10117,6188,4363,5839,13838,7592,15214,2017,6227,5280,28197,18385,16573,68390,12634,10376,11317,89133,39231,45853,46973,37682,69147,56268,38829
pandas-dev,69428,50795,29395,34627,28894,24046,20378,19416,19913,5284,23441,41957,80187,21747,21316,17139,10274,37126,8647,19899,17221,39344,45003,41704,25625,102118,39398
woocommerce,4322,4147,5304,4885,4661,4030,29272,14231,17390,63112,34482,6475,4763,6093,80916,64308,74562,47899,21298,80325,100817,106982,82235,86544,64032,59969,48157
logseq,5773,1808,5207,18905,45417,18340,2811,4837,20800,1095,76327,6059,9868,9834,74932,31926,9501,4994,67776,11174,15521,5792,13403,11985,25273,8754,6131
Ultimaker,502,1396,4468,59094,16771,73946,1102,39829,13878,219,33583,74352,86234,37597,114712,202511,112415,3738,4252,2815,16208,155165,63636,9049,46720,17443,13703
influxdata,62859,8163,103632,12568,1650,3962,5276,30672,5606,1025,37654,3475,40887,53001,211931,20420,12493,24943,8954,58962,7061,17390,10876,3268,8649,46425,37482
