Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,131803,13963,21746,136867,47336,53335,176348,24044,35608,5497,16230,7066,190435,-99962,54086,8727,-11258,12613,14936,14179,5660,-4269,38426,5605,-27862,9576,10807
apple,65376,89224,52712,78949,114604,-119843,54149,61636,65601,95557,142918,68908,48953,86881,14745,117090,59859,212627,54758,43099,67505,52588,-48843,26539,103947,132325,-50416
OpenAPITools,249867,198324,76880,124892,325617,130030,86972,200332,169573,14311,174102,83683,189039,-158502,73709,176435,107833,-50976,234044,353066,321023,211424,24877,194592,303877,93457,90218
nextcloud,7210,1604,4187,-31997,55836,2988,-37356,6684,52874,1144,-31189,11478,12755,15781,3779,1502,5439,2258,23156,1932,2737,9094,4532,3528,7179,3963,8869
firstcontributions,-13900,15654,5060,963,-4605,-7178,180258,42519,-34781,-896,-10098,-5037,-5635,10174,-345,34013,-22785,-34132,-4717,-673,-35682,29615,-26499,3475,14844,-1665,-4584
JuliaRegistries,26880,26046,30185,32898,32008,27755,25782,24518,25555,11267,24376,24636,27036,26332,26674,20577,25275,24578,24702,28653,26847,34072,24874,20287,23350,26141,24450
PaddlePaddle,68317,1621,69080,28893,13452,28132,-54710,32483,24838,444,8928,203077,187389,309865,187817,-6531,-147277,-115941,28615,-31522,17352,148841,48607,7780,62819,54204,116066
ClickHouse,80565,122140,207664,239284,176493,113682,69528,151621,81249,56687,119876,133324,84833,83551,32380,-116400,-47498,-116046,4920,43655,155132,169165,88327,51543,92687,259474,97502
jlord,-153567,-42169,-5615,-1182200,-64665,-18283,-20377,-38354,-34075,-44875,-19456,672,-11395,-109284,-32354,-25935,-77566,-99581,862,-17763,-88764,-4983,1072,-6887,-112600,-186345,-121622
prusa3d,38883,31438,5605,13519,1753,4445,30242,402,516,-14406,181494,4610,95928,11240,-4465,828,303,-14679,-17814,-20481,47754,1576,7510,1715,65503,3720,-8987
AdguardTeam,-36287,1708,1578,1663,198,-675,-782,325,217,45,1597,669,1724,1749,617,-416,-2073,-68,-91,211,-1677,78,79,-137,-1249,-1615,-73
pingcap,41234,52835,43194,92002,97516,59448,210442,124383,79874,2356,62355,49531,142294,29736,298462,134755,536219,378773,139429,323145,485893,75002,219727,322553,301736,219375,80324
nodejs,121491,217669,144145,210834,-121587,127411,291625,191823,-6902,35173,156905,129353,235210,-113376,151036,71003,162981,423652,53712,284453,207145,193621,592911,274365,330114,152493,67955
cms-sw,71894,228090,41849,86336,95209,211977,81443,47418,238471,47430,281584,100657,112499,186666,82367,82213,178214,302974,4562,63002,120221,-110804,-48461,-31194,26656,346273,101171
microsoftgraph,116537,85670,511550,110981,245445,430943,151712,134861,-43882,28577,121206,535329,316914,104478,194329,103751,133325,164925,154304,447194,112215,119578,200424,108566,-14904,321623,421379
MarlinFirmware,192560,-91890,-160763,-103244,93587,97303,81218,312367,114391,54967,-166742,-287482,-481026,-245661,-231673,-137278,-66577,-158109,-52990,122425,11937,270729,47747,65381,40655,96709,108728
conan-io,54564,85608,76675,35084,51508,110511,92727,75324,142246,29968,60289,33921,43498,58898,62193,147507,43814,32381,30660,202498,55000,57443,41174,65384,90065,75081,43795
pandas-dev,18974,40389,59400,26970,19561,14849,4451,32482,29000,5442,12193,176440,-19334,7664,6396,26564,7977,20910,16139,26944,16056,-4354,-782,6428,23260,19590,20227
woocommerce,3393,12224,17114,11310,8146,7469,8466,10227,28355,-41685,57968,4321,8697,54335,61130,87703,35270,81308,24648,37373,52296,112973,5796,52960,56092,16674,26701
logseq,5885,2718,2010,13724,19103,17910,76106,34983,23719,913,9876,5495,60341,2961,-37886,927,88942,41505,-8210,11507,30659,39174,14216,24568,31115,5857,19847
Ultimaker,90406,86240,80363,-23818,44968,4300,16761,112071,17599,12427,46277,48736,15685,52235,56962,45147,12640,5035,66298,29187,54039,-10930,300355,114450,292996,43850,12004
influxdata,-30597,39132,-30057,14127,9638,25036,16487,-12111,34558,1699,82235,29532,-18118,-39817,-75521,3364,55625,63987,34890,53826,18563,71214,83997,10208,9523,-24231,-17659
docker,15153,1880,7111,9349,2473,-2592,4507,53294,-44231,325,877,5338,2424,2076,13104,10333,13506,15951,-33616,-8447,16989,34380,8547,14586,-40126,15366,6118
magento,-63110,69178,-87346,10193,7175,115241,13968,34680,1092,657,7018,9495,1363,22105,956,8425,7016,1391,-11963,24852,1596,10161,-10656,-9095,499,-1919,-3265
vercel,74863,26354,25021,87067,45768,31640,5601,12118,-3416,-15571,-54112,-87798,33497,16953,37503,47643,140497,81439,25911,67676,151502,-89618,53696,-3829,57556,84620,241827
department-of-veterans-affairs,1397,1588,-308,2719,1295,6531,1027,2070,2099,-2139,394,1282,3436,2756,2850,2093,1787,1868,5837,1406,1447,6,351,645,940,1952,2700
