Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,609.78,610.07,628.53,643.92,670.45,686.34,708.65,724.93,745.53,772.01,774.48,773.78,796.05,812.64,837.57,847.36,868.17,872.9,898.3,910.56,921.66,935.19,944.54,963.39,981.98,989.35,1009.41
apple,242.29,270.29,301.29,331.29,362.29,392.29,423.29,454.29,484.29,515.29,545.29,576.29,607.29,635.29,666.29,103.54,61.23,54.06,65.66,73.26,88.4,103.67,117.3,133.33,151.88,159.71,175.39
OpenAPITools,422.92,433.64,446.16,457.81,471.13,484.49,498.06,517.09,534.67,560.66,571.25,585.3,598.04,608.21,621.92,640.12,659.93,670.39,682.23,691.17,702.91,718.58,728.14,746.96,766.03,773.87,791.22
nextcloud,553.01,520.22,563.24,562.45,516.56,495.15,483.59,497.72,484.86,506.95,522.31,530.4,525.81,531.74,552.07,569.11,585.19,609.03,626.41,632.98,642.99,648.93,660.47,681.45,694.45,688.53,695.98
firstcontributions,477.25,434.95,346.91,340.33,355.17,339.49,365.79,387.21,496.17,518.85,523.27,516.81,517.45,485.94,481.88,488.74,592.56,590.2,751.03,748.95,676.13,636.08,665.43,641,591.18,543.97,527.35
JuliaRegistries,277.89,305.89,336.89,366.89,360.6,390.6,421.6,413.91,443.91,487.67,468.6,499.6,530.6,508.91,457,486.08,450.87,476.2,507.2,534.33,529.62,560.62,555.94,554.39,584.06,607.06,638.06
PaddlePaddle,56.5,64.12,77.32,84.66,88.43,100.52,102.22,105.28,107.6,130.81,142.35,155.16,173.06,188.95,200.77,221.6,228.23,241.59,250.58,257.1,259.39,265.35,273.88,289.26,313.56,322.38,325.85
jlord,688.79,716.79,747.79,726.73,808.79,838.79,813.2,844.2,874.2,905.2,935.2,966.2,935.75,963.75,994.75,913.94,896.84,926.84,957.84,988.84,968.9,999.9,981.48,1012.48,1043.48,1022.82,1008.52
prusa3d,416.8,420.82,434.86,448.52,470.1,495.6,514.12,536.47,548.14,564.64,574.45,576.04,585.75,588.23,606.66,618.07,635.25,656.59,663.26,668.55,673.55,686.68,701.99,717.98,732.54,710.92,700.7
AdguardTeam,693.6,749.7,792.92,796.03,731.62,743.65,819.79,738.16,718.65,663.84,623.78,557.18,532.11,597.58,631.01,650.85,631.53,647.54,617.16,661.07,683.43,681.97,706.03,717.39,726.25,732.76,748.65
pingcap,390.67,403.92,414.3,421.3,425.72,424.61,415.65,433.07,422.08,439.46,440.09,453.88,459.71,473.78,486.19,505.77,519.69,531.47,549.85,557.55,576.07,592.38,607.62,624.32,639.49,654.67,663.98
nodejs,554.26,568.85,576.35,591.88,599.97,612.46,626.98,639.76,654.67,676.18,683.93,697.33,706.96,725.04,733.6,742.45,754.14,766.11,781.92,803.28,815.17,832.18,853.88,878.69,890.33,907.68,920.09
cms-sw,706.19,711.68,730.8,743.15,754.97,776.93,788.51,792.54,776.45,795.44,809.48,818.32,832.68,848.53,857.83,879.55,882.44,904.92,912.17,910.57,928.84,939.14,975.95,995.96,1001.76,1016.23,1016.23
microsoftgraph,428.83,449.17,467.09,484.04,504.01,514.39,552.63,588.1,642.52,642.48,648.01,660.23,659.9,659.36,683.26,689.71,692.17,703.49,727.32,722.93,732.03,742.56,765.68,771.66,796.75,818.71,832.08
MarlinFirmware,786.51,802.03,825.26,819.41,816.64,833.99,884.97,896.51,901.62,907.01,914.88,935.61,924.3,930.38,952.39,1016.98,1036.61,1052.73,1090.96,1098.05,1114.07,1139.55,1170.03,1186.91,1194.6,1219.51,1232.6
conan-io,192.9,209.59,221.44,234.41,250,258.04,273.17,277.08,296.77,317.65,320.86,335.45,344.35,361.66,361.43,376.72,388.01,393.94,396.51,403.63,437.9,441.7,448.18,461.01,474,491.69,496.95
pandas-dev,944.52,954.03,965.89,983.09,997.34,1011.69,1033.25,1078.4,1092.3,1114.84,1137.79,1163.66,1179.74,1193.24,1206.84,1214.55,1235.3,1258.89,1275.89,1303.69,1306.49,1317.59,1331.96,1352.43,1358.95,1370.11,1383.13
logseq,77.81,98.19,113.42,125.44,108.88,126.66,132.54,147.57,160.11,186.69,187.33,184.49,181.14,180,189.41,191.85,205.66,210.88,221.84,235.61,247.23,258.48,273.84,287.77,308.23,326.89,341.24
Kaiserreich,669.8,659.95,796.15,754.92,787.97,797.82,845.71,843.71,842.99,846.27,882.04,902.14,816.89,873.06,888.41,899.06,936.53,875.99,853.4,878.69,864.02,854.87,860.87,861.16,889.76,914.09,943.78
