Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,52.8,75.5,7.86,4.5,1.33,186.33,3,33.4,45.2,52.5,58.4,15.79,28.23,3,4.2,17.67,9.29,24.33,8.25,11.38,71.33,4,41.5,17.8,34.33,16.25,5.4
apple,524,520.5,517.78,522.75,427.2,471,374.67,379.6,382.09,301,230,273.12,194.35,195.07,156.93,79.19,40.84,24.51,29.9,25.72,13.68,24.5,15.84,26.32,8.28,6.09,4.43
OpenAPITools,115.87,135.28,133.11,97.84,110.6,131.57,65.03,59.26,71.73,79.63,63.23,64.37,74.91,94.58,68.69,34.15,38.67,30.03,39.68,28.16,23.23,25.75,16.47,26.92,14.08,9.1,6.12
nextcloud,23.14,73.32,73.41,69.99,76.86,69.17,63.82,77.98,88.04,73.93,56.42,77.5,77.94,73.4,68.52,76.86,29.57,54.9,53.2,58.21,21.42,23.78,43.33,6.43,9.72,8.27,2.67
firstcontributions,35.29,191.29,138.44,206.09,122.8,84.06,12.8,61.57,78.83,200,214,191.4,128.33,105.22,38.71,18.71,25.33,4.71,0.83,3.41,4.62,2.27,1.33,17.57,0.5,3.67,9.5
PaddlePaddle,96.54,151.07,193.2,180.27,87.99,69.47,74.33,98.11,109.14,94.76,88.12,104.79,93.8,87.81,83.87,77.42,85.26,76.45,59.43,50.27,63.35,66.85,59.34,48.61,13.21,7.9,2.91
ClickHouse,77.49,90.76,85.08,76.17,68.65,77.86,76.75,63.31,70.55,124.3,55.02,46.36,43.12,50.6,31.92,43.58,39.22,36.86,28.67,22.86,24.36,17.66,18.9,12.22,9.56,5.8,2.69
prusa3d,82.1,57.66,46.68,47.52,29.74,10.19,26.94,13.95,27.49,56.15,22.49,25.67,31.99,37.85,27.32,56,22.44,47.77,19.53,22.65,17.71,15.14,6.24,16.02,8.73,3.99,2.38
AdguardTeam,7.95,4.66,4.82,5.12,7.01,7.2,4.12,4.37,7.07,11.35,11.3,14.44,13.57,10.41,5.17,2.25,3.2,2.62,3.29,3.13,1.4,1.49,1.99,1.74,1.56,2.23,2.04
pingcap,59.09,73.5,30.5,54.38,54.27,69.34,35.66,54.5,59.63,78.41,29.25,29.84,43.24,39.55,17.7,29.28,23.14,32.49,20.32,21.73,17.74,21.52,11.64,12.45,11.18,5.08,3.54
nodejs,74.08,104.98,99.48,86.96,83.9,81.33,101.13,83.4,48.29,101.93,68.33,49.57,90.91,37.51,51.37,70.16,61.7,48.71,28.76,36.99,23.45,15.06,16.14,9.98,7.75,5.58,2.3
cms-sw,81.33,72.78,61.63,86.74,71.88,48.41,66.2,62.35,39.23,92.96,26.22,56.7,35.94,43.12,35.31,36.68,50.92,40.52,23.09,13.82,44.12,12.39,24.33,11.2,8.44,5.2,8.12
microsoftgraph,95.18,120.77,99.14,50.6,74.6,62.01,30.53,50.24,39.29,59.33,23.79,36.75,65.47,43.25,36.22,32.25,28.34,40.68,28.76,25.56,25.6,19.32,8.89,16.79,9.64,4.3,4.22
MarlinFirmware,31.65,50.6,45.43,44.95,49.8,27.96,38.98,37.31,44.01,69.21,52.85,33.17,35.45,37.76,21.57,19.76,28.6,29.49,27.08,35.48,30.06,38.22,20.18,14.18,11.57,2.03,1.63
conan-io,84.35,67.67,52.53,51.5,60.58,64.68,43.79,47.6,30.73,63.44,56.26,27.15,37.08,21.67,25.06,31.32,31.92,44.68,47.49,18.25,11.9,19.19,14.84,14.58,7.59,8.11,7.19
pandas-dev,102.9,73.77,88.83,65.58,85.75,85.18,59.31,65.43,51.53,74.26,55.74,46.48,44.69,42.73,71.03,73.18,28.05,27.22,26.57,25.05,26.4,24.72,14.6,12.62,15.8,8.7,5.3
woocommerce,58.86,59.55,51.02,52.95,45.39,46.49,41.78,36.13,44.28,59.74,40.43,76.24,33.95,48.55,36.62,39.64,34.89,27.97,43.97,45.11,37.17,36.75,26.88,16.21,21.72,12.71,6.99
logseq,91.94,107.86,138.34,119.84,75.72,110.43,135.63,74.13,78.41,120.39,50.27,42.38,77.53,78.5,106.94,142.98,132.57,99.13,101.5,85.11,65.42,39.91,29.54,18.32,12.7,9.63,2.78
Ultimaker,11.4,14.42,21.27,19.24,8.65,12.26,11.15,23.86,11.62,16.3,8.68,13.14,8.95,14.39,19.3,17.54,15.63,15.98,12.65,18.65,17.82,14.04,12.79,9.51,8.73,7.3,3.99
influxdata,227.62,189.61,148.29,122.89,115.93,103.6,167.94,128.35,99.76,108.82,73.57,44.16,76.4,53.89,36.57,19.97,38.74,25.21,31.76,20.6,23.81,19.18,9.83,14.43,8.38,7.91,6.11
docker,339.64,335.67,331,302.78,279.41,304.44,267.24,171.87,199.7,162.79,115.91,140.89,173.03,142.02,97.89,122.88,64.03,71.86,43,41.75,25.03,48,42.76,24.64,13.13,8.36,5.57
ValveSoftware,2.08,6.09,31.45,24.39,23.5,16.63,1.69,21.49,1.05,5.15,26.29,17.53,16.71,14.84,9.9,8.71,6.38,19.4,3.14,0.41,9.16,10.95,5,7.97,0.61,1.58,0
magento,74.36,73.43,84.52,72.51,68.87,46.51,63.31,58.3,50.05,86.85,40.38,64.18,55.67,78.82,54.43,51.41,52.65,56.24,25.79,29.49,32.65,19,29.48,22.22,21.12,12.51,7.77
vercel,82.37,100.09,88.3,86.4,120.5,74.57,56.33,69.43,77.74,62.55,74.75,51.68,36.88,44.26,69.88,71.19,54.09,34.7,49.1,24.5,19.32,12.13,16.04,23.08,13.65,8,3.7
department-of-veterans-affairs,66.71,70.5,68.12,56.16,55.49,56.49,61.25,68.24,60.28,73.19,49.68,51.56,51.94,50.86,46.4,43.27,44.87,42.11,29.5,26.51,28.21,32.91,26.63,24.45,18.7,13.11,6.11
zephyrproject-rtos,44.12,54.58,43.99,52.46,30.75,53.48,53.82,39.88,51.03,83.72,47.93,89.2,50.08,61.11,46.15,31.89,31.29,37.89,44.91,27.65,28.22,30.26,26.47,30.81,14.24,7.17,4.21
Automattic,81.71,75.69,96.91,102.1,90.6,65.89,76.67,71.29,66.36,74.05,49.18,38.26,44.2,45.8,34.79,38.64,39.47,35.8,31.11,28.14,17.53,23.82,26.84,24.25,16.87,10.37,5.13
qmk,74.29,115.45,87.09,67.14,134.12,167.41,133.74,95.61,191.8,118.56,142.85,126.69,124.52,66.63,88.27,83.83,48.3,71.45,45.76,30.28,59.61,33,11.07,8.35,4.73,6.08,1.46
