Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,5.86,78.64,153.1,99.06,66.4,103.83,71.75,61.64,91,79.67,26.8,51.8,33.71,29.42,6.23
PixelExperience,5.35,5.92,6.74,4.93,7.37,8.97,9.96,0,3.63,1.12,1.01,1.9,0.51,0.33,0.49
OpenAPITools,207.66,195.09,161.9,125.78,173.8,137.23,126.12,135.38,107.14,100.48,72.04,63.6,42.21,27.47,11.26
nextcloud,144.4,130.65,128.32,151.65,93.88,85.94,91.77,92.62,70.86,83.04,69.27,52.23,27.08,26.67,13.25
firstcontributions,19.75,13.89,22.29,8.71,203.38,1.79,2.38,28.53,12,1.5,4.86,19.2,23.64,14.18,7.88
PaddlePaddle,30.1,74.54,26.79,78.79,34.39,28.02,29.93,18.52,28.08,30.31,21.19,18.42,11.37,7.35,5.07
ClickHouse,63.06,79.31,56,48.62,79.85,69.33,52.53,49.02,38.44,30.61,43.74,25.72,20.88,14.88,6.84
prusa3d,59.5,93.7,73.15,59.46,43.02,72.54,50.58,39.51,34.23,31.68,31.64,33.29,16.5,11.29,6.71
AdguardTeam,125.47,103.92,72.25,17.86,41.17,45.34,36.34,15.11,8.3,11.03,9.5,6.15,4.42,3.91,3.19
pingcap,119.43,108.14,86.52,93.1,79.36,94.4,55.9,56.89,55.78,49.65,35.42,31.74,23.15,16.93,8.11
nodejs,52.27,47.08,49.84,53.47,55.4,34.19,17.89,21.96,19.59,22.29,12.06,13.02,7.8,4.86,2.55
cms-sw,0,0,0,0.05,5.92,0.3,7.29,0,0,0,0.02,0.05,0,0,0
microsoftgraph,185.7,164.14,124.65,131.73,165.1,130.22,113.33,90.88,112.57,86.96,71.97,57.95,44.42,26.73,11.71
MarlinFirmware,34.07,45.24,35.69,2.94,39.14,33.36,37.66,36.28,22.62,27.75,14.21,16.13,12.22,10.21,3.91
conan-io,64.32,99.78,68.01,69.83,107.81,105.82,71.32,48.2,58.75,54.21,56.35,39.95,22.49,16.68,8.25
pandas-dev,50.85,67.7,46.94,37.33,56.67,42.47,37.35,26.82,30.26,31.77,19.98,14.03,18.24,11.11,3.61
