Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,443,804,694,640,610,482,615,641,550,539,531,452,568,654,615
PixelExperience,429,245,242,417,313,282,204,289,212,166,306,250,316,237,321
apple,506,577,644,845,836,884,681,737,670,580,681,603,756,809,1045
OpenAPITools,504,452,427,432,407,347,455,465,430,426,439,318,403,440,432
nextcloud,257,222,249,197,255,214,228,199,225,221,222,172,175,201,155
firstcontributions,910,695,728,651,1468,879,1087,1388,1737,4766,1524,1236,1347,1029,1352
JuliaRegistries,2142,2144,2102,1742,2067,2058,2000,2150,1915,2178,1864,1738,1969,2075,2136
PaddlePaddle,388,360,448,485,479,486,436,869,522,523,533,423,393,534,616
ClickHouse,1160,994,1165,1330,1221,1253,1482,1550,1517,1345,1318,1315,1425,1588,1603
jlord,400,505,785,308,197,225,194,263,297,255,259,213,345,537,778
prusa3d,329,245,229,213,178,174,238,279,290,224,224,236,245,631,474
AdguardTeam,4880,4240,3363,3184,3603,3007,2823,3090,2698,2751,2697,2661,2924,2839,3055
pingcap,1166,1061,1243,1084,1016,1121,1117,1259,1374,662,976,997,867,1203,1150
nodejs,675,634,709,727,566,630,663,588,625,713,670,572,660,688,700
cms-sw,331,373,437,462,592,544,425,487,403,520,401,317,313,343,427
microsoftgraph,449,432,544,490,533,621,687,562,626,554,539,479,567,511,904
MarlinFirmware,449,356,1369,2236,306,356,330,278,266,260,215,279,282,294,329
conan-io,746,579,750,686,603,577,687,897,830,901,834,773,840,990,857
pandas-dev,956,705,649,527,481,663,625,703,772,789,825,856,939,998,1108
woocommerce,412,372,594,592,662,586,638,637,567,748,556,617,718,507,813
logseq,560,398,505,496,464,501,462,463,458,456,548,838,687,522,546
Ultimaker,353,307,281,371,493,424,415,404,402,429,427,375,415,410,539
influxdata,393,405,428,358,377,370,301,383,310,384,321,222,246,293,324
docker,192,151,193,359,473,450,300,376,338,396,1041,709,885,385,5377
ValveSoftware,263,355,338,288,245,277,291,293,244,249,267,279,264,253,212
magento,449,377,370,421,424,436,426,603,487,526,492,454,403,454,725
vercel,6076,1152,907,850,894,883,931,918,898,1077,1332,1264,1452,1485,1391
department-of-veterans-affairs,2445,2424,2748,2345,2148,2370,2302,2547,2106,2080,1845,1833,2556,2355,2778
zephyrproject-rtos,1385,1434,1685,1327,1368,1461,1861,1900,1669,1464,1564,1173,1462,1527,1670
Automattic,1499,1323,1290,1120,1427,1373,1381,1615,1721,1555,1340,1370,1694,1526,1786
qmk,784,467,427,570,414,589,610,759,481,546,476,455,464,412,477
mrdoob,360,283,294,235,235,182,177,232,223,232,263,232,229,257,258
termux,519,405,528,721,506,276,327,418,547,560,1011,842,689,565,547
rapid7,197,176,228,193,202,166,185,200,221,211,207,186,248,230,212
Regalis11,363,391,388,420,295,331,270,234,269,254,486,377,478,380,418
Koenkk,763,646,602,552,549,491,531,560,623,727,771,817,941,827,741
ccxt,745,422,524,561,569,695,658,458,394,482,505,495,527,401,543
JuliaLang,655,815,763,512,635,509,539,557,706,707,669,466,630,630,556
jitsi,473,228,313,496,222,203,196,211,221,242,193,142,155,173,203
WordPress,1214,1339,1249,1283,1297,1010,1439,1754,1711,1461,1278,1050,1343,1574,1690
istio,750,879,924,779,866,799,781,1027,748,740,811,665,732,955,793
qbittorrent,470,303,401,255,301,246,735,403,213,239,212,291,256,226,231
yt-dlp,505,452,472,460,455,465,442,426,410,492,407,365,329,411,448
DefinitelyTyped,642,558,680,568,534,473,521,614,500,531,508,391,393,520,515
mastodon,234,284,312,350,425,223,204,268,209,392,2177,1256,797,790,706
python,921,861,814,1616,2217,1671,1593,1528,1478,1936,1684,1198,1231,1310,1265
grpc,429,361,429,570,527,492,387,473,630,465,442,338,399,346,388
elastic,3078,3407,3822,3183,3009,3219,3009,3664,3687,2750,3852,2332,2938,3650,2764
sveltejs,623,589,433,557,480,271,565,742,635,429,519,445,625,508,391
idsb3t1,193,207,213,237,232,222,200,399,263,335,281,76,185,200,211
unifyai,68,305,523,337,274,492,893,1675,1743,1781,1471,2046,1480,1536,3112
hashicorp,1087,1039,1026,969,3591,2643,1237,1293,1300,1322,1350,1213,1319,1464,1702
redis,296,264,208,232,196,166,221,224,195,197,204,157,160,170,198
Azure,835,767,917,877,719,721,644,739,728,767,786,575,726,757,648
golang,1062,912,1240,1067,1175,1116,1004,1290,1403,1033,1097,972,1236,1155,1155
ceph,862,557,779,630,715,721,825,925,858,754,759,875,706,770,881
MicrosoftDocs,2131,2459,2839,2243,2326,2151,2135,2112,2177,2381,2396,1894,2304,2249,2770
ArduPilot,442,355,297,321,313,284,316,413,430,333,319,311,402,400,409
systemd,539,434,454,424,468,410,476,563,509,486,543,485,567,504,619
TeamNewPipe,234,356,292,318,256,170,267,291,208,333,325,230,225,200,171
ppy,310,164,332,349,383,406,417,391,349,367,361,330,439,236,219
qgis,872,880,912,649,664,594,466,706,615,554,513,415,540,578,644
google,882,887,1621,970,1389,930,889,1127,1121,1212,959,1107,997,1026,2080
o3de,916,891,906,848,749,829,755,1006,957,804,771,554,619,680,849
openjournals,251,261,238,237,248,258,285,277,274,301,289,232,260,272,312
microsoft,329,305,306,342,332,287,270,326,356,375,389,416,431,399,400
helium,108,1522,1943,1708,1218,552,722,472,364,401,10,17,28,7,7
odoo,2105,2268,2589,3361,2836,2777,2620,2766,2949,3438,2948,2429,3336,2995,4998
dbeaver,399,463,512,522,463,427,405,458,395,452,444,362,450,481,483
google-test,9087,8179,9041,8789,9031,8723,9031,9127,8803,9061,8827,9055,9105,8224,9027
helix-editor,252,160,239,492,364,375,416,445,513,609,503,519,528,509,511
Lightning-AI,541,606,539,562,314,387,584,677,604,594,596,440,500,435,489
cloudflare,292,365,403,316,398,389,449,388,430,483,425,273,441,376,535
lensapp,240,226,291,216,298,319,259,298,196,284,269,228,289,224,267
bitnami,496,560,588,538,697,620,640,983,731,862,649,537,706,701,826
appsmithorg,1128,1128,1420,1655,1225,1136,1025,1336,1318,1182,1014,1301,1197,1320,1405
prisma,787,673,685,653,694,757,631,748,847,625,727,638,831,666,641
llvm,1124,995,1127,955,1014,855,867,1017,953,991,894,821,1265,1059,1309
darktable-org,429,353,327,382,371,220,283,285,270,287,463,292,378,450,776
go-gitea,512,548,468,669,459,498,570,590,455,541,494,473,566,699,910
Homebrew,2058,1946,2389,2367,2363,2260,2318,2486,2883,2505,2838,2724,2681,2614,2907
tachiyomiorg,459,420,374,525,402,453,707,549,430,483,401,417,567,355,501
mlflow,190,150,215,316,257,337,257,388,377,334,273,281,206,206,293
flybywiresim,210,261,275,285,190,72,95,110,87,78,79,82,103,130,126
angular,743,888,1183,948,879,1063,1029,831,748,735,765,732,668,767,850
bevyengine,440,388,468,456,435,404,487,415,391,466,520,438,644,595,577
zulip,554,515,646,619,370,415,518,475,508,484,544,483,595,706,755
trinodb,617,546,714,642,593,591,546,736,665,893,784,513,519,594,759
ray-project,1314,1070,1542,1412,1298,1296,1643,1374,1260,1648,1504,1107,1245,1214,1592
rstudio,422,410,388,354,458,371,294,375,367,359,256,249,343,290,322
grafana,469,285,502,735,390,432,413,395,433,409,449,333,556,460,465
desktop,283,305,361,300,246,293,258,244,294,261,239,211,277,297,278
open-telemetry,650,821,897,710,992,1466,1112,1173,1095,1501,1347,967,1355,1115,1822
getsentry,769,745,1163,1074,1119,1188,1078,1249,1323,1415,1288,935,1407,1531,1717
CleverRaven,1470,1048,1133,1638,984,1083,1223,1200,1080,947,766,1722,1203,1088,1855
quarkusio,1087,911,843,768,793,752,775,813,902,853,897,701,986,995,1053
SerenityOS,838,703,686,592,421,363,381,401,394,557,506,587,630,546,523
open-mmlab,233,311,476,487,362,287,335,370,308,413,315,168,251,204,337
brave,958,925,1059,945,884,1002,961,1241,1138,1071,1007,844,1148,1125,1121
expo,1134,1253,691,661,737,688,651,749,694,744,808,671,671,782,735
php,203,211,179,302,334,349,429,360,283,305,262,268,391,359,390
conda-forge,492,604,568,424,408,487,570,548,492,432,624,357,370,359,462
alibaba,320,227,332,425,317,358,294,388,473,326,317,195,178,215,318
elementor,481,642,565,475,447,430,437,590,600,559,764,542,616,553,548
argoproj,372,445,472,436,405,441,458,504,425,609,598,537,567,678,677
azerothcore,740,546,575,532,448,459,485,463,402,538,705,598,574,544,681
JetBrains,263,234,289,230,229,216,240,269,306,381,329,302,342,373,475
Chia-Network,419,492,518,578,438,539,626,626,399,252,364,267,329,329,308
files-community,865,637,421,296,447,243,391,330,377,529,392,416,382,541,522
type-challenges,674,723,1126,1405,1338,1433,1331,1531,1639,1346,1706,1168,1546,1461,1482
mdn,530,467,723,521,827,727,760,1034,906,859,911,583,606,769,628
gradle,474,451,537,1029,442,715,510,616,1912,520,605,655,591,601,805
dotnet,1002,811,795,717,764,862,752,1010,1082,1074,891,711,885,854,914
ansible,451,447,508,545,365,415,327,449,409,426,345,198,323,373,359
bitcoin,514,422,564,584,449,410,471,607,504,556,389,393,451,418,411
openhab,415,327,258,218,255,284,251,223,210,279,315,503,396,346,386
renovatebot,659,511,434,497,441,515,494,648,417,592,511,451,474,509,548
PowerShell,294,244,279,273,497,281,309,407,293,383,373,472,380,320,481
openjdk,521,512,612,604,698,569,525,605,630,622,736,596,774,712,738
Skyrat-SS13,892,677,837,870,821,659,727,697,711,827,639,671,766,596,757
vitejs,413,456,755,626,659,589,614,486,387,473,485,478,362,433,511
filecoin-project,128,118,108,108,193,262,252,574,360,416,492,600,452,531,479
demisto,742,597,584,539,599,643,595,725,809,518,780,933,974,847,812
aws-amplify,662,591,623,413,326,267,237,240,219,307,353,286,304,396,331
element-plus,786,671,751,743,772,690,633,602,679,485,541,355,240,433,519
trustwallet,810,826,809,772,608,478,439,463,357,336,380,299,344,283,330
firebase,135,139,157,125,111,123,124,129,166,146,163,134,165,151,147
opencv,309,196,215,222,221,206,205,248,270,250,255,315,240,194,266
xamarin,414,371,415,356,391,286,272,317,562,434,454,281,391,279,369
void-linux,717,733,735,930,938,1025,945,846,807,960,833,759,920,783,850
PrestaShop,675,583,610,608,484,502,469,516,618,640,616,432,719,639,649
IntelRealSense,159,141,158,163,163,133,129,195,189,155,162,168,153,160,184
github,995,817,649,689,755,533,453,647,727,662,495,401,544,587,565
sourcegraph,1430,1983,1727,1837,1949,2311,2249,1864,1670,1710,1626,1382,1478,1377,2159
openshift,1208,953,1001,958,995,1163,1090,1138,1132,1091,1047,814,1031,1161,1424
facebook,681,460,489,478,531,555,508,605,612,655,717,577,692,731,1001
cypress-io,710,621,695,764,912,860,663,923,706,692,779,741,623,657,644
ankidroid,339,189,410,664,427,437,387,506,457,376,315,299,258,365,269
Expensify,764,732,860,765,802,724,818,955,1180,1447,1556,1238,1314,1431,1855
RPCS3,266,239,185,318,400,265,216,240,286,282,167,254,286,260,238
gravitational,587,768,1128,949,840,1225,1307,1288,1210,1349,1199,1053,1456,1705,1681
metersphere,1362,905,1255,1215,1218,1296,1221,1246,863,1121,1138,880,549,1200,1143
kubevirt,325,258,373,336,355,383,378,375,358,360,396,318,327,401,449
macports,350,352,322,334,322,292,353,460,377,302,420,335,470,347,353
MetaMask,492,520,699,471,365,448,468,506,535,443,677,492,669,646,656
yuzu-emu,251,206,234,258,176,314,282,276,312,256,413,287,281,265,213
taosdata,604,386,754,1172,1342,1107,1262,961,673,661,850,738,464,549,560
mui,676,677,1115,689,851,701,684,725,603,730,600,701,583,602,647
raycast,256,292,356,462,416,408,423,478,521,478,686,558,600,753,978
matrix-org,348,386,339,424,487,327,386,464,448,524,353,270,341,334,271
tensorflow,1153,1008,1345,902,939,889,802,1132,909,942,861,888,826,813,1023
rust-lang,1927,1723,1976,1750,1810,1993,2200,2062,1998,2133,2146,1990,2183,1947,2175
openvinotoolkit,723,841,934,320,268,328,474,668,660,706,829,747,730,765,844
remix-run,465,576,583,487,340,328,294,237,212,183,241,275,446,285,359
solana-labs,4860,3879,3318,2841,2160,1387,2,7,10,11,6,10,3,8,8
DataDog,421,460,497,399,483,417,395,486,475,523,505,459,590,678,621
tailscale,295,311,433,340,339,335,380,546,409,636,606,404,413,691,475
openwrt,206,424,453,364,366,340,393,394,503,459,420,498,447,384,374
home-assistant,3263,2964,2562,3005,2570,2429,2598,2627,2760,2966,2734,2971,3527,2898,3017
nuxt,378,364,521,764,419,418,538,741,770,611,751,400,323,14,4
matplotlib,424,297,300,312,341,357,248,386,346,390,377,466,430,353,552
rancher,756,730,904,834,866,779,735,691,780,643,582,605,668,680,612
envoyproxy,647,635,761,770,687,691,781,762,700,722,793,701,830,833,967
godotengine,2036,1752,1844,1524,1760,1590,2145,2458,2383,2219,2269,2292,2886,3243,2151
aws,938,812,856,773,756,1325,923,892,836,746,822,697,884,821,881
LeetCode-Feedback,595,506,409,385,549,511,557,479,448,468,502,600,829,716,627
NixOS,6326,5866,5577,6562,6008,5107,5945,6646,5908,6702,6527,6218,7474,6453,6754
newrelic,512,554,581,601,499,561,494,450,533,631,491,395,505,530,654
mattermost,171,237,269,196,242,319,234,242,267,351,314,277,344,302,275
TP-Lab,2967,813,4856,504,376,347,314,256,219,243,202,150,111,125,171
metabase,766,861,813,1201,962,714,966,883,746,635,796,816,677,1007,1246
huggingface,800,715,977,830,854,799,758,880,813,1046,882,795,820,798,975
denoland,455,354,512,434,475,418,485,434,615,531,524,485,601,501,685
freddier,441,335,332,326,269,274,302,313,300,359,291,321,389,336,309
symfony,532,479,479,488,453,387,523,499,380,509,482,621,431,490,529
containers,557,480,559,519,539,552,580,659,689,550,556,511,639,563,532
storybookjs,670,396,456,477,482,464,448,424,424,585,558,650,1007,714,764
cockroachdb,1918,1952,2600,2207,2043,2084,2242,2621,2459,2553,2450,2381,2791,2143,3268
coolsnowwolf,307,269,249,217,180,175,224,198,223,203,223,224,178,165,146
xbmc,280,197,256,248,251,202,157,233,258,194,164,239,373,346,286
section-engineering-education,771,834,889,471,181,242,75,26,13,4,14,2,19,8,7
pytorch,2584,2437,2557,4157,4483,3776,2984,2904,2604,3537,2864,2875,3093,3432,3423
