Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,17,24,24,25,18,21,19,19,22,24,31,19,13,25,21,20,25,14,24,23,14,21,22,13,22,13,18
apple,7,5,5,5,9,6,7,4,6,7,9,5,8,7,4,8,3,4,4,6,6,6,2,5,9,3,4
OpenAPITools,32,25,29,29,22,34,24,27,35,28,28,13,36,30,30,25,27,20,29,26,20,9,21,20,14,28,27
firstcontributions,652,465,644,429,603,657,804,660,733,626,524,578,653,460,493,469,666,577,739,1200,1472,3567,875,483,1019,729,905
JuliaRegistries,1,7,10,6,4,6,11,5,4,5,6,8,7,8,8,5,4,6,8,3,6,12,3,6,2,3,3
ClickHouse,21,26,23,15,26,23,30,21,16,23,29,30,32,21,24,36,23,23,21,25,19,18,24,13,12,12,28
jlord,560,433,410,278,175,238,130,135,199,191,239,117,252,286,444,178,126,143,106,172,195,151,163,124,196,343,449
AdguardTeam,5,5,3,2,3,3,8,7,8,6,5,5,2,3,5,5,9,4,1,5,1,5,1,2,4,2,3
pingcap,3,9,11,12,5,14,31,16,18,18,20,15,7,5,10,7,5,5,15,8,6,7,5,5,4,8,5
cms-sw,2,5,9,9,2,9,7,6,2,7,13,8,6,6,4,8,7,3,7,9,5,6,4,5,5,6,7
microsoftgraph,16,16,26,17,23,22,17,22,11,14,12,18,16,11,34,14,16,40,27,27,17,21,20,10,22,8,26
MarlinFirmware,20,13,12,13,15,11,6,5,9,10,12,10,13,10,7,7,4,4,7,8,11,7,3,4,10,6,15
conan-io,14,11,23,18,16,20,20,21,22,20,17,19,26,14,25,29,23,15,17,19,15,6,18,8,14,10,18
pandas-dev,24,19,30,23,24,10,34,21,29,25,24,25,27,14,23,25,14,24,28,20,24,30,24,26,29,14,30
logseq,6,4,7,1,3,7,3,6,8,7,8,4,5,7,5,6,7,8,10,12,8,7,13,5,6,7,4
Ultimaker,7,4,6,6,6,6,11,4,4,5,6,5,1,8,2,1,4,4,6,2,11,1,4,11,8,1,4
influxdata,6,7,23,8,10,11,13,6,13,12,13,12,12,15,5,13,9,9,19,7,11,8,10,8,8,13,9
