Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,188.79,198.3,205.58,214.34,198.2,204.74,218.11,219.36,215.69,203,191.31,185.57,172.05,183.31,183.71,189,197.86,184.35,198.85,211.24,201.27,181.19,182.32,184.31,190.39,191.57,193.52
apple,237.58,233.6,213.72,224.5,231.16,247.27,245.84,240.21,225.68,221,211.08,212.31,210.32,210.88,209.62,226.28,221.71,244.93,218.75,231.79,248.24,241.86,249.29,254.25,246.25,259.06,272.29
OpenAPITools,198.92,203.19,208.74,208.86,219.79,211.36,199.45,200.4,194.93,189,179.58,186.36,195.99,194.91,191.59,191.19,181.59,173.71,176.39,187.13,184.77,177.32,196.96,179.94,181.54,184.8,185.39
nextcloud,152.25,149.3,154.74,181.1,185.05,187.76,182.57,185.28,181.11,176,171.46,167.06,168.51,170.37,169.96,157.69,156.07,152.03,158.32,150.5,147.39,143.53,148.09,143.25,148.72,154.52,134.03
firstcontributions,566.53,469.01,544.26,458.8,518.57,559.07,587.47,550.46,556.37,524,476.79,532.93,563.72,511.94,482.24,448.47,518.55,543.16,590.42,766.71,941.21,1362.16,1109.46,849.43,859.63,721.35,790.77
JuliaRegistries,185.44,190.11,197.54,197.34,201.99,197.01,196.51,195.66,191.8,192,190.81,190.87,191.77,199.51,201.46,201.54,204.85,201.81,203.79,206.83,208.54,208.99,208.88,210.02,211.3,213.4,208.2
PaddlePaddle,156.86,163.29,162.83,171.45,172.37,160.54,173.98,193.32,206,187,165.54,186.39,175.37,150.13,164.35,180.88,206.68,213.45,217.24,228.22,239.8,231.17,220.25,211.19,183.5,180.71,198.58
ClickHouse,450.31,463.1,485.82,499.69,507.43,517.01,528.84,526.66,528.67,528,523.08,538.42,527,507.71,516.64,529.51,522.65,518.74,517.4,524.22,542.63,536.66,533.37,528.89,522.73,529.14,532.52
jlord,421.65,411.84,436.24,384.87,302.36,292.37,203.68,181.72,230.42,218,234.92,186.3,245.51,294.57,461.88,314.46,227.2,199.88,164.27,182.62,202.36,190,182.04,161.12,195.63,281.15,440.22
prusa3d,289.46,268,235.48,234.31,190.85,162.98,149.05,142.19,161.28,164,158.92,202.45,216.76,192.1,164.89,162.6,139.49,128.07,144.98,163.67,178.24,155.1,145.06,136.43,147.75,256.38,275.12
AdguardTeam,549.93,554.75,567.07,568.02,571.8,568.7,547.59,539.87,526.7,516,500.6,503.49,516.89,509.79,484.81,509.88,513.91,502.52,486.69,493.47,494.93,510.21,508.44,511.86,514.37,499.68,503.27
pingcap,204.26,199.47,217.3,218.94,230.22,243.52,252,252.74,261.85,252,243.51,251.14,243.54,237.92,238.89,230.4,208.22,204.6,219.44,204.26,198.62,171.5,185.09,196.33,223.63,226.95,227.63
