Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,507.16,610.7,670.53,632.45,493.93,561.72,540.91,454.23,534.25,509,544.86,418.45,391.72,548.64,523.26,520.2,563.4,444.46,508.64,573.82,530.87,496.81,556.47,494.29,589.27,596.65,649.14
OpenAPITools,633.74,577.01,599.93,545.32,562.17,573.34,488.87,519.56,557.65,556,585.52,520.69,593.19,566.36,527.61,520.64,471.01,425.51,527.35,536.25,537.04,526.27,578.38,442.56,526.92,569.12,502.91
AdguardTeam,681.19,658.82,697.69,612.89,592.96,555.15,576.31,596.28,568.22,588,590.53,620.04,614.84,585.05,539.48,564.24,570.26,491.81,450.52,558.87,512.63,472.54,512.4,526.69,530.51,485.2,544.45
pingcap,714.96,666.45,1066.6,948.36,929.04,1051.01,1080.73,1105.65,1054.45,1135,1161.3,1288.4,946.53,819.15,1009.39,912.55,858.74,906.88,1071.65,943.07,996.21,658.17,890.78,833.43,820.28,968.18,1001.34
cms-sw,585.73,597.3,748.08,766.61,801.15,770.3,797.76,638.33,827.0,796,878.58,691.68,649.03,698.53,748.16,725.35,835.46,739.21,703.74,857.78,621.71,685.32,566.18,444.53,509.58,647.28,732.94
microsoftgraph,838.02,783.91,902.16,848.99,898.05,1014.15,780.15,824.84,871.48,774,681.45,714.73,788.48,754.55,977.29,790.43,771.0,908.31,814.5,882.07,765.37,755.78,707.31,649.2,749.64,701.87,910.18
MarlinFirmware,820.61,698.14,655.44,584.1,606.4,580.14,500.78,480.67,433.32,445,436.33,458.28,604.5,384.45,427.0,434.04,353.88,347.45,359.94,336.86,301.86,350.11,293.72,354.67,380.11,379.06,375.96
conan-io,701.79,646.95,681.64,607.64,674.82,637.85,771.48,815.11,681.14,662,605.38,593.04,707.36,553.79,675.44,675.04,630.85,578.9,700.53,891.97,725.48,819.7,756.61,730.5,780.7,705.54,766.03
pandas-dev,1011.29,945.89,981.42,986.2,891.47,866.27,950.78,977.39,922.46,877,809.69,829.78,932.26,719.81,831.32,760.26,610.82,663.48,701.77,749.61,833.05,903.25,950.57,844.31,843.29,818.32,1015.95
Ultimaker,454.46,355.6,364.66,605.0,529.62,393.55,430.89,390.01,464.53,497,574.61,501.34,519.27,386.77,351.15,516.72,728.85,557.26,618.42,544.56,536.15,584.74,555.8,568.25,585.84,572.75,750.62
