Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,56,66,72,63,116,56,55,43,65,60,52,85,39,57,55,53,111,86,46,52,103,107,125,115,59,57,128
OpenAPITools,90,81,74,188,71,78,178,70,82,76,80,61,201,189,77,74,149,156,186,173,180,174,193,150,170,189,169
AdguardTeam,26,24,18,14,24,24,20,22,22,20,21,13,14,15,17,22,16,19,15,21,20,21,28,19,19,15,27
pingcap,32,29,35,35,31,35,42,40,40,39,38,39,41,40,36,33,33,31,38,32,39,41,32,42,32,45,37
cms-sw,25,30,32,33,31,24,29,23,28,28,31,28,23,32,28,27,39,33,26,29,25,25,23,24,20,30,29
microsoftgraph,104,86,111,62,63,62,59,63,66,57,50,44,57,101,81,59,92,67,62,115,52,87,93,73,91,64,66
MarlinFirmware,103,95,84,81,91,89,69,72,61,95,153,62,88,138,54,49,48,123,50,49,50,50,106,133,151,52,135
conan-io,26,29,35,30,33,30,39,32,32,34,36,34,44,30,58,57,40,50,39,42,29,31,36,46,68,33,60
pandas-dev,69,64,66,67,57,58,99,80,68,57,44,42,97,75,101,67,64,49,54,65,108,103,80,59,64,38,58
Ultimaker,179,136,129,229,218,142,166,48,186,185,234,207,210,155,138,238,338,233,259,227,226,256,224,218,266,257,349
influxdata,53,37,56,52,44,53,45,101,42,56,51,53,50,50,123,47,39,39,42,37,45,44,35,34,43,42,41
zephyrproject-rtos,83,77,75,82,76,100,84,86,102,89,80,84,83,103,93,95,115,105,98,100,102,97,125,100,107,113,114
qmk,85,85,134,128,83,81,95,80,84,76,72,64,78,57,67,87,99,102,118,72,60,68,94,91,54,49,77
mrdoob,53,62,53,55,48,40,48,50,40,47,48,57,77,58,56,53,52,49,33,48,43,52,47,41,48,22,24
rapid7,42,24,26,23,25,20,23,20,22,19,16,15,17,13,15,24,20,23,18,12,16,20,18,17,13,20,18
ccxt,47,118,36,108,48,112,45,106,37,50,40,45,30,46,41,51,51,47,45,43,41,38,56,51,59,43,52
JuliaLang,70,70,76,80,72,68,59,57,52,61,70,63,39,43,39,59,63,43,38,53,44,41,51,59,52,52,48
jitsi,155,151,155,52,54,127,37,41,52,43,28,59,52,48,51,25,32,41,31,25,26,46,41,25,25,21,30
WordPress,62,71,64,66,104,63,64,69,58,65,72,64,107,78,61,71,86,62,54,55,67,63,74,59,55,53,68
istio,59,62,77,44,54,55,40,45,64,62,55,88,93,51,58,50,50,44,88,54,54,47,94,45,38,44,41
qbittorrent,176,155,207,169,147,100,88,111,94,114,137,110,401,187,181,155,157,122,131,145,109,112,118,167,151,126,132
DefinitelyTyped,335,292,338,303,300,277,294,269,284,275,289,230,302,213,240,235,233,192,207,219,206,224,198,145,171,202,195
grpc,45,30,48,51,47,48,54,26,30,32,31,42,32,28,47,30,45,26,24,24,44,43,30,25,23,40,31
elastic,77,74,84,75,82,80,75,75,87,85,91,77,96,90,89,99,96,87,92,101,95,94,88,86,89,85,96
Azure,33,37,42,40,41,35,32,33,40,35,33,29,34,31,26,29,27,27,32,36,32,39,32,32,33,40,46
MicrosoftDocs,1454,1522,1673,1598,1379,1547,1406,1305,1393,1373,1429,1267,1377,1397,1502,1267,1334,1256,1296,1372,1438,1321,1314,1030,1293,1334,1429
ArduPilot,22,22,19,23,18,26,20,19,17,19,22,19,26,15,17,22,31,20,21,18,29,29,27,31,27,28,34
systemd,100,90,80,95,83,85,90,37,48,49,41,79,92,69,49,68,77,65,94,52,41,91,52,81,89,69,82
bitnami,125,121,135,120,107,100,100,82,103,105,120,97,109,103,112,98,108,97,88,111,91,76,91,63,100,75,91
appsmithorg,11,10,11,15,17,22,22,21,27,30,34,36,35,36,42,38,41,43,36,45,36,49,46,41,43,46,53
go-gitea,72,68,57,73,52,35,71,44,57,42,30,35,73,42,56,58,57,30,42,81,72,40,69,63,74,34,45
Homebrew,106,95,111,97,101,78,83,89,99,99,102,99,96,96,96,86,89,93,65,70,102,88,89,85,99,88,105
tachiyomiorg,173,185,67,218,279,82,73,246,227,214,187,216,195,192,211,234,198,200,265,289,215,220,230,178,258,213,248
zulip,31,31,36,32,21,22,22,17,18,25,29,37,24,23,26,33,18,20,16,17,25,20,33,40,27,30,28
trinodb,21,19,19,23,21,24,25,24,25,27,31,28,29,20,24,25,31,33,27,30,32,30,28,26,28,30,35
ray-project,43,38,34,51,50,32,38,31,30,32,33,35,34,34,35,38,33,37,34,39,35,32,40,36,32,31,33
open-telemetry,16,22,31,31,25,23,20,33,30,29,26,30,33,33,34,30,26,39,48,43,38,54,52,35,43,56,51
CleverRaven,51,55,40,41,67,48,73,78,48,54,50,52,57,60,46,62,57,57,62,73,97,58,56,66,65,66,78
quarkusio,80,87,77,84,51,46,93,62,78,75,82,64,76,71,75,126,78,62,66,78,75,71,79,65,90,82,67
SerenityOS,19,27,27,31,35,38,30,33,31,29,26,29,32,37,44,36,28,22,20,32,24,32,34,38,24,22,24
conda-forge,56,77,100,113,89,62,68,65,81,71,60,77,79,67,91,101,66,79,84,81,86,98,104,67,69,87,82
argoproj,48,130,61,148,120,148,136,145,130,144,155,151,149,165,204,71,164,204,188,235,183,251,241,201,218,261,256
azerothcore,15,16,19,20,21,21,22,26,24,21,18,14,16,19,18,17,17,15,16,16,13,17,15,19,27,18,28
dotnet,385,141,127,150,375,152,134,148,159,276,426,326,355,115,314,265,105,96,90,119,114,105,362,256,117,318,111
ansible,65,67,69,85,69,40,59,45,43,44,41,54,56,46,57,57,46,43,50,31,58,39,50,27,48,45,49
openhab,65,52,38,50,50,41,35,50,59,43,24,44,44,31,29,20,23,21,24,26,26,29,32,31,47,40,37
renovatebot,43,32,54,29,45,49,44,31,30,31,35,25,45,32,35,38,35,25,21,34,38,88,36,34,47,43,64
PowerShell,142,52,157,50,42,55,111,32,103,65,50,42,49,95,112,107,125,46,41,46,24,38,47,116,46,46,44
vitejs,119,282,300,259,242,256,256,193,202,221,233,267,242,257,238,277,230,207,293,252,219,241,227,212,196,230,209
opencv,58,71,47,62,68,32,55,38,57,50,57,30,53,25,44,105,111,39,40,45,55,42,48,45,114,43,117
void-linux,67,59,63,62,49,56,58,55,52,58,56,78,89,73,53,81,49,66,58,54,67,54,77,46,53,50,51
sourcegraph,18,18,20,18,19,19,22,22,27,27,27,33,26,31,33,34,33,34,34,33,32,31,32,28,23,28,29
cypress-io,265,244,244,276,245,251,207,191,210,220,241,222,237,186,199,183,175,338,235,306,228,256,242,232,228,211,213
kubevirt,18,16,19,19,15,21,18,22,20,21,23,16,17,18,16,21,22,21,20,23,20,21,24,15,18,19,21
tensorflow,692,635,287,272,240,220,458,468,435,421,411,362,361,328,363,311,134,319,324,150,140,137,125,138,132,304,142
rust-lang,107,136,132,128,131,95,122,115,165,141,120,162,167,118,124,125,114,134,128,159,137,136,131,156,137,122,157
DataDog,26,28,24,24,25,24,26,28,27,27,25,29,34,33,32,35,33,41,37,36,38,36,47,34,47,50,45
home-assistant,375,419,436,407,369,329,368,447,410,461,495,514,440,1485,1164,1253,1098,1047,1286,1351,1233,1378,1396,1341,1555,1435,1353
matplotlib,49,31,42,50,24,24,21,21,19,31,47,33,21,39,45,30,28,32,36,21,45,28,22,27,24,22,26
godotengine,197,195,139,186,186,169,101,120,128,161,205,176,222,226,220,187,168,194,239,292,306,305,279,266,332,359,924
aws,134,130,126,350,120,124,117,110,310,183,114,119,326,305,278,270,234,251,246,124,304,112,269,97,264,111,104
NixOS,242,265,279,236,251,288,282,277,259,261,241,298,338,275,272,307,316,264,301,328,303,322,315,281,328,304,329
huggingface,117,113,139,136,107,123,109,112,123,107,94,95,106,99,175,143,139,117,116,141,116,106,126,125,137,140,171
denoland,89,66,53,85,61,58,38,55,27,42,49,50,46,42,53,48,46,50,63,54,66,58,50,58,60,55,71
symfony,115,107,120,67,116,147,68,94,103,116,129,137,119,98,98,87,92,58,93,95,57,102,100,112,99,53,64
containers,44,44,86,42,75,40,43,34,92,62,41,67,88,76,87,61,74,80,40,50,48,62,84,58,66,74,54
kubernetes,141,46,56,38,48,34,35,34,139,75,43,41,45,107,40,113,103,150,149,145,112,122,114,86,115,121,121
tgstation,56,55,51,69,56,49,57,63,49,59,70,53,80,61,62,73,62,75,63,80,53,55,60,66,61,76,69
neovim,66,56,74,70,69,73,83,71,77,74,71,77,82,31,38,92,44,59,78,65,72,75,35,64,95,64,46
spack,79,52,74,67,58,64,59,50,78,65,61,60,58,61,63,70,66,75,63,62,52,62,63,57,57,61,70
electron,222,211,299,228,221,233,206,190,221,209,213,194,218,210,202,201,154,169,165,190,209,171,156,161,177,174,163
backstage,20,26,30,31,47,52,41,46,58,50,43,53,61,54,65,50,62,64,56,105,71,80,60,70,73,82,68
cilium,19,20,19,25,29,24,19,22,23,22,21,24,28,34,30,30,29,34,29,36,32,40,50,37,43,46,45
oppia,27,22,24,23,16,17,16,15,20,21,24,20,27,25,23,20,13,14,12,13,15,23,13,26,34,34,52
nrwl,177,181,182,180,69,167,188,177,179,198,218,219,262,221,273,215,249,261,257,275,290,294,255,267,335,305,325
scipy,42,34,39,30,42,32,36,34,38,40,44,44,35,70,34,44,35,42,43,38,37,36,74,30,41,41,31
project-chip,15,14,17,19,21,22,23,25,28,27,25,29,31,33,39,35,38,40,51,38,42,41,54,43,30,43,36
ziglang,52,52,53,67,38,43,84,59,78,64,48,73,84,70,37,66,39,48,68,95,54,54,87,94,87,45,90
apache,14,17,17,21,24,19,17,21,21,19,16,18,23,17,19,22,33,43,26,36,35,29,36,29,26,30,41
scikit-learn,85,94,84,38,52,40,47,68,33,46,48,47,46,46,40,29,39,35,36,44,48,32,32,30,32,61,29
laravel,101,239,113,118,104,95,101,109,104,107,113,99,144,138,144,118,114,108,110,138,128,110,232,84,113,126,92
ethereum,21,34,51,44,42,48,31,46,67,60,61,58,70,60,68,46,63,33,27,69,105,91,66,44,65,59,62
ant-design,332,260,302,279,278,294,294,248,244,262,268,302,245,194,285,278,245,259,276,271,238,222,372,350,248,268,310
rails,106,105,257,101,87,83,106,89,98,95,81,124,142,80,79,168,94,92,66,83,97,78,78,88,103,63,100
