Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,647.94,671.66,672.92,682.03,691.52,723.69,748.42,753.26,759.31,779.55,780.96,806.61,824.22,800.94,793.76,788.5,790.99,780.33,772.96,781.44,783.17,794.17,812.39,808.05,821.61,814.37,825.93
OpenAPITools,459.1,459.35,492.59,517.67,517.87,533.52,543.09,568.46,576.36,596.01,581.07,577.98,599.32,601.16,608.97,622.0,649.51,650.82,660.93,686.09,685.71,626.7,630.74,645.35,659.35,670.71,692.89
AdguardTeam,234.88,225.22,339.0,348.6,357.18,332.33,381.61,411.24,414.46,448.72,444.96,361.42,294.05,260.02,332.01,353.0,318.95,322.05,316.77,345.25,388.74,411.14,424.86,444.27,450.96,474.89,475.8
pingcap,448.5,457.3,487.12,476.43,498.8,502.11,487.7,467.29,522.94,542.81,470.01,443.15,436.6,442.59,406.25,398.4,385.57,406.59,402.59,447.79,526.25,532.31,538.78,537.68,541.48,540.53,532.98
cms-sw,1009.71,1021.19,1036.87,1049.01,1022.74,1087.98,1093.38,1094.03,1091.95,1122.26,1079.33,1095.98,1123.04,1150.05,1128.11,1119.88,1099.37,1090.66,1078.39,1090.86,1104.84,1090.77,1124.5,1147.35,1151.64,1168.16,1145.9
microsoftgraph,486.91,466.76,492.33,486.36,493.73,511.46,507.24,541.26,512.53,546.64,526.13,568.09,552.13,540.81,549.02,534.62,532.05,559.21,564.82,606.68,574.13,608.28,602.43,585.33,626.05,613.5,641.98
MarlinFirmware,842.78,895.99,912.33,902.39,894.36,913.74,972.43,989.37,1010.06,1010.11,970.35,1044.1,1039.85,1072.27,1086.08,1134.17,1129.8,1101.52,1132.64,1138.65,1178.68,1170.32,1168.95,1216.1,1200.68,1184.0,1258.79
conan-io,134.68,130.61,150.26,155.21,164.59,159.88,168.2,157.4,186.07,204.9,198.18,212.64,173.5,193.11,222.63,230.73,246.08,234.79,233.19,217.07,238.22,244.09,256.57,252.54,276.43,255.94,301.01
pandas-dev,752.04,791.95,793.25,805.36,820.78,805.63,847.73,874.61,909.86,936.89,938.24,949.37,967.48,978.35,992.79,992.97,1001.83,1010.33,1010.22,1020.63,1014.79,1000.1,1002.56,979.07,1009.92,1044.61,1032.75
Ultimaker,591.6,589.23,602.01,589.3,635.76,691.18,689.15,664.76,680.43,707.75,672.1,665.31,660.12,660.5,617.52,613.97,623.06,619.25,638.86,622.14,707.13,701.0,777.1,814.98,836.74,798.35,790.38
influxdata,549.81,537.28,587.42,597.73,614.3,601.17,636.94,609.21,635.54,663.82,644.88,687.45,664.44,671.68,658.58,664.42,645.5,649.6,687.68,695.01,711.21,705.39,722.62,728.74,778.8,783.21,800.47
zephyrproject-rtos,506.31,502.57,500.56,544.56,535.58,530.39,574.06,581.04,571.1,586.86,559.33,551.03,551.02,540.59,551.44,560.98,554.16,551.84,531.77,539.4,549.69,560.59,592.87,604.6,624.53,643.28,634.74
qmk,473.18,500.66,470.45,460.11,469.7,474.75,543.3,569.08,572.43,580.11,563.87,540.62,535.28,546.72,553.65,582.94,561.91,577.84,625.38,676.59,703.54,681.92,698.49,735.87,743.04,762.28,753.87
mrdoob,629.46,674.65,692.36,729.33,735.23,753.46,771.27,775.33,791.21,812.36,819.68,811.29,831.91,831.86,838.47,839.17,836.01,849.45,835.47,883.17,892.66,919.01,907.57,928.21,957.85,943.59,972.22
rapid7,876.35,887.89,907.32,942.53,918.73,934.89,929.59,920.46,982.86,986.2,973.52,1002.31,961.67,999.27,1031.94,1002.89,1034.52,1031.21,1023.21,1032.11,1048.63,1030.69,1026.68,1015.62,1045.02,1055.83,1059.29
ccxt,623.7,655.36,676.58,681.08,696.06,709.61,728.17,759.98,779.08,783.18,767.18,799.41,731.15,687.74,666.55,631.0,640.4,568.29,505.31,539.82,505.92,510.73,525.2,565.44,571.89,596.28,589.69
JuliaLang,696.17,694.74,708.4,748.07,752.07,747.4,769.28,774.11,774.03,789.93,801.71,789.9,797.27,809.47,805.56,820.04,825.8,833.54,827.53,843.54,841.2,844.6,867.15,878.69,880.67,906.49,913.68
jitsi,574.03,560.08,602.6,615.66,575.91,608.39,652.54,629.86,629.72,659.44,638.88,646.82,677.36,639.11,608.71,639.55,654.71,638.52,631.59,654.49,662.01,639.93,653.75,656.85,670.58,682.93,687.79
WordPress,469.56,479.88,479.99,497.24,484.59,499.17,519.19,524.38,532.94,560.26,535.77,556.2,570.34,573.17,576.69,584.1,586.43,588.07,588.78,606.33,599.65,603.28,602.08,614.48,623.44,628.24,641.85
istio,728.3,739.6,759.94,808.29,816.88,812.98,818.39,856.08,878.04,910.67,891.08,901.16,922.17,906.99,906.58,923.68,929.84,920.18,939.06,942.81,965.36,977.02,987.34,988.26,1018.96,1033.03,1040.3
