Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,5.36,4.37,5.84,4.06,11.31,5.98,3.62,3.96,4.81,4.29,4.86,5.76,3.68,2.6,1.75
OpenAPITools,20.68,18.66,15.75,9.77,17.34,16.92,5.85,5.08,17.74,20.3,13.72,8.91,6.38,5.46,1.87
PaddlePaddle,9.71,0.68,4.52,7.79,2.46,5.28,6.86,1.46,1.79,2.67,10.38,9.1,2.79,2.48,1.2
AdguardTeam,6.45,6.17,3.12,0.65,0.66,1.17,1.86,0.91,1.26,1.14,0.85,1.45,0.51,0.65,0.82
pingcap,33.39,46.49,41.44,50.21,30.94,25.12,11.58,9.25,9.46,10.32,5.98,7.78,6.8,5.09,2.3
cms-sw,6.72,4.46,6.7,6.52,6.49,6.16,8.67,5.74,6.88,6.19,7.21,7.69,4.88,5.14,2.97
microsoftgraph,22.38,33.73,16.1,22.85,13.82,11.89,12.86,18.46,12.39,11.94,14.1,11.92,8.47,6.34,2.14
MarlinFirmware,7.06,3.02,10.0,8.39,8.32,15.74,7.09,10.84,7.08,12.43,16.27,5.33,5.84,9.19,1.55
conan-io,11.24,18.09,14.73,9.79,12.93,10.57,11.28,11.75,13.76,10.26,11.27,12.39,7.04,9.95,4.99
pandas-dev,9.23,9.56,15.89,18.28,13.03,10.67,12.53,11.87,9.17,9.15,9.16,9.71,5.7,3.46,1.95
logseq,6.58,6.17,13.22,7.83,6.18,8.41,5.84,9.8,3.89,5.04,3.25,4.72,4.58,3.17,2.52
Ultimaker,29.27,29.09,41.95,26.76,31.91,23.89,27.93,16.24,22.35,19.69,16.63,8.42,7.84,8.37,3.42
influxdata,24.36,14.68,16.34,11.6,16.39,16.87,9.49,12.21,7.93,6.43,6.9,12.89,6.48,3.37,1.82
zephyrproject-rtos,26.34,23.66,19.72,22.21,22.0,21.03,16.09,16.47,18.87,18.63,15.99,17.81,10.77,6.34,3.38
