Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,16.42,15.38,14.57,17.06,11.26,8.19,9.18,20.9,14.55,31.68,19.13,4.12,15.24,25.86,20.46,11.17,16.96,18.91,18.49,12.29,13.37,10.58,10.8,9.24,6.55,4.66,2.52
OpenAPITools,21.84,12.7,3.89,15.87,12.76,26.06,20.01,35.44,19.0,66.91,28.07,22.05,19.62,32.17,13.68,22.95,15.17,32.71,11.66,7.18,20.92,54.63,12.05,16.98,9.99,8.01,4.45
AdguardTeam,11.8,2.7,4.37,4.16,6.87,6.24,0.41,0.53,9.54,103.19,0.58,2.91,13.02,23.94,11.23,2.79,8.93,6.76,4.89,0.52,0.83,0.9,3.0,2.36,0.95,0.69,1.07
pingcap,7.62,2.06,0.06,0.01,0.19,0.01,0.82,0.24,1.52,0.0,0.02,0.28,0.01,0.29,0.4,0.3,0.99,0.66,0.13,0.21,1.5,5.28,7.09,7.12,5.42,4.69,2.73
cms-sw,0.0,0.01,0.0,0.0,0.02,10.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.06,0.01,0.05,0.01,0.01,0.0,0.03,0.0,0.01,0.01,0.0,0.01
microsoftgraph,0.07,3.34,0.75,0.04,3.56,0.0,0.0,0.02,5.32,13.24,0.05,0.01,0.04,4.83,0.16,0.12,0.14,3.5,0.05,0.02,0.01,1.7,0.72,7.87,10.14,7.13,3.83
MarlinFirmware,6.4,20.96,6.7,7.12,8.14,6.24,0.56,23.79,9.15,79.19,64.89,79.29,82.93,52.5,67.99,43.27,35.59,12.58,13.14,5.83,6.39,19.45,6.11,8.78,6.63,6.69,1.38
conan-io,0.01,0.02,0.02,0.04,0.07,0.05,0.06,1.8,0.04,6.47,0.04,0.02,0.09,0.14,1.59,0.15,0.46,2.13,1.6,0.22,0.17,0.5,0.2,0.38,0.31,0.66,0.76
pandas-dev,1.02,4.75,3.45,6.3,10.01,10.33,4.29,14.69,3.65,1.87,2.52,0.91,4.76,11.0,3.29,8.82,3.69,8.04,6.72,4.76,2.49,2.18,2.23,2.44,2.17,2.36,1.39
Ultimaker,14.62,7.0,8.44,8.78,6.83,2.94,20.86,27.78,24.04,3.0,12.25,9.15,25.5,33.18,48.65,60.34,47.22,33.43,24.46,15.04,14.14,15.32,14.26,8.47,10.68,14.73,7.54
influxdata,22.42,16.7,16.15,10.21,26.2,18.44,4.94,58.71,21.16,4.12,7.12,1.7,8.6,23.22,12.03,22.21,2.93,10.95,10.79,10.73,5.76,2.32,5.0,8.2,3.65,1.82,1.45
zephyrproject-rtos,16.27,9.51,5.99,8.29,6.72,6.61,5.41,16.11,11.02,81.22,8.3,8.93,7.49,14.17,7.55,7.76,5.74,6.15,4.29,4.15,5.83,4.33,4.99,5.69,3.26,2.41,2.07
qmk,3.42,3.11,5.16,10.41,6.06,5.3,3.44,10.3,13.29,25.07,6.69,9.44,9.59,16.14,17.44,6.94,11.86,10.19,3.0,3.05,6.26,5.02,5.92,5.05,4.56,2.22,2.24
mrdoob,16.87,1.72,3.83,2.21,7.44,2.36,0.96,22.61,10.97,0.68,2.05,0.59,2.9,11.3,3.18,0.54,4.34,0.6,10.81,0.65,4.95,2.54,6.28,4.74,1.28,1.58,1.32
rapid7,15.71,3.2,34.4,2.85,1.86,39.13,57.23,33.43,0.73,31.33,11.62,2.95,1.76,2.44,1.38,2.52,19.93,3.0,7.68,5.35,10.61,13.29,1.83,6.16,2.34,4.68,2.42
ccxt,13.39,4.02,11.47,22.5,0.41,18.15,16.61,8.88,8.35,39.77,9.7,3.23,12.1,20.53,20.03,10.91,26.93,28.42,29.95,19.86,24.85,9.08,10.37,6.36,6.03,1.23,2.96
JuliaLang,3.45,12.48,15.06,4.88,17.24,19.2,1.73,19.36,15.39,25.47,8.79,20.85,13.34,21.76,20.81,9.73,21.54,14.14,12.92,11.22,6.02,6.93,9.35,4.01,4.12,2.5,2.64
jitsi,0.89,0.79,0.66,0.75,1.23,1.45,25.42,11.63,4.39,0.38,2.06,0.55,4.15,6.14,13.48,4.36,9.22,18.36,9.07,0.87,3.1,5.27,4.35,5.21,1.17,0.49,1.2
WordPress,14.02,17.05,18.01,18.99,32.53,17.32,21.99,27.99,25.05,81.12,15.18,18.31,11.92,14.51,17.89,8.96,19.98,22.03,16.96,10.62,10.06,12.48,9.37,4.9,6.17,5.03,2.5
istio,0.21,0.3,4.05,1.9,9.93,2.11,0.29,4.23,0.12,0.18,6.88,5.05,2.04,9.1,5.97,5.0,6.18,10.65,6.97,0.87,1.53,2.84,3.17,4.8,0.53,0.22,0.53
qbittorrent,0.58,0.44,0.55,2.16,21.61,1.0,0.56,0.37,0.59,116.64,0.36,0.35,0.34,0.41,3.07,0.4,0.22,0.67,0.36,0.29,0.43,4.43,0.41,0.91,2.65,1.97,1.7
DefinitelyTyped,3.06,0.0,0.15,0.03,0.36,3.45,1.22,1.44,0.1,13.04,3.59,0.52,2.29,3.91,2.52,4.2,6.1,1.14,0.68,2.36,0.83,1.3,0.48,0.84,0.51,0.16,0.08
grpc,20.22,10.31,41.2,25.84,37.85,12.09,12.63,30.99,26.8,100.8,25.33,16.7,24.52,19.36,23.05,17.72,19.02,15.6,16.34,7.57,7.41,10.03,8.06,12.39,5.1,4.12,3.42
elastic,1.67,1.11,11.85,5.22,16.23,5.15,3.32,10.56,6.81,29.69,4.04,2.24,2.38,4.38,5.53,5.11,3.61,10.09,3.02,0.67,1.8,1.99,1.58,0.96,0.81,0.49,0.37
Azure,4.85,11.72,3.22,4.45,11.48,8.51,5.97,33.84,10.49,36.2,13.33,14.09,12.44,25.65,19.52,23.08,13.19,14.81,13.59,7.39,11.08,6.98,4.7,6.46,2.35,2.37,1.08
MicrosoftDocs,0.07,0.43,2.12,1.88,0.19,1.8,2.38,0.23,0.18,57.45,0.05,0.6,1.1,4.3,2.22,2.0,1.92,2.58,0.21,8.97,5.79,1.29,1.84,0.03,6.44,3.54,1.82
ArduPilot,16.82,12.87,13.52,12.53,23.88,43.49,16.06,26.48,20.12,37.49,15.43,16.6,23.1,24.63,21.37,25.74,25.19,21.18,10.05,9.59,15.01,8.74,9.58,5.36,3.21,4.93,2.26
systemd,4.29,1.23,2.19,5.21,12.58,1.26,1.93,5.05,3.78,22.32,2.44,5.12,3.6,4.89,8.25,4.75,1.63,6.99,9.78,1.46,1.59,3.38,4.02,2.23,1.57,1.82,0.74
bitnami,7.38,13.05,6.06,3.35,8.74,6.31,1.34,12.25,8.99,38.87,4.99,1.43,12.2,8.47,18.2,3.1,7.73,21.35,22.78,10.0,7.05,6.64,8.65,7.01,5.24,2.94,1.4
appsmithorg,4.06,4.19,5.66,2.85,19.93,12.55,7.89,17.22,12.99,97.85,32.2,18.62,39.81,18.29,19.12,12.71,29.64,23.24,29.29,22.41,9.97,9.33,8.05,5.61,7.65,4.95,2.84
go-gitea,1.9,13.24,6.89,0.73,3.08,1.05,0.13,0.2,1.01,42.0,0.87,1.37,2.49,1.78,2.36,2.86,0.32,0.67,4.86,2.14,2.01,1.36,2.11,1.23,2.11,2.07,0.24
Homebrew,1.6,0.81,5.66,2.04,6.15,2.71,4.23,9.43,9.15,28.63,5.49,10.56,8.53,9.11,6.04,5.42,6.75,8.82,4.08,5.02,2.32,4.58,3.4,2.01,0.85,0.71,0.37
tachiyomiorg,0.26,11.48,23.13,0.2,14.3,3.66,4.67,8.91,14.29,13.21,24.13,0.44,7.96,19.8,46.46,0.49,6.96,25.11,5.13,2.46,12.1,5.29,2.49,2.92,5.08,2.64,1.9
zulip,24.0,9.28,20.53,14.33,7.81,7.28,6.48,17.9,18.4,46.85,6.65,6.75,9.31,7.44,14.0,16.8,13.44,8.34,6.15,7.69,3.36,2.39,3.16,7.44,2.97,1.37,1.48
trinodb,9.7,5.44,15.88,11.79,15.05,5.03,13.82,18.81,8.8,88.27,8.68,8.92,6.64,6.53,7.48,7.88,9.76,13.08,7.02,4.66,8.89,7.74,5.86,4.2,2.89,3.94,2.25
ray-project,3.13,2.97,7.81,9.3,7.14,2.8,2.93,12.94,6.85,53.65,4.74,6.65,3.14,13.33,13.4,15.06,20.1,18.22,7.6,8.37,10.63,7.51,8.14,10.75,4.19,4.45,2.4
open-telemetry,1.58,9.65,1.14,15.73,14.86,0.66,0.99,6.64,9.31,2.0,1.26,1.74,7.02,3.47,10.55,8.9,9.81,11.5,11.71,5.27,2.41,5.74,4.4,5.1,1.88,1.82,1.4
CleverRaven,0.77,7.81,4.94,4.03,28.63,7.7,4.99,10.32,4.87,80.61,8.24,1.31,3.25,12.68,21.2,9.04,9.99,12.52,6.46,4.55,7.13,6.69,7.01,8.86,5.75,3.84,1.58
quarkusio,3.69,1.38,2.5,3.3,1.9,0.86,3.57,5.84,6.8,93.85,1.68,3.84,3.34,8.54,3.76,5.55,6.03,7.15,4.92,2.8,2.83,2.73,2.28,4.51,1.76,1.27,1.34
SerenityOS,2.61,13.37,7.95,10.35,9.03,10.98,5.21,15.63,14.61,22.95,3.69,10.51,4.32,17.94,17.11,9.42,11.98,6.23,10.25,7.9,5.07,5.54,5.37,3.58,4.05,2.28,0.84
conda-forge,0.0,0.0,0.0,0.01,1.0,1.9,0.0,0.0,0.87,18.06,0.15,1.91,0.06,2.76,3.66,0.88,1.38,2.67,4.02,0.01,2.74,0.63,0.68,2.0,13.23,8.31,4.53
argoproj,0.31,4.97,21.14,13.44,15.9,23.03,8.75,33.3,12.26,117.53,35.57,21.06,9.55,32.35,10.99,9.37,19.55,28.33,14.06,10.19,6.49,16.43,11.42,22.34,18.4,10.96,4.95
azerothcore,0.87,6.23,0.91,1.9,4.17,1.73,4.24,3.57,3.42,48.47,0.68,2.74,5.14,2.7,8.27,1.74,1.4,8.95,3.16,3.94,2.92,4.72,3.86,5.84,1.78,1.95,1.75
dotnet,14.76,0.68,0.89,3.86,5.61,1.46,1.35,16.16,7.63,26.32,1.05,1.94,4.12,6.2,3.41,7.76,4.71,8.54,4.88,5.09,11.95,3.17,5.52,3.93,1.6,1.64,0.94
ansible,13.91,13.44,19.67,12.57,20.52,5.26,21.68,24.22,15.01,142.41,30.07,18.17,16.19,22.42,14.9,23.5,13.52,30.48,11.68,10.41,6.84,5.78,7.19,9.17,3.5,1.33,2.23
openhab,5.45,2.48,15.1,2.71,7.51,2.48,5.84,7.97,20.37,89.8,2.08,2.44,5.67,6.49,3.13,2.54,1.16,5.98,4.82,5.46,5.88,3.66,1.27,2.67,6.39,6.2,1.97
renovatebot,0.83,0.28,5.62,0.31,1.34,0.83,0.37,0.23,0.79,50.86,0.26,0.37,0.33,3.31,1.65,4.72,3.11,2.44,3.4,2.88,3.85,0.61,1.78,0.86,0.3,0.29,0.77
PowerShell,36.46,0.98,2.92,0.75,4.15,8.18,27.67,13.77,0.86,136.83,10.52,1.44,8.54,4.1,21.74,19.59,4.93,32.79,2.06,5.63,4.8,5.97,1.48,4.2,7.12,2.4,1.95
vitejs,7.73,2.83,8.89,18.89,14.27,10.74,31.37,19.15,6.5,36.71,10.56,8.62,12.6,20.33,15.82,14.64,7.65,8.85,4.5,10.8,4.4,11.97,7.05,6.15,8.54,5.62,1.06
opencv,14.18,7.82,1.38,19.38,13.49,2.06,23.16,20.69,1.4,77.62,14.84,9.8,8.99,26.82,7.83,16.42,12.7,24.51,18.79,7.38,11.84,3.11,13.14,9.37,5.32,8.42,4.17
