Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,34,103,78,150,51,79,38,49,103,68,63,16,32,41,51,51,59,32,46,61,48,24,68,27,57,51,122
OpenAPITools,200,165,207,109,204,154,72,155,169,197,204,290,147,162,92,100,76,50,85,130,113,129,108,133,107,118,96
AdguardTeam,206,495,745,489,134,69,98,92,56,132,152,304,313,238,158,191,243,109,131,77,123,62,121,127,113,81,61
pingcap,595,458,1097,836,1022,1079,1199,1076,1112,1229,1157,1822,693,539,1030,876,793,1018,1150,918,1121,474,924,816,763,879,1054
cms-sw,478,308,457,534,661,759,601,336,760,724,937,534,695,612,607,613,555,385,508,852,452,360,282,166,413,523,701
microsoftgraph,1156,629,886,991,1520,1673,777,716,896,729,535,805,801,648,1198,701,559,881,645,671,471,362,450,444,651,492,849
MarlinFirmware,148,120,120,107,51,96,62,88,92,96,111,77,49,20,25,56,29,11,37,34,6,60,20,12,11,73,36
conan-io,1057,993,1081,795,865,757,1284,1494,994,833,544,470,703,545,531,504,409,291,549,1136,1151,1477,824,866,729,600,460
pandas-dev,1346,1123,1360,1415,1146,813,734,767,1193,1058,987,1199,842,582,794,655,516,673,687,711,692,877,1253,1120,1054,1122,1200
Ultimaker,30,19,74,23,42,93,128,158,110,113,103,95,126,44,29,13,23,41,62,59,164,9,241,254,74,127,179
influxdata,310,1086,483,445,213,262,230,159,261,435,677,554,300,288,231,143,276,268,297,262,243,265,172,142,224,286,166
zephyrproject-rtos,2586,2246,2292,2464,2176,2460,2215,1959,2150,2539,3163,2571,3335,3462,3658,2619,2563,3078,3313,3634,2952,2578,2611,1997,3210,2423,3468
qmk,1241,1309,900,981,1052,985,1464,1285,1664,1301,1024,1119,1451,707,812,525,634,657,814,827,771,823,794,659,878,977,1258
mrdoob,161,150,165,99,86,98,114,122,109,94,74,80,161,173,164,226,168,137,86,106,101,113,122,148,126,246,236
rapid7,232,308,396,427,441,405,514,312,294,323,371,291,290,317,467,294,307,203,358,344,356,404,333,355,539,552,343
ccxt,6,12,6,16,31,22,6,7,15,150,189,520,518,480,146,330,336,130,123,202,131,199,341,287,190,220,145
JuliaLang,449,438,427,526,401,361,335,335,523,436,439,328,736,594,623,300,488,263,300,354,487,506,434,360,505,319,312
jitsi,124,156,340,177,130,69,179,166,247,208,209,156,145,257,304,327,105,186,221,237,326,108,120,154,40,160,80
WordPress,1210,1050,1625,1665,1459,1293,1282,1105,1563,1305,1263,1004,1052,1620,1768,1252,1282,991,1292,1607,1372,1304,1660,1127,1417,1556,1562
istio,882,620,905,925,489,857,1177,616,485,465,406,405,359,528,648,456,571,431,377,588,392,430,378,334,595,693,645
qbittorrent,349,225,368,187,228,221,124,144,255,188,133,205,322,279,254,189,255,225,267,157,110,153,186,72,42,81,86
DefinitelyTyped,520,510,430,543,520,407,479,590,424,463,488,369,527,322,486,482,449,269,342,460,274,305,272,188,223,294,254
grpc,175,324,285,258,272,175,352,396,535,365,261,180,408,335,396,433,301,522,374,367,534,290,450,430,692,339,595
elastic,3104,4179,3573,4067,2627,4278,2976,3481,3065,2856,2495,2583,2333,2538,4076,2240,3303,2668,3115,2923,3704,3073,3078,2260,2861,3058,2471
Azure,1335,1411,2008,1270,1178,1504,1005,1158,806,855,822,746,530,766,1097,849,1005,967,691,975,885,699,681,431,549,656,697
