Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,134857,20167,46485,159977,67189,127470,181720,26540,40731,7860,120573,12747,193621,27110,69190,12657,34821,15294,18874,22077,18489,16420,106501,8922,155265,13407,17465
OpenAPITools,476601,303831,327757,241548,403898,171902,163422,242119,297320,50220,277691,193437,429550,217163,202538,351625,363767,119813,377331,554423,470540,340756,227093,298876,480195,221115,275361
AdguardTeam,2592,3319,3995,8338,790,2429,4272,2431,849,126,2328,2516,3602,3478,1927,2139,2790,956,83419,1308,1800,406,807,780,9157,2048,53735
pingcap,69763,180556,199904,126957,142464,190176,302076,164775,138772,8780,215672,543364,312961,251803,541855,269044,760201,502480,313051,514973,631570,240317,460831,747798,685838,486811,305544
cms-sw,110102,314141,156335,227040,251540,339976,224174,138556,398811,70706,367860,186316,260176,313808,310996,384612,491652,567887,452737,535884,562621,319480,253253,140915,137851,457139,269070
microsoftgraph,277170,142889,801159,507692,342834,525185,237992,328388,268962,52798,250750,696942,453688,246520,308879,146412,230391,552540,668025,585078,209814,174888,324285,161655,354393,672182,1352586
MarlinFirmware,461362,368663,459175,135806,225775,218792,256688,497692,226426,116028,242921,472901,475126,242217,311218,359866,301684,531504,165757,327689,17282,452209,214058,95670,77943,295395,293409
conan-io,59579,94897,86792,41272,55871,116350,106565,82916,157460,31985,66516,39201,71695,77283,78766,215897,56448,42757,41977,291631,94231,103296,88147,103066,159212,131349,82624
pandas-dev,88402,91184,88795,61597,48455,38895,24829,51898,48913,10726,35634,218397,60853,29411,27712,43703,18251,58036,24786,46843,33277,34990,44221,48132,48885,121708,59625
Ultimaker,90908,87636,84831,35276,61739,78246,17863,151900,31477,12646,79860,123088,101919,89832,171674,247658,125055,8773,70550,32002,70247,144235,363991,123499,339716,61293,25707
influxdata,32262,47295,73575,26695,11288,28998,21763,18561,40164,2724,119889,33007,22769,13184,136410,23784,68118,88930,43844,112788,25624,88604,94873,13476,18172,22194,19823
zephyrproject-rtos,195876,199795,288213,302848,300707,225793,292731,231616,410852,183040,508939,266973,300507,209472,423031,208250,221362,200579,310105,249160,222872,319490,298963,240627,251154,246522,307561
qmk,349055,519529,257886,240987,272004,220075,401409,519235,303117,77127,549706,244661,337889,300893,115003,350240,366171,259758,198144,645765,166957,239457,552763,275637,144878,384542,457847
mrdoob,29946,28334,137248,456610,172021,118842,16559,177774,62209,2778,76921,33187,107505,35187,23628,84653,20902,8031,11200,67437,63356,70788,101740,20057,66972,219317,92509
rapid7,22311,25195,23629,27906,38978,10600,16050,22566,43636,4860,18766,32633,16271,16637,16269,19526,52936,41913,26095,42459,113679,57569,109992,290049,118105,48756,19219
ccxt,8442,7017,8706,36702,18864,47048,21275,21988,10291,11681,20981,44700,77865,57402,56865,72110,83311,109057,60035,16556,1407976,315804,47444,49315,58896,30934,197486
JuliaLang,46705,26582,22520,25884,18702,84077,19663,22682,39091,8718,45577,60396,35012,58020,74362,19556,23496,26872,70817,19772,45426,64074,23693,43973,36354,47332,52978
jitsi,109717,25210,29676,160564,76195,75327,69172,125805,250538,3801,126366,32361,83407,79327,27756,83090,27560,45199,18039,23287,95029,142835,46374,17131,8261,14800,26966
WordPress,94770,180338,160764,288274,175319,100495,177582,168342,69777,4396,96419,126883,90853,107386,103881,143162,101854,82697,78170,145523,143677,69141,96419,92089,63747,77650,153509
istio,179469,115537,154352,131458,44975,68060,84335,66384,51916,3680,39212,52720,44410,35785,231821,73930,151959,48090,59760,66974,51163,133630,106410,31905,43274,174439,56612
qbittorrent,103460,1445,7721,96325,89139,6878,2019,16816,8854,19895,24260,5289,54085,5157,12146,3199,57144,5226,35408,50276,7661,3146,5567,14274,9596,5917,3963
DefinitelyTyped,415306,325564,293776,311195,250865,445736,807463,251523,358702,36097,147383,198436,262274,213353,137309,308282,207370,284707,93520,224196,569904,208878,177603,97020,241261,240551,349441
grpc,72407,120858,182704,98349,51865,94218,227691,271723,108289,163785,161834,178041,268567,127249,119491,154983,134561,108224,117713,92483,147376,201876,141544,105811,101502,74877,278828
elastic,1660431,1769676,2060837,1821593,1503994,1772712,1412904,1612033,1904119,205901,1069945,799828,1161169,822238,1110451,981690,885374,938826,1208891,1148783,1160804,1145025,1018875,685041,796543,842519,1041928
Azure,1880288,2021203,1525578,3670202,1419798,2051034,2003268,931077,925015,232003,1826284,1030280,1254530,951843,1491030,2075933,1884309,1712734,1143214,1559734,1052151,1263122,1291533,991415,1499154,1644533,1571124
MicrosoftDocs,79137,66560,117946,14255,146777,10119,8064,32610,7941,1771,63543,7768,6198,15671,6711,160882,17039,7515,28319,30249,26114,49083,61942,18566,250863,153870,36098
ArduPilot,72868,188576,252942,249898,181065,334840,308538,119376,161691,67641,115147,107880,206070,81158,162029,297326,150595,128698,51439,127728,59765,154896,185911,122632,183801,161604,237211
systemd,59538,71392,38462,38353,42376,57949,31126,40524,49663,8143,45909,74156,22847,32488,46071,25655,35474,31514,33009,28759,61254,27764,22948,26433,53569,43221,41680
bitnami,57572,39527,23352,25384,34671,37935,144064,42762,44962,34213,109441,28542,71351,90315,103673,84085,90394,199819,77520,45308,34034,109278,69967,144547,36772,51560,180122
appsmithorg,75458,108800,168046,86957,100646,243795,422201,182284,466802,82371,205223,413929,260132,273671,507880,421305,505407,438313,600043,475277,327038,268842,512997,484722,294779,389777,734601
go-gitea,244286,109107,180551,275419,62110,118494,262169,247570,29101,2160,137838,147239,99699,29938,48010,21215,79092,46142,68114,89243,43219,53592,235550,64591,78995,174168,360488
Homebrew,58451,98778,30555,25643,24534,62950,26998,25655,30818,8890,21055,25958,19955,19322,27120,53144,37263,63226,24003,27577,28203,69837,52825,27655,28293,36517,30507
tachiyomiorg,10173,23300,10365,12397,45398,27230,11794,27801,9567,5395,10096,19112,12524,9940,5653,6966,15133,17595,78996,96654,15123,11589,3972,8561,22774,15289,8653
zulip,16227,67781,108847,108166,33970,53081,53674,33702,57500,3548,139832,63060,97154,20925,111773,50381,30508,10564,43630,28351,46629,55855,84912,32334,67239,47573,150594
trinodb,114023,54390,76403,54854,93220,56239,50826,32984,62085,13272,128764,167989,126809,152000,217644,131767,118150,76758,148072,331109,138520,418622,221651,237956,127931,246167,303170
ray-project,75434,99221,207439,79948,98452,103597,129219,165088,118667,27828,144550,95012,225464,168681,231107,137327,184699,356000,579859,379006,168967,485454,240583,107234,200358,221085,321243
open-telemetry,62248,94725,131780,114009,151679,147618,104167,491462,122131,13753,118290,216827,212285,185158,418526,454988,577583,508826,404835,359732,319619,254348,284144,285564,264141,279085,273202
CleverRaven,405260,305858,339741,192125,158066,365853,1085706,557739,884301,252406,565722,349531,650768,232563,457175,384991,546554,415202,586642,440439,438788,503749,250036,265486,371765,453650,388585
