Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,3054,6204,24739,23110,19853,74135,5372,2496,5123,2363,104343,5681,3186,127072,15104,3930,46079,2681,3938,7898,12829,20689,68075,3317,183127,3831,6658
OpenAPITools,226734,105507,250877,116656,78281,41872,76450,41787,127747,35909,103589,109754,240511,375665,128829,175190,255934,170789,143287,201357,149517,129332,202216,104284,176318,127658,185143
AdguardTeam,38879,1611,2417,6675,592,3104,5054,2106,632,81,731,1847,1878,1729,1310,2555,4863,1024,83510,1097,3477,328,728,917,10406,3663,53808
pingcap,28529,127721,156710,34955,44948,130728,91634,40392,58898,6424,153317,493833,170667,222067,243393,134289,223982,123707,173622,191828,145677,165315,241104,425245,384102,267436,225220
cms-sw,38208,86051,114486,140704,156331,127999,142731,91138,160340,23276,86276,85659,147677,127142,228629,302399,313438,264913,448175,472882,442400,430284,301714,172109,111195,110866,167899
microsoftgraph,160633,57219,289609,396711,97389,94242,86280,193527,312844,24221,129544,161613,136774,142042,114550,42661,97066,387615,513721,137884,97599,55310,123861,53089,369297,350559,931207
MarlinFirmware,268802,460553,619938,239050,132188,121489,175470,185325,112035,61061,409663,760383,956152,487878,542891,497144,368261,689613,218747,205264,5345,181480,166311,30289,37288,198686,184681
conan-io,5015,9289,10117,6188,4363,5839,13838,7592,15214,2017,6227,5280,28197,18385,16573,68390,12634,10376,11317,89133,39231,45853,46973,37682,69147,56268,38829
pandas-dev,69428,50795,29395,34627,28894,24046,20378,19416,19913,5284,23441,41957,80187,21747,21316,17139,10274,37126,8647,19899,17221,39344,45003,41704,25625,102118,39398
Ultimaker,502,1396,4468,59094,16771,73946,1102,39829,13878,219,33583,74352,86234,37597,114712,202511,112415,3738,4252,2815,16208,155165,63636,9049,46720,17443,13703
influxdata,62859,8163,103632,12568,1650,3962,5276,30672,5606,1025,37654,3475,40887,53001,211931,20420,12493,24943,8954,58962,7061,17390,10876,3268,8649,46425,37482
zephyrproject-rtos,149148,97453,71712,133425,110646,56086,78955,151474,37412,20163,97649,52201,102517,45503,276401,60119,173942,92354,202323,87457,84073,114119,120296,45487,62493,60249,65563
qmk,143853,365380,47646,182001,165938,136339,195123,341531,189640,41607,272094,193849,80560,158922,50127,102608,180410,67415,172251,352282,56865,272918,170358,63605,213805,292315,302947
mrdoob,86146,23103,53249,530246,30384,8842,31547,216478,31582,9674,14073,19833,28071,63049,15324,13259,21214,11331,6382,22095,19597,30108,58656,62981,109692,261049,35375
rapid7,4103,14500,3169,6968,5498,1198,2384,4061,18761,176,3472,2125,4262,3286,3206,5968,23660,19140,7714,14603,30901,7771,13569,79253,35326,32377,2357
ccxt,1800,1362,9447,16783,68099,31837,20306,6349,5053,2004,5970,17282,16108,10611,8658,24548,13813,50963,46869,19443,147416,123736,40712,86398,30619,5722,145702
JuliaLang,19272,12520,10855,15341,19946,27226,10015,12887,17734,11639,27305,23444,56558,18904,44380,11037,13197,21353,33544,10523,27635,96603,18788,32096,25415,31223,30406
jitsi,26858,13869,14267,31843,54142,11344,25895,21236,44323,15372,63856,31022,84764,47973,64472,15080,56861,6108,13443,16525,51974,142995,40381,50587,6794,11441,25250
WordPress,50586,138321,107899,280004,165439,91482,93808,109236,56668,2156,79486,156284,43150,42643,30832,158036,100935,56167,45706,136918,163079,37119,47072,47866,51981,48518,122659
istio,167297,59819,70306,71605,37517,27191,33057,32361,24102,4699,42936,28868,17649,18730,128723,102958,327396,19848,68625,37894,35170,148933,34586,19594,23482,113266,36587
qbittorrent,167137,1183,5563,11026,4130,6814,1401,42800,1873,935,41686,2671,88017,3630,9806,2056,73092,3271,22178,8606,4447,1142,2668,11280,2920,3644,1525
DefinitelyTyped,193885,106751,117786,202096,363196,192854,711051,148603,199099,46068,126911,128150,108098,41869,37046,144770,60335,82884,113941,145303,92607,219756,103151,48706,113649,164088,301090
grpc,39214,33437,112768,61977,26480,44630,417860,263506,109535,124439,126527,162489,249365,105109,152723,142490,63908,78705,89965,63482,101024,146949,70588,92008,59987,69412,259943
elastic,878066,1111782,1057502,1065886,808977,982289,786874,1271298,1418905,102690,745875,637002,1210654,347574,635172,588545,294254,581683,602295,519714,501384,656639,593869,573615,437829,401079,426123
Azure,562877,677223,646158,414931,843804,501822,685264,414217,558234,26988,635969,272313,586456,467588,1380348,449978,515640,331742,363916,507479,444790,396906,791625,464403,686441,897997,642401
MicrosoftDocs,75621,87758,191620,4229,84389,3185,7325,15644,3719,664,32469,4143,3057,9228,4655,230351,8645,12600,16915,9203,7856,14630,33808,13041,147043,86381,25707
ArduPilot,83148,278120,219883,220812,102069,379162,243359,40880,188840,70576,37455,112074,30830,28992,100049,251744,63978,28589,16906,44141,18186,27369,123934,53423,41963,86954,230297
systemd,20455,22595,15956,15647,20207,27090,12156,19468,30808,3671,26200,24894,11779,21465,20966,15008,23265,21599,19512,19765,26040,21258,15244,13316,23460,21638,18828
bitnami,35862,53847,8280,13899,7082,10820,95762,7619,18007,6400,35607,6840,34656,60614,58941,59635,41189,48736,35240,26698,17765,53772,37188,91822,42236,16671,32667
appsmithorg,39471,44284,101147,28278,32779,52512,254152,50561,199261,53646,35193,163358,54708,49611,131788,141101,134934,152008,193906,368403,145558,186224,136467,132330,84272,200677,417070
