Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,131803,13963,21746,136867,47336,53335,176348,24044,35608,5497,16230,7066,190435,99962,54086,8727,11258,12613,14936,14179,5660,4269,38426,5605,27862,9576,10807
OpenAPITools,249867,198324,76880,124892,325617,130030,86972,200332,169573,14311,174102,83683,189039,158502,73709,176435,107833,50976,234044,353066,321023,211424,24877,194592,303877,93457,90218
AdguardTeam,36287,1708,1578,1663,198,675,782,325,217,45,1597,669,1724,1749,617,416,2073,68,91,211,1677,78,79,137,1249,1615,73
pingcap,41234,52835,43194,92002,97516,59448,210442,124383,79874,2356,62355,49531,142294,29736,298462,134755,536219,378773,139429,323145,485893,75002,219727,322553,301736,219375,80324
cms-sw,71894,228090,41849,86336,95209,211977,81443,47418,238471,47430,281584,100657,112499,186666,82367,82213,178214,302974,4562,63002,120221,110804,48461,31194,26656,346273,101171
microsoftgraph,116537,85670,511550,110981,245445,430943,151712,134861,43882,28577,121206,535329,316914,104478,194329,103751,133325,164925,154304,447194,112215,119578,200424,108566,14904,321623,421379
MarlinFirmware,192560,91890,160763,103244,93587,97303,81218,312367,114391,54967,166742,287482,481026,245661,231673,137278,66577,158109,52990,122425,11937,270729,47747,65381,40655,96709,108728
conan-io,54564,85608,76675,35084,51508,110511,92727,75324,142246,29968,60289,33921,43498,58898,62193,147507,43814,32381,30660,202498,55000,57443,41174,65384,90065,75081,43795
pandas-dev,18974,40389,59400,26970,19561,14849,4451,32482,29000,5442,12193,176440,19334,7664,6396,26564,7977,20910,16139,26944,16056,4354,782,6428,23260,19590,20227
Ultimaker,90406,86240,80363,23818,44968,4300,16761,112071,17599,12427,46277,48736,15685,52235,56962,45147,12640,5035,66298,29187,54039,10930,300355,114450,292996,43850,12004
influxdata,30597,39132,30057,14127,9638,25036,16487,12111,34558,1699,82235,29532,18118,39817,75521,3364,55625,63987,34890,53826,18563,71214,83997,10208,9523,24231,17659
zephyrproject-rtos,46728,102342,216501,169423,190061,169707,213776,80142,373440,162877,411290,214772,197990,163969,146630,148131,47420,108225,107782,161703,138799,205371,178667,195140,188661,186273,241998
qmk,205202,154149,210240,58986,106066,83736,206286,177704,113477,35520,277612,50812,257329,141971,64876,247632,185761,192343,25893,293483,110092,33461,382405,212032,68927,92227,154900
mrdoob,56200,5231,83999,73636,141637,110000,14988,38704,30627,6896,62848,13354,79434,27862,8304,71394,312,3300,4818,45342,43759,40680,43084,42924,42720,41732,57134
rapid7,18208,10695,20460,20938,33480,9402,13666,18505,24875,4684,15294,30508,12009,13351,13063,13558,29276,22773,18381,27856,82778,49798,96423,210796,82779,16379,16862
ccxt,6642,5655,741,19919,49235,15211,969,15639,5238,9677,15011,27418,61757,46791,48207,47562,69498,58094,13166,2887,1260560,192068,6732,37083,28277,25212,51784
JuliaLang,27433,14062,11665,10543,1244,56851,9648,9795,21357,2921,18272,36952,21546,39116,29982,8519,10299,5519,37273,9249,17791,32529,4905,11877,10939,16109,22572
jitsi,82859,11341,15409,128721,22053,63983,43277,104569,206215,11571,62510,1339,1357,31354,36716,68010,29301,39091,4596,6762,43055,160,5993,33456,1467,3359,1716
WordPress,44184,42017,52865,8270,9880,9013,83774,59106,13109,2240,16933,29401,47703,64743,73049,14874,919,26530,32464,8605,19402,32022,49347,44223,11766,29132,30850
istio,12172,55718,84046,59853,7458,40869,51278,34023,27814,1019,3724,23852,26761,17055,103098,29028,175437,28242,8865,29080,15993,15303,71824,12311,19792,61173,20025
qbittorrent,63677,262,2158,85299,85009,64,618,25984,6981,18960,17426,2618,33932,1527,2340,1143,15948,1955,13230,41670,3214,2004,2899,2994,6676,2273,2438
DefinitelyTyped,221421,218813,175990,109099,112331,252882,96412,102920,159603,9971,20472,70286,154176,171484,100263,163512,147035,201823,20421,78893,477297,10878,74452,48314,127612,76463,48351
grpc,33193,87421,69936,36372,25385,49588,190169,8217,1246,39346,35307,15552,19202,22140,33232,12493,70653,29519,27748,29001,46352,54927,70956,13803,41515,5465,18885
elastic,782365,657894,1003335,755707,695017,790423,626030,340735,485214,103211,324070,162826,49485,474664,475279,393145,591120,357143,606596,629069,659420,488386,425006,111426,358714,441440,615805
Azure,1317411,1343980,879420,3255271,575994,1549212,1318004,516860,366781,205015,1190315,757967,668074,484255,110682,1625955,1368669,1380992,779298,1052255,607361,866216,499908,527012,812713,746536,928723
MicrosoftDocs,3516,21198,73674,10026,62388,6934,739,16966,4222,1107,31074,3625,3141,6443,2056,69469,8394,5085,11404,21046,18258,34453,28134,5525,103820,67489,10391
ArduPilot,10280,89544,33059,29086,78996,44322,65179,78496,27149,2935,77692,4194,175240,52166,61980,45582,86617,100109,34533,83587,41579,127527,61977,69209,141838,74650,6914
systemd,39083,48797,22506,22706,22169,30859,18970,21056,18855,4472,19709,49262,11068,11023,25105,10647,12209,9915,13497,8994,35214,6506,7704,13117,30109,21583,22852
bitnami,21710,14320,15072,11485,27589,27115,48302,35143,26955,27813,73834,21702,36695,29701,44732,24450,49205,151083,42280,18610,16269,55506,32779,52725,5464,34889,147455
appsmithorg,35987,64516,66899,58679,67867,191283,168049,131723,267541,28725,170030,250571,205424,224060,376092,280204,370473,286305,406137,106874,181480,82618,376530,352392,210507,189100,317531
