Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,778,775,782,804,813,828,846,866,900,938,977,1008,1043,1044,1068,1062,1077,1096,1098,1114,1142,1164,1196,1203,1213,1235,1241
OpenAPITools,651,682,709,735,754,776,817,835,865,890,914,950,973,1007,1040,1044,1072,1079,1113,1144,1174,1204,1242,1269,1288,1316,1335
AdguardTeam,28,30,31,31,33,36,39,41,44,47,50,51,58,69,78,81,84,87,88,89,96,100,107,111,115,117,115
pingcap,364,372,381,388,395,420,426,431,442,450,459,467,494,518,537,539,559,573,578,582,585,596,602,608,626,630,631
cms-sw,603,615,627,631,636,637,636,633,637,648,656,667,682,685,690,691,701,705,707,703,711,719,737,756,767,781,788
microsoftgraph,416,428,445,471,491,508,524,536,558,576,595,616,629,651,668,675,696,709,718,724,760,767,787,824,844,877,879
MarlinFirmware,585,595,611,630,653,667,688,700,712,730,749,759,775,780,790,791,799,808,823,832,837,844,845,847,858,865,876
conan-io,78,97,107,122,129,137,148,156,172,191,211,226,249,277,297,302,308,328,347,352,386,406,425,438,458,478,489
pandas-dev,1537,1559,1606,1649,1689,1732,1766,1783,1813,1834,1860,1872,1896,1921,1953,1962,1989,2016,2047,2061,2078,2100,2109,2135,2154,2178,2202
Ultimaker,231,231,233,239,244,244,249,255,260,267,272,283,292,293,295,298,302,311,314,323,324,323,328,329,335,336,346
influxdata,600,609,613,618,635,657,663,671,701,710,725,734,748,754,765,770,779,795,809,822,825,840,852,854,875,882,897
zephyrproject-rtos,478,477,490,514,533,547,588,616,648,675,705,729,758,778,792,784,818,833,846,857,897,912,921,951,977,1009,1027
qmk,1366,1391,1435,1485,1526,1574,1609,1652,1679,1734,1788,1817,1868,1938,1985,1989,2026,2069,2129,2151,2187,2218,2227,2254,2323,2367,2398
mrdoob,996,1011,1029,1040,1048,1060,1076,1087,1100,1112,1125,1133,1136,1144,1148,1146,1159,1171,1195,1208,1221,1230,1246,1261,1260,1272,1286
rapid7,575,585,595,599,609,617,628,631,644,656,670,676,680,680,691,691,693,695,698,703,707,713,722,725,728,728,734
ccxt,406,413,419,429,437,447,451,457,461,466,472,476,481,485,497,498,506,513,522,528,528,536,545,550,554,562,573
JuliaLang,718,724,734,735,733,749,752,761,770,809,847,860,879,881,886,887,894,901,912,937,946,956,982,985,981,989,995
jitsi,241,252,265,268,277,294,309,319,333,339,345,357,359,364,369,371,374,388,397,399,408,412,416,419,424,427,426
WordPress,479,496,506,518,536,541,559,572,582,600,617,627,638,642,663,663,678,694,706,721,742,753,760,774,785,791,803
istio,480,503,514,530,554,558,566,573,579,588,595,610,621,641,646,644,654,658,672,683,692,693,704,713,721,732,745
qbittorrent,131,133,136,139,139,138,140,144,147,156,164,170,174,181,181,183,180,181,180,180,184,182,187,193,197,201,205
DefinitelyTyped,11218,11375,11536,11774,11962,12154,12342,12490,12693,12856,13038,13176,13318,13449,13628,13622,13810,13931,14129,14230,14351,14468,14565,14662,14763,14883,14985
grpc,510,517,527,535,539,541,549,556,567,577,587,598,608,617,630,632,639,644,646,651,655,663,669,672,678,685,692
elastic,351,354,356,371,385,394,405,412,424,431,436,452,458,464,470,468,475,487,491,498,506,516,539,542,549,557,562
Azure,106,112,128,132,139,141,144,149,154,166,177,186,191,204,218,221,229,234,243,249,255,263,269,273,275,277,280
MicrosoftDocs,4140,4238,4348,4505,4606,4691,4799,4893,5037,5149,5261,5404,5500,5620,5720,5740,5883,5970,6077,6180,6281,6372,6432,6521,6630,6725,6861
ArduPilot,214,219,228,231,236,246,251,255,263,270,277,284,288,295,298,299,308,316,318,324,328,334,339,343,342,348,347
systemd,978,1006,1025,1040,1047,1066,1091,1118,1131,1154,1176,1190,1206,1227,1249,1251,1266,1286,1301,1313,1328,1332,1355,1364,1378,1403,1418
bitnami,296,328,367,412,454,517,567,617,673,715,762,802,834,876,922,925,969,1013,1057,1100,1141,1183,1222,1253,1280,1314,1342
appsmithorg,2,5,6,39,44,47,48,52,57,58,59,65,66,68,69,75,80,90,92,98,102,104,109,112,111,114,121
go-gitea,498,503,514,538,551,568,592,598,603,615,624,638,658,664,673,674,685,693,704,714,725,731,744,762,771,786,802
