Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,609.78,610.07,628.53,643.92,670.45,686.34,708.65,724.93,745.53,772.01,774.48,773.78,796.05,812.64,837.57,847.36,868.17,872.9,898.3,910.56,921.66,935.19,944.54,963.39,981.98,989.35,1009.41
OpenAPITools,422.92,433.64,446.16,457.81,471.13,484.49,498.06,517.09,534.67,560.66,571.25,585.3,598.04,608.21,621.92,640.12,659.93,670.39,682.23,691.17,702.91,718.58,728.14,746.96,766.03,773.87,791.22
AdguardTeam,693.6,749.7,792.92,796.03,731.62,743.65,819.79,738.16,718.65,663.84,623.78,557.18,532.11,597.58,631.01,650.85,631.53,647.54,617.16,661.07,683.43,681.97,706.03,717.39,726.25,732.76,748.65
pingcap,390.67,403.92,414.3,421.3,425.72,424.61,415.65,433.07,422.08,439.46,440.09,453.88,459.71,473.78,486.19,505.77,519.69,531.47,549.85,557.55,576.07,592.38,607.62,624.32,639.49,654.67,663.98
cms-sw,706.19,711.68,730.8,743.15,754.97,776.93,788.51,792.54,776.45,795.44,809.48,818.32,832.68,848.53,857.83,879.55,882.44,904.92,912.17,910.57,928.84,939.14,975.95,995.96,1001.76,1016.23,1016.23
microsoftgraph,428.83,449.17,467.09,484.04,504.01,514.39,552.63,588.1,642.52,642.48,648.01,660.23,659.9,659.36,683.26,689.71,692.17,703.49,727.32,722.93,732.03,742.56,765.68,771.66,796.75,818.71,832.08
MarlinFirmware,786.51,802.03,825.26,819.41,816.64,833.99,884.97,896.51,901.62,907.01,914.88,935.61,924.3,930.38,952.39,1016.98,1036.61,1052.73,1090.96,1098.05,1114.07,1139.55,1170.03,1186.91,1194.6,1219.51,1232.6
conan-io,192.9,209.59,221.44,234.41,250.0,258.04,273.17,277.08,296.77,317.65,320.86,335.45,344.35,361.66,361.43,376.72,388.01,393.94,396.51,403.63,437.9,441.7,448.18,461.01,474.0,491.69,496.95
pandas-dev,944.52,954.03,965.89,983.09,997.34,1011.69,1033.25,1078.4,1092.3,1114.84,1137.79,1163.66,1179.74,1193.24,1206.84,1214.55,1235.3,1258.89,1275.89,1303.69,1306.49,1317.59,1331.96,1352.43,1358.95,1370.11,1383.13
Ultimaker,566.16,584.55,605.06,597.69,628.03,655.38,677.4,689.93,697.74,713.24,711.75,729.09,743.17,757.5,770.81,722.56,690.68,707.66,701.24,696.82,688.03,690.17,700.05,704.86,702.1,697.35,675.08
influxdata,654.71,660.33,665.69,675.42,697.25,707.71,718.15,732.47,746.6,770.12,777.37,790.85,792.81,797.86,802.46,829.01,850.88,852.77,861.16,873.95,871.62,866.59,893.69,904.04,930.55,957.35,933.27
zephyrproject-rtos,494.91,517.58,487.47,506.61,540.66,546.75,559.58,577.91,600.58,619.1,622.06,617.77,623.09,616.64,625.93,646.02,660.82,671.7,678.55,680.37,698.32,696.16,707.73,719.5,730.59,736.98,749.35
qmk,737.95,742.7,734.67,750.06,746.13,758.69,774.74,805.23,823.1,847.6,846.42,834.15,849.88,867.87,876.41,898.31,906.36,900.11,924.71,982.93,972.18,1011.49,1017.24,1051.23,1082.74,1104.25,1104.44
mrdoob,845.71,861.2,843.0,827.16,853.38,871.93,886.84,874.81,882.4,901.03,918.34,931.99,955.16,940.6,951.25,974.54,991.64,1004.81,1010.43,1022.77,1026.7,1034.81,1061.21,1075.35,1061.82,1092.89,1103.35
rapid7,957.9,919.68,930.57,942.14,931.13,940.75,975.62,1002.31,1018.63,1051.03,1057.81,1078.49,1085.46,1091.87,1098.56,1099.1,1092.7,1119.35,1135.96,1144.1,1175.71,1182.52,1216.57,1240.0,1268.88,1230.68,1271.12
ccxt,697.92,696.36,711.93,714.75,698.29,682.01,692.96,680.97,685.57,700.84,694.47,734.2,752.49,754.07,754.92,753.37,763.8,756.7,754.76,778.94,770.73,795.83,775.77,767.01,760.74,755.16,710.04
JuliaLang,837.33,850.18,849.57,858.01,873.98,888.29,907.38,923.95,940.38,960.71,975.65,980.99,1002.03,1017.99,1026.7,1034.81,1037.33,1050.65,1070.96,1083.31,1098.35,1114.2,1122.8,1137.17,1148.35,1159.82,1173.56
jitsi,328.81,334.85,344.2,357.67,370.46,374.51,439.12,451.04,459.63,486.38,494.55,510.14,543.28,544.06,546.67,644.33,658.16,648.38,663.33,681.08,680.26,695.59,702.9,703.9,714.61,728.71,737.68
WordPress,461.24,463.4,463.57,458.81,477.11,493.08,497.75,510.72,513.31,532.28,532.96,549.9,560.27,569.72,573.6,582.51,594.29,609.93,616.75,633.9,651.9,665.67,676.36,696.18,706.45,701.82,716.55
istio,348.06,389.86,400.96,401.13,429.02,439.97,464.35,496.01,514.09,543.11,556.87,585.5,603.56,621.24,641.25,647.17,654.81,669.09,679.18,761.37,768.68,781.54,786.18,789.32,818.03,838.14,859.81
qbittorrent,795.17,806.17,821.59,832.89,849.74,872.52,892.12,908.1,926.35,950.43,960.05,974.14,960.18,963.31,977.6,986.87,1000.19,1012.19,1025.95,1025.37,1035.96,1048.28,1054.35,1056.13,1062.77,1076.96,1083.81
DefinitelyTyped,1020.74,1040.43,1064.69,1081.77,1104.66,1211.17,1231.46,1312.4,1338.75,1372.35,1398.52,1417.38,1431.77,1447.39,1468.95,1485.85,1503.63,1517.77,1538.19,1554.9,1569.97,1599.24,1618.23,1640.51,1666.57,1684.53,1704.38
grpc,977.31,980.23,993.24,998.35,1016.37,1052.26,1062.12,1075.52,1107.81,1122.64,1127.08,1140.32,1144.94,1167.23,1185.79,1239.59,1280.77,1328.89,1340.87,1354.51,1408.35,1432.03,1459.02,1493.75,1520.44,1527.73,1540.89
elastic,603.87,600.06,601.54,612.23,625.62,630.27,627.84,637.19,647.34,668.61,670.14,680.21,698.51,700.66,712.83,730.43,745.64,755.69,769.72,775.29,780.96,798.82,806.84,826.06,852.74,860.28,867.5
Azure,272.35,272.33,272.48,274.79,256.28,266.73,282.7,304.08,302.44,322.02,346.44,356.31,362.53,372.49,387.69,402.15,418.36,439.11,449.01,463.01,477.28,473.24,484.31,515.62,530.01,535.9,553.3
MicrosoftDocs,411.89,417.82,434.05,445.26,457.07,479.07,493.86,510.86,515.47,529.98,527.1,537.59,547.64,548.05,555.49,568.06,584.76,596.97,607.96,613.31,613.86,620.17,635.16,657.76,677.17,684.61,694.87
ArduPilot,1022.83,1040.66,1056.1,1070.05,1082.59,1093.12,1111.25,1179.63,1217.66,1238.58,1246.89,1256.49,1273.44,1280.76,1297.29,1304.39,1321.15,1332.26,1352.74,1361.13,1398.18,1415.99,1429.29,1445.16,1462.27,1471.4,1467.35
systemd,830.26,857.85,872.98,872.33,888.97,912.84,915.49,936.98,943.94,962.85,990.55,1002.15,1008.88,1019.7,1039.1,1039.24,1050.02,1047.58,1060.46,1072.84,1092.43,1100.14,1106.23,1119.28,1136.38,1151.26,1147.82
bitnami,152.06,153.59,159.8,203.15,217.25,230.55,249.98,265.72,279.85,287.35,281.28,304.49,316.89,328.83,344.11,360.57,374.96,370.45,388.98,401.84,428.12,380.61,386.64,407.13,408.6,417.76,436.19
appsmithorg,67.36,72.83,78.9,89.46,93.47,96.39,105.1,122.54,124.42,148.32,158.53,170.55,174.55,182.22,190.35,188.75,205.32,218.32,235.71,241.62,251.51,266.3,283.09,295.78,299.88,311.42,322.71
go-gitea,550.26,560.55,579.76,578.9,594.14,611.78,634.59,646.0,654.68,675.46,688.26,708.36,721.04,715.18,727.79,747.66,757.65,762.74,776.66,772.37,782.68,799.28,804.23,815.98,818.87,829.49,830.44
Homebrew,704.34,701.24,714.86,721.66,736.45,786.55,804.19,838.19,827.69,824.32,861.1,859.45,902.39,924.8,938.43,969.07,990.08,1006.54,998.29,1015.94,1003.45,1018.16,997.48,1039.81,1056.37,1053.79,1112.08
tachiyomiorg,243.85,252.2,265.09,258.25,260.15,258.67,272.82,279.2,294.12,313.08,332.48,350.15,374.3,385.61,395.57,412.14,423.09,439.96,464.59,467.36,483.09,501.51,507.45,532.46,552.41,549.73,564.06
zulip,771.94,779.0,783.41,801.82,808.27,786.26,794.53,809.44,809.76,834.76,848.45,866.1,872.5,889.13,896.9,888.26,903.74,928.05,949.96,977.33,980.82,1002.45,1017.69,1027.93,1034.62,1052.31,1075.44
trinodb,266.65,279.63,285.94,290.76,311.21,328.9,346.36,356.65,367.33,392.16,403.86,422.89,429.53,442.26,449.96,466.87,478.3,492.28,507.69,520.67,528.28,541.36,555.66,577.39,592.83,605.89,614.46
ray-project,279.38,281.12,282.03,293.2,302.38,313.44,324.09,337.27,343.45,361.48,363.12,379.42,381.5,394.91,399.38,415.31,414.92,419.3,429.68,440.86,450.55,463.77,480.52,498.89,512.09,517.64,520.98
open-telemetry,125.49,127.2,132.8,142.27,161.75,179.2,188.57,165.62,173.05,198.25,208.8,216.82,223.56,235.67,240.17,251.79,242.5,241.05,252.61,264.15,274.77,285.52,292.97,306.48,321.11,323.85,288.21
CleverRaven,524.33,528.95,544.29,547.03,554.85,571.08,567.38,564.29,576.14,594.87,599.12,591.71,583.08,587.09,598.78,599.43,608.56,613.68,604.98,610.23,619.69,630.91,648.9,691.58,743.73,785.84,823.21
quarkusio,266.08,277.51,286.12,292.15,309.71,325.52,330.55,345.55,360.83,385.75,393.17,406.26,428.5,433.07,450.92,459.93,474.68,489.23,505.0,518.4,538.21,553.72,569.06,581.71,597.68,610.14,621.79
