Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,52.8,75.5,7.86,4.5,1.33,186.33,3.0,33.4,45.2,52.5,58.4,15.79,28.23,3.0,4.2,17.67,9.29,24.33,8.25,11.38,71.33,4.0,41.5,17.8,34.33,16.25,5.4
OpenAPITools,115.87,135.28,133.11,97.84,110.6,131.57,65.03,59.26,71.73,79.63,63.23,64.37,74.91,94.58,68.69,34.15,38.67,30.03,39.68,28.16,23.23,25.75,16.47,26.92,14.08,9.1,6.12
AdguardTeam,7.95,4.66,4.82,5.12,7.01,7.2,4.12,4.37,7.07,11.35,11.3,14.44,13.57,10.41,5.17,2.25,3.2,2.62,3.29,3.13,1.4,1.49,1.99,1.74,1.56,2.23,2.04
pingcap,59.09,73.5,30.5,54.38,54.27,69.34,35.66,54.5,59.63,78.41,29.25,29.84,43.24,39.55,17.7,29.28,23.14,32.49,20.32,21.73,17.74,21.52,11.64,12.45,11.18,5.08,3.54
cms-sw,81.33,72.78,61.63,86.74,71.88,48.41,66.2,62.35,39.23,92.96,26.22,56.7,35.94,43.12,35.31,36.68,50.92,40.52,23.09,13.82,44.12,12.39,24.33,11.2,8.44,5.2,8.12
microsoftgraph,95.18,120.77,99.14,50.6,74.6,62.01,30.53,50.24,39.29,59.33,23.79,36.75,65.47,43.25,36.22,32.25,28.34,40.68,28.76,25.56,25.6,19.32,8.89,16.79,9.64,4.3,4.22
MarlinFirmware,31.65,50.6,45.43,44.95,49.8,27.96,38.98,37.31,44.01,69.21,52.85,33.17,35.45,37.76,21.57,19.76,28.6,29.49,27.08,35.48,30.06,38.22,20.18,14.18,11.57,2.03,1.63
conan-io,84.35,67.67,52.53,51.5,60.58,64.68,43.79,47.6,30.73,63.44,56.26,27.15,37.08,21.67,25.06,31.32,31.92,44.68,47.49,18.25,11.9,19.19,14.84,14.58,7.59,8.11,7.19
pandas-dev,102.9,73.77,88.83,65.58,85.75,85.18,59.31,65.43,51.53,74.26,55.74,46.48,44.69,42.73,71.03,73.18,28.05,27.22,26.57,25.05,26.4,24.72,14.6,12.62,15.8,8.7,5.3
Ultimaker,11.4,14.42,21.27,19.24,8.65,12.26,11.15,23.86,11.62,16.3,8.68,13.14,8.95,14.39,19.3,17.54,15.63,15.98,12.65,18.65,17.82,14.04,12.79,9.51,8.73,7.3,3.99
influxdata,227.62,189.61,148.29,122.89,115.93,103.6,167.94,128.35,99.76,108.82,73.57,44.16,76.4,53.89,36.57,19.97,38.74,25.21,31.76,20.6,23.81,19.18,9.83,14.43,8.38,7.91,6.11
zephyrproject-rtos,44.12,54.58,43.99,52.46,30.75,53.48,53.82,39.88,51.03,83.72,47.93,89.2,50.08,61.11,46.15,31.89,31.29,37.89,44.91,27.65,28.22,30.26,26.47,30.81,14.24,7.17,4.21
qmk,74.29,115.45,87.09,67.14,134.12,167.41,133.74,95.61,191.8,118.56,142.85,126.69,124.52,66.63,88.27,83.83,48.3,71.45,45.76,30.28,59.61,33.0,11.07,8.35,4.73,6.08,1.46
mrdoob,9.4,6.54,4.5,35.65,22.38,52.81,21.47,37.09,41.33,52.95,8.06,10.1,7.38,10.5,21.26,1.85,8.29,11.72,5.11,7.71,8.86,7.0,1.97,7.73,6.65,2.44,0.61
rapid7,23.64,36.41,34.75,44.98,35.93,50.75,25.47,23.55,38.2,77.06,46.88,42.23,35.11,37.82,33.55,38.97,39.8,50.42,41.76,30.21,37.07,29.49,21.4,32.5,26.0,11.04,3.7
ccxt,35.61,33.02,37.35,64.02,42.58,50.53,39.97,84.36,37.58,29.37,15.78,20.0,16.5,9.08,22.12,18.65,11.12,12.69,19.8,17.45,16.57,9.39,8.05,7.46,3.78,2.73,1.43
JuliaLang,85.1,75.93,116.98,79.17,67.58,39.08,76.31,41.0,53.83,61.08,60.76,52.47,34.26,28.43,30.67,63.68,45.45,38.19,19.64,25.11,22.7,12.37,14.3,16.94,8.21,5.71,3.17
jitsi,119.03,106.88,87.33,98.55,106.33,158.71,103.0,99.58,97.28,97.97,43.64,57.51,27.69,7.17,18.59,7.91,12.43,26.52,20.48,20.38,15.15,5.17,14.39,13.57,7.04,5.76,0.57
WordPress,92.9,112.62,138.91,134.44,81.89,75.65,92.08,131.72,141.03,145.06,82.95,78.81,70.48,83.93,95.04,66.5,58.23,51.67,52.02,31.35,29.93,29.23,23.28,20.5,17.19,9.48,4.52
istio,71.02,60.62,68.3,79.06,74.59,72.34,82.18,70.78,91.9,95.98,85.83,56.33,70.17,84.95,67.14,81.8,78.94,63.72,47.59,57.87,50.26,61.33,53.53,47.88,13.02,6.41,2.78
qbittorrent,165.97,148.59,53.32,52.29,68.73,46.31,69.82,37.68,61.57,99.86,79.42,41.09,30.44,28.69,43.73,22.15,13.8,19.3,26.2,14.76,12.86,15.68,11.26,12.8,8.43,4.12,3.46
DefinitelyTyped,107.96,55.48,31.13,33.36,102.19,4.11,11.0,2.68,10.67,4.33,4.77,17.0,10.8,8.71,37.0,86.5,26.29,39.0,11.0,11.17,8.2,12.5,5.0,25.0,8.0,1.33,0.0
grpc,199.45,176.65,137.16,126.6,118.25,104.08,94.44,141.8,93.9,107.08,94.53,100.97,55.52,69.2,48.44,31.13,52.4,27.37,45.44,33.6,37.81,22.89,17.96,19.52,7.91,9.54,3.06
elastic,109.96,107.41,112.95,104.75,114.35,87.13,73.63,76.45,82.3,98.04,73.37,68.1,72.37,69.48,64.32,49.57,63.88,50.07,45.34,39.61,33.69,37.3,34.58,26.36,17.83,12.04,6.25
Azure,154.87,96.39,128.97,92.19,112.49,111.48,86.15,104.35,104.45,109.54,73.36,84.45,88.73,82.69,65.74,83.01,60.78,61.64,54.74,46.58,46.33,44.74,34.55,33.69,22.65,10.43,6.21
MicrosoftDocs,59.66,55.1,56.12,63.99,74.78,54.93,51.32,74.26,69.08,98.99,64.12,59.73,48.21,47.25,40.96,36.37,32.55,33.36,34.97,32.3,27.25,20.28,21.57,13.75,10.37,6.85,4.12
ArduPilot,88.87,82.4,93.5,65.46,89.36,55.52,57.31,99.89,48.71,55.0,63.15,80.77,43.0,58.55,23.13,46.56,23.62,31.84,18.13,18.08,26.67,12.3,10.4,15.23,3.64,6.0,3.82
