Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,255.2,171.0,202.15,440.91,337.09,131.71,270.86,225.3,33.29,270.0,186.79,143.62,5.86,78.64,153.1,99.06,66.4,103.83,71.75,61.64,91.0,79.67,26.8,51.8,33.71,29.42,6.23
OpenAPITools,206.78,236.32,288.01,315.57,297.83,299.27,240.02,258.54,233.3,281.62,231.02,187.86,207.66,195.09,161.9,125.78,173.8,137.23,126.12,135.38,107.14,100.48,72.04,63.6,42.21,27.47,11.26
AdguardTeam,22.09,16.11,21.67,16.2,35.44,14.88,10.37,60.29,55.49,239.5,30.06,59.92,125.47,103.92,72.25,17.86,41.17,45.34,36.34,15.11,8.3,11.03,9.5,6.15,4.42,3.91,3.19
pingcap,217.72,94.39,87.61,91.97,113.66,112.9,115.64,93.42,116.51,179.44,64.98,72.85,119.43,108.14,86.52,93.1,79.36,94.4,55.9,56.89,55.78,49.65,35.42,31.74,23.15,16.93,8.11
cms-sw,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13,0.0,0.0,0.0,0.0,0.0,0.05,5.92,0.3,7.29,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0
microsoftgraph,308.17,387.0,323.35,279.17,248.09,181.23,183.04,227.54,266.96,298.26,206.89,217.08,185.7,164.14,124.65,131.73,165.1,130.22,113.33,90.88,112.57,86.96,71.97,57.95,44.42,26.73,11.71
MarlinFirmware,93.0,64.52,42.64,36.18,57.44,4.67,4.71,39.6,72.36,154.17,46.95,12.4,34.07,45.24,35.69,2.94,39.14,33.36,37.66,36.28,22.62,27.75,14.21,16.13,12.22,10.21,3.91
conan-io,156.98,79.19,103.17,131.44,128.24,120.71,102.69,131.57,100.06,176.63,88.59,134.5,64.32,99.78,68.01,69.83,107.81,105.82,71.32,48.2,58.75,54.21,56.35,39.95,22.49,16.68,8.25
pandas-dev,44.2,73.5,99.04,46.55,59.65,72.11,42.26,39.03,82.44,121.3,31.78,56.87,50.85,67.7,46.94,37.33,56.67,42.47,37.35,26.82,30.26,31.77,19.98,14.03,18.24,11.11,3.61
Ultimaker,7.76,0.85,1.15,8.35,5.42,0.86,0.91,13.28,5.43,109.75,5.96,2.31,6.66,8.92,36.21,64.46,30.99,17.94,22.28,16.42,26.98,14.28,8.79,12.15,9.79,9.56,6.85
influxdata,170.49,184.69,97.43,139.33,107.55,121.21,131.63,194.45,127.89,171.22,91.71,46.27,63.31,44.3,64.22,55.75,54.7,47.02,15.44,36.96,30.59,12.64,13.27,17.19,7.37,2.79,2.5
zephyrproject-rtos,73.43,56.9,109.83,78.19,93.93,73.96,64.46,71.59,60.73,157.59,84.01,115.94,75.23,111.2,76.2,66.39,67.95,54.79,59.41,39.9,31.49,52.27,41.75,33.06,20.62,16.24,6.58
qmk,168.68,144.2,162.4,164.97,130.19,139.2,115.87,54.37,95.26,119.4,30.11,170.5,136.53,57.59,31.81,70.57,39.31,36.62,23.21,26.84,57.39,30.16,19.39,22.77,15.0,9.9,5.58
mrdoob,38.12,48.04,81.3,35.92,51.65,45.86,12.59,54.65,1.93,92.17,18.67,20.1,21.81,30.0,31.13,23.55,16.06,56.14,23.86,12.02,4.25,17.4,4.0,12.9,8.61,6.0,0.85
rapid7,89.06,74.82,134.56,130.16,94.24,138.24,141.15,142.86,120.93,3.0,78.2,86.65,112.44,104.95,63.24,61.61,87.55,55.03,95.52,51.0,67.42,31.12,31.82,29.62,20.39,13.87,8.21
ccxt,49.81,55.61,57.86,60.37,74.89,97.88,50.57,77.61,50.0,68.61,33.32,29.87,16.79,42.71,28.15,35.66,20.57,26.19,20.65,5.67,13.6,12.97,14.98,9.14,8.05,5.7,2.67
JuliaLang,88.23,59.85,112.09,130.43,82.95,98.69,81.86,88.27,94.31,146.08,56.11,65.48,91.41,53.48,77.99,58.8,65.63,48.11,40.14,28.19,33.22,29.19,22.33,15.16,11.02,11.6,4.68
jitsi,149.19,136.82,184.39,94.36,76.56,195.96,100.84,83.15,58.28,49.0,35.5,49.91,53.59,71.38,21.88,15.02,46.51,30.02,41.42,19.76,23.53,14.68,15.94,17.85,2.78,3.21,4.96
WordPress,79.66,81.8,106.37,115.14,71.84,100.72,100.79,117.48,138.13,204.03,78.08,72.66,79.18,99.59,81.42,70.37,77.57,61.85,69.45,51.19,52.12,54.53,39.02,22.99,19.4,14.44,6.19
istio,29.87,23.14,25.26,43.85,23.02,31.94,47.36,39.55,45.31,80.19,24.76,17.47,17.02,29.72,19.33,35.61,31.44,38.32,17.0,21.95,18.09,20.86,25.1,21.76,13.47,11.13,4.13
qbittorrent,143.36,180.12,117.95,120.93,106.71,79.88,98.49,71.24,161.29,232.05,115.67,156.68,49.01,89.87,70.78,83.9,50.2,80.81,63.53,65.21,46.6,59.99,35.48,25.92,30.14,17.25,6.3
DefinitelyTyped,71.87,175.21,169.84,230.8,141.27,18.42,9.84,55.55,30.05,178.33,36.81,241.0,170.16,250.14,116.72,177.62,181.76,83.15,103.29,99.33,47.85,43.79,56.75,73.0,53.0,27.38,13.82
grpc,124.99,178.37,217.62,78.32,81.53,75.5,135.75,145.83,95.29,274.97,171.78,120.36,67.52,54.31,53.45,74.09,59.68,42.95,65.93,40.26,47.64,24.27,40.51,19.3,19.12,9.46,4.56
elastic,45.34,21.78,28.64,15.05,17.85,14.04,14.17,12.88,32.42,123.46,22.43,14.66,27.94,34.44,25.44,21.96,18.58,20.19,9.91,9.86,8.07,13.47,9.07,7.85,4.61,3.04,2.55
