Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,542,642,675,674,511,674,546,475,513,519,551,500,443,804,694,640,610,482,615,641,550,539,531,452,568,654,615
OpenAPITools,508,449,533,397,400,418,344,375,370,381,411,345,504,452,427,432,407,347,455,465,430,426,439,318,403,440,432
AdguardTeam,2899,3090,3344,3225,2970,3265,3148,3568,3587,3765,3886,4098,4880,4240,3363,3184,3603,3007,2823,3090,2698,2751,2697,2661,2924,2839,3055
pingcap,809,692,1072,919,901,1191,1270,1380,1243,1358,1432,1432,1166,1061,1243,1084,1016,1121,1117,1259,1374,662,976,997,867,1203,1150
cms-sw,273,337,401,371,429,504,523,464,604,523,507,433,331,373,437,462,592,544,425,487,403,520,401,317,313,343,427
microsoftgraph,506,641,663,567,629,616,565,645,819,632,515,458,449,432,544,490,533,621,687,562,626,554,539,479,567,511,904
MarlinFirmware,1737,548,517,496,492,557,489,393,410,389,371,379,449,356,1369,2236,306,356,330,278,266,260,215,279,282,294,329
conan-io,567,409,550,425,489,539,677,657,528,529,490,495,746,579,750,686,603,577,687,897,830,901,834,773,840,990,857
pandas-dev,984,967,896,901,892,1048,963,941,771,807,770,846,956,705,649,527,481,663,625,703,772,789,825,856,939,998,1108
Ultimaker,290,249,250,381,375,283,250,222,271,307,360,350,353,307,281,371,493,424,415,404,402,429,427,375,415,410,539
influxdata,350,326,366,301,229,275,240,253,293,309,333,343,393,405,428,358,377,370,301,383,310,384,321,222,246,293,324
zephyrproject-rtos,1344,1341,1648,1394,1627,1170,1180,1161,1306,1296,1378,1215,1385,1434,1685,1327,1368,1461,1861,1900,1669,1464,1564,1173,1462,1527,1670
qmk,577,571,587,531,491,682,761,676,631,596,582,470,784,467,427,570,414,589,610,759,481,546,476,455,464,412,477
mrdoob,295,332,362,280,269,196,219,289,212,239,228,280,360,283,294,235,235,182,177,232,223,232,263,232,229,257,258
rapid7,380,323,265,227,248,208,236,200,203,191,185,167,197,176,228,193,202,166,185,200,221,211,207,186,248,230,212
ccxt,229,203,281,392,244,250,272,233,220,339,444,475,745,422,524,561,569,695,658,458,394,482,505,495,527,401,543
JuliaLang,642,620,667,889,594,638,545,493,564,586,682,509,655,815,763,512,635,509,539,557,706,707,669,466,630,630,556
jitsi,343,280,359,271,271,405,502,262,321,297,272,334,473,228,313,496,222,203,196,211,221,242,193,142,155,173,203
WordPress,1440,1568,1706,1623,1589,1276,1306,1117,1404,1296,1353,1088,1214,1339,1249,1283,1297,1010,1439,1754,1711,1461,1278,1050,1343,1574,1690
istio,1258,1205,1201,1181,1048,997,1178,950,892,871,886,710,750,879,924,779,866,799,781,1027,748,740,811,665,732,955,793
qbittorrent,320,332,477,303,238,162,180,247,165,197,212,185,470,303,401,255,301,246,735,403,213,239,212,291,256,226,231
