Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
bioconda,188.79,198.3,205.58,214.34,198.2,204.74,218.11,219.36,215.69,203,191.31,185.57,172.05,183.31,183.71,189.0,197.86,184.35,198.85,211.24,201.27,181.19,182.32,184.31,190.39,191.57,193.52
OpenAPITools,198.92,203.19,208.74,208.86,219.79,211.36,199.45,200.4,194.93,189,179.58,186.36,195.99,194.91,191.59,191.19,181.59,173.71,176.39,187.13,184.77,177.32,196.96,179.94,181.54,184.8,185.39
AdguardTeam,549.93,554.75,567.07,568.02,571.8,568.7,547.59,539.87,526.7,516,500.6,503.49,516.89,509.79,484.81,509.88,513.91,502.52,486.69,493.47,494.93,510.21,508.44,511.86,514.37,499.68,503.27
pingcap,204.26,199.47,217.3,218.94,230.22,243.52,252.0,252.74,261.85,252,243.51,251.14,243.54,237.92,238.89,230.4,208.22,204.6,219.44,204.26,198.62,171.5,185.09,196.33,223.63,226.95,227.63
cms-sw,203.27,189.14,197.82,201.44,211.91,204.2,206.05,210.12,217.32,220,222.38,231.75,219.97,213.54,213.3,211.21,225.48,228.64,229.07,240.28,224.61,220.53,206.14,201.9,206.71,204.77,206.77
microsoftgraph,434.46,429.41,439.7,435.21,455.01,474.21,464.21,464.47,452.77,406,357.46,352.15,375.45,368.65,383.34,362.76,355.67,397.07,395.42,395.83,377.36,365.98,350.43,330.67,309.02,303.11,326.83
MarlinFirmware,404.87,393.27,358.02,345.16,347.92,331.91,314.77,309.88,278.18,262,234.86,237.34,252.97,217.29,203.63,211.01,202.39,199.17,192.48,177.65,166.68,166.33,156.21,168.4,171.48,167.96,170.75
conan-io,277.21,284.25,293.28,294.3,308.38,290.2,310.9,338.06,326.76,311,291.93,294.62,297.33,275.87,287.86,291.53,291.77,282.97,305.9,350.86,346.9,360.93,354.12,349.42,345.15,334.93,337.11
pandas-dev,544.14,541.04,526.99,520.22,494.59,480.57,471.54,465.3,450.93,428,399.71,401.82,408.05,390.41,393.5,390.87,354.44,340.04,316.13,301.19,310.04,332.95,344.71,364.27,359.74,366.26,400.28
Ultimaker,230.14,197.56,190.84,254.5,268.58,245.89,236.58,218.86,233.62,242,255.78,250.85,261.21,229.19,204.45,244.21,297.39,285.76,276.69,285.36,269.42,311.26,295.1,312.62,313.79,306.27,355.43
influxdata,153.68,175.99,184.82,178.63,159.17,157.52,153.6,142.13,142.43,144,141.68,156.53,164.61,171.49,169.87,157.76,158.77,147.98,151.15,151.53,148.86,142.47,139.96,128.99,141.23,144.63,135.17
zephyrproject-rtos,480.97,462.34,486.86,501.13,513.26,502.91,518.08,500.94,510.68,501,490.84,504.03,529.54,534.02,572.4,559.65,551.96,600.48,620.72,645.25,639.09,628.55,612.71,580.93,619.17,610.03,645.31
qmk,405.4,416.7,416.13,410.45,420.06,431.96,434.46,429.02,431.17,407,383.72,381.85,407.74,379.95,383.73,356.07,343.96,339.91,351.56,357.01,344.22,342.04,334.15,313.88,324.25,321.4,334.03
mrdoob,166.86,167.24,163.3,163.4,160.53,149.45,150.52,149.73,147.28,148,142.82,158.81,179.64,177.61,165.28,166.64,168.48,156.76,135.0,147.83,145.18,139.91,135.25,139.85,133.89,137.04,145.13
