Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.671078962188602,3.4712447134135744,3.401432419859622,2.9946504619412564,2.9384293782191016,3.0236417788317493,2.9962559974165694,2.9415796042949873,3.1469751491427913,2.85223946343849,2.8751916211244595,2.7367353283239946,2.841374011591436,2.9117402317122023,2.6202140979337862,2.483865387315973,2.4822560443808124,2.4867187730573717,2.88903165232825,2.7048561882624047,2.921347202049219,2.592927426757838,2.920924516347569,2.4431611836560942,2.8014265221591628,3.1230967225770407,2.7045028289321746
AdguardTeam,3.865845115521101,3.8796907252802755,3.8805751770742214,3.3344638732352503,3.092553230602692,2.9264719684966156,3.4761055784088155,3.374695845133586,3.2058642916339486,3.0297118287821014,2.9010145218413665,3.2431041935472695,2.9477075534943413,3.0019077958294056,2.6913324780037176,2.7260780381746317,3.0120519515377984,2.8843229789777576,2.4551589680089574,2.8183296140495546,2.793680816339246,2.297791232956304,2.5860491654478404,2.8887593214757015,2.8176034095084415,2.732777717747981,2.8945152816956417
pingcap,3.9987763146684023,3.9156952560863787,5.293227279841008,4.686852902581954,4.468727757974911,4.968616023532594,5.472262296241106,5.440464298155283,5.251919981114034,5.2366276062777635,5.088767921046377,5.578240591539137,4.293928101643243,3.9839760326940317,4.796964088069461,4.258496078528427,4.238082581350357,4.734869837039064,5.063675576202517,4.366519528169629,4.769356857239286,3.2350192659167867,4.204574685378493,4.183870583715807,3.942164456987087,4.580581149486449,4.535989172305244
cms-sw,3.4636118716005226,3.5765944450513296,4.106361118766556,4.0125133411668585,4.000328134563986,3.9451312639435825,4.479250136127638,3.593183687805497,4.425199214126328,4.020570754905352,4.155943994004378,3.571396460364396,3.109953044670583,3.508778219461375,3.767562972262116,3.5098272411585496,4.152221558100997,4.088810328642353,3.7336429180659896,4.071904815354181,3.3344090809667044,3.355039314456073,2.8611278274261043,2.454197801999426,2.722334031945457,3.454599990747072,3.656697937563896
microsoftgraph,4.448185810405921,4.431797896127079,4.725469541325292,4.332639831227184,4.360272522844354,4.8485523216443385,4.408252061539659,4.437545545438477,4.601218520269368,3.9268835718894737,3.3422296592912386,3.67141869515475,3.7096952707883726,3.736677491437701,4.6841444366693805,3.786660008403958,3.90414170588066,4.739945272074523,4.1836774634233045,4.158094836209611,3.9486049463892394,3.650341671789758,3.5025461650062275,3.4584143381012407,3.6963623032426303,3.670513228996533,4.258963619547851
MarlinFirmware,4.387658075697714,4.061783361487942,3.6806616092317346,3.1932729324852995,3.1579695083287014,3.059355477037888,3.0651851141216007,2.7022216828158045,2.3781560007523095,2.165495941927695,2.0157538765650034,2.381450109354921,2.8972835629277265,1.9046580055320774,1.958994055697536,1.953093823953933,1.7477808272782964,1.9600037085394169,1.8728698952441758,1.5297611214171756,1.4732214528035834,1.5282259149733255,1.2115572339626928,1.9160821849895564,2.075007975558625,2.17575019593472,2.0589725480640744
conan-io,3.947470723874809,3.823010677160905,3.8058309838589857,3.309094321224495,3.4750053149257014,3.349990512542267,4.372817774003648,4.397727061558555,3.7851386564399476,3.4116546802707615,2.976568223745782,3.111852073474187,3.372095983745544,2.849906431982772,3.42515603224354,3.2815216531015654,3.3033868670850723,3.351814016211613,3.7197951809213574,4.1926857468630985,3.787511187751492,3.9002054887761664,3.7039124473930958,3.795251628675875,3.806348705701543,3.684609651474507,3.776411720062596
pandas-dev,5.004413706083833,5.047402058856125,5.009432867827399,4.8137241039736764,4.336852110076183,4.325960550384152,5.047263632792437,5.013987734454,4.79366841395755,4.347359188761574,3.8904091709909037,4.135636919206895,4.244622234582103,3.596921255757466,4.125559594101336,3.6607581315922038,3.2094587609146945,3.757887696266783,3.7251502795064377,3.6631685814709716,4.207598026645986,4.204430335285609,4.408568949751984,4.222778367277639,4.01900520322463,4.094727352347239,4.578617268421661
Ultimaker,2.832746481356744,2.0876235408869253,1.9291535301939438,3.296274569412338,2.7686041102015375,1.9371097711631085,2.642154311011775,2.079758682819147,2.5858222856548148,2.502272370872936,2.818361201114553,2.629994165633013,2.45483570295312,1.9192809000967834,1.374209809252792,2.4613347619990384,3.7329713149256896,3.240767741947187,3.3477958944123016,2.746927160404143,2.9167649385003704,2.8906424404246853,2.809521279512394,3.09145213420089,3.058812332493801,3.1391316043808017,3.72111688749381
influxdata,2.761058844793224,3.4711920850072593,2.8493579714400847,2.350557004635167,1.5781996211931983,2.078995803777568,2.2628339472639682,1.5393683982884352,2.0738532962612215,1.9997007217832758,2.2688418518053277,2.3807945083165434,2.1706422113825625,2.2022106687439664,1.810561854323439,1.2800042337078898,1.7954334382678054,1.7946812875017493,1.7892839851709679,1.699813411035692,1.8808098311435195,1.7019484829500788,1.4299544839936358,1.4250023547634714,1.8296202585445556,1.9802978390625954,1.6764995048487281
zephyrproject-rtos,6.674797982620263,6.800953346686344,7.039880814042262,6.819348526050803,6.584637794886041,6.813833789949049,6.858214985200072,6.5354139574075205,6.825925035582398,6.711094155546551,6.813806184083426,6.449237522029889,6.71675680173299,6.836362886244309,7.599287419778325,6.579361934605776,6.807009993107424,7.427796120046226,7.3918297356084794,7.40209430599469,7.217732375032732,6.809976571084857,6.924203989945851,6.378650533116651,6.864320641840303,6.830022258210763,7.221886010110214
qmk,4.8450753352782625,5.069177651552247,4.659816352037151,4.365780312688772,4.241668215907688,4.424968687235493,5.268459639687862,4.862696291022038,4.7630116278663355,4.233475178360761,3.7690103664724868,3.893472163754876,4.44446936928097,3.291464720561713,3.6696916007717584,2.90187318958999,3.4419894231043346,3.699541310280837,4.117139726963427,3.767790932493249,3.5018781682617357,3.555013368258812,3.19346011273936,3.4180092844740906,3.49015080507268,3.3926263809847965,3.910855647557911
mrdoob,2.3047933856627747,2.531362259842921,1.9632775820436104,1.842286563141764,1.65963211937188,1.1063859208469549,1.6916654645565325,1.607400176493102,1.3381673276315686,1.2214428057701139,1.2211371179319102,1.686737074853879,2.1104207286258116,1.7627455533195389,1.5397268109256257,1.379785323637475,1.8478949898908787,1.667548155169555,1.0,1.5933186742880818,1.6922748795574705,1.2531039275218427,1.2643769629057247,1.54839011635261,1.672429710223509,1.8205961833522022,1.9244316257036265
rapid7,2.2457269348775526,2.2070985549653783,2.2413726528045093,2.003457290658904,2.081913327629814,1.421779715561214,2.333822527050775,1.1646429001575918,1.4753697319395125,1.0,1.0,1.0,1.0,1.0,1.091179476786355,1.0351937694401583,1.2595668678766503,1.0,1.254961639917962,1.0,1.5110487522752827,1.4379185741088825,1.3014311997540782,1.3758479654813995,1.7472941179359052,2.153917333854051,1.6471223689205932
ccxt,1.9084987379711098,1.44420351377062,1.0,1.2755591840403395,1.3975859532350556,1.2843430638835518,1.4958319663352324,1.0,1.0,1.204181809595494,1.5055903259639627,2.028757017827595,2.199557865620805,1.9978185339248733,1.40164046858989,1.7160225956386324,2.116614554806908,2.2497048417597383,1.9162991944975527,1.8695876071601032,1.747205371976103,1.6534711843470613,2.1083806213876812,2.1307401148554157,2.4220454791796477,2.1506261837483485,2.360473647594642
JuliaLang,4.269245368094689,4.313370633723266,4.3876941359367425,4.620556564343606,3.831888375537942,3.909584110277922,3.9958484328428012,3.4713896275432456,4.102329942509494,3.727958380951873,3.72993614884103,3.604005474270987,3.531666477690096,3.635516410754172,3.715462931863749,2.9448939239915934,3.751028836417939,3.456887638364537,3.075847374010559,3.326728010252545,3.489305808960978,3.528867311202051,3.485617603423476,3.365147343612787,3.7016739455363092,3.7579154524473743,3.26772452182044
jitsi,3.000424911513315,2.6574845426706455,2.7134022492933196,2.3092016837925415,2.1160886747729637,2.078861431511444,2.245750267289349,1.6295106074075179,2.252394772076114,1.691478168228322,1.4198635492007925,2.0588390617904055,1.8558337899539594,1.7544204008202988,1.9625727797600374,1.7109274355058655,1.0,1.5641368901792252,1.2089810982256453,1.1442195604976764,1.6370617344500689,1.0,1.0471830460072542,1.0,1.0,1.4681607655115447,1.1001260464541733
WordPress,5.794118307433266,6.21159047546517,6.481232484519384,6.1213778839112045,6.70869441283999,5.748328490846521,6.123738471886593,5.549008077349622,6.035999870949293,5.676432333324942,5.665174421480902,5.201768872059436,5.42493495235068,5.773021407081937,6.032030742746366,5.458014066656524,5.625769635691542,5.335977956444996,5.4055398392091485,5.461776994785305,5.8285126207643785,5.265042364765588,5.63948190831806,5.039517572642205,5.198919199946366,5.560457134191372,5.602988938751182
istio,4.9905350940955255,5.133235515958102,5.31527472360385,4.8064595526849585,4.206909223086677,4.669633930737722,5.190040862010299,4.464689857987926,4.3759942694035185,4.033174045111338,3.883702877660631,3.6295517946203963,3.476912359622488,3.756229675213716,4.048916166468656,3.582626214029363,3.9610214642014623,3.9462575691380715,3.698474928238297,3.858637510780007,3.723204957205175,3.320758398966806,3.6605980538816314,3.40732735357475,3.5105416424615927,4.132552058447328,3.7400071880758397
qbittorrent,3.0709833101058206,2.790265322186832,3.4092460304826853,2.40390520341409,2.2634940282847786,1.3619472946557973,1.4763268394112936,1.9253618987336312,1.5590120977373316,1.4228392409410324,1.4972856948355386,1.5455450373375792,4.508562976301727,2.703868235448221,2.737957638111137,2.0853405410515986,2.618538868986774,2.3289150443655955,2.29434010054299,2.180355330260041,1.7365595684815314,1.4987280475623712,1.7775847529993773,2.6492503063416386,2.1864531049493623,2.0952849554864814,1.94156166657844
DefinitelyTyped,6.767809280612724,6.786557767188527,7.025733790708518,6.505434159284342,6.391190698458,6.250084600751251,6.556181639160688,6.325387412438444,6.126775182592792,5.811797354300798,5.69152803620201,5.045230327987554,5.633691348682578,4.992993423752675,5.550156798999567,5.310643476652471,5.208758675387296,5.190542007509666,4.951397814998609,5.078944321468153,4.918457027920205,4.900908623112576,4.598771319588929,4.043405200844397,4.069732194062102,4.755473641109859,4.596018781321782
grpc,2.798435220129776,2.756606100545098,2.560926461643085,2.7302949475239866,2.096696021729099,1.9271344382145843,2.9731242984940973,2.741879603985411,3.072107975899709,2.2125571834072963,1.7514841460988626,1.5271982759023643,2.148888518711937,2.0254064950421977,2.0821317464262856,2.2491465789161085,2.3570784438716,2.7459054456712204,1.9010505368404251,1.9765797340646705,2.5587935974979494,2.1358658818482894,2.413739703740378,2.301897160881752,2.7500203922309705,2.525723238222944,2.611776595719891
elastic,7.854216589509421,8.755268288677543,8.5068509726639,8.221473241044304,7.295141061266936,8.374039722964493,8.32947103291612,8.365384573049568,8.245580305846998,7.990513848683831,7.7875890020139735,7.5427280685188265,7.259835422875179,7.421647399594569,8.485917568288409,7.392404768129172,7.799123994916651,7.866682600989171,7.871274285678109,7.653482092674609,8.210142345038125,7.414070197789655,7.71143267890106,6.936268616429825,7.037258110562659,7.487282975587979,6.883833766329253
Azure,4.61499657123856,5.0733715452868475,5.4319741382160425,4.802888371362762,4.648004102964918,4.703525586560198,4.440988311944409,4.5408879798697726,4.492934506505751,4.03736612714747,3.86748845828266,3.3203531569492455,3.188003167450961,3.5171474855179863,3.8830534957602043,3.4592950230888873,3.8304612360941372,3.96740643950715,3.5163149841600863,3.858864843313727,3.872943899117662,3.7160678611105014,3.5929521919427954,3.055498596978977,3.362352810859855,3.819662395053541,3.600677105788558
