Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,4.316480510729909,3.254832821703228,4.614655781702867,4.196620582736218,2.132485860778166,4.747297749395154,4.701011066617713,5.05123988530662,4.886632203019459,5.068501903735325,5.3555176993204485,4.468075552114556,5.666141984308604,5.434318512355431,5.063048002457852,4.9024391136400585,4.663507489027469,4.765468513294257,5.098108976661978,4.817451535166376,4.596458867544874,5.620593021254413,4.947884112952757,4.272860568289351,4.250910528101322,3.62690912813194,2.870850918560861
AdguardTeam,1.736281486436846,1.1582560236176724,1.4220708050369184,1.0,1.0724650035742704,1.1069121784033165,2.0042089003827805,2.440928383043958,1.581379733306132,1.4968293985158088,1.0,1.805808551987255,2.0948223353316724,1.6949849075388719,2.2002904930733864,1.3754521585992134,1.5918206675451252,1.145983162466412,1.4206559045284817,1.380013738056952,1.3788240883759653,1.2473974382462907,1.3468071789867289,1.3964730692245346,1.5470988145382996,1.059123569368005,1.107363031954665
pingcap,4.297688886374925,2.8180920306029424,4.094301996248756,4.462584243803073,2.055084314920908,4.313128959273904,5.044080246418725,5.062359808417382,4.717372982212574,4.910328591076826,4.864824244209359,4.932418833036695,4.7039589452606725,4.240909017039279,4.94890328530154,4.473134372846392,4.0502121225701275,4.102034894140994,4.483243286300569,4.283407331677616,4.254333265255941,3.608033070057586,3.5516693701046433,3.2029666442062315,3.0455193342091307,2.6855583013214925,2.293608287289307
cms-sw,1.0,1.0,1.0,1.0,1.0,1.0,1.0411681430525466,1.0,1.0,1.0,1.116588106736737,1.372406850896999,1.0,1.0,1.0,1.0,1.0,1.0492693540907645,1.0,1.0,1.0,1.022145386928911,1.209208478421513,1.185213731191345,1.0,1.0148649463062296,1.0094538753517253
microsoftgraph,1.4640205327504918,1.2659009953765943,1.4512359421793155,1.3095711277718474,1.095372909950168,1.0597563074693217,1.240745542849635,1.5551429467443043,1.217696099165274,1.1045466575961533,1.1451997457067817,1.0,1.7549444865160466,1.3629187855917917,1.3545522229022737,1.1797069295676776,1.2965384814129295,1.6912252497085754,1.3512834405779492,1.5693486149859648,1.0657422581820064,1.0,1.1836616532479072,1.3389260571521564,1.3765246214282387,1.1173661255489518,1.0470423611461435
MarlinFirmware,7.4829975035639,5.0282657130303,7.134994171170947,5.303701944816191,2.5672279769491615,5.100241751768178,5.07338305174518,5.473066653677004,5.522229958198582,5.625535861973263,5.618312979456328,5.580684590413888,6.619107241912306,5.800221083063908,5.169394921297218,4.8684107122661615,3.89012064359171,5.324274070545252,4.400715256196094,5.210317953613667,4.2944942597351154,3.98781218820768,4.288697054606059,4.828094632160653,5.06853793974386,3.834256463101537,2.963581074712737
conan-io,1.502720357185008,1.315874160874165,1.713436374661593,1.515282367799915,1.196828794914147,1.5600447599268,1.9179058468359824,2.112657820119842,1.160819019503257,1.3749797478190782,1.4468346531565082,1.4630170979379113,1.6832728287361032,1.8787150909186656,1.778590265335842,1.7506371561435814,1.5820013035436136,1.5966141230257616,1.6085936467173552,1.6183264267850843,1.1686826717390744,1.5191505064570516,1.5503663624584412,1.280519104449278,1.4777615123464836,1.231310560425717,1.3914666800764517
pandas-dev,6.21055403413239,4.18077769116158,6.500119393523568,5.4958680442214165,3.000732493066397,5.5948885718169175,6.4081797765741415,7.150092942764527,6.471658031359892,6.464935182759773,6.092165824656764,6.064796540285414,6.759766858598103,6.994768787897348,6.5274634762249795,6.746973666242539,5.383910862040291,5.311954728169004,6.342507950452219,6.394711457558295,6.174621174963939,5.962675667644171,5.948080374747567,5.498464020648939,5.3862680408423245,4.34087806548714,3.8921281003049666
Ultimaker,1.887488180973557,1.440754081210371,1.649516722733567,2.042772366951359,1.216254147186323,1.4969252309133934,1.9069827367821264,2.112657820119842,1.9727070818814398,2.257546548698496,2.5837253970099665,2.421331418134619,2.6218704272546205,2.119643895818502,1.7458715627040395,2.9699844276100986,2.298635977860247,2.0388162096588704,2.214441972437907,1.9561694811068229,1.822072825842341,1.8810633339073677,1.8425279162777557,2.2729769502127595,2.0786959941424406,1.828926623538301,1.715872617738206
influxdata,3.665228364456495,2.3771328930673814,2.838891221244985,2.9982549885503245,1.650704866604872,2.9794731647428856,3.3305230031397,3.637985608250955,3.1837872880023803,3.2587657375522663,3.1090766953097955,3.3455486741595313,3.8694669585255688,3.54951097897191,3.170897366919712,3.02514156896513,2.7247051383875163,2.8432725840481776,2.835803410972871,3.606573732701311,2.7544446001252947,2.6726598671035378,3.3360641474435058,2.4427076175265903,2.7610583161537843,2.3891500683445837,1.7394450722761232
