Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.5658143108162177,2.377797573000473,2.1473114412893093,3.706804713125498,2.2470664289798554,2.2307830595723375,3.803726662396513,2.3069322332435025,2.468965528162996,2.362085256567119,2.3866575903090013,2.157040304146233,4.143106388488151,3.8753996284572465,2.2454410943926577,2.4192837120493387,3.5630647215242526,3.7655105044688444,4.116518526481082,3.835115477482245,3.814805872376427,3.7832349838053823,4.030598368807034,3.5421502688345345,3.542258003521024,3.905213131053551,3.6365747977909058
AdguardTeam,1.3495660100191662,1.3128589563329072,1.1454227196508069,1.0441106286990367,1.2495730775063612,1.2013804188313872,1.099942527355765,1.2376722121992088,1.2467709473400894,1.1769939254266015,1.1938571007049874,1.0,1.0,1.0943151739312313,1.0470297826711714,1.2446535628530677,1.079083671262964,1.1391125595744274,1.081339011615248,1.226125651993946,1.169092601787978,1.1020445281976252,1.3640463230513589,1.1047022515721088,1.1345366196979523,1.0,1.2181762844407191
pingcap,1.4810844099191334,1.4187909232957252,1.4775811163379995,1.4794939592253806,1.4152520816441805,1.4342049554009437,1.608141021859553,1.6736127953872604,1.6551325554223317,1.6205446782088837,1.5764079492940866,1.66874855243646,1.6412471659718972,1.6372179604347383,1.467667411950731,1.5242645335337532,1.4993008716586882,1.454073505921495,1.6543607304396435,1.4858363121962097,1.5942836951184853,1.5757621131301134,1.455659509200264,1.657714775663641,1.411056903255151,1.6803852420755532,1.4471151886657891
cms-sw,1.3272095124409826,1.4396371078403531,1.4209785937433075,1.4400565696857508,1.4152520816441805,1.2013804188313872,1.3158860685448308,1.2632097644120295,1.3876854859375598,1.369920558612078,1.4233937096768612,1.3996423831862612,1.225642036590521,1.4715528912683795,1.2960405588357147,1.3742339491588498,1.6374481817349618,1.5041850940719748,1.365886800302909,1.416700176876723,1.2855456145886157,1.201492586746088,1.2464251005998828,1.2317551602939223,1.1565159672335747,1.3549784408181984,1.265049401849394
microsoftgraph,2.7880166431626363,2.458724901515799,2.691532953645178,1.976271316148225,2.0942658514064094,1.9529919679177041,1.9600536479608577,2.168070733113212,2.1785557543340226,1.9988704287987957,1.8255390051243372,1.785201565237098,1.9768797356645875,2.7117875444569997,2.3136500052070543,2.1150865882632006,2.6831879739761897,2.270388527618419,2.174356624666213,3.0315453061287787,1.860652873882479,2.486918213416674,2.6381538331930945,2.297425985338002,2.466446309822671,2.057122258729395,2.0439848931825337
MarlinFirmware,2.7725572281361686,2.600301155049596,2.3020275627090565,2.2914923516206303,2.6048144714467534,2.4109203051179797,2.153165659254849,2.3457173949631995,2.083192246525133,2.6943991793858935,3.4878057016783175,2.17784949439963,2.555075720788052,3.2437561520516343,1.828310846753244,1.8982851614083347,1.8359243354869927,3.2753608017258626,1.9229996577269335,1.8560624476484595,1.8208360575390166,1.7715376090982802,2.849777149071952,3.299417185497194,3.3092637150122766,1.8234421453966458,3.1790232076423597
conan-io,1.3495660100191662,1.4187909232957252,1.4775811163379995,1.380144207851193,1.4613270788684651,1.330091510782782,1.542611042959491,1.4858363121962097,1.478883020354076,1.5086125845008962,1.5332973982523348,1.5487191513891694,1.7064129601179514,1.429015768866644,1.9041275622682465,2.0726776694728777,1.6600053799837178,1.906031456932269,1.67746611991228,1.7078382643036631,1.3762727131816694,1.3460755898675754,1.545174497900268,1.7463836140492295,2.088159897567034,1.4222632130074115,1.9277499413172259
pandas-dev,2.206866012561562,2.0893932345229818,2.0189721308900754,2.0617200750703777,1.9756130540975834,1.880345884949978,2.6811074971897693,2.4971203058052325,2.216059083668623,1.9988704287987957,1.7029580426681568,1.739035867092636,2.7080793951671716,2.289307397794494,2.6379063444106494,2.2802654060911185,2.1656546622493007,1.8835031505480302,2.0085939614373194,2.175132231420317,2.8370798439033234,2.7598577874193717,2.4144135764504657,2.0214066074399346,2.0184644342914595,1.5318928769842213,1.888223926921542
Ultimaker,3.8016203871140193,3.18734243817665,2.931184754133898,4.137196416903369,4.331377204906217,3.178585189545959,3.652621863096636,1.852780267938513,3.9626781154416446,3.970499444351044,4.429484766055484,4.4094134640246825,4.245688228674337,3.465840569872743,3.174931029034963,4.756994921572009,5.563694549939075,4.7151021673986095,4.927336679338012,4.4588485950383,4.331724230915592,4.705267438276572,4.377847569469873,4.385624020112353,4.544787561925416,4.633955331638284,5.436437558389962
influxdata,1.9093925323128327,1.582527966729896,1.8523851146127641,1.799556876556733,1.70546595057577,1.7875973912965688,1.6725904570782866,2.868716808715794,1.6979805521574611,1.978785969514421,1.8456005564560258,1.9864539450221856,1.833573040790065,1.8348884674251473,2.9660280419508664,1.8534435567378758,1.6374481817349618,1.6507766620244912,1.745973916588549,1.5984132236519752,1.7194824875888335,1.64211614870329,1.5229872084060858,1.474104486468682,1.630664376632705,1.617435143528165,1.5350635316971506
zephyrproject-rtos,2.4497893155175987,2.311827224912861,2.1630615646981513,2.307399157673264,2.339619695755345,2.5831200690859686,2.4260434560028425,2.6069439291270053,2.8040382908386663,2.592477847832118,2.3866575903090013,2.609677697221892,2.467412307851376,2.7424705219366627,2.511413137413797,2.808926178336841,3.0623614836805273,2.979607563447863,2.8439231202422164,2.793730227617207,2.7433926608874444,2.6597255950746295,3.1398165640581777,2.780294578740258,2.70954953868154,2.8883527741964485,2.86708948514905
qmk,2.48329223781393,2.442672926852044,2.9952274266773413,2.9768730895735556,2.465619335043288,2.280740454016235,2.6147012693667175,2.4971203058052325,2.5037953160924316,2.362085256567119,2.2447242834965326,2.219138438237316,2.3777375791962863,1.9675405579511573,2.0695221388893827,2.6650332298796675,2.8025308871900814,2.92806417471548,3.1716555261354706,2.3069322332435025,2.01598392285603,2.1359193650356607,2.654845603772176,2.6258728001656104,1.8385868200606723,1.7627720229652084,2.2484999063587434
mrdoob,1.9093925323128327,2.0540205918670904,1.8009923318002594,1.8534151204354559,1.7905941866495487,1.5356169657883885,1.7359944061472778,1.8963176649024513,1.6551325554223317,1.7932247983049616,1.7851043306947927,2.0726776694728777,2.359553078557901,1.9861286262906688,1.866403030248001,1.9864539450221856,1.9210010993962334,1.8835031505480302,1.5367395079881683,1.8352286091407186,1.678193543751148,1.813743001818307,1.781267225155283,1.6352296685713654,1.7265477702235805,1.16967525980793,1.1467954984220243
rapid7,1.6909013442172762,1.3128589563329072,1.3052535189479348,1.2366705000319513,1.2736758281103837,1.1131563522908594,1.173257326395338,1.1860910339622337,1.2467709473400894,1.1521945098159672,1.073827699657696,1.0557061733592767,1.0766704997747938,1.0474420565225562,1.0,1.297002340926328,1.1820994525559063,1.2469442351224564,1.1610198072907287,1.0,1.073365768175913,1.076782068239513,1.1251542459776045,1.0527017018414688,1.0,1.1219435227636463,1.0
ccxt,1.7917319657194288,2.940398203054194,1.496267926451553,2.699766112446527,1.7905941866495487,2.7627068387193887,1.6725904570782866,2.9522183300133156,1.5899667612762776,1.8560624476484595,1.6190481940354946,1.808081534982165,1.3925565683196237,1.757015713399063,1.571229116250454,1.9426181546801167,1.8999048844449284,1.8380532159182557,1.813301615794371,1.7293604068025337,1.6364637843540106,1.5082621567026115,1.964359776272464,1.8544637813063676,1.9295602906297997,1.6385313584794698,1.767189532659118
JuliaLang,2.2247273551611135,2.193630087471319,2.1787484767393304,2.275520545952981,2.2657532390934083,2.0594905430649764,1.9600536479608577,2.0449893576751386,1.9054458328482993,2.078191872603,2.2084207686112087,2.198548485423853,1.5971917803076354,1.697575784976968,1.530133114965821,2.1150865882632006,2.1458416921799275,1.745536462717121,1.6543607304396435,1.9383047641333457,1.6988925347753705,1.5757621131301134,1.863702273699841,2.0214066074399346,1.8015961622397274,1.8234421453966458,1.6843662971661086
jitsi,3.504931310444204,3.381842779290746,3.2533043519150326,1.799556876556733,1.9149080322926624,2.9761745619101765,1.4983059677877926,1.6964630410658685,1.9054458328482993,1.7078382643036625,1.3559369001386927,2.1150865882632006,1.8750567474445865,1.796146021341093,1.7704673361289374,1.3229161397386184,1.4757940496991049,1.6984437203140277,1.4886817263018242,1.3225742824755882,1.308425584333683,1.6857345220462223,1.654260191982948,1.256677563564963,1.2645961344907128,1.1458822522597856,1.2882768409759464
WordPress,2.0794976335711084,2.2107358055262267,1.9862178861109223,2.044779112824494,2.8209394892249318,1.9709444633891118,2.057802151445959,2.2873943680499824,2.0248369690213597,2.1559355472483555,2.2447242834965326,2.219138438237316,2.8713414248877935,2.340451117108598,1.9600403350914,2.360308824530961,2.5779112268197,2.166704720350118,2.0085939614373194,1.978785969514421,2.1470124043943546,2.038062089690003,2.3066644777314753,2.0214066074399346,1.856951694897503,1.8434580372367533,2.081974234387772
istio,2.023614468732191,2.0540205918670904,2.194372682768912,1.6521976321315701,1.9149080322926624,1.8249613009226997,1.564576666197104,1.7865511596582164,2.140689093224875,2.097773240043842,1.9248326681889074,2.683312220342682,2.6408160659651374,1.8541166302987264,1.9041275622682465,1.920514512341355,1.8786941884180055,1.7688717579216373,2.6691406332623937,1.9585977736818716,1.9000681692718988,1.7073625225324696,2.654845603772176,1.724404266513607,1.532369582126433,1.6595143215077308,1.5350635316971506
qbittorrent,3.7657426716357407,3.4321155023852707,3.827407052632595,3.4900595450014786,3.4610182662870335,2.5831200690859686,2.495704414746813,3.0339732348208934,2.673435503189469,3.0006602876324657,3.2716040319241055,3.0652295806722822,5.957987985701324,3.8524599779794175,3.7184590675960885,3.7464954836555786,3.672108145228184,3.259504186319283,3.370832989588725,3.4677263769050617,2.852478354970125,2.9054046776775166,3.035447162816862,3.770686605863912,3.3092637150122766,3.082127715809409,3.1359566388733877
DefinitelyTyped,5.321084841317708,4.851129088445328,4.983387535762979,4.811165354371114,5.142279964891302,4.6422175242621035,5.024422282079972,5.001014524619133,4.986025189921506,4.93093429359096,4.960012183054741,4.670212810903685,5.163855687991196,4.140661087154795,4.3591918484089955,4.724677003845995,4.579684360442059,4.238271965954505,4.367491087123975,4.372492574279053,4.115323011264951,4.370832171367464,4.08873504302427,3.472309512474688,3.5541444303311716,4.055440880809983,3.9535562312000456
grpc,1.751711305466641,1.4396371078403531,1.7138069251720736,1.781437939637732,1.7694853126418564,1.6925944616184856,1.8597977868450952,1.3388363150526201,1.4335502273606526,1.4629265409523917,1.4233937096768612,1.739035867092636,1.4389658906331797,1.386010624724435,1.691986499822428,1.4499690484604322,1.7708790383605213,1.3259095538900023,1.3156679038753791,1.2986843248885085,1.6988925347753705,1.6201230597087872,1.4101213202756435,1.256677563564963,1.2217220263261375,1.5748980211264292,1.3113670643679098
elastic,2.347522281160029,2.261608328485331,2.3020275627090565,2.1946676215771195,2.447866161432077,2.2641588345054418,2.264613081468387,2.403182932695537,2.5554648857014612,2.523023200924878,2.5737643217594437,2.4773819791215868,2.6913717691415107,2.5385856200506716,2.4465975517137966,2.8789337274994065,2.751829451266399,2.6596303200681053,2.7399942411613627,2.8100427266172137,2.631174895851062,2.608680826521322,2.553608712853931,2.5373712757842206,2.4349670765537628,2.4351896500542805,2.5783523496816896
