Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,6.2075861270765795,6.2234994498365515,6.368399096421507,6.509103783216639,6.561724532819715,6.645155622800209,6.548841251089521,6.5684612847188095,6.543535103055048,6.592895396716372,6.485500731957955,6.22824480281905,6.282442799639633,6.388297587741754,6.451049861435206,6.410710155091878,6.568112552690172,6.560385928252146,6.644517985026234,6.695475019043006,6.680493620109175,6.247153291668533,6.142127187250268,6.27339009063539,6.232404191990784,6.272152842762816,6.07925247361671
AdguardTeam,4.251868590276554,4.119601903610622,5.1950494266962615,5.2513146598511815,5.396787161623273,5.136421826086506,5.4141786998040855,5.50056262742367,5.467672333334318,5.629417428812138,5.572339629595577,4.572664927672099,3.7385024640491014,3.3683891141172717,4.178598737899945,4.264644359191548,3.8507573279839944,3.8908884358277573,3.778788288942237,3.9331457884986034,4.393344652325588,4.521728372748887,4.432496428198406,4.640664977572415,4.456583150965586,4.590876518456213,4.258533271492554
pingcap,6.134154908852413,6.209228231392949,6.332132359026841,6.237551213638662,6.440307441709741,6.444690990877491,6.195538940509212,5.9155334970387585,6.220199795103881,6.27161885725355,5.75721213324991,5.282174787199344,5.131833221532759,5.262974133859858,4.928077534138256,4.719723109444653,4.5711051605629995,4.7691204802892315,4.712187873754852,4.985807144975411,5.618806593488135,5.582959654042612,5.468786186717065,5.484180443471776,5.328207499494015,5.238361868923673,4.826085276480178
cms-sw,8.851349949608384,8.930521961424292,8.916021909136782,8.944653706155751,8.880303824565424,9.117809235272347,8.971551895827252,8.864147249135554,8.767071738878656,8.84790464210799,8.701063071238194,8.58158818451765,8.6246661211364,8.826409980012583,8.805400813851318,8.668869492292503,8.600215208329939,8.54624421769357,8.554899319777261,8.536922897415018,8.578652766592839,8.475224543170697,8.545991789310074,8.683100939359893,8.663393750408837,8.756299465751184,8.326563125834006
microsoftgraph,6.393927506170116,6.274654410456005,6.366682862066611,6.304682236217087,6.407382286061739,6.505446585276531,6.323850997319992,6.403358862598997,6.15395343385776,6.295651485726087,6.142150400181584,6.16611783667532,5.98214104640136,5.997222819919566,6.059022743094323,5.833704592745579,5.8017908812870385,5.980416471765993,6.031716106561024,6.204416285680459,5.968928570880284,6.126096509737299,5.946915886146601,5.853225377581557,5.997425971929321,5.851061140943968,5.722089949081246
MarlinFirmware,8.2206032929765,8.469074313291808,8.462387757520277,8.409465712071423,8.408194040700284,8.494883085301883,8.553053977514352,8.502150464844629,8.48801523456645,8.464544129853808,8.312468831818505,8.40037798547972,8.334271537617786,8.560526460720762,8.659528349871472,8.717792284847757,8.705962128567286,8.584499545276064,8.746500777077738,8.706565840975452,8.834962038430488,8.756010630358631,8.70437604601434,8.921980270629835,8.839674448002917,8.814406336072526,8.730834254528254
conan-io,2.912286872723884,2.791198196547854,2.9962333269495893,3.0252254370233604,3.2935263236521553,3.115024850018533,3.1118295752283887,2.7340998596301103,3.1522490984439955,3.201081820079749,3.0377009545428106,2.8140099411553328,1.9807486773987792,2.3539841009987006,2.720233866542493,2.684438710135238,2.8728025755922806,2.713765433361936,2.5876455578126425,2.024427996360529,2.376588511190869,2.3242179935122422,2.1064560997356496,1.97502648020127,1.8880273216390582,1.0,1.7197463067789136
pandas-dev,7.829606756262758,8.039275150172756,7.973080678676678,8.010179031326974,8.109457407186659,8.051671275305779,8.068843593527568,8.06242582357209,8.11701652876291,8.192307754967556,8.19019527635513,8.046129351825577,8.062813571078635,8.213323953322275,8.314872952654309,8.20520918096657,8.24057917777602,8.25101079780007,8.300002542555536,8.273450408996265,8.241465207451528,8.128477350206328,8.075339377737887,8.0282378895556,8.104131727771613,8.27073869580769,7.874501778246465
Ultimaker,7.02512332768004,7.035514718487908,7.031030210066469,6.940093990592762,7.238632434099096,7.520293519845911,7.35130021689496,7.102605114069786,7.105659235000818,7.192304859105161,6.995375706345528,6.737792337303653,6.638174133616833,6.7380873900054965,6.503889148422842,6.3610994785200266,6.408185004466321,6.370083605426047,6.51205570330435,6.304978673521387,6.803426589295296,6.700618772900442,7.020131825693667,7.262780854038951,7.29026565641878,7.07451361699183,6.683648284307764
influxdata,6.785242690197069,6.730652991466761,6.948902029732359,6.9878273026755044,7.123821916170928,7.044872580142532,7.082983428454097,6.803452491430917,6.873031752800189,6.967486842172603,6.849758225208659,6.857068821580131,6.662259350336039,6.800624046766512,6.748140725677998,6.662823286935002,6.5442832912946995,6.553201388351859,6.79927469553922,6.746969854264824,6.826410284872684,6.725834374080952,6.715875464225925,6.791031452662359,6.975186575973453,6.987513505349378,6.741180017501513
