Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.60266210990197,4.5443258549335654,4.257184607890891,2.5214087117701576,3.557410562180579,4.1809503146018665,1.9377289377289377,2.0002537427048974,6.16537554732233,4.911375364595019,6.104419410745233,4.443119266055046,3.731644260599793,3.169409486931268,3.3514774494556767
PaddlePaddle,1.714722546991636,1.0196035722064911,1.7956648806624451,2.1911028730305837,1.2759795570698467,1.9080060750705143,2.1227106227106227,1.1735600101497081,1.330414280902661,1.3513574153017727,4.801993067590987,4.521559633027522,2.061013443640124,1.871248789932236,2.4136858475894245
AdguardTeam,1.450849896573433,2.0958396863428446,1.4887968826108136,1.0,1.0,1.1054458667823823,1.2069597069597071,1.0479573712255772,1.1697541259683395,1.0424052052950414,1.08578856152513,1.363302752293578,1.0,1.07405614714424,1.8818040435458787
pingcap,3.6314416764097492,10.0,9.888212372138334,9.267655236329935,5.64258943781942,5.78216532870471,2.9871794871794872,2.9525501141842176,3.6554395419333114,2.8961184653354275,3.086221837088388,3.976605504587156,3.9270941054808683,3.0082284607938043,3.953343701399689
cms-sw,1.472704379890278,1.7606186016118492,2.2735021919142717,1.9792400370713623,1.8938671209540034,2.0798437839010635,2.4542124542124544,2.1509769094138544,2.873358033007747,2.0621494278662778,3.5658578856152507,3.9394495412844037,3.0336091003102377,3.03000968054211,4.891135303265941
microsoftgraph,2.7402644122672903,7.498584186451753,4.333901607403799,4.703429101019463,3.017717206132879,3.1987415925363427,3.2216117216117213,5.055823395077392,4.5436173795890875,3.2232443347543187,6.252599653379549,5.685779816513762,4.704239917269907,3.552758954501452,3.729393468118196
MarlinFirmware,1.500224840363342,1.4783271618383793,2.9968339016074035,2.291195551436515,2.1744463373083476,3.9505315686699936,2.1648351648351647,3.3156559248921598,2.9339845065678682,3.3221898137760824,7.098786828422877,2.965137614678899,3.4803516028955532,4.794288480154888,2.9035769828926905
conan-io,1.8385646191204246,4.432585493356567,4.033609352167559,2.5247451343836884,2.8812606473594546,2.940985029290519,2.932234432234432,3.5234712002029944,4.9589087234759175,2.8840026923939868,5.1490467937608315,5.879816513761467,4.038779731127198,5.125363020329138,7.71850699844479
pandas-dev,1.6758701322061338,2.760400784142888,4.287871407696055,3.9410565338276182,2.896592844974446,2.9605120416576263,3.161172161172161,3.5508754123318957,3.5675311552711353,2.6598608929773393,4.326256499133449,4.773394495412845,3.4152016546018613,2.298160696999032,3.463452566096423
logseq,1.46137242557784,2.0958396863428446,3.7026302971261567,2.197775718257646,1.8463373083475296,2.5192015621609896,1.935897435897436,3.078152753108349,1.9669922532839341,1.8299304464886694,2.021663778162911,2.7133027522935778,2.894002068252327,2.1718296224588576,4.2612752721617415
Ultimaker,3.2979584495008547,6.5889784360705725,10.0,5.355699721964783,5.791311754684838,5.541983076589283,5.981684981684982,4.548845470692718,7.562815762883126,4.788198339690375,7.239168110918543,4.240825688073395,4.411065149948294,4.437076476282671,5.52099533437014
influxdata,2.9005306232574872,3.764103681115225,4.386507549926936,2.8266913809082483,3.41175468483816,4.171186808418312,2.604395604395604,3.6285206800304497,3.1916470191983835,2.1106125196320393,3.4449740034662044,6.086238532110091,3.7781799379524306,2.2589545014520813,3.28149300155521
zephyrproject-rtos,3.060796834247684,5.524504465258113,5.127374573794447,4.596663577386469,4.2718909710391815,4.983510522889999,3.813186813186813,4.601370210606445,6.507915122937016,4.574153017724926,6.989601386481802,8.117431192660549,5.774560496380559,3.552758954501452,5.465007776049767
Automattic,1.2938213868153612,2.858418645175343,2.1836337067705793,2.5781278962001855,1.6792163543441225,2.136472119765676,2.0054945054945055,1.9477290027911698,2.012462108454025,1.7632936953107472,2.6143847487001732,2.6761467889908257,2.3867631851085833,1.9975798644724105,3.6314152410575424
qmk,3.799802140480259,6.994772380744935,7.008037018996591,7.759592215013901,5.237819420783645,5.471685832067695,3.868131868131868,4.747526008627252,6.141124957898282,3.8411487547677807,5.180242634315424,4.6,4.401758014477767,2.668441432720232,5.14307931570762
mrdoob,1.3949995503192734,1.572424308429536,2.2647345348270824,3.338832252085264,3.336626916524702,3.202646995009764,1.9432234432234432,1.8107079421466634,2.0458066689120917,1.3150100964774514,2.138648180242634,2.7133027522935778,1.9912099276111688,1.8276863504356244,2.525660964230171
termux,1.0793236801870671,1.8096275321280766,1.0942523136872868,1.3970342910101945,1.5611584327086883,2.208722065523975,2.435897435897436,3.7518396346105054,2.248905355338498,1.1211577294144044,1.1013864818024264,1.0,1.0046535677352637,1.0,1.0
rapid7,2.254609227448512,2.9819211500762357,3.8823672674135405,3.1753475440222427,3.0453151618398637,4.440659579084401,2.866300366300366,3.5006343567622435,5.96530818457393,2.7224590531747817,6.860918544194107,6.986238532110091,3.4291623578076527,3.0517909002904164,5.9968895800933115
ccxt,1.1376023023653206,2.0095839686342845,1.9754018509498295,1.7607043558850788,1.7957410562180578,3.4428292471251902,3.659340659340659,3.0142095914742453,6.60491748063321,2.6517837110163787,3.6282495667244365,1.6275229357798164,1.3490175801447777,1.3049370764762827,2.441679626749611
JuliaLang,2.045777497976437,4.087562622522326,5.2457379444715055,5.252270620945319,3.896252129471891,5.165111737904102,3.673992673992674,4.404973357015986,3.997979117547996,2.859771146511106,5.917244367417677,4.083944954128439,3.4012409513960704,2.2415295256534367,4.3732503888024885
jitsi,1.3852864466228978,2.182095404051405,1.4339990258158792,1.7523632993512512,1.2713798977853492,1.5057496203080931,1.2802197802197801,1.7764526769855367,1.6547659144493094,2.0601301323760377,2.5792894280762564,4.711467889908256,2.503102378490176,1.9583736689254598,2.4276827371695178
WordPress,1.8442305962766437,3.787627967763015,4.452264978080858,2.9968489341983315,3.6632027257240205,3.909524842699067,3.7747252747252746,2.89545800558234,4.273829572246547,3.2272829257347992,4.681109185441941,4.4513761467889905,4.206308169596691,2.681510164569216,4.513219284603421
istio,1.7341487543843872,2.2330646917882815,2.0828056502679004,1.7723818350324374,1.7344122657580918,2.0329789542200043,1.7252747252747254,2.1966505962953566,2.367126978780734,1.9268566300201928,2.7898613518197575,3.836238532110092,2.7078593588417785,1.7144240077444337,2.609642301710731
qbittorrent,1.437089666336901,2.9368329340013073,5.824403312226011,2.818350324374421,2.5822827938671207,3.3119982642655676,1.6227106227106227,2.1509769094138544,3.418996295048838,2.4034103657168497,3.476169844020797,6.94908256880734,6.649431230610135,2.298160696999032,3.6594090202177294
yt-dlp,1.8652756542854574,5.873448050533653,3.1831466147101803,4.463206672845226,3.712265758091993,2.876545888479063,2.291208791208791,2.89545800558234,5.089255641630178,3.0112183082791115,5.074956672443673,7.415596330275228,8.301447776628748,3.984027105517909,2.9035769828926905
DefinitelyTyped,1.608687831639536,2.8250925724243086,3.0121773015099853,2.41631139944393,2.297103918228279,3.2592753308743765,3.2838827838827838,3.639939101750825,6.262377905018524,2.4841821853264525,4.4744367417677635,6.94908256880734,6.104963805584282,4.084220716360116,5.227060653188181
mastodon,1.7810954222502025,2.9270311478980613,3.336580613735996,3.677479147358665,4.805451448040885,5.567368192666523,2.8058608058608057,3.635371733062675,2.7945436173795892,1.363473188243213,4.04159445407279,5.425688073394495,3.7874870734229575,2.346079380445305,3.2674961119751167
grpc,2.374404173037144,3.915051187105206,4.647345348270823,3.243744207599629,3.1802385008517886,4.130180082447386,2.8736263736263736,2.388480081197666,2.7854496463455707,2.789095804352703,4.3106585788561524,6.854128440366972,2.763702171664943,2.2066795740561473,4.821150855365474
elastic,1.4743232305063407,2.5055543454585054,2.718460789089138,2.106024096385542,2.0901192504258943,2.208722065523975,2.3278388278388276,2.285714285714286,2.3731896261367464,1.9894547902176352,3.0979202772963603,3.510091743119266,2.9917269906928645,2.2197483059051306,4.751166407465007
sveltejs,1.0364241388614084,1.4155957307776084,2.1025328787140767,1.5855421686746989,1.8708688245315162,1.7185940551095684,1.2032967032967032,1.1119005328596803,1.6881104749073763,1.248373345299529,1.5576256499133447,1.9206422018348621,1.5816959669079629,1.4007744433688285,2.805598755832037
Azure,1.448421620649339,2.2134611195817904,1.9951290793960057,1.7657089898053753,1.7206132879045997,2.312215231069646,2.2783882783882783,2.5117990357777216,3.1007073088582016,2.5649540049360553,3.515164644714038,4.798165137614678,2.1354705274043435,1.7928363988383347,3.0435458786936236
MicrosoftDocs,2.4229696915190218,5.287301241559573,7.634924500730638,6.51177015755329,6.286541737649062,5.5205033629854645,4.721611721611722,6.18167977670642,6.70495116200741,4.160197442225712,6.373483535528596,6.837614678899083,4.890382626680455,3.108422071636012,4.121306376360808
ArduPilot,2.393830380429895,4.679590503158353,3.415489527520702,5.035403151065802,3.5114139693356043,5.4365372098069,3.6849816849816848,3.055315909667597,3.885820141461772,3.4695983845636076,4.314558058925477,4.311009174311926,2.6985522233712516,2.8426911907066796,3.9673405909797825
systemd,1.6475402464250384,3.011326508385973,3.443984413054067,2.4580166821130676,1.95366269165247,3.4096333261011074,1.8919413919413919,1.337985282923116,1.9397103401818794,1.9046443796275523,2.910745233968804,2.135321100917431,2.1075491209927613,1.7928363988383347,2.6376360808709176
ppy,1.4540875978055583,1.0548900021781746,1.670725767169995,1.7590361445783134,1.46763202725724,1.470600998047299,1.5256410256410255,1.9819842679522965,1.8881778376557765,1.6825218757011442,2.0450606585788558,3.5142201834862385,2.186659772492244,2.3852855759922558,4.275272161741835
o3de,1.4589441496537459,2.5506425615334347,2.9376522162688747,2.4680259499536605,2.401362862010221,2.47038403124322,2.600732600732601,2.4295863993910176,2.7036039070394073,2.468027821404532,2.867850953206239,4.06743119266055,2.9591520165460183,2.7860600193610843,3.7993779160186625
helix-editor,2.090295889918158,3.2250054454367243,4.452264978080858,2.4513438368860054,4.368483816013628,2.858971577348666,4.802197802197801,3.5805633088048725,4.807342539575615,2.740632712586942,4.018197573656845,3.5307339449541284,4.639089968976215,3.4394966118102612,3.1135303265940903
cloudflare,1.6475402464250384,2.2487475495534746,2.067462250365319,1.4871177015755328,1.4078364565587733,2.2477760902581907,2.1263736263736264,2.2994163917787365,2.661165375547322,1.6865604666816245,2.2088388214904677,3.4977064220183482,2.330920372285419,2.128267182962246,2.1897356143079314
bitnami,1.1805018436909793,1.284251796994119,1.8460789089137846,1.7273401297497681,1.478364565587734,1.6561076155348233,1.673992673992674,1.4110631819335193,1.776018861569552,1.27866277765313,1.8578856152512997,1.8545871559633027,2.1168562564632887,1.531461761858664,1.9937791601866253
appsmithorg,1.665347603201727,3.028969723371814,3.077934729663906,2.6114921223354957,2.525553662691652,3.577565632458234,2.7545787545787546,2.916011164679016,2.982485685415965,2.544761050033655,3.951906412478336,3.815596330275229,4.397104446742502,3.2303969022265244,5.339035769828927
go-gitea,1.7810954222502025,2.36636898279242,1.6882610813443741,2.2244670991658944,2.0011925042589436,3.4467346495986115,3.163003663003663,2.9913727480334944,3.0491748063320983,2.2640789768902847,3.5385615251299827,3.2995412844036696,2.8614270941054807,2.441916747337851,2.5816485225505446
Homebrew,1.0696105764906916,1.1881942931823133,1.3419386264003896,1.2352177942539388,1.2652470187393527,1.326101106530701,1.291208791208791,1.3014463334179143,1.4274166385988547,1.4159748709894548,1.518630849220104,1.4252293577981652,1.3490175801447777,1.1568247821878024,1.3219284603421462
tachiyomiorg,1.0671823005665977,1.3509039424961882,1.0438382854359474,1.1768303985171455,1.1947189097103919,1.0,1.0,1.022836843440751,1.0,1.113080547453444,1.4523396880415944,1.2435779816513761,1.0139607032057911,1.1306873184898354,3.057542768273717
mlflow,1.437089666336901,2.201698976257896,2.2603507062834876,2.1660797034291006,1.7834752981260644,1.4276415708396617,2.082417582417582,1.8746511037807663,1.6820478275513642,1.704734126093785,1.8617850953206239,1.9082568807339448,3.056876938986556,1.9975798644724105,3.1135303265940903
zulip,2.3889738285817073,5.342191243737748,5.513151485630784,4.508248378127896,4.0219761499148206,4.704274246040357,4.606227106227106,4.046434914996194,5.362074772650724,2.4478348665021317,4.646013864818024,7.716972477064219,5.285935884177871,3.5745401742497576,4.709175738724728
trinodb,3.3222412087417936,6.592899150511871,6.999269361909401,5.22224281742354,4.182964224872231,4.569537860707312,3.3919413919413914,4.1149454453184475,4.992253283933984,2.9829481714157504,5.589688041594454,4.996330275229358,5.2626680455015515,4.014520813165538,5.157076205287714
ray-project,2.110531522618941,3.2210847309954262,3.720165611300536,2.7833178869323447,3.276831345826235,3.395964417444132,2.366300366300366,3.2676985536665826,4.707308858201414,2.492259367287413,4.630415944540728,6.280275229357798,4.006204756980352,2.677153920619555,4.639191290824261
