Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,6.108337094904954,6.101943848652611,2.981132604159211,6.27352641513794,5.597956936900072,8.023431389140267,6.5066020837427105,7.408636095921514,6.612450168110848,7.465442908999158,6.937723387628355,5.899780119835733,5.290552851282827,6.630671232577699,4.730305027238392,6.81154296254613,5.058523495426755,9.158292990175163,5.599415095349668,4.753170719376877,9.399863726871004,10.0,8.975595414674451,8.082697808672854,7.895353135713847,7.933753311940451,8.19826474043186
AdguardTeam,4.512041298106132,2.7671533010791998,3.168346854035294,3.183323260097954,4.094896357054955,4.090027097481366,1.2400374737839042,1.2355231804808546,4.747469006446856,8.886678779027017,1.2780514681958433,2.1155653294302157,4.298505363707225,5.781620612919537,4.2735231847544854,2.359960850960074,3.851343745292212,4.515051439369893,3.589948246664927,1.4316612849741084,2.0273046312987786,1.5403967832047663,4.83371859045053,3.1016134404412967,2.478974081966377,2.374965374501733,4.198946904226297
pingcap,3.5906685483151377,2.4147510698240056,1.03959274487926,1.0070236323250428,1.128385537129606,1.0075383829290239,1.4661828288046637,1.1084132766706147,1.8917648167718113,1.0,1.0099246358962444,1.1222917732892754,1.0039769211541405,1.1119468341343288,1.1699032779089118,1.171098087782763,1.439714901989591,1.5134763836427323,1.0893066640432847,1.1801013071707067,2.6959507769408395,3.446264534084955,7.242663302802168,5.482527284665034,6.032684418227017,6.284932443714748,6.656416281490886
cms-sw,1.0,1.0082664472203648,1.0,1.0,1.0137145766569917,5.326653130510214,1.0060334208076642,1.0,1.0,1.0,1.0,1.0,1.0,1.003914086895556,1.0,1.0348240413119207,1.0046982113214846,1.0336230059334315,1.0,1.008767069852339,1.0,1.0192702954195847,1.0,1.0117750224732498,1.0188773390995836,1.0,1.0
microsoftgraph,1.0336149735826285,3.090394163029773,1.4682253422109,1.0280191188172862,2.8992651970956524,1.0,1.0,1.0091501805435417,3.5025341823939993,3.37642701350652,1.0247644989170095,1.0044340904779465,1.015883463796371,2.5426787475954162,1.0634584151887558,1.0693405564127245,1.0652665498976488,3.1957753440089998,1.0299961847656824,1.0175145192410175,1.0141305046585563,1.9650909495309103,2.315152321104142,5.753833054291521,7.943686043361675,7.5598683073011035,7.709704161698293
MarlinFirmware,3.275000644439758,7.618625135262799,3.9680172361788446,4.222400157672908,4.4713892234281545,4.090027097481366,1.3242990675313595,6.205576872684738,4.64767551677326,8.006379198621392,9.69473840927301,10.0,9.775635804495934,8.16912868438985,9.564926339662923,8.851466606099292,7.504077252608033,6.129527103006361,5.9286238715818484,4.271038392067602,5.683509503889785,6.613227810764802,6.786135805549335,6.059576620135453,6.618344084134864,7.358598477236334,4.790658411627955
conan-io,1.004819874973188,1.0165154485314158,1.0132421933678797,1.0280191188172862,1.047791953253268,1.0375473620983713,1.0360616120604098,1.748095556701808,1.0262718338109467,2.3398932944133994,1.0198241354990658,1.0088631564896862,1.0356474550240922,1.0544437215466471,1.6586932589141998,1.0864851796450876,1.2104775351102541,2.473505036317646,2.044168695302596,1.1884739994200166,1.23353558326896,1.3093901063607083,1.4118174150460763,1.4242455664935463,1.5465547999077458,2.3242395680619157,3.501399081155095
pandas-dev,1.4633486354871257,3.7202880100959144,2.801267533749087,3.961089077015676,4.967086474127463,5.286538342615346,2.9873693750065797,4.913252607004478,2.8745183498423073,1.4366051422663404,2.086169014273782,1.38421320862804,2.544381293575662,3.903846341103986,2.2654408278972973,4.281879440139754,2.4355794726314057,4.931674431970448,4.242473046816752,3.8415842250637056,3.5125059180429936,2.1993873172720075,4.15029286934023,3.1563339189024817,3.806861519749512,4.489639218782921,4.808331314398597
Ultimaker,5.029930225690631,4.553222662625339,4.4738757541227905,4.703269237747514,4.082428562314057,2.7570364254634803,6.630081641305575,6.660526650627372,7.332101053452231,1.6785870041666724,4.669887443169353,3.783973815273139,6.002225186369716,6.723223534927969,8.426206633179541,10.0,8.422562762612678,9.232963030797745,7.80901738472499,6.770808152292494,8.081482359388874,5.923198841466434,9.554257322554204,5.958085324784331,8.112897009917697,10.0,10.0
influxdata,6.1833206695517084,6.909746046966456,6.1562463582423455,5.074812115721609,7.736880275630991,6.930551201790366,3.216560773898166,9.068774708902678,6.937216817324783,1.9044979401131776,3.5192286963180828,1.689641268545749,3.4579839585866496,5.697763550562968,4.428623063845626,6.71276850296309,2.179942905526709,5.740368593951503,5.3921086510361915,5.7941373085254115,5.404711102302527,2.2651594277809837,6.195127668426371,5.867490203131529,4.9781941312984035,3.9222753783946516,4.91272283980445
zephyrproject-rtos,5.3039032864264195,5.311522222998071,3.741195461597471,4.567374836365689,4.0479356359329275,4.214656408148705,3.374292777543084,5.14522666797101,5.1045589952781425,8.089009557947474,3.8154676206894136,3.7357993637529368,3.215096284990229,4.453824031559192,3.468165990768114,4.005450652302052,3.0518240261693843,4.2997124105202555,3.3498874597619976,3.573833917639078,5.43668907058448,3.1046018340117048,6.18937542259476,4.906415610911452,4.701952352979003,4.538234751546432,5.8541144947086545
