Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,1.2608170658080098,1.3962920046349943,1.1923360353721444,1.2766624843161858,1.1821759910036547,1.1317930361210542,1.1966261061946903,1.2581707030331533,1.2604110329908058,1.3241296518607444,1.272970561998216,1.3234413286142117,1.2247879359095193,1.2851165570830845,1.2076749435665914
PaddlePaddle,1.1684443550010064,1.033893395133256,1.072955047899779,1.6549560853199499,1.442788867022772,1.184510250569476,1.1269358407079646,1.3322360686574184,1.1192536506219577,1.1134453781512605,1.0,1.0,1.0,1.0107591153616258,1.0
AdguardTeam,1.5614811833366875,1.5944380069524913,1.3382461311717022,1.5335633626097867,1.604723081248243,1.3045883501464366,1.3111172566371683,1.14601457794498,1.2847485127095728,1.143157262905162,1.3077609277430864,1.3087394500408385,1.23751178133836,1.1855947399880455,1.1286681715575622
pingcap,2.2497484403300465,2.3792004634994206,3.266028002947679,3.4673776662484315,2.996345234748383,3.9668076797917347,3.8473451327433628,2.925699506230896,3.7136289886425096,2.2560024009603845,3.4567350579839426,2.9970051728832017,2.615928369462771,3.3320382546323972,3.37020316027088
cms-sw,2.25337089957738,2.5695249130938587,2.3308769344141487,2.724905897114178,2.3941523755974137,2.112918971688903,2.249446902654867,2.7860333881965675,2.0854515954570036,1.9480792316926772,1.7386262265834076,1.4043016607677647,1.8737040527803956,2.3744769874476988,2.5733634311512414
microsoftgraph,2.445361239686054,2.663383545770568,3.6374355195283714,2.973337515683814,2.4042732639865054,3.5655711031565245,2.5904314159292037,2.4030096402539387,2.131692806922661,1.953481392557023,2.1882247992863513,2.0854887013340595,2.378416588124411,2.2910938433950987,2.9074492099322797
MarlinFirmware,1.0833165626886698,1.0260718424101969,1.0442151805453206,1.1524466750313676,1.0632555524318246,1.0175724048161405,1.0771570796460177,1.0550199858923113,1.0,1.1377551020408163,1.0374665477252454,1.0269534440511843,1.021206409048068,1.1640765092647938,1.072234762979684
conan-io,2.2678607365667136,2.394843568945539,2.162859248341931,2.417189460476788,2.024739949395558,1.837617962902701,2.3514933628318584,3.387020926404891,3.78664142779881,4.965186074429773,3.189116859946476,3.1195208276613124,2.54382657869934,2.581589958158996,2.0293453724604964
pandas-dev,2.51962165425639,2.4913093858632678,2.744288872512896,2.8434755332496864,2.2954737138037675,2.9563944028636513,2.694966814159292,2.487655772395956,2.6695511087074095,3.344537815126051,4.337198929527208,3.7419003539341142,3.2330348727615457,3.985654512851166,3.6997742663656883
logseq,1.27168444355001,1.2033603707995364,1.3426676492262344,1.2173776662484317,1.0759066629181895,1.1669378457533355,1.1891592920353982,1.2031507171408418,1.292049756625203,1.0756302521008405,1.286351471900089,1.2058263000272258,1.2523562676720075,1.1479378362223551,1.1783295711060948
Ultimaker,1.2227812437110084,1.0886442641946696,1.0530582166543847,1.0310539523212046,1.0480742198481867,1.1054344288968434,1.1393805309734515,1.1079238184810722,1.384532179556517,1.0,1.6289027653880463,1.6199292131772394,1.1548067860508953,1.3093245666467426,1.3950338600451468
influxdata,1.53793519822902,1.7247972190034764,1.4996315401621225,1.3980552070263488,1.6882204104582512,1.7702570777741622,1.7242809734513274,1.5375029391018105,1.5767982693347755,1.6914765906362548,1.4442462087421943,1.3454941464742718,1.4729029217719134,1.736999402271369,1.36568848758465
zephyrproject-rtos,7.035017106057557,10.0,9.0759027266028,8.38801756587202,7.474838346921564,10.0,9.23091814159292,8.673171878673879,8.169821525148729,7.939075630252101,7.971454058876002,5.890824938742173,7.8051366635249755,7.485056784219965,8.81941309255079
Automattic,3.552022539746428,3.6958285052143682,3.281503316138541,3.2612923462986196,3.4062412145066068,3.9111617312072893,3.516316371681416,4.612273689160593,5.139805300162251,4.5654261704681876,4.141837644959857,3.406207459842091,3.479029217719133,4.4805738194859535,4.268623024830699
qmk,3.6226604950694306,2.81720741599073,2.7840825350036846,2.476474278544542,2.594039921281979,2.9095346566872764,3.011061946902655,2.7331295556078063,2.861817198485668,3.198679471788716,3.108831400535236,2.612306016879935,2.859802073515551,3.5956365809922297,3.8306997742663658
mrdoob,1.2861742805393441,1.424971031286211,1.3515106853352985,1.6323713927227101,1.4149564239527692,1.3865929059550928,1.1991150442477876,1.2073830237479426,1.2312060573282855,1.2809123649459786,1.3104371097234613,1.360196025047645,1.2650801131008482,1.6294082486551107,1.5237020316027088
termux,1.0652042664520025,1.1538238702201622,1.1857037582903465,1.1016311166875785,1.1771155468091088,1.1874389847054996,1.0448008849557522,1.0994592052668706,1.1314223904813412,1.2539015606242498,1.0936663693131132,1.1837734821671657,1.129359095193214,1.1156604901374776,1.074492099322799
rapid7,1.5198229019923528,1.8004055619930475,2.0213706705969052,1.8243412797992473,1.7666572954737139,1.5798893589326393,1.8761061946902655,1.7110275099929462,1.8518117901568414,2.0669267707082835,1.8751115075825155,1.8674108358290227,2.1409048067860508,2.452480573819486,1.765237020316027
ccxt,1.932783256188368,2.2253765932792584,1.31171702284451,1.9259723964868256,1.8400337362946302,1.3660917670029287,1.2912057522123894,1.4105337408887846,1.3042184964845862,1.5132052821128452,1.896520963425513,1.7007895453307924,1.4008011310084825,1.5594739988045427,1.3182844243792324
JuliaLang,2.327631314147716,2.522595596755504,2.366249078850405,1.841279799247177,2.2246274950801235,1.755613407094045,1.7317477876106195,1.7321890430284506,2.170632774472688,2.342436974789916,2.145405887600357,1.8796624013068337,2.06880301602262,1.8257621040047818,1.695259593679458
jitsi,1.2571946065606763,1.6439745075318655,1.6610169491525424,1.9175031367628608,1.2555524318245712,1.5301008786202408,1.5351216814159292,1.4845991065130497,1.7787993510005409,1.267406962785114,1.305084745762712,1.3748979036210183,1.0827049952874646,1.3980872683801555,1.1715575620767495
WordPress,2.899979875226404,5.197566628041716,4.897568165070007,4.528858218318695,4.2336238403148725,3.887731858119102,4.200774336283185,4.3837291323771455,4.324499729583559,4.4978991596638656,5.426404995539697,3.7590525456030495,4.002827521206409,5.153018529587567,4.516930022573363
istio,1.6447977460253573,2.350521436848204,2.421518054532056,2.28168130489335,2.4346359291537816,2.247640741945981,1.923396017699115,2.2273689160592522,1.9394267171444024,2.137154861944778,1.9955396966993755,1.8159542608222163,2.2596606974552307,2.8317393903167964,2.4469525959367946
qbittorrent,1.577782249949688,1.7013325608342988,1.550478997789241,1.5279171894604768,1.6350857464155188,1.6443215099251547,1.6496128318584071,1.3153068422290148,1.2531097890751757,1.3889555822328932,1.4817127564674397,1.1739722297849169,1.0869462770970781,1.1855947399880455,1.18510158013544
yt-dlp,2.021533507748038,1.891657010428737,2.5453205600589537,2.202634880803011,2.0955861681192016,2.566872762772535,2.2146017699115044,1.603103691511874,2.2947539210383994,2.3478391356542616,2.1882247992863513,1.7890008167710318,1.8037229029217718,1.9710101613867304,1.7674943566591421
DefinitelyTyped,1.9490843228013686,1.813441483198146,2.06337509211496,2.355081555834379,2.1259488332864773,1.7731858119101855,1.836283185840708,1.9565012932047967,1.6522444564629528,1.7995198079231693,1.711864406779661,1.4582085488701335,1.4707822808671065,1.7585176329946206,1.564334085778781
mastodon,1.1865566512376735,1.2346465816917729,1.223286661753869,1.1101003764115434,1.1087995501827381,1.1815815164334527,1.0024889380530975,1.0465553726781096,1.0024337479718766,1.248499399759904,2.008920606601249,1.279335692894092,1.1548067860508953,1.3281530185295876,1.2934537246049662
