Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,5.633291463949339,4.3353268293891425,4.449331192735102,2.7757357036993784,5.798790896712122,3.175115953801233,3.1330505231914643,4.323280302723388,4.425032592559863,4.592231023120571,4.354107042222517,3.5026111086790737,5.676382987366035,4.431407087843999,4.103903972426984,4.607520966825429,4.920716523334374,2.8974719671992246,4.237791425892442,6.603908402303695,6.418631648696848,5.812906410245662,4.701321114136294,6.1224963223221485,6.278302600438071,4.082475799041326,4.6720263026934905
AdguardTeam,1.0,1.0325036825848612,1.0010943948936732,1.007963505666781,1.0,1.0,1.0394038314927676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9496016573435853,1.0,1.0,1.0,1.0,1.0,1.078243015765145,1.0,1.9826643459138693
pingcap,2.0909585246529616,3.293357007605231,3.4203185883511873,2.005931154350882,3.400808739878496,3.350972577245898,4.338635623640336,3.5246674280840367,2.9625564829083846,1.9043417562134324,3.8109476298513227,5.94220122627552,4.848021544012391,4.7851593390415585,6.667689762418915,4.007066909725801,6.984295117621853,6.046537405855549,3.8393538221159593,6.385612919529611,7.314686936025317,4.896671806178185,6.616369956766216,9.022190838908722,7.366889831889744,6.067333507004908,4.928240574820207
cms-sw,2.624505812680982,4.411083570331082,2.997055260721776,2.686254051987726,4.5834814807644815,4.554668900429989,3.7074590127620737,3.212134635333404,5.137034759740534,5.451331396706617,5.029521629330829,3.4330609666708884,4.406229167385356,5.34801666002422,5.118190903220891,4.823763933489891,5.711854038703567,6.399682256281567,4.658664669948779,6.502839912247202,6.955840065637159,5.635944259203387,4.968550641905853,4.20963211038315,3.2883675843127596,5.889539262030485,4.616441397640195
microsoftgraph,4.282785465743748,2.9103395410906368,6.868714375114697,4.133088795923249,5.355993226250047,5.662583415131056,3.827111110037702,5.055803078951921,4.200489208622413,4.711311054224158,4.12736824829059,6.667085617583075,5.827951253455216,4.733234065353106,5.100714210590407,2.9003885065434765,3.8788838693335226,6.319639894070233,5.658367705738461,6.765500350822042,4.308483496106833,4.158542521595924,5.613623951833444,4.520897856939348,5.423335645617057,7.025526057044983,9.475822653847192
MarlinFirmware,5.545047794676489,4.78897694539976,5.283552205764151,2.0710891687974415,4.334672327385062,3.6113800567412926,3.9833836644088514,6.186267859182993,3.837472004715914,6.867166247543726,4.058934197225697,5.558552347371583,5.957807783076254,4.690425215528761,5.120019084382441,4.662675375250062,4.470006617265545,6.207193377865302,2.7361919847367275,5.1411349972431415,1.3692993593454135,6.628018522855361,4.561020500904382,3.4299921798719955,2.411048523040334,4.7458622069259455,4.827240109468088
conan-io,1.9439003712104237,2.360728964211696,2.209196758961877,1.311530372888526,2.1140228348812204,2.5860759298774356,2.506290415049265,2.4523858742473976,3.1662167621200643,3.6270406970891367,2.0754549770616677,1.6215383265271879,2.227636030691782,2.547029308814966,2.4909582145173137,3.56531914927209,1.8929788591283088,1.7765231492376747,1.4844363485581036,4.84829808463204,2.8164796638207736,3.149971421181366,2.859019201258099,3.568550625504427,3.558978302587372,3.09354651695977,2.4569990557184123
pandas-dev,2.3465646859194305,2.3148036917924575,2.234257138946708,1.4877514773395726,1.981285143284064,1.5808080494328425,1.3816943197911182,1.954468997430549,1.8004942416314584,2.081797326724545,1.5947276911248642,3.7370627372081735,2.056181643121371,1.6157249638175115,1.5660867204707944,1.6482046259393992,1.2788772003944315,2.025817910769151,1.27395806318992,1.9125288020084337,1.71739491416505,1.861221868904975,2.033653741185348,2.398562198703691,1.9022451816485653,2.9707810632874527,2.084157182488613
Ultimaker,2.379690396288132,2.270409277848473,2.184505211207674,1.2579893160752127,2.215949148986272,2.1237111345058377,1.2690302927294606,3.3743167106881047,1.5286715353360538,2.249324922078972,2.266179748462859,2.7543296512431987,2.6693392675561745,2.7584314477487535,3.759629713587903,3.8352664812609145,2.799865443697467,1.1574296588029571,1.8109889307073084,1.6378502305869436,2.4200578897830516,3.7580959550468935,5.932647297125343,3.927630994076359,5.310217603949156,2.0988604321078084,1.4599312220627363
influxdata,1.5197188200080052,1.7266337750150267,2.0396786033530683,1.1800668026992012,1.2382615619674329,1.4315120164551274,1.3325062617361065,1.3375197367055334,1.6664622460316374,1.2941182323650022,2.7881233522614695,1.5232900455065026,1.3862528808697996,1.2419465198485553,3.3251549426034313,1.3509291041851175,2.0628578993524673,2.485970092890182,1.5066273189144388,2.942648934485881,1.5547060844410854,2.9064034719202425,2.9713194212645226,1.4266802133206622,1.2810411384300926,1.4092800507298306,1.3407161583583829
