Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,5.690429923235858,3.3961504328757584,5.447725794258583,3.668102962027978,2.983424834083078,2.2403062516443137,3.4319444342478547,2.0018096598907777,3.311843475965686,5.99904240041152,3.8447581038034015,3.1539164965806163,4.991835964716098,7.905718626854459,3.366810943954261,6.002470118850691,6.0089386842631,4.149045324506542,3.0443753124742536,5.741996327169995,6.08561811117116,4.980953576418358,5.6581232353815345,4.495934668827941,5.228151082980151,4.205348269148681,5.007696975521554
AdguardTeam,2.2971914937404225,1.0161826566540015,1.0044646093935272,1.1896281262069013,1.0,1.069051736642455,1.1730378219741473,1.0431943061821838,1.0,1.0,1.0,1.009726880022691,1.0,1.0742062885023913,1.0,1.1166348649887625,1.1524367149938923,1.0082444014741947,2.3126477464172557,1.0,1.1817342852566726,1.0,1.0,1.041032800928831,1.382798462706252,1.1023032139947966,2.632660927029047
pingcap,1.9875291594945979,3.75981965765523,4.284525463315795,1.9912934484267544,2.251589555479891,4.061377886427701,3.7807786892627764,1.971808840134043,2.2297467492121354,2.4766414857712507,4.716845178989254,6.739840921028274,4.181310599455223,6.286212734762897,4.704431196124837,5.278677185299023,5.638047193182876,3.4992445137932817,3.3691439954818385,5.609058159956993,6.011453852324997,5.621917010499516,6.150986858699508,8.551174673172238,7.490989588027728,6.085336031975188,5.516254231682188
cms-sw,2.277842643829546,3.0472235296813377,3.624284150546515,4.050141559580971,4.298067345891404,4.016411307700463,4.7679575296117545,2.9375723622772805,3.735499436737595,4.851260675802985,3.48887943826095,2.7668579298786353,3.872991989052748,4.794468423692468,4.55565522915497,7.653825991585532,6.598891647766998,5.193119106225386,5.492591664911385,8.358000061561723,9.561802913520523,8.547370390743701,6.8132772996217135,5.769143334016557,4.125739539949957,3.9039957052407543,4.7667283440659585
microsoftgraph,4.797764351717573,2.465087807576337,5.841066932378614,6.7423569632593985,3.3484267724177323,3.4126559720779506,3.661298300058981,4.367498055567751,5.269543615969294,4.949803152468428,4.3240813129217255,3.8760417378339347,3.717810158218338,5.069656369598137,3.1627792264893664,2.900967337798047,3.671438705242937,6.235386332682987,5.865365719202897,4.757088477371797,4.939632632974115,3.196196715867289,4.423838801250972,3.1537079293453303,7.366631168661453,6.885135619750361,10.0
MarlinFirmware,6.167942687007031,7.067971338886801,8.174161663139493,5.311342676866008,3.9365187560435975,3.9070077013955116,5.290388674615635,4.270370248788057,3.0899531370184516,7.601105670390693,7.486011010909906,8.101384990265869,9.178822063239345,8.771097874438968,6.908776650344877,9.309728669054637,7.088909119929743,8.013604118662457,3.807234572232532,5.795221969841739,1.3050822202965227,5.878859681272051,5.140294959846149,2.3662114077800673,2.321125314175597,5.27230085900585,5.001430921015141
conan-io,1.1768455234648856,1.2511513657516145,1.2528073770979014,1.1742751270306209,1.1234458600318078,1.164228351987374,1.5322330699463014,1.1905775803865604,1.3459134559790165,1.5125263250066547,1.2174225205363511,1.0995608705815243,1.699447876417975,1.8232016036201453,1.3711507680451298,3.726363361485432,1.4397369710336752,1.265197762637964,1.1952860221925554,3.7854166391582984,3.052027853809953,2.895959690238022,2.6526163716430635,2.6393334829402084,3.2024859125540672,2.723919172783227,2.2409555528064673
pandas-dev,3.089830976931732,2.3226629915453274,1.8130819142542007,1.9828779670726098,1.843368417031261,1.744831666234297,1.7797417760119063,1.4905111405080305,1.45116289741243,2.2491278049589822,1.8293202631396124,1.9490032424663926,2.7954601722420973,1.9584169235061093,1.4796595862501527,1.862939891094752,1.3546968975281637,1.918725114682524,1.1471539388356093,1.7835600416200892,2.009556928270744,2.675043760306938,2.594780037992715,2.7802751632746947,1.9413343744050733,3.7372866053085825,2.2565749429288835
Ultimaker,1.0,1.009395363464153,1.0721709632419756,2.5656204930720246,1.5041268156388943,2.998979742541737,1.0,1.9596354592463423,1.3154645542766095,1.0388431950255566,2.1495472226187573,2.571105305625204,2.905073667302863,2.539558018106878,3.165154793718781,6.420635530982265,3.9689317091061063,1.0845692352868692,1.066611285040877,1.0784841487695198,1.9541801478028629,5.45150015023001,3.1103380150610005,1.4550635573171198,2.603375685364764,1.5962068537924021,1.4804378672637393
influxdata,2.9324321887212546,1.2175639554378896,3.4348711127045437,1.3707809575399161,1.0350295275315204,1.099159935886372,1.1825344981810977,1.7561236282393289,1.1214646119325031,1.2583081534822562,2.2710534735346273,1.0525855227866832,1.9966506185228918,3.0320000117169545,4.380270443527746,2.012869704353404,1.4347078252986125,1.634550863104312,1.1527184798152037,3.0351031401378425,1.415062123161228,1.8217458298423215,1.427152611692105,1.1653039600577013,1.312860071995045,2.46732537049896,2.2037289041696524
