Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,3.38208379342294,3.098244055884856,1.7320318750813737,1.976417000375788,1.7075661767338806,1.331786542923434,3.702204933990583,4.018595229857306,3.2887551093297356,3.1960865358637998,1.4048837747697562,4.321651245551601,4.363246516665846,2.1190341789005527,1.8739979174989312
PaddlePaddle,3.361141783751539,5.121473965302912,2.8748476853175875,1.0359409490152327,1.9669867197108488,1.7551878307567976,1.3294580259160917,1.2678585686530222,1.1195904599388864,2.5457894700382617,1.7911617458744202,1.1305565836298932,1.6928683964354292,1.6453525088795955,2.124492430743918
AdguardTeam,1.0046580106360026,1.0029674163427709,1.0,1.0020923577279774,1.0119897487538538,1.0,1.0,1.0,1.0076217310210722,1.0,1.0012208532588642,1.0,1.0108118753384865,1.0107399864040623,1.0003973334510619
pingcap,2.7887903133686174,1.3770623766361263,3.9829808164178253,1.7457041165077922,4.525032172163643,3.46816262154905,2.6093823592447194,3.762627798837311,4.466444700186515,1.778531827491693,4.576660541299205,6.5074619217081855,4.339529072916154,3.6385371092676295,1.7781145720158804
cms-sw,2.4106283872114127,3.474704929208258,1.818743580527312,1.4548663923189191,2.1704572941474796,2.9741520894705284,1.0516409631843657,1.5371628943276137,1.8543981904043811,2.150548757819193,1.7887851515304978,1.5305110320284698,1.292264044114027,5.169866092079628,1.980144095291114
microsoftgraph,5.005089542956504,2.37611927884951,2.940066745823935,1.5740865001103992,1.8752253512995654,2.0744349435595297,2.781191647405632,4.8238391169951065,1.7972102067542362,2.241718987043635,4.2624454685544375,2.8521679715302493,1.1620784304071685,4.872404670888469,5.083298965963921
MarlinFirmware,7.088019901255251,4.26327577218916,3.3140748225360075,1.7596697740413565,1.436228231265424,2.0300125133606195,1.6109942544150657,2.045513305527145,1.0809103535854598,3.8123220549150365,1.7771626285061097,2.114488256227758,1.4473413421298804,2.1582773651769687,2.053379434063644
conan-io,1.5348589270075772,1.766863256761714,1.6166966937559604,1.816290745468557,1.286517506699337,1.2105959487994995,1.3530781935993903,2.7305198261669665,1.3885154172784635,1.5960770685502772,1.6701670488992426,2.1145395017793596,1.9946925311407613,1.897283628157804,1.4241098492394133
pandas-dev,1.2281663684016806,1.0820316851152436,1.0578779101145852,1.1468303732601357,1.050819960845326,1.1358351364738393,1.1853576777416015,1.2286948074415138,1.110332949720227,1.0444317187330425,1.0126643178052857,1.1074619217081851,1.254644035251834,1.2276515095647558,1.1957109522973735
logseq,1.7486324233078223,1.0191679055654652,1.3732569358125062,1.0049209153972805,1.5833213365204664,1.2700604812429939,1.0937761082741813,1.0966347415127125,1.2146442319139648,1.4062447323636649,1.2313435535330588,1.4173266903914592,1.3416596917926247,1.0619298991299404,1.1920283495802155
Ultimaker,1.1818527967102006,1.6778006662577434,1.5643071198142067,1.2496935575432202,1.0814881991553758,1.0323718032274043,1.7647043725223208,1.2478831683845923,1.3816508591610779,1.1127626313589751,5.889126628708681,2.9526775800711746,4.242709615479297,1.5204066445788544,1.1160213677100348
influxdata,1.2127327418802119,1.5118124854265402,1.7501794392148964,1.01841053387104,1.364197661681108,1.4165841132459136,1.4019355575604429,1.458664276399086,1.1282408032064764,1.7391708942454898,2.367241703623854,1.1720313167259788,1.102469105410861,1.2836563150717808,1.1708243107772123
zephyrproject-rtos,3.495691022858521,3.1713200250106564,2.462351148911736,1.8197447963210913,1.310233926889352,1.7048997627675382,2.243853045468021,2.3815277688005443,1.9871034564863685,3.1331900921100333,3.9082840771796303,4.331012099644129,3.086913495150411,3.2390820194392416,3.344906971210015
Automattic,1.0167028392288264,1.3093063701428607,1.1681153485349414,1.0905304514314076,1.1285527312906354,1.1213209416303866,1.4026170196109635,1.5497726330837875,1.774680741299258,1.6225428280481862,2.238124262966366,2.513332384341637,1.5518265964255822,1.622183100007911,1.531603084341293
qmk,4.248829151277462,2.877278472270697,1.643567507536447,2.3705164531768843,2.220093407063188,2.253128340154853,1.2980183699581755,3.5088760546136855,1.782045319258701,1.3468812129244994,7.224740093906224,4.61955871886121,1.760531239229974,2.1041912763421298,2.500835046317882
mrdoob,1.990963205523614,1.3520131053462505,1.0769869345995529,1.3949795715279438,1.000407769842424,1.0210641570426757,1.0545978154713702,1.386085562961245,1.3082193737846741,1.4218935088865745,1.7012581118916534,1.7308811387900356,1.4702168775540347,1.4948478904172773,1.5533788956714343
termux,2.6357232608612877,1.1525679735873213,1.182847725378436,1.5454079144261361,1.0559105069426835,1.050731249511197,1.015396422260067,1.3684113972419405,1.0695813325925632,1.6085150403284465,1.092947628108202,1.2677067615658364,1.2185859878883365,1.0468697833633454,1.0935671821951543
rapid7,1.1351965375877344,1.1580483371032493,1.1246493284800358,1.0748377684715764,1.1909020555838525,1.1479770066998618,1.2112532356613839,1.2364967624928236,1.5869375768879719,1.516638226241084,2.5695126715524914,4.598445551601424,1.913980109300379,1.1889030867069539,1.1631005361309628
ccxt,1.7666044752440062,1.6050321321584464,1.476623938804829,1.2630613985830765,1.4554394523899479,1.3781772204697724,1.151018920517911,1.0228925786373955,10.0,2.99495923282433,1.1095186763418534,1.6311060498220642,1.31022106247846,1.2954944349171573,1.5015317258377652
JuliaLang,1.2562413534884311,1.5024424004883317,1.2940967002102082,1.046945200769781,1.0660915991373987,1.0355262128835476,1.4294596942789273,1.0773180589405007,1.1227262986626454,1.3371968439209456,1.079778690955919,1.200540925266904,1.118155186844567,1.1856448885843733,1.2184364874861497
jitsi,1.0,1.3986897624136174,1.3615391377792714,1.376247988058431,1.1910664789074108,1.254327537214213,1.0520336701287334,1.0560423328301858,1.3031906028016984,1.0008520582170508,1.097489202231177,1.5691501779359431,1.0132268229038452,1.0317855327958423,1.0163197446728782
WordPress,1.5882293213519654,1.8449918537143943,1.7254218351651898,1.0821222731541646,1.0043999681384137,1.1724627857869079,1.3739147620593757,1.0718087836630408,1.1342338981705624,1.3319286303106432,1.8032074980285482,1.7530704626334521,1.1273164787553542,1.3427986446968467,1.2986590803614981
istio,1.3224307961771313,1.2075587431105592,2.026368940379443,1.1604694458573224,2.1521931513666503,1.1836205323392164,1.1013414920553846,1.2469678074301076,1.1098829318623755,1.1582022726170655,2.169089080688453,1.2079544483985765,1.2162264290286053,1.7294502226435384,1.1937533582214106
qbittorrent,1.4134460394217467,1.0,1.0172562102660374,1.006116548384696,1.1032446933285784,1.0122982872337654,1.1517581335896623,1.3546724281493931,1.0186007381245288,1.0200129771468287,1.047124935792162,1.048802846975089,1.070930776426567,1.0186803359027958,1.0233166898354782
yt-dlp,1.0947594207313205,1.0274820180213364,1.0400608479768716,1.0064431333210735,1.037948903077201,1.0262194009228605,1.0387278348372126,1.0070919087034382,1.0513377514980753,1.0834289685939191,1.12796169957243,1.0908754448398577,1.0476785978041456,1.0411981051499644,1.0185196152433909
DefinitelyTyped,2.9395981672568507,3.271771078235531,1.9979758143758353,1.9048838286333187,1.9653951019388067,2.3149130582131967,1.234815652323452,1.6731068282315187,4.405042263581888,1.1122223017579185,2.211867778879058,1.82295231316726,2.4106284771798534,1.9139607755852355,1.4682623176061789
mastodon,1.2314917056949575,1.0351010599825043,1.497115062544999,1.025761462608485,1.0001775771894428,1.3673779295602075,1.1483508233370594,1.0092220477470524,1.220044446208183,2.1770041263632356,1.1226062232768788,6.653426334519573,1.18744645758456,1.777128521837302,2.5366435122123505
grpc,1.2264910076279685,1.2755286174483487,1.3266461391914164,1.0689426336030683,1.4630358099383303,1.1919432206261895,1.3194439988347129,1.2462919801833383,1.3267415373625937,1.5699334286222286,2.15495973897253,1.233440569395018,1.456868199497809,1.0571994781519716,1.182705550069937
elastic,1.6108466917970783,7.324299397160013,5.753840555599449,3.1759800777038434,4.88611236763009,3.327191793320994,8.00525662628801,6.379738870237366,5.705972459224572,6.073985900630153,7.918201022984597,2.9010220640569395,4.970716606764807,6.318284391085677,6.9674929551379305
sveltejs,1.2464303392605567,1.1528887753541073,1.0275218025601107,1.0560895789883493,1.0121739028762389,1.0119528663416668,1.0959359964682043,1.0887814578097494,1.3092051271875869,1.0499908790516062,1.1054817215658754,1.3500071174377224,1.052286938112353,1.179924940769176,1.0178993874173434
