Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.638581839506537,2.6772255038512736,2.7098127219641306,2.7156756967137428,2.728091380561999,2.745191701265092,2.793178315599524,2.799862760599055,2.822701547866138,2.843931117063533,2.862242915813207,2.8940163858624075,2.900308073858222,2.9358285819686234,2.9618651289986055,2.968820700280028,2.9780524255161422,2.9666855208387677,2.9864992810433586,3.0078447313356484,3.0291869010514927,3.054532934759338,3.08902364497218,3.1112008880884834,3.12650618535098,3.14801450773614,3.1613462101720633
AdguardTeam,1.0807073744799103,1.0765925945764419,1.075539935496332,1.0475743890783793,1.0497426968460513,1.0546852207126938,1.053869819661922,1.044895256967765,1.0414462349056566,1.0436420482251425,1.0483846137668336,1.0293472527580132,1.0211533005977689,1.0417917293316667,1.0540592506363446,1.0617484115881848,1.0458017070618681,1.037889773280827,1.0224691493682938,1.0,1.0,1.0,1.0,1.0,1.0095917847819396,1.0071390893584453,1.0
pingcap,1.9967551090070614,1.9968260756788903,2.003524057665555,1.981598435901764,1.9817548647296923,2.021995668275995,2.015081626647299,2.0048123120370773,2.0059255761889183,2.0075144713577333,2.0118734255566637,2.0030407169930347,2.029023680422517,2.0626159155650265,2.0802048869524663,2.0845541221136648,2.0935415829445034,2.1009697835566463,2.0841114669850374,2.0666695264510504,2.051661802900971,2.0575011355851727,2.0498698193214433,2.047680969043257,2.0743099343978164,2.0686740764450664,2.0623179891878056
cms-sw,2.538312880173029,2.5398739504088983,2.544841761734736,2.5097591567305795,2.498142672515261,2.478509499086506,2.4521151267585584,2.422517727700182,2.4037354473774526,2.406167860657262,2.402943153763723,2.396883899505159,2.394471134619269,2.383248421171533,2.37002308432248,2.3723600797897495,2.3590663442270294,2.345933204421912,2.321505914435911,2.289321959618703,2.2823071530482575,2.280763486377653,2.2932316301880196,2.3121964133830235,2.323375291185652,2.3331450108754055,2.335564052088724
microsoftgraph,2.121136583054849,2.1288292249644547,2.151727330106147,2.1701344047884543,2.195696024958105,2.213596592092408,2.2251236053900296,2.2274970364142206,2.247416964241727,2.265862256353575,2.285978490292663,2.3001609660081943,2.2948570235541137,2.320067762701979,2.3296495829549624,2.343043537929095,2.350016909208425,2.35312189614565,2.341097195781728,2.3267047769588802,2.368451155947756,2.36454426506978,2.379654482279684,2.427977505018606,2.452974278729901,2.492432940498478,2.485615736564786
MarlinFirmware,2.5000387980761527,2.497920234525866,2.511824280920562,2.5077255784534063,2.532116668633826,2.5376264444545495,2.553184203010078,2.551757022718174,2.5465688341441726,2.560056832584122,2.5747909155646154,2.565532081562135,2.563355456324687,2.5545541104762517,2.5484588395564174,2.550768681574166,2.5323323798723028,2.526955032100423,2.523322443865923,2.513507020599881,2.500097407389276,2.4953007409730437,2.4775681139806793,2.4663752045964102,2.4760829206693264,2.4728733483695198,2.4807597111338966
conan-io,1.231380646929526,1.2747534790055268,1.2966054447237338,1.3076650078615943,1.3193470955785545,1.3331938425195866,1.3493380470334186,1.3532448510601063,1.3783099317440042,1.4159296198831712,1.4564304756160769,1.4688272687125865,1.494916034002933,1.5479547532582065,1.5773003250627942,1.5887070570815913,1.5749602578634452,1.601110703478629,1.6192564580022517,1.6049290414153934,1.657172114917673,1.6854235605216488,1.7059570054333955,1.7199665332759024,1.7552142946836693,1.7830521631279714,1.7975675350717344
pandas-dev,4.13776179637455,4.134882505709831,4.167758885271872,4.170713571642552,4.187705554087626,4.2072122609332485,4.213313621687043,4.203051468554014,4.200521803443669,4.196067955349534,4.195535573461019,4.1786250333941855,4.1734377870897115,4.17832150375131,4.182454307552666,4.1937401651090855,4.185662002660361,4.191174193098048,4.188083654547173,4.1784470041859905,4.171987850229197,4.174475914931502,4.163088810901845,4.1728945638470005,4.178169855557238,4.183116681360284,4.192415352893348
Ultimaker,1.6593575916969168,1.6432655902794915,1.6376188761843682,1.6184909544113761,1.6195913088970872,1.6080839101573359,1.6045144839595982,1.6005047793998886,1.594134673138997,1.5989929129617892,1.6005457178079756,1.6019259562614065,1.5940951088941722,1.5843051604683362,1.5728253400892924,1.5797741296194754,1.561681407834512,1.5639349343694278,1.5480944623582857,1.5426375237985592,1.5256616459966255,1.511064904065324,1.503806248098662,1.4943982616703801,1.5038792361345978,1.495938464588345,1.5114980005117786
influxdata,2.531959836658822,2.527335050675293,2.5159667510485497,2.483239753805096,2.4961349760390688,2.518019975389661,2.504919378460685,2.4963413500390543,2.525943762521174,2.523077840234552,2.5311612716726097,2.520419045129997,2.5150716899599677,2.5084117030041333,2.5046077488245153,2.51397240884005,2.4975903082336117,2.504564601979829,2.499511030357591,2.4965807308398715,2.4798705181482896,2.4886148412084257,2.489221103765206,2.477986981756426,2.5039609728687173,2.5005539705072515,2.5146258736131406
zephyrproject-rtos,2.264443277929372,2.240784584246301,2.2526672582680582,2.2643467745310106,2.2857347307048554,2.295596806455638,2.356442534730301,2.3890345016602774,2.425013792159505,2.4575106368908504,2.4944274838023603,2.5113336170783764,2.5330241854313753,2.551023969440088,2.5519457657959164,2.5385417061258053,2.565053752164007,2.5696563538840955,2.5621289987454317,2.555504813725584,2.5996909421656342,2.6072454071541173,2.602264671288619,2.6354398947968143,2.667178437304073,2.701366013409417,2.7179848044442885
qmk,3.8897379239350243,3.8945678362273464,3.928602690152472,3.9464063801285993,3.9693732333362393,4.000243071363544,4.011182089339503,4.03664674715376,4.0328454797995565,4.073066920389532,4.108595577476798,4.112761921815981,4.140335697693457,4.198068396503777,4.219027929516729,4.224546546526915,4.227356337708811,4.2501882823407175,4.277863330639981,4.27648914109049,4.2896755037708,4.300660515424054,4.288860459820972,4.298606608344705,4.354091414329135,4.3775862951782765,4.392107226450767
mrdoob,3.2922604880554083,3.289423033976132,3.294249583386094,3.263660984937647,3.248283723490948,3.239304682904013,3.2346365176872,3.224657763561896,3.21213144277798,3.2064958208224197,3.2014845108067678,3.1847911552568458,3.1574323849721666,3.149141942209272,3.127765341823289,3.1254811683388284,3.110041646184994,3.105385472743699,3.1080932358822957,3.101954886731618,3.097598316731959,3.0919855852184055,3.0947225408072616,3.0999155281904556,3.087293312773676,3.0870488567176224,3.094089442417648
rapid7,2.4786123508074374,2.476773292029633,2.4785255142691724,2.444154067583426,2.4435695758162232,2.438595550342576,2.436331435973699,2.4185933796424797,2.417289608269199,2.421450970401028,2.4293007565866347,2.4137069376334956,2.3907578443168536,2.3740209549773246,2.3718483718395866,2.3723600797897495,2.3445771743492063,2.327903418449967,2.3054033218009984,2.289321959618703,2.275190450083964,2.27016348398893,2.2669277101985714,2.2582538044978087,2.256057503075436,2.2423416864479755,2.243720527343566
ccxt,2.0975224593838404,2.0939060768871283,2.0921958370316456,2.075867373932222,2.0767981315436734,2.08178733699874,2.0697455580328854,2.0611463851681027,2.046516182230408,2.041282718860486,2.038921416943887,2.021642983505248,2.0024441650518163,1.9960220689422692,2.000753553240558,2.0031508370863333,1.9896242898883099,1.9843365758229792,1.976391829346643,1.9630581112319179,1.9426769103191317,1.9437838604687363,1.9423864233872734,1.9389325231527752,1.9407312850624314,1.9434687303449387,1.956337597797056
JuliaLang,2.774374287570697,2.7609285567808453,2.75875441851405,2.7156756967137428,2.6881453809649205,2.694794269877443,2.67409291948884,2.6658180560448503,2.6535551417967644,2.702796695256148,2.7480569512098887,2.7426659555651534,2.743955998243535,2.7288033355061216,2.7124185034256683,2.7147044642986025,2.6932668791961234,2.6834977502865422,2.671394386765894,2.686943352721048,2.6791843228184384,2.678008313331099,2.6995496096318248,2.689161859927238,2.6734423013644086,2.670418501481243,2.6689002099257917
jitsi,1.6857635268630649,1.6979936699000215,1.7196873060606235,1.6918567225872891,1.7016548435465901,1.7301967676617038,1.7485744107599093,1.7524083046382324,1.7645483708394725,1.7648532853244916,1.7663057056947329,1.7682234646706596,1.7437826278380875,1.7416523213052981,1.7350797917345222,1.7396708697320467,1.7181255494394767,1.7295632771190923,1.7246678115002716,1.7038223869836755,1.7027935221799937,1.6977314089446682,1.6876346432668932,1.681572382034012,1.6873402135166238,1.6823438049669497,1.6741090199814201
WordPress,2.2667121581913565,2.2833474404428467,2.287937935535012,2.272996360808337,2.292087391793399,2.2830928195949047,2.2974846891757585,2.301016138111064,2.295570683010469,2.313192606679971,2.3285671114396576,2.3212261730081076,2.311952581318587,2.3031711025102037,2.320415334524406,2.3209109230107945,2.317264358663384,2.3260958571797103,2.3197200099482265,2.3213862145103046,2.3370266018373624,2.3402931560308273,2.333223606966902,2.3431796628913606,2.354058268665315,2.3500436551703556,2.3606977591881666
istio,2.2689797221853483,2.2989123907697557,2.3054546351044083,2.298830863452383,2.329988051155593,2.3184174051986868,2.3117975286304544,2.3030387256527702,2.2895838113760814,2.289599072242548,2.285978490292663,2.28862282182872,2.279597945221141,2.3012891790802863,2.2888546964387633,2.2856092750845347,2.273162946755975,2.2604605906537536,2.2585085745638214,2.2533837659630347,2.2483868098567346,2.2346210789055343,2.2351275471136915,2.2371712864013498,2.2438511347523393,2.249268848805428,2.262605236653746
qbittorrent,1.3849965128707415,1.3772191128522662,1.3777697229513206,1.3543916261160298,1.346390448411936,1.335854497845572,1.3283956822825465,1.3221825656964044,1.3147578343031778,1.3286515044318625,1.3416494609888945,1.333495728397414,1.3156679038753791,1.3224533816336055,1.3088911993812964,1.3138119262298498,1.2814061394230412,1.2673180555828052,1.245036141435048,1.220063241322971,1.2113442939371146,1.1957784493412758,1.189956952715177,1.1933761594990775,1.2012077533059722,1.2019164138080312,1.2073158084381885
DefinitelyTyped,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
