Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,6.158660477845417,6.192018361371106,6.238618227105191,6.3191758439293455,6.343233561562398,6.374116100232836,6.254662581193246,6.283653835610601,6.362039104429202,6.312338211668207,6.347397609546052,6.356006381730002,6.352048980036172,6.362713577061165,6.394325308487129,6.492137610203437,6.520649074354725,6.512447029835268,6.496882941601313,6.496705589213114,6.497207884302306,6.470752060399296,6.418561878297207,6.470328470699715,6.486076819841866,6.448823642380348,6.606184057039785
AdguardTeam,7.89145224296444,8.134929342219767,8.298215063569424,8.302240282669121,7.944268332403469,7.949736023528856,8.104373957048857,7.641327721773659,7.490525052653857,6.978934779491459,6.70167391005193,6.153145968703995,5.869703028952277,6.2892265509092296,6.4554616260426565,6.561636889426137,6.331434826380093,6.360173703948173,6.041313218691356,6.293961450890485,6.367739635138322,6.2248356485105845,6.270143316391408,6.275801644570803,6.226020462206907,6.178413609186278,6.3457260015912
pingcap,5.889825086739742,5.947885607183252,5.981189526211745,6.029881194044768,5.982117293718809,5.897876611345495,5.5963060128422075,5.612185321811124,5.466165132113202,5.34907330432611,5.290700828135709,5.301944873797683,5.2609101187352385,5.312890112635393,5.34529254804169,5.497743417120295,5.482014361384437,5.479186669098715,5.506526596408173,5.503475142770844,5.565229129739708,5.548412903582591,5.531190652249422,5.591492375688702,5.590581368445241,5.606733465732801,5.769585145110759
cms-sw,7.956018908744845,7.94627951349575,8.000350819128428,8.051178897546322,8.060285109872968,8.112807455611147,7.958409774291285,7.913746687008328,7.786936971270234,7.691505497052965,7.746143448818129,7.724148432355497,7.7038001145420525,7.73627944964725,7.734870449400265,7.808162208177238,7.7518319148321595,7.805684258137963,7.780569428730711,7.7227615743732265,7.750097297393125,7.693711091404745,7.782575997510408,7.810044611329218,7.749057667361222,7.747384621123408,7.75227710429781
microsoftgraph,6.20598245188645,6.313770002836671,6.3989499836751085,6.514544564625427,6.585336579100687,6.591824218326691,6.636591106390206,6.773113236122025,7.062304091917376,6.84995921150788,6.854859061653808,6.850173137090573,6.75617706243784,6.69820032776073,6.789458312752508,6.803474223280884,6.724900142941505,6.72301047340011,6.7840529548721715,6.699808010884373,6.6830847962139135,6.623830648169144,6.6583269889785806,6.625710914906768,6.67569479961706,6.723887675880581,6.840845110687604
MarlinFirmware,8.344579470941454,8.380536135465263,8.444742240830372,8.408300912344057,8.351103379460582,8.377481423211378,8.392066801494162,8.387009162681505,8.360831080146578,8.2080643207811,8.234541641677495,8.265854396773264,8.12633651283286,8.112079143795942,8.165168661355855,8.40203492456132,8.422596737141905,8.444456074747261,8.550330111635535,8.532141163551353,8.542815658841192,8.547475525151203,8.593995296439005,8.595401431037388,8.545083566719242,8.579012143692626,8.606864013585174
conan-io,3.646984977638491,3.8090996187284643,3.9048953960047204,4.077026828469464,4.147869060942311,4.150772995567065,4.10509899904287,3.940551156765019,4.145617641781444,4.060315069661504,3.9948103301863993,4.023677883398156,4.038588360713069,4.1518785006420345,4.045115600629735,4.223114799783181,4.1663907119607,4.087529084641071,3.9176493985762297,3.9190346290610085,4.208234515694395,4.053809441583139,3.923817231310293,3.9925476714351333,3.9858044189871924,4.048928138515663,4.300458594022356
pandas-dev,9.011866847211472,9.017199235412892,9.0248571582208,9.079716884601703,9.096489442642516,9.102797749451987,8.977005795424818,9.09802045800771,9.099516450085362,9.019138036125417,9.101786082002173,9.143131218655125,9.108519088438005,9.120669312442155,9.131621731693693,9.123264156773075,9.145734376879055,9.190456006303293,9.21345593760965,9.261536663196058,9.225014412482585,9.175545473255452,9.162003361196946,9.168058433222964,9.115205850368792,9.097963823847062,9.107432798972104
Ultimaker,7.169749767799715,7.239847569279127,7.317548708886715,7.263639311429237,7.383484755515577,7.481056110906432,7.3908428609342955,7.382729801376742,7.377504602865513,7.261861888252417,7.23131219443079,7.255058896713279,7.2415708298902075,7.270947770036218,7.292107072756275,6.996850142008404,6.715692061255086,6.748750842804398,6.620535984875777,6.5336172106147155,6.398701239995619,6.28127680377332,6.2290136482722565,6.1903600745347545,6.059265511526804,5.92948985373929,5.850130516212881
influxdata,7.684994128422605,7.676113816888658,7.661688846199369,7.704097210986416,7.7669771881178145,7.7656371057245135,7.608686987857381,7.611694564020824,7.636667608640714,7.564123715633019,7.584355302825239,7.585640142812581,7.504630180744706,7.484124818266485,7.459005159698645,7.564884114685463,7.599088315136781,7.552849118395056,7.529969022453096,7.543038775331906,7.468727618464364,7.332062171917502,7.380354084644006,7.367159541461011,7.408633650490609,7.469298021349876,7.36772189060699
zephyrproject-rtos,6.699404325631839,6.809071082599185,6.548992815325186,6.675174051047041,6.838624280958321,6.814535189375513,6.682659765725252,6.7065312681200515,6.804682996626981,6.703729965778651,6.690568192560118,6.577856515510353,6.520764499399458,6.420024962940843,6.421413181437253,6.530505339586091,6.526433158834262,6.520999696079712,6.472487266243556,6.425163904080088,6.4670856930572045,6.321997275974861,6.281757123092585,6.290007684594377,6.255248208388946,6.207049145857113,6.350152257281266
qmk,8.114310330207868,8.10087326831838,8.019585366227238,8.084916434735604,8.016766783400094,8.024275402010717,7.892384416340355,7.97467566981558,8.010788797160748,7.941517056421893,7.924343747597507,7.801791944246054,7.7866849592443375,7.828390535015778,7.823242256673667,7.894745912848538,7.863749060504131,7.783037028347753,7.839791264393851,8.05529257524454,7.9504981296932025,8.023838874826932,7.969868824575952,8.054034899502872,8.10326302077966,8.129365809014892,8.123497789095051
mrdoob,8.608107105547544,8.64083747162369,8.522845742614503,8.442832189933267,8.514602545116357,8.544040951614207,8.400016116391196,8.292853371438314,8.278001502873277,8.182042559966792,8.24958423902208,8.250210939698942,8.258959314583997,8.156563207646162,8.160253318605491,8.228078555607379,8.238542213791247,8.248575481381557,8.222229034080815,8.226979358887805,8.188824990704006,8.124567448464322,8.15991888063804,8.155918290112188,8.01478905476971,8.082114592077035,8.119119303652058
rapid7,9.063469288726345,8.882120994073688,8.887053758139553,8.922245394367344,8.83957464504632,8.829162477006316,8.759941436206313,8.816143900927763,8.830414143646703,8.787524482650996,8.812259022853965,8.838057258722198,8.774056148927926,8.761869712004511,8.749134904570866,8.718122023424101,8.640645577820488,8.701429323878777,8.72234680818133,8.707709721611995,8.774573957636486,8.708553508185222,8.765868490196244,8.78837359882618,8.81309539857213,8.61995968816969,8.741186698480881
ccxt,7.913727373441087,7.867613202014837,7.905183403592107,7.909376551468064,7.772461509133005,7.628462837392196,7.475463609142223,7.3327452854747515,7.310188019849759,7.192745654199526,7.132784426804671,7.283497352622307,7.292329620865827,7.252283246523458,7.205549205693575,7.169915319070309,7.143778171840727,7.039389453661264,6.949017202755723,7.034126167267112,6.917178304059542,6.943846436734951,6.72033973781229,6.596926837013889,6.452475503069095,6.328068880710549,6.093481080077796
JuliaLang,8.571865940739617,8.593653533873026,8.551379844636097,8.577342293453995,8.603369466113323,8.613728903659206,8.48628328512401,8.502912528102804,8.522712812885405,8.434287125456798,8.490674119997909,8.456825287889455,8.452153005402831,8.47792459037246,8.472929368903557,8.472869727702708,8.42547420914927,8.436154466295124,8.471378971365954,8.474235919541025,8.481443786669455,8.449238664757111,8.411486785306373,8.405530626108016,8.368420368679569,8.352615490560925,8.391586766118365
jitsi,5.31586159657352,5.31363641724095,5.346925951765657,5.4680573421556815,5.492279917376455,5.4493506947894055,5.795362953380609,5.765811775990182,5.788314961989446,5.75060167642364,5.7645733905619965,5.788326344112528,5.955725806659024,5.896663838576281,5.847744218395872,6.519553696622293,6.5091203942245945,6.365877803221393,6.3699409027023846,6.429907533976217,6.34625940557498,6.318140585392658,6.248669569958222,6.18373619044035,6.1465342557467535,6.15073293643101,6.275697363024888
WordPress,6.455773502165559,6.422095296823652,6.37244131083563,6.326805971576967,6.388396035756024,6.437912849222904,6.252382724746167,6.236596843774313,6.207119635044893,6.107132370110032,6.0672937216388325,6.098865419945469,6.083044141135215,6.089801555552538,6.05224417762473,6.096267774647864,6.068577037410993,6.095853876871807,6.038267552349445,6.101459851990552,6.148648034010836,6.110161841444619,6.061685536371394,6.130057044281122,6.0898322218188135,5.961801130623843,6.137169185222719
