Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,7.17261655521698,7.299792894816326,8.214776334075394,6.532162013904659,6.697640185010612,7.354698805772004,6.116394606641002,5.036230743217214,5.993209009863736,7.21228808769419,6.83542510586368,7.097505083096758,7.626846392740355,8.508706970199416,8.287681503481137,5.521497981559522,5.8944632448293035,5.455240013934257,7.175537677851015,6.266396129587836,5.456186156431799,5.555996868893583,6.025872233497028,7.945327824287689,6.817401551775045,7.4605162562968586,7.471685752927251
AdguardTeam,1.3353258289345271,1.215272817017332,1.0737805720784381,1.539433852832242,1.6162174241609186,1.7881474578516083,1.5042177075850445,1.41251561370248,1.578732682627467,2.212317161127442,2.8291071780450565,3.22826179833303,3.227566753092511,2.7876189823330577,2.1231357241729363,1.2811162299925587,1.497920187018241,1.0,1.4293135811505326,1.7877854300869256,1.1147085681396296,1.0,1.4568808311592716,1.0,1.094526379389062,3.3864253961607544,4.441894315350076
pingcap,5.123769971060057,5.473607910920619,3.8679220292733074,4.919558028714546,4.729636664367904,5.486730311563189,4.527545788904465,4.825838430672718,5.46391712791477,7.1615550854772225,4.70921601493759,4.868869783115523,5.950447131132892,5.779676730559813,4.3276610452403705,5.10502087936358,4.524473334507358,5.686827667875281,5.115149380673026,5.513488201892165,4.734150280277851,5.05630731486179,5.00465926579277,5.408458254584138,6.050963725270949,5.599545785749332,5.841243252461009
cms-sw,6.0577046446077425,5.446384750126403,5.751464400832373,6.179216016283781,5.457259617302759,4.584773715225203,6.168060933125955,5.166986524536132,4.368111152397107,7.727524774723197,4.448794414558972,6.700726097689317,5.435448475185211,6.027772662376954,6.179002480154189,5.721525824770435,6.713827671740386,6.359476257163805,5.485219906685192,4.329571849283642,7.394077423057709,3.6936262297487743,7.26822767211132,5.087088800739658,5.155834594260461,5.670056172277446,8.388630154139292
microsoftgraph,6.543560361072564,6.941182400425773,7.2326587129441275,4.741965945427154,5.558483655657862,5.193952084862605,4.169195623374955,4.627434992709377,4.371829479754636,6.2682173531260155,4.226630867102887,5.428065607128402,7.1977944124226285,6.0365164322526725,6.254471534399871,5.3642480742759195,5.038527737092125,6.371769768271049,6.148392818429848,5.97918193925341,5.730904391289952,4.768755585516873,4.276371800889423,6.355129046024257,5.573277199261828,5.107339130959171,6.341108309437707
MarlinFirmware,3.54084558224946,4.498692883354311,4.884192410015162,4.460499233784107,4.52117080957385,3.4415015361280576,4.74309290074416,3.9550356344514053,4.653780525577166,6.7561708823078295,6.29933053564217,5.148347884397834,5.398323573292144,5.649091211056022,4.816220774498701,4.134905699485879,5.062538107895072,5.402513443765444,5.96335077442501,6.977271573745732,6.200731768031119,6.7399330858726945,6.6615670422348074,5.813688517724209,6.163209035573657,3.1717414652289206,3.952592261507036
conan-io,6.168914445103036,5.2475276945977996,5.288149861952922,4.784987452330871,5.00618584573793,5.303154469411812,5.0356916743096765,4.499226803508128,3.8020122510368473,6.478648859346911,6.483679192565734,4.627538733046606,5.520480139295589,4.224794718253923,5.209878857884381,5.284909317120369,5.356829968084481,6.6671751392888625,7.77340811555217,5.036112197924665,3.7838643942950787,4.751083365693308,5.710169550562694,5.901691867491937,4.830616662691797,7.077737678868368,7.988802009880005
pandas-dev,6.790268966415943,5.483767911420331,6.878192931407999,5.402834507499145,5.948028192349643,6.053198569358057,5.853479345501555,5.2931064413336975,5.06478460776844,6.983876947798404,6.456123102386831,6.1004427737565425,6.045132609694651,6.001423376086253,8.400290758477002,7.8406723816387816,5.011571777167059,5.1727416396003045,5.905398891417678,5.9202806291279355,5.819442113431062,5.440077406589022,5.661454565763774,5.450192382300365,7.209811606701171,7.310341545645873,7.023208048915786
Ultimaker,1.7445165888287222,2.1791940351177463,3.075183061247162,2.837757959628639,1.7780095229552346,2.260093171174164,2.408136837518912,3.1059318930561672,2.1159593680333595,2.8857906634618002,2.4597849360193766,3.052268358920741,2.5609460495532703,3.3578817142622617,4.537103126957263,3.8693103219090323,3.637611188665616,3.7797160464630224,3.858320291460669,5.094043028693685,4.745689212938535,3.9777003178133685,5.273093120440144,4.6057815483024935,5.260876461512713,6.734028199611134,6.179088794630009
influxdata,9.476398345239426,8.409296278024051,8.584776408789583,7.227990151472903,6.841272963300558,6.622824115659632,9.145212253385404,7.247250632289597,6.998748986330779,8.263394626933803,7.305069705076029,5.95030729728463,7.690462481280832,6.693008077118128,6.283114457385705,4.159119845586998,5.899668775119992,4.9573617387248845,6.458492402719362,5.364776776317941,5.525222479133289,4.749720648871735,4.540862075401785,5.868922366714461,5.133744831833812,6.995639321022672,7.4665151998054675
zephyrproject-rtos,4.340103502875775,4.686548115659626,4.796912361033321,4.830361054220244,3.4819403661491415,4.823108870883136,5.583331078790595,4.098212950946815,5.038758459528232,7.377718590859579,6.017023382287313,8.160391083501,6.378264117903557,7.082967020468025,6.995247353494816,5.333727043161569,5.302662369544491,6.1516553154030404,7.585838321717299,6.21169713161144,6.013693370770183,6.026610110364301,7.547753660534679,8.417338249155108,6.855612694421738,6.675937312711139,6.3342018870981205
qmk,5.7854734247862405,6.800995571468406,6.8150668926620215,5.465645545116617,7.295156226310806,8.128111299463834,8.37330668385369,6.3519089699751525,9.174536659509952,8.559423965668149,9.511522337238633,9.360774859607734,9.330588515558082,7.356890731871861,9.142876681839958,8.291006448011025,6.552446927018969,8.218395200261853,7.648634180867557,6.485907793450996,8.388972147167507,6.287107184166512,4.864449328200649,4.237387206442947,3.4812691099429265,6.151579437216433,3.730260078439198
