Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,8.6275651176891,8.31370220010453,9.595281184740937,10.0,10.0,9.71419345747638,10.0,9.646629260624795,9.529207092875941,9.538124391134632,10.0,9.135384671299768,9.245219795780812,9.137232623369478,9.713252554899086,8.80854848184902,9.54412568762549,9.22979346419191,8.790392550519268,10.0,9.826520321876997,10.0,10.0,9.518203726370844,9.208915154955365,9.1393134629553,9.287142518510782
AdguardTeam,2.945804218285056,2.2437325339237075,2.8447783486105447,2.4845827764223625,3.845519941588894,2.3497011622863466,2.283877252459311,5.1577677411330765,5.121930718414522,8.975062901003717,4.030059827706122,5.592100894510583,7.574758896241443,7.081201942502839,7.04946283168362,3.5143046472982267,5.010379751879935,5.751048597575828,4.886366109994192,3.7180659239804914,2.9894098995902714,3.6856644543361727,4.05447425918061,3.1930789251959553,3.1886064872375655,3.708714715526054,5.393686057082593
pingcap,8.80107099337673,5.540380011574965,5.82732486147016,6.031580442958963,6.821728788661609,6.542844190033419,7.545043952514772,6.359155894744158,7.233950487547971,7.999179957661465,5.93159873594568,6.13545319220243,7.41851278376181,7.204467975866582,7.614364613011364,7.8139450450012875,6.921291320249272,7.974473767712115,6.127264667526913,7.116503292701109,7.634465411310824,7.625526640759015,7.60871222783144,7.219466066313264,7.236519713496822,7.53958643440793,8.182555418645933
cms-sw,1.0,1.0018175542467154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7623922082990013,1.0,1.0,1.0,1.0,1.0,1.0,1.6012349010180769,1.0,1.7221123454479392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
microsoftgraph,10.0,10.0,10.0,9.571591467742266,9.363357341570511,8.018419033028556,9.060507255141447,9.205258991993057,10.0,9.739985328092956,9.614132863592422,9.634258708460417,8.864020525052801,8.552887927766061,8.814978732613266,8.965247267810412,9.36402892336593,9.049989179377983,8.421810412399056,8.629075749348239,10.0,9.49546084547784,9.996579384388406,9.197179335890162,9.384502289835794,9.046039200744794,9.422241804448102
MarlinFirmware,6.13071643535378,4.582187201171471,4.058327024450071,3.771019275831527,4.933695238520871,1.4757635527898123,1.6356937545705055,4.162879672588837,5.8284198530493905,7.502517889474273,5.0647827663216445,2.4873873884959137,4.061298191101819,4.776224380933841,5.063409980221423,1.534289638035208,4.877136051790178,4.94135246212539,4.983704374364558,5.796941072367763,5.036234680541823,5.880463459684655,4.986911664736857,5.272959529295017,5.390725994805052,6.018118445987537,5.94798993527005
conan-io,7.722891896091468,5.0821048830346625,6.291008523344039,7.089127587542183,7.191956654638412,6.742559153692119,7.172122191651834,7.398797285553585,6.767296260322721,7.946969291805567,6.836346337305716,8.018199978335417,5.599391348119171,6.956373404638175,6.864575479529504,6.9107002468855585,7.910752862475176,8.350501073845663,6.886653538567968,6.613256094064687,7.800869060271385,7.908138048513526,9.146961512732274,7.95257841917633,7.146658247285549,7.492416652476878,8.23887957974533
pandas-dev,4.23996299069595,4.895717228042061,6.1731976736187955,4.302171241453806,5.027964092907541,5.292365556994636,4.711567203051336,4.131541639719396,6.196694838124509,6.744707585737751,4.148871070566642,5.45211887198808,4.987728726862395,5.824291754922111,5.788253344035074,5.147415601767467,5.900982335205392,5.571798005908555,4.9610614647005775,5.000592506177235,5.8054287534928015,6.264718576391114,5.890249677090631,4.917929873407179,6.512535670445677,6.259617141098932,5.726500641601422
Ultimaker,1.7984163753316627,1.0765102791022554,1.1231500723449144,1.8349293919155925,1.5928538215239136,1.0920760625245929,1.1311465884656509,2.3647759270116584,1.6570646799994069,6.439226740622055,1.8160917895086728,1.3234240948112022,1.8165291754126875,2.087948632194866,5.1000494416753375,6.668878801859076,4.291160814112137,3.56802787271398,3.6638233046425865,3.8842965450601548,5.493542835968446,4.219802703520903,3.8924200029146494,4.570192082451343,4.8275373003471085,5.833929377957082,7.635396762578965
influxdata,7.989723950545629,7.514879513652523,6.12629194709653,7.270090105760338,6.655508090305774,6.755004012627203,7.961256501022968,8.67168418557665,7.526987640338391,7.844442473038459,6.941646316693158,4.9224922790554455,5.556704227301302,4.725590231019775,6.691566468875829,6.241753202173775,5.798425460724173,5.8522837542276145,2.8945915163181875,5.848389122586101,5.835472487641736,3.959388399473315,4.81774366749023,5.44061930916596,4.172263939208899,3.104619984935396,4.77674017129781
