Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.827450645018562,2.6951862985988395,2.8861450573809857,2.2715407072960714,2.348109300256006,2.3737031462926526,2.0489337034180064,2.0470699545296807,2.2521351512739516,2.108119158230175,2.2699945209607018,1.9274672407123945,2.454488494073587,2.4159013028245306,2.1898684109095936,2.13731511292935,2.144374107548351,2.1137546410332755,2.4083223205705666,2.230476252305042,2.1657309659013526,2.019788610937347,2.1716780901052477,1.9054990399766967,2.0403738811609635,2.2780058888632206,1.6949491830233474
AdguardTeam,8.008833965482264,8.673711444221222,8.710682093353007,8.90780031220913,8.287351140620864,8.070883710380674,8.358565973014478,8.556563271184764,8.77168061253933,8.697279826150204,8.762986914731172,8.557701594524138,9.067074915400985,8.83790994075638,8.184031856926026,7.463948085093067,8.18261180627847,8.115646183776912,7.390020529172609,7.318042241679587,7.235463648683081,6.897801639580312,6.928918523603446,7.074772874067402,6.79548957377383,7.14999607846516,5.242482779343225
pingcap,3.9947222554387296,3.817850563588256,4.865216806550494,4.619976700651108,4.4128053374847855,4.871754958648655,5.353416548225975,5.3860105904266335,5.275380628038931,5.311285344829127,5.445319395157594,5.165905560320499,4.45903149071009,4.421614942726127,4.918980640261037,4.18536262234731,4.224392889561502,4.9390794262497835,4.529067443221331,4.547844406152777,5.077854944840254,2.8984676545232895,3.9232946049803337,4.198129417891703,3.458114978714721,4.549603542585458,3.023157929780393
cms-sw,1.5881833125946336,2.0445001261120734,2.1979757487760305,2.1078109927026656,2.5024765495659445,2.744637420733991,2.942630371206116,2.488344661087891,3.316162531204513,2.7699197380006337,2.7054099619115064,2.3157123397793793,1.702094471444723,2.060210577027916,2.2379590422157425,2.259258635692995,2.900520107623851,3.0475665072496456,2.2785826175251387,2.317144166622426,2.040026751590635,2.3937563244197424,2.0120810823550066,1.9009039309588978,1.69398435770099,1.865341026716493,1.683918523470025
microsoftgraph,2.8184016755661623,3.607487332821059,3.462858860737494,3.2003315955321967,3.4276583169491115,3.1802938410815837,3.125722922323298,3.256323268400185,4.090085938918493,3.2113504392357677,2.739596625946346,2.419322850737629,2.2306107865034335,2.3288668977611335,2.7185777648747886,2.3697392843135283,2.674872618011042,3.359452315230177,3.2882558947345233,2.598944380139808,2.9740739607260025,2.5206690121791855,2.562956430126087,2.582676431959225,2.6020506467452407,2.5546369459406,2.6169515277404094
MarlinFirmware,6.283390475746517,3.192058284721521,2.8089028499121698,2.8388582546432453,2.81818944685502,2.9568575296599198,2.787862190396811,2.140425616602248,2.455786204634074,2.1485364111193617,2.0732088202906898,2.082075350627089,2.2306107865034335,1.9792459950651033,5.21108736824198,6.306483026216036,1.660129025419992,2.1616488455026044,1.8367928327405476,1.4040481839156183,1.3312838529806459,1.2569225041968004,1.1203130532586374,1.7221617702390182,1.5671914645338356,1.6390537084516945,1.4611848688609612
conan-io,3.0853854816757447,2.4750257905935653,2.9665760443690434,2.4405172574230356,2.8037198945654005,2.8860672934619673,3.5757767225012995,3.3022778840173665,3.0012758171795135,2.7955596645155603,2.6317550326719674,2.567795854964684,3.3108219957395146,2.927474461844747,3.5046366838348826,3.0663434288576417,2.9411863757059065,3.1842899973052883,3.2882558947345233,3.656463995313779,3.6685868081398865,3.623736762050375,3.530934768270576,3.5794438144318845,3.388302970216761,4.036411077572257,2.534299089485373
pandas-dev,4.54134291320246,4.790471298871858,4.322104135210018,4.558624665460096,4.383885298967899,4.514446826036661,4.533728007153691,4.2568430179542505,3.930103685084551,3.829886152059286,3.6970779324577094,3.751188797596728,3.9269384216421805,3.376410232097899,3.1389329392396945,2.5111002476268567,2.4645876443809644,3.5196340607304717,3.0718074158301003,3.079315702210674,3.4833551378302534,3.300529064953582,3.5046879813703433,3.8202555643843215,3.638404955831366,4.056954436365773,2.956726321798767
Ultimaker,1.692275009601031,1.444436517371726,1.2257063990568167,2.1715981799403057,2.209958372910296,1.709534121383719,1.4825001791249626,1.1481066520333847,1.6971344602748344,1.7130058035646747,2.0173095095306297,1.9505908558006482,1.8062051147242735,1.7360312498322625,1.4106509148995,1.8769740421985084,2.5141287648693478,2.5057107124478066,2.234361086076736,1.9796043249103927,2.0352924998801383,2.032293338600745,2.121979488307857,2.1588736035524647,2.084323770183061,2.1549675660155296,1.9238379549503708
influxdata,2.038968182618004,1.9743402542853068,1.9931854434995715,1.6295333105015006,1.288080021060888,1.666397137830673,1.417112310284256,1.3477132825600395,1.8274568144469487,1.7242268170237665,1.8766141699920476,1.9181793543528332,1.9886723330792986,2.208209234444743,2.1947041875982007,1.8191768324386435,2.0066954348481656,2.2350036857554776,1.6913404894973507,1.8893731529461282,1.573208796752803,1.8403872272265558,1.6531458736825897,1.4377204450563332,1.414593445231751,1.6342964081099787,1.449473353279302
