Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.2507114947828066,1.6200936658884384,1.6885744628282455,1.4884631915120625,1.5703276461131686,1.4244784869034302,1.4150597630852841,1.4790376639893505,1.419256717306833,1.474726924318124,1.5457608304063744,1.420392420975387,1.8707053495951556,1.375853614892859,1.4422864151349628,1.6156753863148596,1.6439705973065353,1.3680337049744544,1.478759259003918,1.5094790455263287,1.7538069970232169,1.6884289678315922,1.5432626886248129,1.2461759248715623,1.6724451599697316,1.6678674209429,1.6967403513783257
AdguardTeam,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
pingcap,3.1761989412359513,1.7512198388552913,2.9141204817333417,2.7892145117149236,2.4761985824256785,3.1892830176143416,3.4018747730158254,4.071223336379114,3.2459105386902967,3.8240509756030123,3.907366170177027,4.750884082098762,3.5486594063004504,3.2029666442062315,3.7625136173986213,3.1685044891108585,3.048350659478802,3.053614301641769,3.934849833421542,2.9858748145476515,3.279068387817434,2.5166737712323046,3.371274902985392,3.261913545871904,2.8704497866073906,3.7575255163248036,3.2848776112540516
cms-sw,1.260737690835119,1.5663861750254273,1.4544189303693473,1.3190304458159003,1.4281217718763257,1.6379462100942177,1.768503139037304,1.3829512875186647,1.745973916588549,1.531622402520634,1.4082298513824378,1.4644294230310977,1.3815655905304498,1.3518904246889023,1.3655043468954502,1.5571128574240252,1.6210682837132233,1.3815195734549963,1.4631903722836275,1.5094790455263287,1.1992758495813567,1.2927630234422796,1.6738930347337742,1.2461759248715623,1.2987227733398299,1.3348334169835478,1.3699653098516662
microsoftgraph,2.3282552276692052,3.507959813825984,2.8583554359173045,2.43533064938707,2.7540635495626304,2.5681790947437406,2.929420914662221,3.0502131501701784,4.099390598545119,3.264236400066292,2.698692629125378,2.3255753948464593,1.827700205452946,1.7838202080080956,2.1897278713149033,2.0132583364619556,2.1266917574198385,2.0708961064006233,3.3838694343053093,1.736297073883052,2.0564703884606863,2.210356490630773,2.278638124591415,1.696389898861228,2.2254349681326135,2.2061320640243367,2.049774307440856
MarlinFirmware,3.0823729285058676,2.767441002158659,2.676326844120442,2.1659794283586953,2.420421747182388,2.429286261756313,2.573501175284763,2.1229582003481067,2.057135847966369,2.009528329948446,1.7876101480090867,2.463632334716144,2.276578048153659,1.8052832595193942,1.9076621902760063,2.5792732108575525,1.844267850510824,2.0140557881443346,2.3023077663597924,1.6142124714894193,1.5814793996331522,1.7126312144286233,1.5068652677930854,1.94799210191134,1.9142944775724438,1.7528854356894095,1.8396439692290327
conan-io,1.8380882555225313,1.6334060167074536,1.7759764971920347,1.5642526820836613,1.866080884391168,1.591506253844118,1.811866114493034,1.8521709950251313,1.76681392628622,1.6319926908814915,1.3974473608559164,1.67746611991228,1.6280976352619723,1.551042371288773,2.0943758524947182,2.106641535635908,1.83340545258751,1.5527287092758693,1.6011270023210706,1.736297073883052,2.3759025373739844,1.8431293859007212,1.7548044079787268,1.7666304307559555,1.9476544269103657,1.6678674209429,1.5946546914187474
pandas-dev,3.5304817554659653,3.0733252362168137,2.6861216015874634,3.1137013709289003,2.9058202943019187,2.8489507991673193,3.3513052266349073,3.4569121043111037,2.460152651709318,2.7454155010924337,2.50024136243771,3.340843197934532,2.9316751921432447,2.445504060511979,2.2828090530134797,1.8743064146343529,1.9194709555729275,2.5082113308748344,2.831221261236968,2.431825824470149,2.5263341574950613,2.210356490630773,2.445127732779338,2.9746181230234208,2.5612325433275718,2.980095199944925,3.516521461380772
Ultimaker,2.503423210308833,2.178338116218824,2.0038069406510983,2.4152576506148735,3.1088429611476864,2.12558075123124,2.1916895979528794,1.764931532201448,2.1805938339745308,2.3446239053101143,2.492089846788494,2.9717194587924003,2.617835025729339,2.084058271275178,1.8737665035980613,1.8195198876470204,2.7070456347247402,2.80914971073954,2.831221261236968,2.0995119016513746,2.0041138189983148,2.6327808330467337,2.4355280955255028,2.2566834473508397,2.27666309772774,2.2061320640243367,2.258890230535254
influxdata,2.2376366440722584,1.7897149736855544,1.9332847742680117,1.7235891800879721,1.6668802800037645,1.660960900751359,1.497709250016993,1.4790376639893505,1.6827787920333912,1.6429874951415209,1.503956684994503,2.182463057583266,2.3434668110808166,2.0238038327744343,2.4430038261250835,2.0237451077053263,2.1367699331893704,2.0140557881443346,2.174376881341108,2.389681109183142,1.9617176780779841,2.2840075321185838,2.135995610803546,1.7433568899233292,1.9142944775724438,2.163100616510496,1.8611726974841178
