Company,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
OpenAPITools,2.5730548080930955,2.3952353018924946,2.4985866737780738,2.3327363248291704,2.3242395680619157,2.1455195718088222,2.302519680841363,1.8829199061294122,1.861329266997421,2.0011895655707104,2.199675951533865,1.9500918589721228,2.1647588475262687,2.2923597470928034,2.247091393206401,2.0316115977122884,1.7742072704223804,2.2716724482061705,2.2292444599480685,2.4365023544861346,2.228032512917451,2.1503706120825825,2.3710008627577803,1.8135876445132268,2.064244892673913,2.386650662507961,2.0777101128938993
AdguardTeam,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
pingcap,3.3592102606441063,2.4418908333385536,3.668471334255019,3.2226527776678173,3.2956831251946346,3.9414337559603076,4.679423189007947,3.8797677217220077,4.293273701245276,4.270872668438939,4.425662946000466,4.231952689346947,3.9255561408096153,3.6185084724014986,4.420888140526061,3.4091431991500163,3.258907481236422,3.624869373450784,3.723406143968908,3.7994337889903274,3.5590833726675353,2.998124642910713,3.7853531483576854,3.5823746805569985,3.396099833619749,3.850446910335431,3.9207575799768595
cms-sw,1.3814620677292173,1.6046497114045755,1.588631525363093,1.4882083921252511,1.4718544534491511,1.5912943083289481,1.7591712307791805,1.455856809365586,1.3355753607921876,1.4184920012232334,1.4640205327504918,1.4341767205873852,1.4076691051667574,1.4552309580963316,1.4705848528588203,1.438274635605964,1.514956138076824,1.3444433737467087,1.4666617626545777,1.7562483586093667,1.252735613450954,1.4182027654963065,1.4357528868870315,1.2520681761387504,1.3837875511675555,1.3220533967300836,1.4816298602645235
microsoftgraph,2.7796158325654785,2.6341892165457423,2.79048170069505,2.411879305483392,2.5811046223492573,2.7454666577544176,2.6109519788638833,2.242221984589951,2.377815026734728,2.213741107050816,2.0613294099069503,2.162197522353626,2.1394963875681556,2.569375763559136,2.2922640989306666,2.3227298187141514,2.3514833580851606,2.3054488014861008,2.049383078563962,2.351721770737274,2.3173328792288306,2.3257534947770493,2.2993431097594628,2.030055462700191,2.1852099151761895,1.8287445938612104,1.9949356005939278
MarlinFirmware,3.313291636939029,2.900831847741517,2.800513890156365,2.612312449788811,2.6286235826528594,2.494237957066029,2.271338082732869,2.1466606416930976,2.104583839784798,2.038995183285961,1.9373357973877812,2.0158727547375657,2.3691614825119514,2.207721632934457,1.9029765835945807,2.085212701361092,1.7237144582495443,2.086430265079416,1.8494653417979747,1.90850561257577,1.6678434394577406,1.7188187261483967,1.4228459395380457,1.9663645186916292,2.0334095073010916,1.7255609329248005,1.9422969881384922
conan-io,2.2593687992101006,1.8550124916886486,2.2065184597478327,1.9332373893682375,1.926892826727976,2.0636123766490293,2.1332672474516814,2.2848984403760246,1.7904144431214046,1.914765769792471,1.9081545311658852,1.805290612391429,1.940194352415919,1.8629301024662681,2.5946486021857877,2.3126976292528365,2.0548606464318033,2.156928875687364,2.187662681217362,2.399048937187247,1.9687049055984656,2.2874539471483235,2.2993431097594628,2.1848850919466694,2.3025434160014226,1.8287445938612104,2.2381789562559256
pandas-dev,3.7827775404291675,3.6831000379053607,3.2984327717247672,2.9592951691542373,2.822125162975235,2.8399084415448947,3.261617774304183,2.4673290918070467,2.7227960568031606,2.4914636352230968,2.315738809264463,2.3803978716852923,2.6235768578583913,2.941121975069268,2.777371241242805,2.6029975101136076,1.998424607637825,2.2942224165435796,2.4698527391732714,2.501194484394345,3.1133594659564303,2.628174590380735,2.7386138446008004,2.818765166096916,2.8583053587620855,2.84871851355634,3.0032275388067364
Ultimaker,2.800737380831179,2.465011408827734,2.298732049941491,3.0601450628605837,2.8400639262499165,2.135374547213881,2.424816515864107,1.994220396502775,2.438911661152125,2.5579169063230562,2.8799539520678983,2.603128860695209,2.586077526381662,2.5358035644472157,2.2584336075281777,3.340247785307144,3.637952256996121,3.076188492698786,3.338151715718215,3.118817015422499,2.974897598092897,3.254280947837629,2.9889483351393187,2.9206864976506917,3.240112721320161,3.222485054035568,3.8951176534619334
influxdata,2.0353239756337254,2.052055441388775,1.953568701373881,1.966304658219517,1.6335575867955985,1.7514239645691156,1.771049630275391,1.5389245237874758,1.7904144431214046,1.7257878468701875,1.6768853062100044,1.8638563912667339,1.8411599097924607,2.146123697213114,1.865586197809523,1.3876947018454378,1.5998020454617756,1.752436277394568,1.5041850940719748,1.6665049953077244,1.7367313577630985,1.9247431982049288,1.6488908450140967,1.6429874951415209,1.733237733271027,1.8174133399809382,2.158767978707083
zephyrproject-rtos,3.72500640750875,3.8402574964450555,5.041401402835474,3.309233425506806,3.6821098043862133,3.0864487165942536,2.941026272455096,2.7711757076538874,3.2564507121232156,2.9717471560246222,2.7718737848107597,2.970232487761579,3.0071782569238845,4.007445176697624,3.8087059022257375,2.890586655720737,3.112068209578175,3.1128323579986312,3.1220607480368394,3.6451984696890816,3.4942910004067405,3.254280947837629,3.0999404038128597,2.861555829492383,3.2552397464510725,3.8840297928561354,3.215502250213843
qmk,1.4266299399727247,1.3677890128131511,1.839941221074831,1.3876947018454378,1.4335688003098797,1.3629187855917924,1.6013743704674606,1.3709853131465473,1.1952697564885006,1.3292891362959334,1.3530769352112815,1.5618367632759997,1.30444170585339,1.304169422693474,1.2861877942586208,1.3235352218134917,1.3170384374166888,1.2427885332698132,1.4287747099170391,1.4924720301018037,1.416700176876723,1.2712539464366004,1.264543751066158,1.3535240611027284,1.3347414520262115,1.2571121704667532,1.3482066722461967
mrdoob,1.5735276165756633,1.6616881829063068,1.6697516999254693,1.7635699247494947,1.6699424587748564,1.496757343832358,1.7112933228060696,1.6801758972372827,1.5696072218313084,1.6120527443410197,1.582527966729896,1.6753050401856926,1.682993810859792,1.876257583851603,1.8024628933147673,1.74038076442238,1.6207288372911426,1.4713740212520328,1.5536623412729347,1.655140796369015,1.5859089898667724,1.5944449408523589,1.5123121419669476,1.4888606731805427,1.744364690978105,1.461236015191096,1.5408031569890281
rapid7,1.6449567171512567,1.8684622671598574,1.9034749533658841,1.717053206430649,1.8238099591777148,1.424323178195218,1.6383585465624821,1.4136514166455596,1.5041585242249766,1.4732273799437516,1.5183333613163814,1.3906796991684311,1.4982988065583764,1.5140579097029951,1.7253441628649715,1.5619329383349216,1.5042197195959637,1.3730085459788441,1.4160636407077192,1.4326954138350352,1.3794680875916507,1.524898750868621,1.3576640453822968,1.2648951167420672,1.4080817267782173,1.6552267731459032,1.4336376433667986
ccxt,2.65043203137303,2.4418908333385536,2.147760291201181,2.159040401018788,2.3140149283019564,2.3814203347030585,2.312858512155019,2.0487042725475577,1.8310946056823596,2.0577617453622006,2.1906036449375135,2.268454817517587,2.2313378938458586,2.351712757030239,2.4463797891816172,2.3526728106893295,2.4624215725561274,2.6383771574167048,2.508552563607787,2.2455398032693834,2.2580265663431325,2.401244796389153,2.645175522457304,2.6156599666171436,2.7395380969749246,2.3372914362954837,2.6216159200899543
JuliaLang,3.1722075346347425,2.982453962302779,3.5379291343027983,3.1096107144280594,2.5523134516294665,2.6575842321021304,2.523886457594842,2.021557267189264,2.3513355479431253,2.3723804542556186,2.402730167051793,2.6746386310428463,2.1055570975940636,2.3399140383497024,2.6769149608769807,2.4411496014997844,2.470826271299053,2.48081953868151,2.3009648269895466,2.5648333036053925,2.52740046176115,2.4936036564670867,2.3912355084859955,2.2650196823942084,2.6612368071870174,2.5874106991593475,2.401753625797798
jitsi,2.3193902022128046,2.064845073972383,1.9907221439758573,1.8662515803733548,1.8699605157114836,1.829094071518262,1.6628216674698737,1.5899594183199737,1.7285891593347058,1.653794883018044,1.6036939950075388,1.6854588496292409,1.537913845031408,1.7546419821873753,1.8780894439553586,1.5740862917209675,1.3057435658439327,1.5943120050979065,1.4160636407077192,1.4206295997485676,1.5022201611426511,1.4540926823755553,1.3576640453822968,1.3909012041196804,1.4681646400445383,1.3985848910602137,1.2734639138048023
WordPress,4.028829991953235,4.481832779820981,5.024422282079972,4.729471186229632,4.079632453853595,3.9028471321223974,3.970797509125353,3.1631204264498174,3.9440213696973547,3.8148519681055792,4.121908434808065,3.3919327154991237,3.555517578279363,4.254022120751185,4.130279511595099,3.947057044181424,3.420235017770582,3.2118668006220896,3.8071661421074827,3.7597815386840625,3.9007006404874267,3.557752915150371,3.841459140469865,3.1089053510927416,3.8233401486053,4.798201127956714,4.423649285989125
